0,1,2
"""{'title': 'Intel Core i7-3770K Quad-Core Processor 3.5 GHz 8 MB Cache LGA 1155 - BX80637I73770K', 'subcategory': 'Processors_Quad_Core', 'brand': 'Intel', 'sku': 'BX80637I73770K', 'type': 'Processor'}""

","""{'title': 'Intel - Core i5-4670K 3.4GHz Quad-Core Processor', 'category': 'Processors', 'subcategory': 'Intel Core i5 Processors', 'brand': 'Intel', 'sku': 'BX80646I54670K', 'type': 'Processor'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '[\\'653078b21\\', \\'653078b21\\']  \""653078-B21 HP G8 G9 200-GB 2.5-inch (SFF) Serial Attached SCSI (SAS)6G SCL SC Enterprise Performance (EP) Solid State Drive\""', 'subcategory': 'Enterprise Performance SSD', 'sku': '653078-B21', 'type': 'SSD'}""

","""{'title': 'HP 400GB 6G SLC Enterprise Performance 2.5-inch SAS SSD', 'category': 'Storage Devices', 'subcategory': 'Solid State Drives (SSD)', 'brand': 'HP', 'sku': '632429-003', 'type': 'Enterprise Performance SSD'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': \""['518736001']  HP 450-GB 10K Fibre Channel Hot-Swap Hard Drive\"", 'subcategory': 'Storage', 'sku': '518736-001', 'type': 'Hard Disk Drive'}""

","""{'title': '359461-001 HP 72.8-GB 10K FC-AL HDD', 'category': 'Storage', 'subcategory': 'Hard Drives', 'brand': 'HP', 'sku': '359461-001', 'type': '10K FC-AL HDD'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'HP Enterprise 36.4GB 10K FC-AL Hot-Swap Hard Drive', 'subcategory': 'FC-AL 10K Hot-Swap Drives', 'sku': '238590-B21', 'type': 'Hard Disk Drive'}""

","""{'title': '359461-005 HP 72.8-GB 10K FC-AL HDD', 'category': 'Storage', 'subcategory': 'Hard Drives', 'brand': 'HP', 'sku': '359461-005', 'type': '10K FC-AL HDD'}""

",0
"""{'brand': '\""HP Enterprise\""', 'title': 'HP 400-GB 10K 3.5 DP NHP SAS Hard Drive', 'category': 'Computers_and_Accessories', 'subcategory': 'Hard_Drives', 'type': 'Internal_Drive', 'sku': '508429001'}""

","""{'title': 'HP 400GB 10K 3.5-inch Dual Port SAS HDD', 'category': 'Hard Drives', 'subcategory': 'SAS Drives', 'brand': 'HP', 'sku': '456896-001', 'type': 'Hard Drive'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'Proliant BL40p 1.5X 1P M1 1MB SA5i+ NC7781 ILO', 'subcategory': 'BL40', 'sku': '[293461b21]', 'type': 'Server Component'}""

","""{'title': 'Proliant BL40p 1.5X', 'category': 'Computer Hardware', 'subcategory': 'Servers', 'brand': 'Hewlett Packard (HP)', 'sku': '293461-B21', 'type': 'Server Component'}""

",1
"""{'title': 'Corsair Vengeance LPX 32GB (2x16GB) DDR4 DRAM 3000MHz Memory Kit - CMK32GX4M2B3000C15', 'subcategory': 'Memory_RAM', 'brand': 'Corsair', 'sku': 'CMK32GX4M2B3000C15', 'type': 'RAM'}""

","""{'title': 'Corsair 32GB DDR4 Vengeance LPX 3000MHz Memory Kit 2x16GB', 'category': 'Computer Memory', 'subcategory': 'DDR4 SDRAM', 'brand': 'Corsair', 'sku': 'LN67155 - CMK32GX4M2B3000C15', 'type': 'RAM'}""

",1
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'HP Proliant DL580R G2 (2P) Xeon 2.8GHz Server', 'subcategory': 'DL580R', 'sku': '325134-001', 'type': 'Server'}""

","""{'title': 'HP Proliant BL20p G2 Server', 'category': 'Servers', 'subcategory': 'Xeon Servers', 'brand': 'HP', 'sku': '359623-B21', 'type': 'Server Memory'}""

",0
"""{'brand': '\""HP Enterprise\""', 'title': 'HP, 658071-B21, 500GB 6G SATA 7.2K rpm LFF', 'category': 'Computers_and_Accessories', 'subcategory': 'Hard_Drives', 'sku': '658071-B21', 'type': 'Hard_Drive'}""

","""{'title': 'ST3500630NS HP 500-GB 7.2K 3.5 1.5G SATA Hard Drive', 'category': 'Computer Hardware', 'subcategory': 'Storage Devices', 'brand': 'HP', 'sku': 'ST3500630NS', 'type': 'Hard Drive'}""

",0
"""{'title': 'Ballistix Sport - DDR4 8 GB DIMM 288-pin', 'subcategory': 'RAM', 'brand': 'Crucial', 'sku': 'BLS8G4D240FSA', 'type': 'Memory'}""

","""{'title': 'Ballistix Sport 8GB DDR4 DIMM', 'category': 'Computer Hardware', 'subcategory': 'Memory (RAM)', 'brand': 'Ballistix', 'sku': 'BLS8G4D240FSA', 'type': 'DDR4 UDIMM'}""

",1
