,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,-11383.076,-19026.473,-14205.006,-7517.866,-28329.346,-20292.328,-10202.941,-4267.9,-1802.1176,-10975.855,-27805.781,-11170.982,1604.9163,-6719.9663,-24359.48,-10381.555,-21825.441,-6257.9497,-2627.2073,-4379.805,-25281.406,-11144.896,-16638.707,-5238.0547,-8393.81,-7664.3164,-18972.07,-5452.075,-37692.86,-14383.338,-28734.43,-15992.353,-6380.0176,170.44836,-18452.918,-8203.479,-960.3306,-2346.5928,-58979.33,-18138.816,-66917.12,-15592.436,11969.125,940.31244,-8475.566,-2098.6912,-39867.207,-25.56987,[0],-670872.7
1,-2145.75,-5944.9966,-17372.457,-8494.088,-1718.3784,-3819.7383,-11212.323,-6953.977,-21288.18,-9085.855,-13145.903,-6754.294,-15440.191,-13032.629,-26989.434,-17483.416,-5742.63,-6706.666,-19464.764,-5978.864,-10290.891,-9563.27,-2823.7524,-4313.576,-39691.242,-17975.84,-13164.332,-10702.803,-15201.781,-5981.646,-31350.977,-19958.113,-29735.42,-8755.678,-36310.133,-12528.176,-8641.84,-686.7494,-36117.023,-18273.062,-48794.938,-12288.258,-14455.879,-1736.1246,-9275.18,269.0224,-9069.784,-336.98743,[1],-646529.06
2,-15337.659,-10217.292,-18945.918,-7398.373,-11828.99,-7645.4424,-15974.748,-8581.686,-14122.475,-9732.138,-13821.695,-7095.9697,-18858.744,-11512.522,-19452.232,-10265.788,-12269.711,-6463.576,-18740.566,-9491.227,-10718.124,-6622.223,-13109.912,-6224.4243,-15178.967,-8103.3447,-10790.799,-4742.0186,-21194.941,-7089.681,-22081.531,-14736.706,-14453.493,-6207.083,-4911.364,-1576.8871,1263.2944,-2264.9644,-11142.176,-2669.3118,-22626.973,-5013.6025,-2372.743,-32.346527,-8225.729,-1002.2915,-29034.316,-1633.8789,[2],-500253.38
3,-24122.422,-19758.836,-22169.703,-12378.107,-23258.816,-14542.549,-24215.166,-14583.034,-25599.656,-14100.924,-24073.004,-10944.797,-23418.404,-18851.9,-43529.867,-21347.07,-32936.504,-16665.797,-17716.754,-13032.852,-17112.768,-12534.281,-25648.285,-13816.391,-30616.785,-15685.515,-18675.408,-9414.579,-60554.055,-25191.71,-44352.61,-30564.924,-13463.823,-5376.009,-14632.391,-5941.167,-5620.9487,-4832.0586,-47052.76,-18366.918,-39255.93,-15822.833,-4490.4766,-336.6324,-6937.949,76.03717,-44044.195,-2026.8381,[3],-949538.3
4,-7066.499,-11167.727,-45593.902,-21426.78,-15637.379,-12970.545,-29816.793,-20118.02,-34347.42,-25512.998,-32580.598,-16480.652,-25814.643,-20846.785,-52891.383,-28300.098,-27969.885,-20725.586,-26614.154,-17082.145,-33269.094,-24886.773,-31149.037,-15891.01,-62755.094,-28853.121,-37972.523,-20656.346,-41859.5,-11975.08,-35462.9,-24541.553,-28087.633,-12923.279,-16320.05,-5458.843,775.1988,-956.5682,-30350.83,-9601.502,-19781.297,-6282.865,-3556.0586,-1371.2551,-29651.658,-3701.2588,2914.5747,198.78488,[4],-1026390.5
5,-11156.074,-8423.089,-44249.797,-22106.508,-19006.314,-14257.869,-34490.86,-20645.008,-35765.707,-25554.27,-34461.703,-17594.04,-16155.162,-20729.396,-50259.1,-24354.047,-12683.11,-13040.543,-30207.553,-15751.082,-44152.723,-23494.365,-51047.492,-17600.729,-71932.91,-29224.145,-34371.586,-18010.246,-46660.332,-16365.141,-42490.85,-20973.693,-17983.527,-5191.042,-5069.466,-3147.7012,2109.1968,-3198.1677,-11768.071,-5167.9824,-16996.082,-5519.449,-2841.8074,-342.6369,-55350.03,-6531.2725,-5992.542,-526.79596,[5],-1030732.75
6,-4042.0996,-2979.3875,-9829.91,-5778.9697,-5866.835,-5331.662,-6261.5156,-4765.5,-17511.848,-6622.201,-2889.341,-1196.57,-9387.629,-5096.502,-4008.4287,-3183.528,-7522.457,-1431.5967,-11028.453,-6140.4766,-3509.1528,-4310.6196,1376.3429,-1092.3337,-2397.6013,-3831.3394,-650.26495,-1844.8699,-8052.821,-1737.3748,-4090.8782,-4405.812,-3841.0205,-2424.3018,-4708.115,-2086.836,-2407.2344,-766.8688,8197.035,-868.8989,-7127.991,-4427.3784,-3623.861,-68.82701,-10063.383,-768.2156,1258.1577,-866.2447,[6],-190015.62
7,-1323.6862,-422.66638,-21325.451,-9088.965,9321.492,2614.245,3404.5813,3271.201,-5739.625,-702.0575,-483.3151,-3344.6921,-576.1996,46.717346,898.1775,-2173.2888,219.49829,-3538.947,614.34064,-2580.42,-14508.672,-5522.2905,-4769.4272,-1026.752,-4788.6143,-3502.0042,-159.29382,-2686.1975,-3884.1396,-7392.8203,1954.5702,-3981.0044,-13132.233,-9323.553,-9507.182,-245.0299,-2591.651,-3621.6099,-4907.207,-4948.461,-17675.94,-2829.3403,-536.173,-214.05804,-19795.547,-3064.905,-6354.168,-366.4442,[7],-180289.22
8,-66551.625,-58793.926,-77561.97,-29370.014,-69532.56,-42040.266,-42072.367,-25338.031,-11685.479,-27915.252,-56387.133,-21212.227,1776.6104,-21357.395,-78740.92,-38673.473,-36256.83,-15114.144,-13616.68,-11417.232,-34068.703,-22432.898,-58571.184,-19651.602,-9930.508,-12369.722,-49030.65,-18659.941,-72801.22,-26673.59,-66404.766,-36297.598,-21922.113,-2028.7811,-41880.227,-15202.091,-8792.152,-1376.1088,-84531.38,-23292.441,-65687.59,-16538.395,-7408.297,-101.64119,-6405.3906,-179.80832,-9866.069,-1303.7684,[8],-1475269.6
9,4330.182,1338.1477,-17075.922,-8744.767,1776.0914,434.71887,-14502.717,-8261.303,-19479.908,-5900.662,-8670.504,-5037.361,-12165.8125,-6007.624,-14671.305,-7804.446,-5933.3086,-7869.0234,-18756.617,-8729.027,-12980.501,-8077.591,-9862.501,-6735.692,-15192.021,-9377.632,-3956.474,-6074.549,-23143.387,-10458.273,-16562.625,-19145.566,-16737.836,-9369.216,-8620.75,-4831.624,5579.247,-1528.2424,-10943.944,-9678.979,-45332.63,-10958.731,-5838.806,-419.91693,-32061.527,-5731.9224,-10581.9,-819.5629,[9],-471174.3
