,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,-11225.203,-18911.434,-14321.222,-7623.4927,-28515.78,-20354.562,-10240.425,-4262.493,-1686.84,-10996.928,-27757.557,-11220.926,1562.8257,-6728.4116,-24247.213,-10300.166,-21873.764,-6251.152,-2622.2402,-4364.302,-25141.656,-11099.292,-16635.066,-5241.759,-8397.355,-7669.7075,-18952.809,-5461.169,-37694.875,-14392.363,-28733.688,-15993.443,-6375.232,173.68994,-18474.777,-8212.377,-966.5442,-2349.6843,-58981.22,-18138.314,-66916.516,-15592.314,11968.817,940.31085,-8475.625,-2098.6973,-39867.21,-25.569794,[0],-670745.6
1,-2166.9097,-6049.4844,-17251.049,-8501.287,-1899.1946,-3938.2837,-11160.559,-6934.4336,-21468.646,-9143.889,-13018.962,-6701.6035,-15280.747,-13009.95,-27116.262,-17569.758,-5857.557,-6684.206,-19421.986,-5981.563,-10221.08,-9545.056,-2802.495,-4289.048,-39676.973,-17966.684,-13116.359,-10691.488,-15189.75,-5971.6514,-31358.186,-19960.844,-29730.71,-8753.856,-36316.867,-12534.264,-8641.41,-682.5845,-36142.61,-18279.336,-48794.156,-12288.695,-14455.394,-1736.2933,-9275.211,269.0237,-9069.785,-336.98773,[1],-646715.1
2,-15549.335,-10313.424,-18912.906,-7410.036,-12133.263,-7777.658,-16055.659,-8610.721,-14302.967,-9799.014,-13811.746,-7078.6064,-19000.871,-11557.936,-19515.16,-10282.93,-12367.559,-6462.674,-18742.055,-9491.057,-10669.186,-6609.824,-13099.461,-6205.9307,-15179.885,-8106.7764,-10786.326,-4743.6855,-21183.904,-7088.4336,-22079.365,-14736.548,-14453.487,-6206.5405,-4909.606,-1577.5299,1263.9182,-2264.4912,-11142.408,-2669.3486,-22626.277,-5013.493,-2372.5898,-32.31494,-8225.74,-1002.2917,-29034.316,-1633.8782,[2],-501565.3
3,-24068.535,-19739.367,-22051.879,-12323.149,-23191.398,-14564.465,-24116.664,-14573.254,-25449.29,-14078.276,-23967.043,-10945.375,-23452.344,-18877.734,-43525.016,-21354.508,-33131.312,-16662.3,-17742.66,-13045.009,-17090.273,-12505.371,-25654.453,-13817.029,-30628.396,-15688.27,-18666.504,-9407.912,-60555.934,-25194.145,-44356.31,-30566.709,-13464.701,-5376.57,-14632.5,-5942.417,-5621.256,-4832.2217,-47054.375,-18366.895,-39255.67,-15822.814,-4490.607,-336.64624,-6937.89,76.06589,-44044.203,-2026.8381,[3],-949120.4
4,-7199.568,-11372.408,-45249.36,-21323.502,-15890.563,-13088.979,-29994.693,-20190.836,-34430.22,-25600.828,-32812.543,-16535.395,-26200.727,-20856.643,-52945.316,-28355.736,-28179.094,-20740.162,-26863.266,-17249.99,-33320.5,-24867.54,-31202.605,-15875.307,-62742.72,-28850.684,-37936.805,-20647.703,-41865.29,-11976.863,-35470.29,-24542.75,-28083.797,-12923.909,-16323.152,-5459.5474,775.3609,-956.4681,-30351.637,-9601.156,-19781.404,-6282.8555,-3556.1973,-1371.2855,-29651.63,-3701.3066,2914.5752,198.78485,[4],-1028534.7
5,-11562.687,-8501.473,-44258.41,-22093.781,-19179.34,-14349.996,-34541.02,-20727.988,-35851.906,-25655.918,-34774.65,-17667.553,-16008.692,-20674.816,-50115.367,-24289.078,-12695.702,-13029.24,-30165.88,-15736.615,-44156.438,-23493.871,-50997.29,-17581.15,-71927.14,-29215.898,-34368.992,-18005.652,-46676.375,-16367.693,-42491.71,-20972.035,-17984.92,-5191.911,-5069.211,-3149.2031,2108.4158,-3198.2124,-11768.612,-5168.0176,-16996.24,-5519.486,-2841.6362,-342.65778,-55349.86,-6531.276,-5992.542,-526.79596,[5],-1031656.5
6,-4144.814,-3045.7654,-9839.559,-5780.5957,-5783.8076,-5296.4746,-6200.5015,-4774.67,-17469.0,-6630.8535,-2918.3418,-1212.4895,-9342.814,-5106.913,-3831.5693,-3114.5098,-7453.483,-1398.798,-11018.549,-6146.766,-3552.943,-4321.1514,1370.2495,-1099.4346,-2398.6533,-3828.3223,-667.1444,-1858.4596,-8046.7104,-1734.1549,-4089.8408,-4406.3613,-3844.4111,-2425.0532,-4710.843,-2087.8408,-2406.9585,-766.85864,8197.108,-868.9795,-7127.9473,-4427.595,-3623.798,-68.84932,-10063.51,-768.2216,1258.1573,-866.2446,[6],-189745.03
7,-1460.78,-440.1449,-21355.7,-9139.646,9349.005,2595.9285,3401.4487,3243.9604,-5762.833,-731.666,-424.65262,-3319.3008,-538.151,47.371704,899.7898,-2181.9668,203.30591,-3442.892,570.2025,-2599.9202,-14532.25,-5536.547,-4762.3125,-1017.97473,-4804.5645,-3512.1655,-156.67926,-2688.428,-3891.0366,-7398.795,1956.4819,-3979.5889,-13132.454,-9323.825,-9504.16,-243.83615,-2591.1992,-3621.1,-4907.073,-4948.3896,-17675.828,-2829.3904,-536.5099,-214.04156,-19795.535,-3064.9045,-6354.1694,-366.44427,[7],-180519.36
8,-66656.58,-58820.77,-77731.016,-29330.348,-69315.66,-42003.074,-41737.61,-25247.416,-11741.353,-27989.898,-56386.89,-21219.625,1816.646,-21425.586,-78519.77,-38652.29,-36383.5,-15183.241,-13607.186,-11430.996,-34106.08,-22432.492,-58570.387,-19656.26,-9933.708,-12359.757,-49002.523,-18657.707,-72789.29,-26672.799,-66409.03,-36298.555,-21921.273,-2029.6948,-41878.54,-15202.793,-8791.86,-1376.4363,-84533.9,-23292.36,-65686.94,-16538.293,-7408.2773,-101.524445,-6405.491,-179.8147,-9866.069,-1303.7686,[8],-1474971.5
9,4327.4204,1359.5269,-17060.16,-8710.816,1763.7504,408.05408,-14475.858,-8244.18,-19431.477,-5856.717,-8690.176,-5045.0156,-12181.807,-6000.788,-14654.579,-7807.217,-5917.9883,-7865.698,-18758.977,-8735.134,-12985.203,-8083.0503,-9863.788,-6736.934,-15190.452,-9376.588,-3959.3281,-6075.714,-23142.521,-10457.98,-16564.008,-19147.709,-16737.137,-9369.707,-8623.471,-4832.249,5579.815,-1527.4165,-10944.426,-9679.234,-45332.707,-10959.348,-5838.79,-419.87494,-32061.574,-5731.959,-10581.901,-819.56287,[9],-471040.66
