,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,-1353.8564,-946.57367,676.37805,581.5518,107.596924,206.19437,163.94266,49.47934,-1577.4971,387.07446,157.854,-60.760155,-1504.9236,-1505.5376,-404.7896,-1363.0872,380.47815,-335.15952,-44.462418,-285.34808,-684.743,-28.996689,-490.38416,39.567627,258.17,62.94841,-909.4178,-1157.2059,-841.56683,-587.867,-740.52136,-1394.8208,21.494492,-69.52964,38.561344,-1570.9031,-2770.6846,-2939.909,164.7038,310.70718,-1277.8547,-39.227097,-129.48862,95.03162,-516.52795,-300.19678,627.54724,793.8434,[0],-20708.719
1,-1762.1526,-1866.4774,2296.9653,753.002,1299.0391,-30.474686,3769.9614,1350.2991,-914.6046,-1715.1853,-1481.6086,-1222.388,-2821.5898,-2276.7021,-2966.1184,-1036.6799,743.55225,-3161.8745,-722.9246,-1349.9282,-476.281,147.20511,-517.99115,279.2152,-5.521866,-56.602417,-1904.2128,-1643.8507,-923.41766,129.72064,-864.11523,-9.030411,-77.255775,-78.371796,815.61176,-2273.557,-3486.1067,-3680.9375,206.48434,1412.2283,-732.9856,403.44125,966.25775,-364.99713,-507.6937,-222.95863,1003.86426,1218.2572,[1],-24359.492
2,-45999.824,-69735.14,-61608.03,-54362.79,-62336.87,-56839.504,-59657.086,-51137.117,-61381.23,-64511.71,-43845.61,-45072.934,-42476.08,-45760.387,-62296.773,-41765.004,-42441.645,-44784.883,-35892.64,-41287.71,-53820.344,-42842.047,-41905.95,-39467.54,-38070.176,-41468.5,-60984.637,-50925.65,-66280.82,-42591.35,-78473.71,-67161.625,-71902.99,-54739.14,-77167.234,-73917.9,-42888.1,-47983.48,-74634.07,-58483.727,-68581.17,-17039.723,-71260.57,-58771.277,-57805.945,-47863.85,-50984.93,-7541.4805,[2],-2538751.0
3,-63862.207,-85932.56,-52099.832,-55638.938,-74409.164,-61221.367,-60996.797,-52602.293,-74017.08,-66115.75,-56399.95,-56573.77,-47146.23,-46798.39,-72964.93,-48124.355,-56493.234,-49391.78,-39263.863,-41130.18,-47842.992,-42245.938,-43159.598,-37957.273,-48179.348,-44096.305,-64437.17,-53005.82,-85064.47,-48782.21,-106770.29,-65140.418,-93338.414,-65913.08,-76569.95,-79554.11,-53700.03,-60174.395,-74008.11,-65605.53,-89515.48,-19190.416,-77028.91,-56925.88,-62634.695,-46064.137,-45272.277,-8157.788,[3],-2821518.0
4,-1313.2386,-574.2405,-432.31476,402.33102,-1301.4714,-436.9917,723.96027,-96.12931,1129.0934,757.8262,-453.8674,-985.5534,-1836.2859,-648.8094,320.17664,368.64832,1497.0182,-307.54877,-1882.6202,-2460.9658,-591.15686,-146.83441,1866.1755,2407.666,-63.967506,-936.86926,832.6311,357.97064,-543.3146,-1250.6943,-539.3684,-1719.5669,122.91727,32.220184,-414.71356,-1205.325,-1115.2275,-1301.3765,482.68182,900.6399,313.1045,-8.787437,-390.5547,338.7348,-270.3327,116.16044,238.6614,651.5226,[4],-9367.987
5,760.97107,-732.74835,3250.163,1413.5806,3308.7832,3102.5608,622.9643,-122.75531,-1139.7709,625.8383,415.1303,10.857361,-2578.4941,-2911.664,-837.7759,52.415405,-2211.2195,-1614.2021,-99.94597,-665.8495,-482.24585,-532.2155,-857.7318,980.6035,442.9774,421.34607,-1181.407,250.78406,-595.1576,-803.6169,-917.7049,-2066.8691,913.62476,-143.0917,-275.2163,-2048.4329,-3598.6099,-2766.8066,-380.98795,14.098801,985.2995,363.10303,-459.81458,597.895,-193.85739,236.10129,372.0426,714.3981,[5],-10362.652
6,-150.37578,-406.04623,109.15056,-0.6367035,-258.80347,-39.630276,-208.65543,-161.31555,-149.82175,133.43994,-292.38876,-318.33734,-772.35535,-871.04846,-244.37068,-506.3424,-202.92369,-261.6955,-165.8508,-76.733246,-445.9581,-393.61432,-622.5491,-56.895676,-20.581722,-162.85461,-534.87854,-134.11351,-288.2813,-743.7741,-444.30203,-1068.6934,-59.04483,-85.17083,-406.2164,-651.0022,-1267.7605,-1039.1027,-182.73865,-120.6573,124.99981,-125.33124,-656.85693,-31.172523,-333.38217,-155.05714,-154.74387,-90.06378,[6],-14994.537
7,-105.079025,-388.41235,-100.215744,-109.50345,50.378803,4.162615,-230.28741,-25.652132,-484.0053,-132.2373,-425.44,-382.1565,-887.94275,-975.1725,-240.24646,-238.62125,-747.18744,-522.77454,-220.37997,-158.30391,-578.6315,-252.10466,-244.27832,124.75822,-257.81818,-224.12431,-37.43824,79.15689,-401.10394,-592.9041,-536.1914,-660.38684,-364.95905,-167.73637,-213.35939,-394.29254,-965.2422,-761.2614,-254.06105,-58.00392,215.03613,-53.61844,-705.3152,-55.94618,-331.8722,-126.31107,-61.398083,-25.647198,[7],-14224.133
8,-45577.17,-62475.82,-32813.133,-47201.89,-60181.812,-58462.914,-42545.6,-33435.43,-35121.652,-51536.938,-33702.625,-35414.418,-34293.223,-41501.234,-49821.67,-37726.164,-44501.65,-31966.316,-31834.748,-29537.207,-21830.135,-30269.484,-23676.195,-26700.34,-31054.137,-31165.633,-53813.316,-45340.35,-54104.72,-39560.207,-56360.15,-49956.574,-68360.34,-46149.65,-44537.72,-53893.086,-38896.523,-44206.727,-44266.895,-54013.82,-60803.902,-13802.95,-47222.117,-41375.96,-50916.61,-42022.32,-36061.965,-6033.725,[8],-1996047.6
9,-30058.715,-35775.61,-17103.455,-20013.879,-20854.695,-17929.27,-27577.773,-18961.5,-28029.285,-26749.334,-21956.791,-21343.053,-18915.791,-21997.355,-34805.375,-19365.96,-21711.727,-18565.031,-13898.089,-12724.217,-29646.121,-22894.49,-20487.19,-16183.766,-19561.887,-16791.64,-20324.94,-18889.857,-37834.867,-17988.41,-49827.914,-30518.094,-40127.465,-30109.293,-34135.195,-33820.336,-25108.379,-24476.209,-34086.59,-21393.71,-37692.035,-7984.766,-36089.86,-25930.203,-22588.729,-11134.907,-22722.334,-3708.4292,[9],-1160394.5
10,-2709.674,-1035.2379,3306.9497,1022.2164,1934.9817,329.67188,5027.202,1205.1033,-1731.385,-318.59995,-1756.2092,-1169.0121,-3673.416,-2437.3452,-5461.8174,-2066.6636,2036.9725,-4024.24,-99.91272,-1317.2861,-315.46332,668.01154,791.7551,1186.7712,-423.46463,-751.37683,-1623.3429,-804.228,-1521.6154,-900.5352,-1147.9954,-29.699406,161.15967,306.80127,794.6991,-1861.2236,-4242.3896,-4954.396,1148.0177,2662.8403,-1219.1696,7.3520203,1753.2239,23.639252,-367.61523,-241.21802,1684.2482,1173.489,[10],-20979.432
11,-9631.906,-10465.907,-2303.5369,-3404.464,-2025.154,438.45947,-4636.451,-978.8354,-5484.593,-3318.5308,-4370.1133,-3631.289,-5484.546,-5274.654,-5751.521,-6475.7544,-9677.412,-6371.8853,-3348.0813,-4137.3564,-9019.701,-8781.604,-12776.33,-4480.7744,-4488.1104,-3432.4448,-8845.448,-6145.793,-8170.83,-3553.3691,-10956.807,-6104.544,-10927.951,-7655.798,-7468.433,-9059.475,-13502.639,-13376.4795,-9800.55,-5316.3037,-8813.799,-1980.2518,-6622.146,-7546.6865,-6721.4688,-2159.2456,-7682.249,-322.36255,[11],-302045.2
12,-2940.3408,-3919.819,-2964.1328,-1352.5472,-1991.0049,-1578.5203,367.8701,-975.18164,-1140.2756,-1942.2926,-312.7116,-884.68427,-5251.007,-3227.2373,2251.162,1366.2894,3372.4705,-1863.3447,-4688.8438,-5522.977,-6895.4014,-2625.3518,567.58563,1801.4423,442.11627,-2552.979,-457.6072,-765.08795,-3091.3984,-1676.4921,-1806.298,-2881.729,-3285.15,-1131.7517,-2827.774,-3138.834,1006.7351,-1485.7095,-181.69012,736.6251,-1413.007,-556.30334,-5907.6504,-1859.6819,-5056.124,-1983.3698,-1598.8394,734.60004,[12],-81086.25
13,119.68448,-342.90326,262.20215,-92.54405,54.560234,55.32567,337.25922,-102.58491,-486.24698,262.14276,347.3874,388.53925,-1257.8427,-902.3644,-332.96045,-891.1676,34.73114,-446.49908,-235.7804,-502.14624,-917.75183,-240.62074,-104.892746,270.44086,-36.98017,-402.94437,-29.605083,-86.08356,-519.03186,-823.1361,-527.77466,-1029.6805,150.9187,-111.5211,-416.36618,-835.5282,-1343.9409,-807.4098,5.6579876,142.6394,399.03165,34.191807,-562.52527,70.63571,-419.01453,-12.924128,187.70615,304.13397,[13],-11393.583
