,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,841.80786,224.54443,1021.7956,1011.96936,1112.1165,-96.194176,-1145.0092,-514.3452,1534.8787,-233.45764,-557.527,322.9104,-1904.185,-757.3787,1470.5763,-426.8013,1833.1554,170.53242,-2310.42,-899.9066,-141.28725,1013.36365,-992.5444,-544.1012,-738.2196,-184.19946,-1821.5421,-363.43713,-4746.4453,-806.32007,1422.4738,1176.9148,1540.4766,107.97751,-545.47266,-290.4322,-1802.2524,-296.81818,2951.625,-489.98334,-532.6628,-76.37613,1338.6141,-44.30067,-6561.5576,-921.68994,-7611.8384,-1473.2479,[0],-20734.22
1,-538.39716,-476.18292,-625.79126,-203.18227,-314.79724,-159.42389,-841.01587,-379.10492,-359.14923,-211.39684,-616.7987,-516.12805,63.69137,-176.77278,-845.40466,-164.90689,-323.0869,-420.4989,-463.37424,-342.87292,-821.24603,-514.42786,-530.7047,-567.64954,-327.35577,-679.4221,-575.27985,-370.0325,-1359.6248,-362.62708,-654.54626,-595.76117,-2914.7402,-459.91217,61.215183,-140.14828,-361.04587,303.421,-280.40186,19.915016,-708.3893,-151.74654,-74.65917,18.11375,883.94946,81.90552,-927.3419,-112.03329,[1],-20035.168
2,1256.2852,725.50006,654.1986,-1222.2207,-2567.4407,-1389.8961,-875.7383,-95.665,-2521.2104,-2011.6415,-3219.1113,-1616.7605,-378.48428,-160.6692,-617.3506,-2086.3237,1616.8739,-1842.7871,159.5285,-1273.0046,-1521.3164,-1914.1309,-3537.7922,-5375.2827,-2546.4644,-4034.291,-1382.6893,-1304.1862,-9375.384,-2949.037,-4327.573,-2507.7017,-3093.296,-1718.9948,1274.9703,-1195.509,-1263.0161,-436.1686,-2699.06,-2202.9053,6101.9385,-315.1042,-518.37335,-793.4297,1273.2682,289.34814,-5133.4517,-417.25006,[2],-69088.805
3,-713.05914,-331.77228,1191.0829,253.33545,-1105.6213,-650.09155,-2005.0988,-645.5093,-1862.3225,-1073.5896,-1906.9172,-1025.7499,-857.02844,-614.9133,1546.6185,-227.00299,461.1105,-755.5073,463.0033,-17.023273,-287.61383,-572.32385,-1270.1921,-1762.2101,-361.18454,-1319.0918,-1239.4752,-911.9264,-9393.577,-2519.7075,-464.05725,-356.90936,-2864.824,-393.17474,1453.2703,-513.6614,-782.78467,-80.50173,-729.7137,-203.63956,2290.119,-457.7719,1.1165352,-235.49333,314.07416,-258.66937,-1725.8414,-103.68108,[3],-34625.496
4,110.72299,-1183.0409,-1755.1304,-1426.6714,-4943.8857,-2367.1667,-5088.339,-1657.1445,-2188.9822,-969.8177,-466.9867,-1473.1444,1289.0675,-1760.8066,-10447.4375,-1754.7991,-3991.1543,-2459.2349,-3283.9775,-2361.4534,9821.885,-999.6287,-5483.38,-4586.6123,201.44885,-3232.4644,-760.1498,-1915.2075,-2773.2922,-635.9508,-10128.818,-6230.316,-19549.186,-4181.1284,-168.79282,408.90277,-926.07104,-633.1121,-1892.793,-355.50137,9543.217,-927.66046,-251.36046,-144.35329,6366.321,-928.52356,-3234.5132,-956.05286,[4],-92732.46
5,-4567.4053,-1944.3926,415.4098,-174.36124,-853.7587,-1011.23846,-5190.6196,-3819.5532,-2882.1643,-2687.36,-3499.317,-3342.1917,-4563.5312,-5144.4443,-4853.908,-2224.952,-1852.2201,-1644.9962,2773.5232,1055.7926,3034.8262,-693.6371,-5216.8164,-3304.6172,2292.9626,-3393.4536,-6261.2393,-5669.5757,-13053.032,-3249.3643,-4289.6406,-5375.1665,-60988.383,-7502.374,903.2203,-914.82117,-1625.72,-677.0278,3941.0308,-3691.3928,-3445.9155,-3486.898,1789.4822,229.34145,6479.3994,-1740.237,-11371.193,-1403.6471,[5],-174695.55
6,-2267.5098,-396.65176,-4206.1025,-1913.3708,911.72974,169.13243,5376.7666,1300.1659,-3190.2883,-1262.4009,-5462.581,-3333.1992,3478.8662,1918.2261,-3620.8447,-694.4371,7416.229,-479.12207,-2024.0066,-1329.755,-3692.7612,-734.8842,1089.3492,193.66084,-2376.22,-2298.9604,-888.07227,-941.7719,-6202.835,-1177.798,-925.13245,-845.837,-13457.464,-3730.8442,794.40497,-85.50019,-440.5008,-127.993866,1279.7224,204.02245,3118.5952,-651.2686,327.39423,262.30078,14060.311,1998.1633,-69.45449,-512.90936,[6],-25441.438
7,2297.7356,4651.1836,-3867.7314,2574.247,-5669.3926,-658.01953,-1191.4548,-708.1734,-9729.551,-4434.3203,10660.562,5340.8496,-400.6363,1293.4336,-5493.3496,-5432.797,-424.93903,802.8956,-9930.0625,-3325.4138,-11299.906,-3049.5422,1101.2872,2074.5234,-3366.0317,-1070.0056,-3547.864,-1714.8539,4616.836,1831.977,1345.8342,1999.5686,-22116.637,-2243.7002,39.58069,424.8125,-3391.0286,-3261.3442,2876.4995,-1987.1892,-3507.3,-1248.3763,-1284.4308,-2448.5894,-5590.6934,-1014.0156,-3389.233,-230.25223,[7],-83094.99
8,8182.399,3227.7886,-3206.4226,563.3965,-771.65027,-389.50366,-6442.7036,-2828.7305,-850.9783,-1458.6075,-1235.2357,-740.42554,1421.9569,465.1191,-3958.9788,-3095.8862,-952.8853,-103.201965,-2758.117,-1478.062,68.8736,-1355.7234,836.1435,725.26556,-3378.3535,-890.80084,-757.36633,-3124.2053,-41.049454,-349.63565,2263.5842,2112.0571,-17407.336,-3001.8352,-2899.8784,-253.9739,-2557.438,-56.32274,-1885.293,-381.732,2009.255,72.236664,-444.96283,-350.8805,-2047.8115,-1008.05725,-8299.9375,-1222.2634,[8],-60038.168
9,667.6072,771.41595,1095.2229,264.63794,113.81178,-82.877686,-27.598923,-144.36034,159.12546,27.329132,-824.35956,-430.97443,-193.37968,-243.63539,152.14642,-380.11298,1000.8582,-76.86757,644.5205,-102.22806,-400.91498,-84.81064,-341.88852,-560.3906,-869.04675,-650.3327,-110.12205,-487.4753,-2365.809,-480.97327,147.34183,37.82529,-288.66125,-119.41846,-462.8142,-171.65564,-554.33527,-233.9943,-765.7326,-142.8387,-380.05927,-155.29709,-146.11006,-47.26223,121.631165,-154.32141,-1125.8383,-413.0309,[9],-8816.054
