,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,-957.0873,1979.6516,-8536.885,-336.88562,-100.94464,246.34407,596.0604,1089.8569,1034.0074,1845.4329,-6066.505,-373.164,-65.32489,297.66373,2187.0325,2557.6282,-2222.1423,-47.209717,6368.61,3606.6836,2200.9,-444.17383,6264.4766,1221.6912,1536.0851,-2496.105,2243.7922,-683.8778,-4520.3994,-1703.4832,6199.6606,1937.5857,92.699814,-1014.2327,-9577.547,-4730.268,-1544.5459,-1700.5713,-3007.2812,-1930.9485,-1251.9069,-3096.012,-1048.3289,43.289917,-389.50293,-149.40143,1594.1423,150.6602,[0],-12700.781
1,-619.89813,-255.82553,-48.571915,-130.98236,-44.206993,-1.7872314,-44.79825,-160.39755,-538.8906,-274.74548,-886.4686,-330.7228,9.902491,21.262236,-610.3104,-204.25317,-28.486275,91.766045,57.147472,-31.328005,-169.26242,-298.51022,-257.6772,-64.94313,-62.39196,-388.75546,163.8136,-126.60768,-469.9496,-171.74693,620.43933,71.05179,183.2129,-461.23178,-245.02652,113.41981,32.88275,47.92376,-566.15405,-229.22177,127.221085,80.16985,-134.57657,-78.23284,28.098343,-11.497566,-620.6463,-131.68855,[1],-7051.483
2,3570.35,-3160.227,17711.656,4287.7227,-3221.6772,-5752.495,-7616.5615,-1350.6366,-7775.208,-4977.3916,12770.827,-780.7733,-11497.919,-13149.581,-5800.104,-11088.842,1761.2666,5078.911,-38619.344,-26455.654,-12105.768,493.28687,-3984.372,-1550.834,-3489.1245,-2505.4653,-3396.5784,131.05011,6117.6855,-1690.394,1971.7327,-8828.033,8060.195,4533.4424,-6493.113,810.0647,713.04004,50.879887,2042.3477,731.3707,-6562.154,-203.25497,-4978.2036,2262.9353,-433.90112,-1217.5063,-17806.332,-3914.3442,[2],-147307.03
3,7998.551,2814.5527,5797.4277,-2209.9954,-2340.8684,-3225.3428,-1876.8798,-1984.0431,4551.517,2479.8225,-1918.2876,-3662.4788,-4888.642,-2634.2283,-7114.827,-8313.614,-919.35834,-4765.1406,402.33893,-2968.5303,8259.84,-3906.2354,271.86462,-3484.2988,-486.74417,-7773.9146,6508.109,-4730.027,-92.51752,-2144.9268,8814.546,-4192.6514,-678.1498,-9124.174,3695.7637,-6131.686,-2566.6929,-2442.542,-6191.394,-8284.151,4712.425,-573.68225,1319.6294,2146.88,5519.854,-128.06848,56692.42,3753.7637,[3],13985.213
4,-2051.7725,-456.7485,210.73105,366.29636,-865.4495,191.29599,-569.03235,-446.52496,-2062.2803,-1227.0859,-2373.2476,-494.336,-916.4929,150.23193,3211.9685,568.7001,-107.95447,340.16992,-2622.262,-545.0636,718.1327,-1220.591,-764.2112,-1115.1874,-843.5545,-2015.6283,1046.0623,-734.2953,-817.9319,-1580.8047,-898.8354,-531.14905,-1819.8701,-12092.086,-630.87616,0.3834076,877.2866,350.73688,-881.4017,-328.36072,-749.6726,-301.2721,72.656204,204.29509,-501.5134,-245.27896,-1741.4102,-686.81775,[4],-36930.043
5,1036.8176,-693.2028,1141.9292,-881.50665,-786.9458,240.53215,2380.3477,-2143.5906,7510.671,5065.2485,-273.7095,-851.56946,-1277.4873,-1646.603,4252.8286,-2876.9905,-4610.3164,-662.92395,-6958.235,-6359.4775,-110.66404,-1200.88,-936.22516,-698.4435,-3795.606,-1915.0347,-103.93441,-2729.1726,-2053.1067,-1714.464,809.56165,1348.7681,-7685.337,-10733.32,-1750.5947,-156.09198,-1743.8071,-1736.0293,-1552.0159,-673.5969,1564.8022,448.13147,-4394.0845,-3340.412,-1242.3933,-464.4238,-20215.426,-8576.27,[5],-83744.266
6,-5543.2183,431.88544,-3423.144,1466.0378,-5998.6147,-2444.4114,-1135.7561,-4146.635,-7833.14,-3816.7834,-6000.5054,-6328.1973,3735.4324,-3263.0352,5658.9277,-1619.0059,-7129.5166,-2577.726,-5001.4863,-7274.1743,460.97168,1148.7543,1336.5557,974.649,1058.5193,-1359.189,-2129.5186,-3030.1992,4378.8477,1867.2063,13755.404,-5529.2026,-6208.1553,-11412.008,14503.584,1744.0071,-9851.74,-125.22278,17300.045,7301.706,9604.003,5519.494,1380.5972,2471.1777,19678.95,755.23,9120.434,-2521.9287,[6],9949.907
7,-1918.3624,-2637.1392,-1628.3617,656.5354,-1623.433,-457.21823,-1898.1407,-189.60263,3049.0989,2246.0154,-1796.3091,-55.880127,-1882.8716,-235.64227,3238.2983,385.9854,1428.8915,-200.38037,481.22675,-171.45221,-416.08435,-1575.9314,-963.1394,-558.0966,-949.5081,-2271.8467,25.84082,-1133.2991,-6968.8145,-2533.1902,523.8027,-171.81714,382.5577,-1899.907,982.1255,483.58044,340.3247,329.06982,-1431.8892,-344.9705,1196.3561,-342.56635,-392.37567,-163.41557,-149.28989,-394.2784,-1148.6416,124.959724,[7],-22629.186
8,-7128.985,-3598.3489,10127.016,-695.18835,528.3559,310.0586,802.78455,-816.7621,-7338.9565,-4641.165,2469.4907,-6803.3154,1940.2456,-6838.216,4265.284,-1430.6732,1899.6274,-1289.1365,-18269.426,-17298.656,2552.2603,1696.5132,-11162.093,-2955.2607,1154.3251,1247.6482,-449.63574,-4103.681,12106.395,910.1726,-1537.5659,-8711.875,-14798.684,-12132.614,47452.797,6312.8677,-7646.7417,781.39825,17543.965,10915.607,22230.64,2362.1086,-7814.8413,-2876.4136,3903.105,-4775.002,-47269.785,-13927.699,[8],-62798.066
9,1262.242,-2244.7366,811.4976,331.77026,-1920.5654,-57.309196,943.2805,1151.297,1985.7584,2207.249,-2609.468,493.16397,-1600.171,-1181.879,5440.727,2871.7324,-1488.5088,1.1420593,-1341.3877,-1453.6719,1723.8228,-1179.7722,-3781.8298,-1562.9384,687.03204,-4119.9297,-556.5487,-2070.7078,-2750.343,-1649.8674,5290.1475,4027.3525,2084.9277,-2257.316,1794.8463,-984.0676,-286.13464,-9.505783,-3915.0137,-3040.052,6783.657,1327.7118,1687.2781,-194.23056,239.5769,-66.09993,981.4127,-283.76776,[9],1521.803
