,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,2925.7683,-3412.175,3571.6782,1367.1864,3092.1816,1223.0453,-2222.4395,-3243.76,-2671.731,-1044.511,-145.09814,685.81665,1679.482,214.60501,1798.3303,110.64685,-16726.055,3056.7554,-3515.6255,985.39557,-11495.668,1918.584,-5106.1885,1427.1558,2746.711,-211.47903,4481.0107,760.8456,-12810.734,-1413.8889,107.227905,221.98877,-46232.406,231.83008,-1820.3855,-739.6172,-1106.0254,-4528.9473,1197.4711,185.97534,17108.168,-9750.642,-7679.843,-876.3844,-45868.332,-4117.1187,-41439.617,-6183.2,[0],-183264.02
1,-23.154875,15.491965,111.83764,-6.43344,-23.436855,-3.2447999,-67.1647,-13.104805,-64.36072,-35.63642,-15.332153,10.17897,3.0363846,-13.573555,-126.182465,-8.267178,-13.013184,53.22433,-25.952389,-101.22267,-161.83554,-104.626236,-247.23007,-73.572975,-271.33685,-48.061756,271.58832,29.535164,-1144.077,-346.02997,-141.348,-3.2052732,-37.630608,34.81273,-151.75858,-56.45014,-93.43848,-62.02832,-57.96309,-46.037678,-593.1649,2.3638077,-36.96376,-9.667893,-275.503,-50.247364,-308.73242,-42.204407,[1],-4371.1255
2,-100.36546,11.61668,7.34203,19.969017,-18.82439,-6.9482536,-74.1244,-6.4492407,-215.38141,-58.655056,-93.83541,-50.69515,-174.86688,-87.13082,-64.94325,-20.817783,-71.102844,-0.88720393,-10.316793,33.073246,-229.97168,-28.268648,-148.68971,-52.651253,-182.26132,-45.65427,59.10546,-0.14246368,-331.30786,-88.64015,-159.24365,-35.63894,-68.974655,14.882479,-61.371407,-34.36451,-49.90409,-43.95189,-62.557854,-24.057106,-117.23371,-4.6293344,8.265486,6.9382296,-72.84138,-1.7947202,-38.665653,-11.147286,[2],-2788.115
3,-98.84021,-49.83,-32.105377,-9.0636425,1.0406852,0.32603455,13.281502,12.181692,-61.331573,-20.124748,-42.931133,-16.602848,-32.94913,-6.451998,-46.465775,2.8649817,13.075819,24.436848,11.069935,18.959217,-108.81955,-24.233067,-59.727585,-17.522156,-40.601246,-8.8397255,-19.186062,-7.301755,-101.17523,-31.549057,-60.850685,-19.940393,10.494167,0.36998934,-17.1313,-23.531069,-9.639686,-13.0180855,-57.071056,-8.480839,-143.69156,6.7929096,19.966301,7.604328,-7.8815804,5.7826347,-45.77286,-0.24965906,[3],-1094.6635
4,-6872.851,-2052.5583,-3820.6035,-1709.5022,-1193.5032,-121.29842,-1830.5353,-86.393616,-352.99588,-265.97153,-2867.9377,-774.7398,-1053.6869,-183.43372,-5725.8076,-228.05325,-83.55119,-164.09196,-169.68687,-1457.6796,-1683.6993,53.31894,-1430.4016,-1984.495,-841.4573,-172.88327,-3840.2017,261.5921,-4959.768,-1860.146,419.11444,27.639687,-813.75366,-438.33826,-18763.582,-4470.8193,-1526.0675,-900.2598,-576.339,831.05164,-10290.495,1386.7102,-981.7617,-8.433853,-8178.1064,-894.2772,340.7129,175.04166,[4],-92134.99
5,620.6431,516.7485,-1063.7488,437.80667,363.54788,203.60599,1605.7562,479.06494,-1600.5349,-595.9391,-504.68695,67.702065,-550.3627,53.508835,-1093.641,80.00543,1506.7808,1194.1024,-517.6329,575.1947,-1644.3588,-379.87445,-3677.1602,-652.3032,-2444.3098,-362.75293,-405.6349,-201.62991,-1464.9377,-285.15503,-3561.2495,-449.93335,-3552.2847,87.10959,2.6643028,-147.14587,-1201.2615,-699.01,-462.2488,-165.78224,-3358.2578,-520.4907,-43.829792,-30.693808,-3662.549,-217.39322,-2013.2794,-655.11914,[5],-30390.951
6,-413.21677,-197.62292,184.41202,88.178154,98.008804,16.299309,-81.97876,5.998661,-206.03433,-21.320425,-145.29138,-75.140755,-27.923248,-15.127795,-303.62683,-57.523224,-363.50452,0.6370306,-163.89174,-32.502705,-533.0882,-165.10214,-378.0036,-66.7521,174.19928,23.743658,-84.380035,-77.77438,-561.3871,-144.29433,-159.24875,-7.9524155,-445.87665,-37.882507,-793.36536,-191.47353,-42.51983,-38.708412,-81.20404,-21.97137,-1431.8934,-398.85538,141.22505,-6.014632,200.77832,14.259331,59.477398,28.742916,[6],-6736.494
7,-8085.1416,-3436.4272,-4226.0615,-2496.0422,-1003.1486,63.137924,-1330.3121,227.64688,-1600.4138,-860.7399,-3651.4028,-896.32916,-538.73706,-173.71979,-6756.0493,-324.65485,-5.9799805,164.34062,-739.4551,-1688.5135,-2968.278,-986.6987,-2707.184,-2639.6958,-1899.6334,-298.22937,-4876.004,383.01532,-8529.748,-3139.2124,317.66562,23.69635,-760.4449,-432.47943,-15891.815,-3947.0308,-1944.2927,-1015.52893,-553.13245,883.3399,-11691.959,1312.9424,-1306.9663,-89.92076,-9227.92,-1090.8857,-434.62244,-8.073563,[7],-110877.09
8,-150.85768,-37.16667,10.428202,14.303091,-35.573322,-9.509264,-19.339598,-19.303297,-65.32415,-15.967955,-32.126617,-11.339941,-69.62883,-14.968128,-46.790386,26.302456,-81.95207,27.28777,-51.192703,-42.817112,-113.33287,-55.967808,-108.78202,-41.472134,-178.60852,-10.889206,11.564385,-3.6788273,-321.26746,-95.645645,-49.082756,-6.21666,-122.33842,5.6103086,-115.01967,-56.571644,-40.99137,-11.421228,-76.90138,-15.784302,-239.30519,-0.31649017,-34.590256,-0.4382825,-53.351906,1.7506613,-119.426056,0.7858763,[8],-2477.2249
9,-469.38638,-208.33997,260.56375,112.342415,145.1319,22.824688,-92.9198,22.120644,-232.55125,-24.421505,-191.73901,-96.5254,42.90579,44.439545,-432.85498,-73.44837,-545.0298,-17.196482,-193.27614,-67.18503,-702.3485,-216.18456,-497.6918,-84.94577,144.1913,34.021667,-90.6464,-77.91561,-804.755,-202.6439,-226.95616,-21.833908,-635.35535,-40.59362,-1037.7231,-236.86383,-54.48478,-34.340397,-73.16332,-34.664837,-1829.5732,-509.01074,200.3279,-6.4886723,213.95084,6.10125,92.0258,38.72484,[9],-8683.386
