,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,893.0333,223.12402,978.70197,989.84644,1097.7885,-106.61416,-1206.7587,-541.0321,1533.6334,-224.3399,-531.1826,331.73383,-1964.6941,-782.03516,1482.0991,-428.6794,1728.8374,169.41074,-2299.0254,-890.45483,-193.7724,1016.8673,-1004.78906,-547.61804,-747.3957,-190.89299,-1821.9523,-366.60767,-4761.6826,-809.4709,1416.4131,1169.8667,1548.5748,106.50986,-537.32324,-290.15698,-1803.9275,-294.0959,2955.7693,-487.61215,-533.14746,-76.42651,1338.9512,-44.32881,-6561.5264,-921.6936,-7611.8374,-1473.2478,[0],-21073.162
1,-555.1561,-502.58212,-617.66455,-198.65385,-321.94708,-161.1977,-824.90295,-370.44073,-357.90073,-205.54791,-619.53284,-515.7977,69.68944,-175.68411,-857.9884,-164.9657,-329.79248,-421.367,-467.60245,-343.5243,-807.51074,-511.25757,-533.1766,-569.168,-330.16748,-681.2046,-571.6859,-369.41058,-1359.5251,-362.7719,-654.07416,-595.50037,-2914.918,-459.7194,60.62812,-140.21292,-360.31403,303.785,-280.69278,19.812088,-708.439,-151.75906,-74.668106,18.115036,883.9475,81.90523,-927.3417,-112.03331,[1],-20049.918
2,1163.1665,709.30505,638.1274,-1218.7065,-2579.809,-1391.1133,-799.2607,-65.2148,-2473.4363,-1995.0325,-3185.7637,-1595.5549,-359.02155,-156.54561,-586.90283,-2076.9966,1585.9863,-1850.1149,159.2467,-1278.9718,-1506.9401,-1913.1677,-3537.2551,-5373.2407,-2552.0886,-4038.924,-1372.5099,-1299.9788,-9384.222,-2953.882,-4329.2725,-2511.7964,-3094.6606,-1719.1504,1272.0886,-1195.676,-1263.02,-436.04224,-2700.4106,-2203.3164,6102.0127,-314.9641,-518.5389,-793.4568,1273.2621,289.34293,-5133.4517,-417.25,[2],-68983.14
3,-732.7769,-336.14966,1190.7593,259.47266,-1110.6427,-652.3076,-1998.728,-640.34015,-1881.9265,-1086.197,-1913.0626,-1027.4518,-858.3361,-624.4509,1551.529,-227.65253,453.57755,-750.8934,464.55603,-19.155624,-288.93317,-573.5293,-1270.514,-1763.677,-359.7776,-1319.6586,-1234.1547,-909.56104,-9398.586,-2522.1133,-464.42368,-356.34827,-2862.7021,-393.20535,1454.6987,-513.2429,-783.20013,-80.324844,-729.9389,-203.81598,2290.1875,-457.56387,1.14888,-235.49516,314.07382,-258.67303,-1725.8414,-103.68118,[3],-34689.023
4,-148.47319,-1331.0422,-1711.8308,-1401.1494,-4879.294,-2350.6968,-5097.588,-1665.7853,-2213.2578,-1012.6352,-495.5147,-1490.3516,1284.501,-1756.3505,-10436.006,-1737.2578,-4064.4233,-2471.923,-3319.3484,-2378.431,9788.299,-1010.8425,-5485.221,-4589.6167,211.69995,-3231.228,-735.3876,-1910.4685,-2789.0364,-641.6635,-10098.604,-6192.642,-19539.27,-4179.6465,-165.41904,408.9769,-926.32153,-633.02637,-1893.6002,-355.95444,9544.107,-927.64557,-251.40956,-144.37762,6366.311,-928.52686,-3234.5127,-956.05286,[4],-93177.92
5,-4472.657,-1907.8181,399.65448,-171.18277,-920.14844,-1020.3787,-5200.1895,-3800.8118,-2825.5747,-2690.4333,-3467.275,-3326.9092,-4650.0684,-5220.363,-4895.8027,-2226.9844,-1830.9481,-1637.9974,2755.2969,1044.2979,3083.6606,-691.30316,-5216.021,-3306.925,2294.0916,-3392.265,-6245.9644,-5668.516,-13076.223,-3253.8867,-4249.8423,-5328.69,-60997.516,-7498.962,903.06995,-914.89484,-1626.671,-676.9523,3942.3381,-3691.905,-3445.9917,-3486.558,1790.0339,229.34404,6479.391,-1740.2081,-11371.193,-1403.6472,[5],-174628.5
6,-2133.0002,-302.3899,-4139.713,-1924.3131,911.56604,176.35135,5417.3916,1339.5408,-3174.1382,-1240.7496,-5418.7476,-3317.564,3440.8386,1895.5074,-3673.0854,-687.9434,7407.0664,-492.94617,-2028.611,-1328.575,-3697.6113,-728.3944,1085.9535,193.95306,-2369.6956,-2301.4324,-883.38135,-942.4935,-6209.9717,-1180.4474,-918.2125,-836.73047,-13453.688,-3730.5344,795.4939,-85.941795,-441.91827,-128.56534,1280.0881,203.85422,3118.6826,-651.19226,327.46744,262.30298,14060.275,1998.1511,-69.455284,-512.9094,[6],-25089.861
7,2719.3796,4913.2974,-3808.1858,2566.5972,-5636.1997,-638.9991,-1074.2887,-653.6095,-9653.55,-4392.4473,10698.557,5368.132,-336.76288,1294.0748,-5462.442,-5418.5376,-387.9986,818.9614,-9937.707,-3315.7815,-11263.586,-3036.802,1110.0664,2076.7244,-3352.8003,-1063.1974,-3538.0664,-1713.7272,4617.019,1831.0833,1346.3511,2001.9666,-22112.742,-2241.4626,39.970154,425.0149,-3391.021,-3261.3184,2879.3438,-1985.08,-3507.7659,-1248.2936,-1284.6985,-2448.7698,-5590.68,-1014.02386,-3389.2317,-230.25194,[7],-81683.49
8,8061.959,3198.256,-3279.0352,577.35834,-718.6515,-377.85345,-6425.9893,-2825.2603,-846.1006,-1455.0645,-1298.3967,-764.6291,1393.3245,436.02405,-3967.5632,-3091.1675,-982.9461,-96.058105,-2737.0898,-1469.3298,87.42554,-1344.7594,844.50134,725.45557,-3402.0747,-894.8544,-746.3694,-3110.923,-51.531845,-348.73138,2268.4136,2118.603,-17407.543,-3001.9783,-2899.1802,-254.61331,-2554.9248,-55.432358,-1885.5103,-381.7282,2009.0935,72.18512,-445.0255,-350.8528,-2047.8096,-1008.05774,-8299.937,-1222.2633,[8],-60256.633
9,684.6172,786.69794,1097.6036,265.9023,114.58856,-82.06616,-13.470032,-138.16895,153.53423,25.363724,-818.7218,-427.4242,-192.67152,-245.35617,148.66998,-378.80344,997.94574,-77.174904,647.1281,-101.07483,-389.9364,-83.28401,-339.73096,-558.4452,-868.99774,-649.54297,-110.17668,-487.91562,-2366.0957,-481.44556,146.74115,38.061737,-288.7328,-120.27742,-463.90112,-171.6011,-554.62695,-233.56909,-766.1885,-143.03308,-380.0658,-155.26709,-146.16904,-47.281254,121.630264,-154.32254,-1125.8383,-413.03122,[9],-8745.923
