,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,170.64789,277.0973,-196.39044,-208.71587,-32.29551,9.077316,68.23018,-52.08803,-278.60675,-250.7676,-154.45773,-73.40741,163.4267,138.24551,-96.34375,84.873215,-372.89563,-146.37895,-250.945,-160.63452,155.91525,-1.0984421,-355.8965,-219.3834,-388.26477,-88.344925,-186.90019,-59.16861,40.48288,95.43103,-173.99808,-78.149666,-695.663,-87.63444,212.71056,-18.172617,-733.3026,-452.89325,38.072224,-41.939312,-434.35547,-91.13058,46.435585,-14.944377,106.93468,-37.61765,89.62412,-23.321896,[0],-4758.9023
1,-2740.291,-4469.0684,-16706.152,-3137.1245,-10702.087,-3143.6926,-662.20245,3671.854,1291.0947,-368.17017,-3163.1177,-2162.3892,-3191.8872,-788.5802,-1531.1836,-16.371826,-6025.347,-1980.7944,-3398.5063,479.494,-1297.7783,-20.422516,-1972.888,5989.289,-1336.0728,127.39484,-3014.2495,-4271.2393,-4684.832,-2264.3108,-2025.935,-836.1101,-5915.1143,70.25427,439.50574,801.00684,2020.4626,3507.6414,-1121.2628,1890.9849,5707.3535,-3966.0156,-508.34232,-810.687,-201.9736,-679.455,-1340.0934,-336.94263,[1],-74794.375
2,238.18742,252.77193,-163.61313,71.059845,-132.35797,6.818426,7.437866,-155.01735,-360.09113,-183.90796,37.839752,36.44922,338.30585,204.46478,248.78018,286.62762,-167.35434,34.495483,-211.64926,-74.688354,91.612465,182.6927,-148.99939,63.874603,-451.67352,-86.872185,-289.2013,-215.43,532.94464,415.4512,-66.51364,-60.673817,578.4065,-68.484566,-91.48035,-471.31055,-1130.3579,-663.73804,77.93282,125.2233,-376.3028,-52.285675,60.02993,-31.969173,-95.71214,-51.27272,75.07092,-75.88335,[2],-1910.3632
3,-1392.6128,-343.088,-2978.2463,-1307.402,223.87671,-895.41284,-1248.685,1724.6703,-5801.502,-5987.983,-5142.0684,-44.70459,932.5573,-250.2185,2211.417,-1213.315,-7877.144,-4243.9053,2527.0142,2143.8032,4907.0664,481.8343,-3703.5842,-3260.6157,8031.9424,1043.2809,3658.4243,-891.4127,-1531.2612,179.0128,-4525.6016,-2379.0696,-7176.1353,-1287.8931,1672.4312,1678.2927,3302.8733,4571.849,-853.39526,2178.9485,4642.369,-4314.052,-332.5973,734.61676,833.88257,33.38913,-748.7274,767.2748,[3],-21249.805
4,-15.4353485,-11.825565,-36.272366,-2.662328,2.9756322,-2.4145765,-14.189651,-15.871094,-3.1561577,-11.16851,1.2955946,-0.6576793,0.96859884,9.734847,-49.508137,-4.881235,-44.93505,-9.081796,-27.902916,-20.151705,-17.255917,-12.742933,-33.09823,-18.482565,15.126659,1.2989016,19.984083,13.658755,23.572298,23.854492,23.057316,16.11932,25.623083,4.7302523,-29.078161,-23.23391,-72.61766,-35.49444,10.654425,32.211994,-133.58841,-42.883804,0.0016343594,12.555313,-35.45717,7.9565077,-7.3813863,26.982891,[4],-459.06613
5,11.148895,460.23615,327.06094,41.32293,-188.93164,-34.706192,45.413692,-453.7785,-46.324036,66.422935,106.72351,-153.74995,-163.14618,-130.79562,885.465,461.78125,112.95439,-16.959873,487.73233,428.4264,187.90158,88.60861,677.48425,-424.10483,1671.8447,198.41612,277.2224,-666.1788,427.17798,-10.594521,15.522316,-464.5173,2372.958,198.7359,-60.904774,329.1673,866.9845,1470.928,-27.669289,-351.80853,-394.8579,98.20474,171.37561,714.5119,-1422.3044,766.61664,209.7883,183.36464,[5],9350.17
6,34.400238,79.93927,-119.77573,-21.935705,-82.30139,-28.51819,-84.40462,-145.42126,-70.25674,-86.71608,12.868982,-2.1627913,-33.880253,28.824808,-123.33159,-3.4962153,-71.17654,31.475143,-107.65305,-73.54831,-80.85011,-67.88267,-105.4843,-11.998018,5.6724725,4.599492,133.53877,76.4173,169.291,132.79146,58.470814,18.389923,224.06851,7.2672157,-151.96347,1.77771,-50.102055,-27.698387,69.02409,164.12814,-360.15338,-215.52594,-6.5080314,99.026215,-138.33412,30.04831,-47.05822,70.41984,[6],-865.69745
7,-313.13675,-228.22409,-561.8413,-223.89534,-103.94098,62.44162,64.71368,-65.72931,152.50061,-163.95743,-245.29834,53.129845,-73.40819,52.7515,-50.112892,36.835148,-429.9942,23.891014,64.53035,35.153225,-61.266243,53.259773,-85.71765,-113.45975,1046.9695,192.14941,491.2638,-150.5116,-127.65825,-102.81446,-481.81146,-494.3716,-555.4301,560.7492,220.77945,463.29816,478.81525,1195.2488,-320.42627,-299.77936,-284.3745,187.02069,19.09253,522.1139,-1031.1726,461.0235,178.59164,69.92048,[7],117.910194
8,116.24475,-128.63931,-602.74884,-160.95305,198.83032,83.90883,-576.7109,-422.05804,-651.1306,-541.6114,-254.19695,-280.1761,133.4001,9.905869,476.06866,299.9482,-550.60693,-227.11772,-277.69916,-206.47426,339.65884,255.94827,-324.301,-237.903,-1026.6177,-317.8428,-241.32016,-432.19528,326.34192,253.59958,16.36194,-209.93813,413.9646,48.38836,-438.42523,9.435287,-553.9021,-143.09131,57.648224,-254.47903,-1571.9972,16.66249,-77.55182,-610.95337,605.16345,82.07521,-4.6122627,296.6965,[8],-7285.0024
9,18.227573,16.825191,55.191666,47.84442,34.21324,16.574768,6.655285,13.476186,30.254734,48.277588,22.048775,22.91462,39.41916,18.609224,-23.209074,7.3991117,25.646908,-1.7493727,20.708502,33.25393,4.271873,-2.290907,7.6447577,20.329023,137.43637,26.250572,24.344406,-1.0696898,65.8029,60.802837,57.254826,21.115013,19.589415,63.991333,7.3412685,15.889549,156.14886,193.46066,28.455597,100.41814,-99.06413,41.894802,38.920456,22.953388,-194.97067,47.954174,115.85659,38.908077,[9],1472.2218
10,34.93075,-1.7987156,-383.48587,32.91454,208.42064,84.109146,-18.39103,-9.758711,-180.8771,-244.05266,17.392847,-46.7893,26.046566,-8.754259,148.7361,136.29202,-27.058813,77.18451,-151.96762,-118.340775,-100.02558,-63.642242,-195.97914,-179.70757,-296.50342,-10.880967,-25.51636,-143.64162,345.10956,283.8543,102.33446,54.36022,-11.156027,-120.23975,-65.14432,19.454338,-360.34494,-146.2193,53.620438,90.96938,-673.2179,-147.30492,-69.734344,-229.11993,212.12912,49.12394,26.143433,162.40062,[10],-1864.1261
