,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,2.0816293,3.066988,-11.601135,-4.24699,-20.897743,-22.889484,9.572216,20.166925,-27.067951,-55.6047,-4.796294,-11.1264715,-57.294716,-47.980465,11.763208,-56.77864,-14.233627,-21.42376,-54.1821,-61.19279,-25.06357,-40.087265,-32.45609,-36.062286,-77.029915,-77.22692,-62.30486,-46.979897,-21.510593,-6.3203917,-6.698632,-23.445377,77.258705,-10.258208,-24.31557,-69.304955,-234.35687,-128.48277,-27.352371,-13.765452,-275.21136,-86.533554,-20.392479,0.15139103,74.00383,8.432049,50.36679,5.7156568,[0],-1553.897
1,-211.30423,-650.7234,3324.0479,1166.6053,1349.6066,528.31323,-2144.988,-54.627396,1124.6704,2212.6777,1606.639,763.90015,4059.506,6074.4688,-673.63635,-1123.9451,-90.71786,878.046,-165.56549,821.49,630.1265,-496.7605,-2215.8584,-911.74805,9584.027,7683.9307,1360.0144,830.6449,138.675,914.3677,-6693.7075,-1024.678,-4474.676,238.01736,853.9451,3252.7244,-700.4142,-3360.6492,-300.36603,-153.39641,-2460.186,0.26538086,288.43347,-21.993898,950.22,21.554903,676.9114,9.4966545,[1],23413.389
2,-685.1764,-582.4337,-1030.7358,-1032.2921,-1457.6575,-1218.5833,-2031.4363,-3211.5005,-2269.8,-1908.1531,-1676.2946,-2282.7168,-1463.6438,-2696.3594,-2183.776,-2690.3713,-1201.3856,-1916.1183,-2860.9976,-2689.0894,-2337.475,-2846.8694,-1843.29,-4212.0254,-5060.414,-5416.453,-3063.0845,-3418.607,-471.5147,-459.38614,2648.3372,240.09348,4792.242,1473.1564,-890.68463,-353.28278,-1504.7052,-1591.388,131.78389,478.54755,-2696.7656,-182.17786,2192.044,832.5265,6641.3496,1023.1819,3215.6467,294.40833,[2],-49473.32
3,-13.063032,-26.088993,14.260548,-6.8647842,-24.133774,-28.361317,-0.021412253,22.179173,17.70608,-37.73056,60.065125,13.514864,-91.45276,-80.42663,-24.379322,-48.77173,-11.753683,-12.135731,-36.5384,-3.1919823,9.934549,-26.873228,-19.322945,1.9033765,-54.800354,-73.95243,-81.29288,-21.293129,-59.488266,-7.5046897,-82.83941,-21.793514,-37.851456,6.6823683,-15.677878,-8.525008,-225.04657,-132.21376,26.559784,24.65035,-134.02097,-9.642431,58.40227,37.541344,200.07355,12.508131,-39.664978,16.282495,[3],-974.45404
4,-31.522215,-17.775188,-22.55238,-12.547234,-41.136204,-49.456615,79.54077,99.566765,-24.380634,-84.115326,120.70097,-22.31991,-78.60247,-149.34082,47.236473,-77.24792,105.934555,47.03251,30.46644,18.950306,-96.33069,-36.74571,-98.972916,-86.513916,-77.01486,-132.01657,-120.80158,-46.157494,-5.4208307,19.876139,-143.59308,2.8535137,-470.39978,-59.86436,-34.0368,-49.032883,-808.8562,-614.7594,5.4212494,-9.489579,-459.97122,-120.21158,32.777454,-2.5545444,-11.878967,29.010887,3.5772784,0.45335793,[4],-3452.221
5,1461.1312,564.99567,-750.54614,-759.9652,-492.92896,-553.50244,141.08977,-495.14246,-8.4691925,-1157.457,-1277.7471,-1535.928,-2566.067,-1691.5957,-1474.1786,-911.89905,-500.58246,-1033.8732,-675.34296,-714.0347,-1555.2578,-1211.7318,-497.12622,-1526.7616,-1265.1411,-2041.0293,-1615.546,-1482.6764,-510.554,-621.43854,562.6897,-445.30856,-3963.9026,-700.3055,551.9328,250.32083,-2562.785,-2345.4272,-2549.3496,-1670.9691,-374.0868,-47.691345,-3918.4722,-1139.2776,4068.5806,741.33484,-2830.1792,-207.18489,[5],-43339.38
6,-299.7525,-747.92004,269.5889,250.80042,230.28027,43.46785,984.6632,1535.6414,851.9788,-198.947,-900.0156,176.53052,92.78439,924.489,429.02078,966.0114,-1301.666,-479.2257,-819.6887,-414.37323,-1077.1055,-1014.2472,-350.4568,79.44884,-488.93307,-254.68852,324.55334,69.52597,-982.1167,-309.04224,-323.5171,-875.47144,4303.6973,591.848,-1878.6605,-2462.323,1039.9138,675.8152,5234.7363,3675.4639,3522.3643,1694.2833,2923.3958,-154.78821,-6741.505,-1241.7249,-13813.758,25.96746,[6],-6213.6567
7,-181.26897,-138.37183,-342.58636,-499.63754,-336.57153,-419.46216,-644.0158,-718.61145,-608.62085,-713.7424,-912.80615,-899.8269,-328.45,-712.0648,-891.8201,-1108.7816,-805.1301,-800.52246,-526.62634,-693.30304,-781.23694,-1348.7097,-1612.0635,-1916.7476,-2099.982,-2834.5107,-1615.6487,-1466.268,-545.963,-564.2533,-660.2435,-778.79456,-208.5497,21.130703,-81.503555,-193.99811,-1141.5901,-971.5488,-1082.2449,-734.30634,-796.4148,152.00966,-608.74695,219.23082,-3.5965881,119.947464,-462.40836,38.97146,[7],-34240.26
8,-804.3233,-233.17172,-191.53494,-43.50206,332.3047,529.38196,-1457.5825,-1258.748,-307.94348,1148.0801,2674.1006,2287.2747,1520.2844,1088.0349,1104.9102,1154.0706,570.3717,566.4696,1197.5115,978.08575,192.92485,1939.9446,1934.7787,2066.4204,1608.2961,2258.0315,643.0283,638.4365,1498.8246,888.197,-3426.5044,-407.15378,3803.9119,681.2229,69.09105,17.838806,-615.3738,-329.70013,-3419.3293,-2071.021,4755.6357,1472.2078,785.4154,276.4622,5237.034,-2505.5112,8946.865,145.81584,[8],37939.87
9,-7.6036434,-47.06687,-67.40946,-15.749168,-42.219627,-72.5766,-30.25937,10.313124,-64.69425,-130.34322,52.721375,43.190693,-91.451324,-53.436935,-64.10695,-94.41206,-6.189582,-19.41581,-78.92552,-76.99908,70.73015,25.394346,-184.73404,-70.59028,-30.487709,-105.66172,-156.48904,-18.044392,-58.86784,-24.119015,-13.739428,-1.0716858,91.38837,-16.630476,-102.95934,-50.660378,-225.91016,-94.99487,-48.730762,-0.08616638,-1167.4115,-269.3319,54.82813,24.218298,596.0138,55.356186,-72.02726,0.30060875,[9],-2650.9526
