,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,164.89804,274.49588,-205.62927,-212.00821,-30.090908,7.445305,66.4046,-54.618088,-281.39825,-253.25212,-158.76208,-75.23958,166.1424,138.92574,-97.34914,84.16536,-373.24814,-145.2811,-248.66919,-157.98984,156.4801,-0.3467102,-357.6407,-219.4769,-388.50708,-87.94893,-188.24826,-59.41401,38.82731,94.73289,-172.78615,-77.86299,-695.94293,-87.48315,212.36157,-18.265028,-732.94403,-452.77826,38.163826,-42.01577,-434.29962,-91.09888,46.471497,-14.949436,106.92666,-37.62304,89.623955,-23.321941,[0],-4790.4233
1,-2747.8672,-4365.1885,-16595.094,-3149.6848,-10750.103,-3180.4067,-658.28986,3590.435,1288.6777,-359.1919,-3150.5862,-2180.1885,-3221.2378,-788.57825,-1588.2699,-12.706665,-6017.641,-2028.5254,-3409.103,462.10938,-1291.9286,-15.403198,-1982.7678,5989.0024,-1282.9348,121.3125,-2998.3967,-4265.437,-4695.702,-2263.0518,-2025.3309,-836.1019,-5911.2417,69.16919,459.1228,798.53766,2019.4728,3506.3604,-1120.0491,1890.1362,5706.1587,-3966.0493,-508.81293,-810.9063,-201.9733,-679.68317,-1340.0903,-336.94263,[1],-74834.97
2,232.25522,253.32982,-171.41586,71.20623,-132.62407,7.656229,8.898142,-155.96843,-360.46735,-181.05917,29.356976,32.97869,336.3328,204.10468,246.70825,284.37448,-177.73462,33.09491,-214.1022,-76.69187,92.133736,181.21344,-148.721,64.569916,-457.2879,-88.1396,-289.78772,-214.49185,531.6162,415.54117,-63.815342,-59.918358,578.9357,-68.45749,-91.74448,-471.13458,-1130.1328,-663.7519,78.12012,125.217476,-376.23853,-52.273155,60.05013,-31.997566,-95.70256,-51.280228,75.070816,-75.88338,[2],-1958.057
3,-1375.786,-343.91467,-3068.566,-1303.7583,140.8822,-939.188,-1277.0581,1700.3755,-5882.059,-5984.2188,-5142.9834,-45.5282,931.4736,-260.4906,2214.6707,-1194.1404,-7868.3,-4242.611,2520.2551,2146.1455,4941.0293,499.76837,-3705.2324,-3250.618,8004.416,1037.0104,3664.998,-889.0947,-1555.8289,177.63445,-4522.664,-2376.7563,-7185.293,-1284.1978,1682.1039,1678.3816,3313.911,4576.9985,-852.82806,2178.4353,4641.207,-4314.2925,-332.40897,734.6443,833.8896,33.292786,-748.7251,767.2751,[3],-21527.74
4,-14.966661,-11.986039,-35.824013,-2.2346716,2.919909,-2.2003284,-14.360067,-15.752602,-3.3841298,-11.635843,1.1899457,-0.6190069,0.80815935,9.770876,-49.83364,-5.0751624,-44.721786,-9.017866,-28.00253,-20.067219,-16.96875,-12.431772,-33.25594,-18.505062,15.105722,1.3578787,20.170116,13.627095,23.401508,23.82848,23.013962,16.11485,25.731113,4.749061,-29.115683,-23.216928,-72.60907,-35.491314,10.6537,32.22067,-133.5675,-42.88021,0.00083065033,12.550639,-35.4552,7.9558983,-7.3814154,26.982924,[4],-458.4071
5,-8.9815445,461.50803,317.23798,37.364532,-182.07643,-34.572,45.744087,-468.45908,-50.362976,60.922638,98.11539,-157.43663,-161.54684,-126.80864,888.26276,464.88,120.41265,-13.528896,492.01883,430.094,189.5531,84.83563,671.8904,-424.83945,1671.1814,196.68863,280.17047,-666.0749,428.13336,-10.784103,16.83429,-464.11078,2375.5342,198.57953,-60.46873,329.45828,867.1439,1470.5691,-27.846867,-351.86304,-394.8096,98.22712,171.07141,714.40204,-1422.2136,766.6159,209.78802,183.36472,[5],9313.819
6,33.040718,76.58049,-119.9807,-22.20412,-84.820786,-29.325817,-84.256516,-146.50688,-70.71858,-87.01494,11.787862,-2.1616812,-34.12498,29.120384,-124.40739,-3.3106585,-70.34213,32.49005,-106.752106,-72.56976,-81.31956,-67.36183,-105.182236,-11.848424,6.2288957,4.71279,132.56848,76.34393,168.74655,132.44545,59.7444,18.608866,223.99977,7.4814806,-152.06483,2.099701,-49.835236,-27.562143,69.030334,164.13419,-360.09424,-215.51805,-6.5103793,99.004196,-138.32483,30.045435,-47.05832,70.41996,[6],-872.5435
7,-314.22144,-225.92781,-568.6792,-221.72334,-114.2375,55.74624,65.9061,-72.24711,159.05359,-158.5591,-240.3422,54.26193,-68.4655,55.46366,-39.74075,41.72945,-426.46606,25.45874,69.63222,38.28498,-52.356544,57.776184,-82.51767,-111.24335,1045.9304,191.91399,494.07782,-150.30704,-126.38403,-102.123535,-485.68387,-494.94098,-555.2938,560.67365,218.86581,463.5726,478.786,1195.7893,-320.55853,-299.75412,-284.34558,187.00972,18.820759,521.98975,-1031.1038,461.03546,178.59145,69.92061,[7],163.06802
8,129.06494,-134.6953,-597.6963,-158.92223,199.60606,81.67114,-562.65686,-419.6829,-642.03253,-542.6457,-249.51027,-281.50775,125.31367,6.7587204,475.22906,300.64044,-544.5344,-226.47562,-280.42587,-205.45015,337.70535,256.18124,-323.64194,-239.22316,-1029.989,-318.46707,-242.85916,-432.1601,325.30786,253.19223,14.481916,-210.48001,414.2289,48.69925,-436.86115,9.735977,-553.5434,-142.85698,57.49565,-254.51123,-1571.7612,16.69696,-77.516235,-610.96204,605.135,82.08421,-4.612207,296.69635,[8],-7259.758
9,18.671371,17.202469,55.107803,48.527115,34.166702,16.471031,6.582347,13.126076,29.280464,47.170883,20.820526,22.732742,39.127544,18.218267,-23.68194,7.2150335,25.373327,-1.8769093,21.2603,33.85039,4.595479,-2.1133518,7.6630116,20.36561,137.7808,26.285042,24.484768,-1.1340628,65.61658,60.66556,57.216053,21.115568,19.56739,64.001686,7.4325943,15.900416,156.16034,193.42647,28.484972,100.42137,-99.04918,41.89924,38.910843,22.938026,-194.95528,47.956512,115.8564,38.908047,[9],1469.7466
