,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,67.27131,75.62795,76.923645,40.52021,29.76313,40.95981,-52.793167,23.77381,30.029438,59.023987,52.389256,71.06968,35.900032,18.945131,63.308197,59.72482,57.54278,42.49881,38.228043,32.459393,32.23059,26.016996,55.833984,55.45878,67.15459,48.971924,41.28551,48.00915,32.393105,64.22463,41.899773,44.21671,59.62767,71.99413,61.603127,61.099586,-84.952896,24.391975,68.77121,90.62392,32.648327,37.425873,43.92237,92.23943,22.61615,69.02907,61.704033,47.759865,[0],2181.3657
1,107.41458,84.28252,84.47964,80.42328,83.24776,89.20083,48.766117,87.35846,86.809784,117.29385,51.45223,102.68748,18.978233,73.088,97.00574,97.23897,95.3768,105.95486,77.59235,77.49368,75.91725,93.86328,43.46727,68.67139,65.3354,81.10542,86.49877,111.27585,29.300488,99.309525,77.85695,66.78639,68.78842,100.19177,3.7868671,62.883507,40.101665,101.540634,43.4365,105.1103,99.09682,104.97996,49.737564,109.225876,29.279873,81.72322,53.70597,58.427616,[1],3677.5496
2,-18.86229,2.9580107,28.595005,-6.1555357,-17.03452,-14.409311,2.976249,6.8684044,-8.252897,-16.52013,-1.8870792,-26.36542,48.121143,78.73042,-11.80178,1.3905158,-15.238405,-30.680197,13.838398,-13.090793,26.42,21.274279,61.62552,32.6439,59.426888,37.714283,17.70739,43.13925,5.220671,25.196198,23.549683,9.812394,1.9691244,32.083797,5.7177906,-13.415564,-89.407425,-21.165062,-64.47159,15.168383,-4.3594427,-0.49988806,13.019346,25.364065,12.650823,19.772903,28.885483,20.94027,[2],349.1633
3,455.56158,502.71588,555.6289,625.5603,583.5254,561.3854,259.29565,420.95557,469.56842,586.41125,289.66824,362.17798,119.170204,239.39575,486.55203,458.347,554.69543,458.20737,293.15964,465.2251,601.2357,522.8607,563.18695,524.0186,777.22424,600.93854,520.7515,428.49664,508.48508,514.3694,453.66473,631.79193,393.9488,604.5557,371.838,513.7684,596.2152,649.3439,623.8053,649.0349,427.3406,500.95233,252.83418,569.5901,138.55258,368.35562,215.95818,260.72818,[3],22531.055
4,-1.6548233,8.550919,18.981968,6.3796754,-4.0295067,1.717362,-21.819534,-1.638065,-4.996195,0.99409056,-9.497672,3.840242,15.495475,-4.3717403,2.6478179,6.799021,-33.688423,-16.969633,3.095515,-6.8899775,20.69238,6.139323,54.324528,38.225517,32.25018,12.492422,24.361406,6.613842,-7.3028336,8.774348,16.353264,2.920795,6.886899,7.3977356,-81.19738,-25.345413,-83.60919,-22.557367,-25.210117,9.385876,-17.203459,-3.4931793,19.415169,4.3760414,6.8450794,10.82165,7.4050503,19.445528,[4],12.154625
5,61.613922,50.801083,58.3405,72.80923,45.311287,58.437714,-7.8077893,40.61341,56.86358,62.370792,22.97968,39.89839,-3.4005294,23.077482,69.94652,64.428406,45.379723,54.92751,21.286217,43.62426,24.043056,46.74883,59.972466,47.606743,58.998116,68.91598,60.66516,63.33981,33.295193,62.507507,66.482056,57.439438,41.30636,74.33288,-15.569017,36.594204,12.086864,66.35994,35.420364,72.76974,58.97027,58.459427,34.51152,75.67753,18.984188,49.67622,44.36602,45.537277,[5],2240.9998
6,166.84148,158.4761,203.47559,212.50037,166.21278,193.69151,205.75735,194.4854,182.19377,161.95818,141.10997,122.744995,147.69919,215.12885,204.35919,161.25902,191.17603,228.0491,133.3347,143.98608,179.23978,192.572,156.87877,158.44821,105.48982,172.52979,140.84099,214.59293,124.736565,176.0828,186.24023,179.89462,149.75575,235.65353,148.43195,186.37308,144.96135,251.32668,103.290924,197.1246,191.7072,185.10216,85.6454,211.45538,49.170315,132.86102,55.152596,82.29747,[6],7932.295
7,276.96896,263.87698,248.30019,172.28085,268.11462,266.79593,121.10539,234.17404,235.02435,275.8249,230.45853,329.80008,215.49673,332.92303,202.07991,230.93704,243.16084,240.50389,374.31683,205.36748,336.77515,274.6459,136.73845,239.28055,216.98799,255.88239,248.42111,267.44577,280.19495,245.51845,210.93466,246.55919,247.02414,319.77576,309.76367,349.54797,112.912315,344.70935,358.05432,332.32007,207.67009,249.27623,128.0816,307.8432,72.639725,185.98228,146.31313,150.62271,[7],11749.432
8,73.217316,63.935432,81.6252,105.18204,73.1913,87.844574,32.481663,67.38227,77.97874,73.900604,48.60371,57.628254,7.821127,49.31892,72.42662,69.45499,47.15245,67.29655,73.549065,72.33769,51.848827,77.95807,70.93373,56.30033,61.612827,83.64995,75.668884,78.68391,54.349056,77.663574,74.736786,89.260864,70.64152,101.12073,75.73231,100.64074,1.0167024,96.59418,80.52892,105.04002,48.06942,60.182663,56.186413,101.90459,24.898811,72.171555,63.685074,59.793114,[8],3273.202
9,3193.8374,2933.6953,2972.8213,4397.835,3133.7595,3612.815,4221.246,4224.2314,4082.6465,4359.0605,3807.7798,2956.263,5007.8154,4533.9033,3758.199,3834.303,4520.0273,4912.2007,3848.1597,3778.4888,2376.461,4713.918,3867.8389,3979.7397,3317.0833,3703.312,2496.9053,2920.596,3381.5996,3598.96,3149.8628,4123.183,2190.7866,4218.305,4925.9194,4787.273,6345.329,5825.2393,4418.496,4029.8008,3183.4954,4012.1072,1887.2665,3116.1453,1148.3328,2902.0078,1165.9938,1296.7214,[9],175171.75
