,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,26.269474,42.216305,53.01413,69.221504,45.115166,55.000446,43.86123,41.524155,-6.9603167,31.599922,61.866405,80.24541,34.532867,56.266426,82.10837,87.75713,27.406929,52.084793,45.787254,51.196186,50.195564,37.36767,43.63324,63.495514,66.264626,74.76426,92.65404,60.94232,128.31902,54.10516,58.882965,51.250908,43.243874,52.6872,-2.8995209,24.461433,-13.206726,61.50696,30.737232,23.812374,3.4939725,6.1356125,23.562256,50.539497,22.093843,29.877188,31.273603,34.34785,[0],2183.6558
1,-18321.291,-11753.898,-17370.205,-12808.418,-35055.31,-18271.576,-25321.547,-15286.869,-22428.754,-25721.168,-18557.305,-17620.092,-10257.956,-14779.762,-22848.852,-23087.5,-10732.82,-14520.676,-16576.324,-16784.625,-27378.041,-20559.965,-22506.242,-14852.579,-23771.328,-16581.814,-11213.032,-17800.67,-14617.48,-17552.332,-15597.835,-19598.762,-14362.729,-17181.604,-26116.82,-24791.023,-35389.36,-18987.477,-15227.57,-21303.059,-11790.405,-17520.955,-8290.171,-10703.838,-5883.5254,-7662.7314,-4639.714,-4389.95,[1],-834375.9
2,183.00989,93.01812,176.65765,193.56592,246.90906,186.01413,132.4317,117.83438,149.67482,261.76324,197.16953,191.60606,135.01279,183.4788,139.77046,119.02721,29.503426,72.3512,216.802,170.13736,338.94238,161.28809,127.108215,164.64218,123.07903,145.28363,174.47281,147.11118,235.53423,139.0787,102.47206,152.27328,57.051304,107.8221,213.53456,182.87097,183.55042,193.49745,191.24704,233.16945,54.138046,77.245605,52.0695,152.88911,62.20069,85.49371,74.491295,75.861984,[2],7204.1567
3,91.1443,86.68633,112.46138,149.82648,136.30151,127.02208,120.90372,128.39166,151.11479,170.26259,128.66177,157.49023,87.36357,135.92447,144.07416,131.34421,86.34926,121.39816,94.3182,110.79741,124.804474,109.20769,127.07038,127.40617,129.57465,138.09889,131.72174,146.18738,1.0727577,134.42035,61.480938,107.5081,45.41876,86.66897,7.762024,91.748886,67.51282,133.85104,112.45422,191.03152,73.60496,94.85475,57.580956,100.17468,43.43509,58.822334,47.94735,54.334076,[3],5077.5923
4,-7279.913,-6504.6514,-8604.1045,-8827.096,-15399.582,-9263.404,-11621.293,-8279.556,-11240.006,-14252.3125,-8748.952,-8961.495,-5309.8936,-7896.6504,-14380.09,-12922.82,-4255.931,-6285.908,-7631.467,-8259.856,-11583.915,-11422.548,-10620.139,-8850.23,-12806.091,-10312.573,-7325.196,-8940.64,-12327.024,-8946.773,-10952.987,-12139.764,-5516.124,-7895.216,-17166.535,-14217.94,-16504.266,-10643.491,-10585.222,-12215.799,-6072.7334,-8122.9766,-4396.068,-5336.0845,-3343.0996,-3570.429,-2386.2744,-1963.6771,[4],-442088.88
5,554.7363,277.67593,449.03152,413.90918,501.01312,360.78546,274.47202,274.14838,537.31775,590.0587,476.77686,382.74268,262.27127,391.44504,243.36177,187.44502,170.45386,223.70593,441.69644,384.64368,515.98584,292.47876,369.4759,340.34396,319.28497,341.60443,322.51007,380.52704,709.8301,329.31955,319.30734,410.84506,220.48964,302.9571,692.40576,558.02966,131.05238,424.6621,404.4364,526.31006,142.01823,164.71251,110.862076,264.82666,107.51851,137.25865,99.97374,126.90577,[5],16463.621
6,2269.0286,2256.7847,3285.515,2556.4172,4221.341,2557.0151,1979.3423,1801.7427,3611.4773,3765.308,3120.1665,2552.773,1996.169,2720.943,2457.6582,2134.9487,718.6858,1269.9766,2626.5938,2314.9028,3844.0908,2632.0676,2722.5176,2429.2173,2470.2173,2615.504,2289.5334,2509.859,3123.082,1547.3083,2030.1217,2805.379,1290.9373,1607.27,6061.093,4086.7778,3069.5151,2602.2737,3656.62,4138.04,1620.5491,2228.985,943.9421,1658.0137,747.1964,925.91077,694.23627,676.39465,[6],117243.45
7,110.756424,63.767105,66.44514,75.45946,62.889248,79.62236,80.94566,75.92724,6.5589256,72.001465,69.02086,85.58435,47.383514,76.10098,81.21515,87.62166,49.943348,67.194984,59.10022,59.42025,125.72329,83.456924,55.711056,71.09068,92.21715,85.61046,69.955574,68.987,2.9047709,75.04052,34.727234,57.29764,51.86349,69.38798,-71.82569,62.194153,39.186756,86.83603,23.363647,67.86312,40.981186,75.80866,58.12424,82.53996,32.650734,57.705067,39.492165,52.793644,[7],2968.6458
8,729.9914,694.4208,539.0515,694.94293,610.32336,776.0553,611.16956,670.61316,179.69693,783.63324,656.1277,861.78357,343.25406,670.39307,866.01733,789.7591,403.3507,624.9398,607.0802,836.9553,1169.451,1038.8887,1159.956,864.48096,955.5672,878.5286,482.29022,727.258,593.1956,887.4467,718.9172,1015.40466,578.1631,709.25055,1292.5314,1145.1323,1366.2673,979.4563,579.97815,985.156,501.39975,794.2767,268.51398,625.7054,237.12228,363.8933,230.44257,301.15784,[8],34399.39
9,642.06946,484.03122,626.8805,708.24506,583.90063,605.0807,644.51404,682.59485,582.22723,488.57953,751.65186,722.595,446.25726,627.931,563.33844,528.8739,339.5562,497.87726,501.6203,590.17334,538.3275,489.17444,849.2173,661.94086,640.1754,730.849,622.6438,738.18896,889.703,851.0684,583.70306,812.86646,387.2033,559.12946,1060.5168,919.42786,402.36407,735.114,648.80115,882.99274,305.2706,391.84998,216.11725,466.89832,198.19781,258.10788,222.81029,228.65639,[9],27909.31
