,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,26.530056,42.876934,53.474358,68.902985,45.41749,55.579037,43.712868,41.627857,-5.806954,32.368095,61.897663,80.25093,34.663,56.462177,82.07203,87.76924,27.388618,52.08979,45.771713,51.182903,50.21837,37.400517,43.705986,63.49529,66.32773,74.8122,92.69142,60.96798,128.3832,54.124115,58.918053,51.30451,43.22806,52.696777,-2.9232836,24.45626,-13.2235365,61.50612,30.742916,23.815868,3.4945054,6.13583,23.562466,50.539402,22.093885,29.877192,31.273605,34.34785,[0],2188.2046
1,-18433.84,-11757.223,-17429.043,-12884.956,-35170.88,-18297.018,-25394.14,-15280.757,-22412.18,-25763.465,-18502.918,-17604.305,-10267.782,-14762.521,-22897.855,-23087.75,-10758.463,-14542.929,-16580.94,-16772.615,-27487.613,-20621.832,-22504.635,-14843.37,-23852.277,-16576.225,-11153.563,-17797.59,-14692.51,-17541.225,-15610.576,-19568.668,-14379.121,-17169.176,-26301.945,-24836.418,-35346.59,-18972.502,-15228.563,-21303.656,-11790.423,-17521.121,-8290.214,-10703.842,-5883.5283,-7662.732,-4639.714,-4389.95,[1],-835271.2
2,183.2014,92.99185,176.57837,193.80006,247.25882,186.17986,132.13696,117.54764,149.9434,261.92657,197.1041,191.90335,135.0094,183.48386,139.39217,118.87411,29.471127,72.39065,216.79617,170.09813,339.00412,161.36316,127.362,164.66527,123.18272,145.39923,174.44958,147.09921,235.5705,139.06773,102.43622,152.32297,57.005096,107.783676,213.53041,182.86569,183.53398,193.49655,191.25052,233.16702,54.139114,77.24624,52.07064,152.88907,62.200718,85.493744,74.491295,75.861984,[2],7205.0356
3,91.09115,86.67421,112.329544,149.93759,136.53677,127.13575,120.78409,128.24084,151.14108,170.30542,128.68582,157.35849,87.48828,136.02585,144.00128,131.29945,86.35504,121.3798,94.30443,110.78004,124.839264,109.23334,127.21063,127.45968,129.63577,138.11696,131.71133,146.16682,1.1584358,134.41994,61.48225,107.52908,45.39642,86.652084,7.8255234,91.734055,67.4883,133.8504,112.45317,191.02673,73.60561,94.85543,57.580948,100.17473,43.435135,58.822353,47.947346,54.334076,[3],5078.0015
4,-7293.325,-6512.7783,-8606.86,-8833.139,-15400.093,-9262.969,-11616.049,-8275.487,-11240.938,-14261.171,-8753.127,-8972.414,-5312.217,-7897.5293,-14394.298,-12921.576,-4259.7637,-6285.4136,-7632.118,-8258.065,-11587.743,-11424.484,-10625.123,-8850.999,-12820.949,-10313.182,-7318.234,-8936.471,-12324.371,-8944.719,-10953.538,-12137.911,-5515.4897,-7894.9707,-17164.252,-14219.048,-16504.457,-10643.365,-10585.0,-12215.372,-6072.751,-8123.0386,-4396.0713,-5336.077,-3343.1025,-3570.4297,-2386.2744,-1963.6771,[4],-442160.47
5,556.12256,277.78784,449.13715,414.76044,501.82355,360.9815,273.77347,273.41656,537.33374,589.9099,476.4032,382.86615,262.16614,391.24374,241.65977,186.7047,170.36526,223.72348,441.73346,384.6046,516.04126,292.56815,369.70758,340.33124,319.4882,341.7603,322.2968,380.34436,709.877,329.23892,319.35895,410.913,220.35928,302.89203,692.4104,558.1007,131.00012,424.66565,404.43893,526.2995,142.0206,164.71419,110.86374,264.82642,107.51861,137.25871,99.97374,126.90577,[5],16462.691
6,2270.1055,2258.764,3288.914,2558.3833,4226.5703,2559.0347,1976.181,1798.4333,3610.7607,3767.2861,3115.915,2555.9917,1996.0071,2721.093,2454.7356,2132.5706,718.8334,1270.4788,2626.7925,2314.464,3845.0679,2632.3572,2726.2837,2429.8901,2474.858,2616.5168,2289.8853,2509.712,3122.8706,1547.635,2029.2837,2804.7554,1290.2925,1606.8848,6061.4727,4086.9744,3069.308,2602.2214,3656.5352,4137.914,1620.5608,2229.003,943.9456,1658.0142,747.1968,925.9111,694.2363,676.39465,[6],117257.27
7,111.0398,63.816254,66.37463,75.45916,62.997025,79.65898,80.835464,75.90891,6.822447,72.08404,69.02336,85.48427,47.360634,76.08397,81.191574,87.60788,49.969902,67.240166,59.10822,59.411495,125.71356,83.49213,55.755943,71.11924,92.16776,85.57794,70.007515,69.00058,2.9108906,75.036934,34.74021,57.355614,51.855,69.39489,-71.79426,62.191372,39.164608,86.83274,23.368591,67.865585,40.98153,75.80945,58.124107,82.54004,32.650757,57.705074,39.492165,52.793644,[7],2969.3323
8,730.1648,695.25604,537.8238,694.6075,611.23,776.54517,609.8789,670.6621,181.28464,785.7168,655.8636,862.3064,343.44547,670.5629,866.1941,789.1112,403.66058,625.1629,606.8829,836.7216,1169.8386,1039.1306,1160.228,864.3838,955.8883,878.3319,481.98248,727.2327,593.1061,887.1837,718.7909,1015.32697,578.0698,709.33374,1292.4365,1145.1011,1366.2094,979.4226,579.9868,985.14087,501.40213,794.28375,268.51846,625.70636,237.12225,363.89337,230.44258,301.15787,[8],34402.73
9,641.45917,484.54788,626.7197,709.6316,584.8677,605.43555,644.0001,681.90656,582.87683,488.94897,750.9731,722.11237,446.3931,628.0808,561.9929,528.3781,339.33722,497.95627,501.59296,590.05475,538.5318,489.3261,849.3791,661.7922,640.06226,730.93005,622.4881,738.0095,889.5935,850.83203,583.64325,812.83606,387.03973,559.0892,1060.4158,919.443,402.25296,735.09015,648.80493,882.97644,305.27377,391.85324,216.12012,466.8982,198.19798,258.1079,222.8103,228.65639,[9],27907.72
