,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,-210.72784,-138.9509,-104.00241,-110.84259,8.896204,-96.54961,-206.38232,-99.025246,-23.36943,-73.88641,-109.1009,7.3863316,-139.08221,-37.68519,-16.85477,-6.6600227,54.6231,-92.28939,-107.17623,-86.03782,-122.008286,-143.35622,-82.18357,-182.89142,-22.101095,-98.52149,-12.512117,-153.11731,-68.73291,-102.81787,-91.58485,-120.5309,5.247845,-77.56141,-86.11551,-119.11958,47.248833,-11.404537,22.467434,-18.312748,-31.451778,-8.657124,27.414968,6.7896466,-1.6162982,-6.0518093,-15.600869,-6.8816085,[0],-3061.681
1,184.9227,268.42908,79.12926,107.49591,94.59128,67.51292,221.47151,93.137146,222.92587,220.10815,154.02278,144.79536,114.05299,149.79892,180.9288,194.98845,191.12708,180.54309,125.75815,156.13097,72.5968,144.77892,238.56647,339.82733,224.79942,179.41986,116.170616,230.93414,351.6559,224.63005,77.278275,150.41411,207.26685,171.8446,247.83952,220.72021,237.98375,303.737,251.80232,306.37515,112.670235,272.07822,145.99423,247.22325,151.33205,186.80331,193.27399,201.15128,[1],8961.039
2,-41697.426,-34201.918,-18211.693,-28092.152,1971.0742,-19634.348,-39189.48,-26715.64,-39695.195,-32122.234,-30829.254,-25088.92,-28632.266,-27097.621,-17010.277,-28817.844,-30319.867,-26204.613,-37361.312,-31397.139,-37612.09,-31245.084,-26803.2,-25169.816,-27976.992,-29046.87,-33810.586,-28139.488,-33155.457,-34489.28,-13483.931,-21911.484,-22873.518,-24816.598,-22964.635,-18817.707,-25874.035,-32553.902,-28184.598,-30968.0,-41977.023,-39938.918,-18887.676,-33340.312,-19825.453,-27584.994,-38426.46,-35448.062,[2],-1365674.2
3,-25365.664,-31080.646,-9131.915,-14451.139,-20565.494,-13128.196,-30524.643,-19212.162,-38292.33,-34063.086,-33010.383,-21952.305,-18964.846,-25348.025,-21493.215,-25516.895,-34307.207,-28356.773,-38667.58,-30855.682,-25336.629,-20186.146,-31604.379,-30019.617,-40245.22,-39639.906,-42434.066,-37855.926,-39716.305,-40041.836,-9085.809,-25303.137,-36475.668,-31940.395,-33139.25,-32222.098,-46898.938,-49489.773,-51161.33,-48164.934,-26456.18,-40717.457,-24266.639,-45111.914,-40661.344,-44569.184,-44126.797,-46139.957,[3],-1537298.9
4,-2551.4807,2042.532,-1607.6855,-1681.4934,-2456.128,-1912.4622,-1827.8663,-565.9966,503.65613,-414.17648,-1223.0149,-17.25595,-3876.371,-847.57355,-825.99084,-877.5619,2888.7231,-651.8639,-1468.5718,-1458.0227,-3572.878,-4589.8423,-531.9385,-2720.754,-181.57346,-275.99,-1325.1265,-2894.6294,-2626.5347,-2429.046,-3127.085,-2179.6306,368.09842,-840.0391,-2349.288,-2496.5386,281.33368,-823.7794,849.2162,-539.31946,260.03674,-75.154305,404.27014,287.34814,166.04211,-243.20685,217.61601,-34.491417,[4],-49851.504
5,5.8456063,-10.294016,1.3520188,-1.3829707,-1.7849447,-1.7285315,-2.1203256,1.6998262,16.521614,11.462524,7.971166,-4.992275,-15.515774,-6.506447,-2.0113688,2.5093725,0.052612007,-9.760477,-0.88361573,2.2253745,-20.565765,-0.011993885,-9.188231,-13.180674,-4.4818835,-1.3660545,2.6455803,0.41675657,-1.0001932,-2.2337599,-2.1687963,-9.78887,-9.99476,0.29662967,-2.9440384,-5.3652296,9.636948,6.2894,4.9769597,2.8057966,-2.7412782,0.6199032,7.486187,-0.19967964,-1.9720752,0.9916259,-7.084551,-2.4791918,[5],-67.94187
6,-17910.336,-19664.395,-8735.343,-7319.962,-3854.5078,-7514.8257,-16398.385,-13120.411,-18110.098,-15505.404,-26115.172,-13691.684,-23481.912,-21200.275,-11063.236,-14168.485,-18528.39,-18326.46,-25057.547,-18054.744,-25631.219,-21585.395,-15050.015,-11322.557,-25013.576,-19277.717,-22146.797,-21301.771,-30366.844,-29405.271,-11640.987,-13239.76,-17529.115,-16397.059,-20789.172,-14072.048,-24170.531,-25546.613,-11488.9375,-27145.047,-39077.17,-33759.887,-14473.635,-29510.643,-15237.896,-19502.979,-29565.31,-24665.1,[6],-926734.6
7,-50415.586,-59801.547,-20930.203,-34911.633,-17010.955,-25472.512,-51693.527,-33177.555,-45962.305,-42110.547,-40188.004,-28139.66,-33641.63,-32803.445,-27879.406,-37979.22,-35918.83,-36496.242,-45737.918,-39176.11,-44544.664,-39397.63,-34150.105,-33048.17,-43191.836,-43536.977,-44103.324,-33674.047,-38662.87,-42281.453,-11879.012,-28659.18,-28680.809,-30936.863,-31582.059,-24180.914,-30760.262,-42829.31,-39307.492,-38259.613,-39070.207,-40328.94,-21646.838,-38502.42,-22494.135,-29675.709,-45755.992,-40987.848,[7],-1721575.5
8,-301.78445,97.519325,191.49986,295.84467,282.8227,-33.683716,-140.13037,-89.18042,174.02962,69.26209,-226.56998,-134.90709,-93.231995,-180.05783,-244.26657,-216.66232,68.15474,58.512016,28.06619,-61.51187,-247.35736,111.613266,104.93138,365.2707,56.796055,-157.92894,-3.1115522,-153.93736,150.60953,98.523636,-371.6493,-30.457325,-11.417891,52.832733,4.233015,-127.1617,-126.377884,-79.14731,-109.11341,19.71708,3.688148,-31.499632,-72.339584,19.57088,-21.283337,-8.344867,10.551374,20.221481,[8],-988.8435
9,-12.427739,19.342197,27.095482,5.1291475,1.4593964,6.1293664,2.1136627,2.191179,32.684494,28.144255,-2.9501941,3.1680717,-10.955407,-5.9633656,-8.0163765,19.610708,40.04278,22.984886,17.364208,1.9409571,-8.817256,17.942768,42.913475,76.688034,34.430206,13.864723,13.202254,11.6310835,57.20168,28.83213,-22.751589,-19.180283,16.18294,27.02525,25.91998,2.2511096,30.595467,26.054897,23.914082,37.623657,16.210846,28.97033,14.56269,29.894257,26.230032,33.253452,17.355135,27.757334,[9],818.84625
