,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,1.8141316e-05,0.0018301624,7.191812e-05,0.002337254,0.00020433194,0.0050707525,0.0013472968,0.010022567,0.00065130624,0.014761513,0.000999715,0.010498367,0.0005960338,0.010427372,0.0046444507,0.019565554,0.0013868717,0.0152456295,0.0035637282,0.018848222,0.00070112484,0.013943712,0.0013844633,0.016347349,0.00060760346,0.012005338,0.0025068556,0.01931143,0.00024058242,0.02184114,0.001670604,0.02093347,0.0035434954,0.02461912,0.00033604924,0.004678616,0.0021866802,0.013960539,0.0056394427,0.022056986,0.009720194,0.025830448,0.0017400887,0.018237235,0.0035101124,0.026259111,0.0009144798,0.013850873,[0],0.41066837
1,2.516549e-05,0.0027063205,0.00010496808,0.0034316953,0.00037264248,0.007471744,0.0019212859,0.014505153,0.0010181196,0.021945624,0.0015604197,0.016537365,0.00093932555,0.01710067,0.006756235,0.026846841,0.0018102364,0.021636333,0.0054085176,0.023042537,0.0008702751,0.019806033,0.002053035,0.025179118,0.001100201,0.018992525,0.0035499746,0.027849305,0.0002733202,0.029924527,0.0023005868,0.029081643,0.0048357765,0.03335014,0.0004364151,0.005929597,0.00304892,0.01931131,0.007968079,0.029999126,0.01311501,0.034939405,0.0023692315,0.024820665,0.004943827,0.036900092,0.0012250394,0.017899282,[1],0.5772137
2,1.7991271e-05,0.0017687693,7.220654e-05,0.002388581,0.00019543993,0.005110931,0.0013874351,0.010378769,0.0006675966,0.0150766745,0.0010519014,0.010666062,0.0005977303,0.009937557,0.0047002817,0.020011526,0.0014024259,0.01577159,0.003731467,0.019570027,0.0007252068,0.014349764,0.0013791218,0.016622016,0.0007408858,0.012616377,0.002498243,0.019218989,0.00026064683,0.021836694,0.0016978446,0.0211042,0.003563016,0.024836335,0.00033623126,0.00474187,0.0022992706,0.014294996,0.0057224347,0.022323027,0.009945991,0.026349042,0.0017461295,0.018382147,0.0035923286,0.02703024,0.0009337653,0.014206694,[2],0.4178585
3,3.2290194e-05,0.0037282533,0.00018437768,0.0051890626,0.0005658006,0.013610752,0.0035453388,0.035427243,0.001176525,0.026093574,0.0010272512,0.022390304,0.0012227187,0.032477677,0.009402192,0.038058195,0.0040958743,0.037223242,0.009584602,0.028321033,0.0014201888,0.026085934,0.0066357926,0.05911965,0.0018946272,0.030457154,0.0047422713,0.047085352,0.0017534129,0.05674564,0.0030676052,0.04929505,0.006861141,0.048016813,0.0005724605,0.00828674,0.0052591045,0.031169036,0.01097551,0.04291347,0.020972973,0.055293325,0.0033158776,0.036987748,0.0060433396,0.046161298,0.0012352765,0.01839344,[3],0.90411645
4,9.976743e-06,0.0009750829,3.572173e-05,0.0010336268,0.00011688149,0.00265653,0.0010060745,0.0072697587,0.0003096565,0.006821104,0.00038815502,0.00507482,0.00028012952,0.0031181253,0.0024987261,0.011016335,0.0008717642,0.008559319,0.0016097112,0.009464703,0.00029892384,0.002678509,0.0005489444,0.007199581,-0.00017733815,0.0037597623,0.0015082001,0.010129277,0.0001510267,0.008380863,0.0009417448,0.011400479,0.002149044,0.014628448,0.00022283159,0.0031521465,0.0012919458,0.008396829,0.00326905,0.015926324,0.006347639,0.016838668,0.0010853002,0.0122502325,0.0022328922,0.016725296,0.0006340396,0.01005342,[4],0.22514027
5,2.0087487e-05,0.002166269,0.00012124868,0.0043728086,0.0005097438,0.010724832,0.002403968,0.024760673,0.0009676895,0.019970404,0.0012335503,0.018620234,0.0013365875,0.025481908,0.005793334,0.027794573,0.0025986498,0.027501754,0.0046026367,0.024392376,0.0016803341,0.030806184,0.0026490928,0.03257336,0.002433041,0.02641198,0.0032881058,0.031981803,0.00049222034,0.03631708,0.0023043347,0.03689801,0.0046139574,0.036801647,0.00041891646,0.0065999595,0.0036115414,0.023009911,0.007504283,0.03417144,0.01521315,0.03990814,0.002442041,0.026685175,0.0047936863,0.039004926,0.0011679094,0.019072434,[5],0.6782281
6,3.091409e-05,0.0035785022,0.00021729361,0.007646893,0.0008885881,0.017607719,0.004270607,0.0420797,0.001649275,0.034715585,0.0026766744,0.033302665,0.0027116507,0.04726406,0.009627146,0.045782708,0.0045304857,0.045179747,0.00920826,0.047980987,0.0030135612,0.058342412,0.0050514336,0.06479889,0.005163972,0.05213215,0.0052942727,0.05141616,0.0009471406,0.06466184,0.0036786264,0.057122383,0.0070292884,0.060154866,0.00064842985,0.01056848,0.006053156,0.039486088,0.011904735,0.056758534,0.023003548,0.062086195,0.003610924,0.041589975,0.007973042,0.06420544,0.001765362,0.027714165,[6],1.1571246
7,1.7309198e-05,0.0017238783,7.8877136e-05,0.0024560802,0.00028805633,0.0060195792,0.0015394773,0.013167547,0.0005188204,0.011267521,0.0007462719,0.008978483,0.00059733086,0.009057448,0.0038171,0.017248513,0.001225486,0.013047985,0.0029197694,0.014886994,0.00078669155,0.010175849,0.0009541324,0.013879236,0.00032303194,0.010484024,0.0022763235,0.017482787,0.00010439616,0.015888069,0.0013612215,0.016259437,0.003359482,0.022969274,0.0002932038,0.0042368425,0.0020547654,0.012971101,0.0050197775,0.02343721,0.009316604,0.025561485,0.0016326336,0.018170947,0.0033603907,0.02462265,0.00096073415,0.014936984,[7],0.3724818
8,-9.352469e-06,-0.001334632,-0.00012894327,-0.0039187167,-0.0005748679,-0.009616478,-0.0014510949,-0.012802791,-0.0012073563,-0.015925854,-0.001583847,-0.016204149,-0.0019330349,-0.023952639,-0.0045120977,-0.02461847,-0.0031942,-0.028587423,-0.007826827,-0.033273935,-0.001271736,-0.029897971,-0.0046152174,-0.039002296,-0.0023551802,-0.027886441,-0.0013404809,-0.01646132,-0.001151831,-0.030419178,-0.0006537146,-0.022360744,-0.0016526384,-0.016088717,-0.0001076883,-0.002946677,-0.00283795,-0.012541552,-0.0042277053,-0.019092657,-0.007631271,-0.021755777,-0.000972728,-0.01240489,-0.003449278,-0.028048184,-0.00049142237,-0.0066808425,[8],-0.5110028
9,-5.565465e-05,-0.0062165745,-0.00041552365,-0.018058037,-0.0024241183,-0.051051803,-0.004043155,-0.06212362,-0.0032891328,-0.06689722,-0.0050040805,-0.063577354,-0.007076401,-0.113393255,-0.020333666,-0.11820332,-0.0101282345,-0.095322624,-0.029414741,-0.15509604,-0.006765782,-0.13673669,-0.019376567,-0.15986142,-0.009569299,-0.1072218,-0.0064623835,-0.060184382,-0.0047743213,-0.12906674,-0.004058627,-0.09997389,-0.0074416297,-0.07927135,-0.00045602288,-0.011651554,-0.012980164,-0.059986267,-0.01806095,-0.08013403,-0.034052074,-0.091209576,-0.00477832,-0.054553874,-0.01308536,-0.1017465,-0.0021192604,-0.030808985,[9],-2.1785123
