,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,-3372.6707,-6127.3276,-12463.125,-10926.771,-12267.601,-10106.326,-12794.146,-13914.892,-8086.9795,-9712.318,-5566.668,-7468.9443,-7390.3813,-4974.4023,-15252.451,-9185.409,-13189.678,-10630.509,-19397.3,-14425.83,-15356.68,-11687.863,-13906.709,-10735.426,-11670.321,-10455.093,-9317.53,-9344.778,-17955.322,-13813.939,-13293.465,-9779.934,-3352.857,-7196.085,-9989.391,-9924.851,-13190.373,-8076.287,-12843.62,-12112.75,-4538.088,-7084.4263,-8513.501,-6363.741,-3314.1519,-5387.946,-2799.6294,-2265.516,[0],-471524.03
1,-8213.838,-11845.336,-19202.973,-18202.941,-20633.834,-17786.121,-15994.198,-14503.106,-15270.842,-16131.846,-14594.791,-15017.289,-29812.73,-16275.242,-33893.336,-23772.93,-59905.027,-32473.059,-24461.742,-22738.785,-18208.977,-19599.074,-21796.834,-20166.697,-28183.332,-20601.805,-14817.12,-19718.543,-21290.914,-21692.82,-18422.803,-15747.926,-6224.873,-15270.637,-15221.97,-17660.504,-23850.309,-16806.69,-19726.578,-22882.037,-7791.0225,-13148.318,-11879.012,-11368.581,-5605.5117,-10057.468,-5059.161,-4437.039,[1],-877966.56
2,-1.1502004,-4.56692,-2.5937018,-0.059559673,1.6809872,-1.5234611,-7.842705,-4.995019,-3.8394566,-3.3421226,-10.102621,-4.5887895,-14.853886,-7.6245213,-12.978248,-1.1156704,-6.1600404,-6.168289,-11.021348,-10.129674,1.74927,-3.950411,-3.4116452,-4.4160423,-0.41579318,-2.5303788,-15.37479,2.477614,1.1300575,-3.50694,-0.32607597,-4.8196115,-0.30390078,-1.5020777,-14.40341,-8.74983,-25.920319,-5.4566298,-15.760925,-2.0458453,-0.4810462,-0.30066127,-0.9775988,-3.0910187,-1.5999372,-3.0036714,-1.7414826,-1.1935565,[2],-232.90193
3,177.21808,220.49805,515.2509,406.03662,479.67773,354.98047,211.45996,288.2292,245.28317,294.18335,223.09781,228.01031,153.16118,171.59206,372.86227,324.3332,184.73804,245.01534,252.37451,224.96765,275.0983,287.70862,293.84723,294.75888,172.68481,308.92346,294.27722,258.48523,222.87234,275.45227,155.6572,208.40433,117.96429,230.47708,137.68651,206.3783,239.04529,271.23486,77.1106,363.34586,92.35417,148.68492,161.77966,222.61774,73.233185,137.73862,127.65625,118.48365,[3],11346.93
4,-3990.5366,-5966.798,-8410.324,-9831.057,-9840.842,-8578.06,-10175.539,-10848.375,-8862.23,-8870.326,-14515.133,-9749.058,-13073.414,-8040.94,-15600.813,-11125.32,-28423.938,-16490.672,-16013.765,-11043.33,-10434.959,-12119.696,-12831.474,-10662.036,-13258.894,-9158.35,-10270.539,-11606.479,-9595.848,-11457.042,-9293.596,-8364.88,-2266.3662,-5985.518,-6448.7324,-8138.4043,-13327.27,-7014.157,-8849.322,-8712.5,-2586.3782,-4981.62,-4996.5723,-4470.3276,-2613.7256,-5391.588,-2023.1085,-1765.5146,[4],-448075.3
5,65.98604,76.63962,70.76913,88.952515,137.46457,109.82197,61.447487,80.38458,83.65053,83.75945,68.33439,82.45752,86.34648,88.86285,109.57287,100.08159,144.01279,114.87465,117.56447,100.50113,90.02579,75.08925,76.01549,91.19963,74.80588,108.50582,133.52448,106.732956,-21.601164,70.789375,51.57254,73.219284,56.66977,93.217415,45.547836,88.31574,2.2892313,85.181076,48.96627,162.17421,36.9433,53.59938,76.11654,100.23279,34.96007,71.32336,61.405563,64.28395,[5],3882.5903
6,554.5777,658.5332,2163.411,1341.438,1681.7444,1263.0549,1009.406,1119.9193,795.9775,993.254,937.1869,927.12726,388.5028,548.7947,1027.7261,1121.393,1015.3545,1070.5674,602.23193,885.8197,685.7583,1162.719,1130.2817,1070.0154,402.41876,1065.8508,1277.2217,1349.1683,64.51084,1326.3806,610.5612,750.2761,409.55145,704.68176,529.52716,716.9168,941.21735,867.2195,596.1841,1197.1288,338.49503,575.6668,639.5746,575.3444,250.63045,462.85974,322.90744,325.91296,[6],40454.996
7,-0.9305787,-4.8170485,-0.6981113,-0.38400304,-0.9317072,-2.210056,-8.076534,-5.5420475,-3.8718333,-3.3541706,-8.155386,-2.9856782,-10.425278,-5.694475,-8.118344,0.9359394,0.23460197,-4.0045624,-10.479659,-9.58474,1.535666,-3.287609,-4.3909903,-4.7162943,-0.18559891,-2.9933348,-18.312466,2.1816998,-3.7124789,-2.8871465,1.2131442,-4.1478586,-0.38354188,-0.79744774,-14.256752,-7.127355,-24.031803,-4.8697224,-14.993492,-1.100813,0.002616834,0.28413033,-0.123296395,-2.2331798,-0.88615346,-1.7867612,-1.3395654,-0.91145736,[7],-203.35153
8,1131.3237,1628.1782,1752.2981,2662.4526,2462.2031,2466.7163,2324.6504,2334.6597,2174.525,2582.1218,1641.0006,1826.7788,2554.0337,2186.412,3926.3523,2931.9,-772.34827,1223.3385,2533.2063,2108.0137,2270.1147,3366.987,3359.0933,2944.7217,1352.8357,2634.5952,3066.0278,2786.9521,3240.3784,3857.704,2486.356,2358.9258,893.54517,1936.7458,1873.3704,2194.7415,2627.6794,2176.707,1408.4999,2670.8477,811.14905,1379.8629,1336.7618,1426.4515,627.7256,1172.5245,717.09784,654.0682,[8],99310.29
9,3263.9797,4440.5127,9576.43,7678.3037,7934.955,6617.3193,5719.4995,6305.073,5641.436,6201.8433,5431.2764,5241.8887,6570.268,5211.7744,10713.061,8731.711,8654.596,7771.9917,8019.375,7663.6025,4907.303,7376.928,7270.948,7109.1836,5883.384,6317.459,6626.711,7651.639,5723.9575,8042.764,3868.642,5214.6743,1613.3837,4017.3516,4297.9956,5417.253,7124.4536,5117.0225,7146.379,7611.645,2210.1604,3876.5518,3645.4565,3590.5732,1674.273,3132.1372,1639.5173,1543.7477,[9],277040.38
10,11076.961,16973.32,14728.482,22711.34,20756.96,20942.852,29901.281,24207.535,21143.074,21274.76,36643.082,25183.668,40106.96,22292.367,54790.133,37831.438,78618.05,38838.125,33541.61,33780.945,20984.07,30393.592,35804.844,30386.232,38432.664,23404.684,30466.258,32077.293,33064.477,33121.97,32810.29,26531.629,6454.064,17450.479,19996.902,27064.133,45224.97,22274.977,33207.965,27565.107,9528.287,15950.842,18965.805,13497.013,9686.542,15508.695,6274.615,4855.9243,[10],1266327.2
11,43.864376,46.13896,37.00334,69.11225,42.771034,70.5007,28.477482,56.738106,52.39749,57.477077,55.03575,52.86272,51.237553,57.109932,46.399063,45.801086,27.246056,48.43029,40.792892,37.347214,48.215176,43.89044,30.558523,44.086197,74.79305,54.546673,77.8136,57.829742,-2.1884756,40.42923,45.23783,50.387222,31.98597,58.633514,41.157196,65.13144,25.966793,48.646053,25.945206,85.88882,21.26771,35.079826,35.71,64.89342,21.83862,51.611008,38.09913,40.978954,[11],2225.176
12,239.08766,309.65286,255.11969,413.3677,462.91656,467.02966,378.22375,456.94952,382.6101,425.8061,424.91455,441.88324,206.84134,266.89508,530.7683,504.18048,-113.86048,267.8573,398.1463,480.2026,400.933,471.10397,507.96045,462.281,217.30577,473.08047,533.9412,510.3188,312.63983,465.3978,226.8234,362.24588,190.0101,349.9174,355.11807,421.95422,630.53143,476.4581,265.02008,608.755,173.94144,284.50528,238.21016,335.5099,120.398834,242.26147,186.10913,175.77122,[12],17197.096
13,-1.9327289,-6.1915374,-6.2887554,-1.0990621,0.447953,-2.9295459,-9.511549,-5.2611275,-5.6338024,-4.680151,-11.61178,-4.4291677,-16.056332,-8.357905,-12.795003,-0.966401,-4.553183,-5.4716516,-13.205139,-12.418502,1.2287866,-3.8144505,-7.1114397,-7.445878,-2.822423,-3.3615239,-21.884342,2.0038576,1.0807327,-5.5312033,-1.2092056,-5.9948983,-0.28880215,-1.5225253,-16.62053,-11.176556,-32.755127,-7.028484,-20.166641,-3.9241526,-1.0312499,-1.246788,-3.7620559,-4.5721006,-2.5503707,-4.6976185,-2.3240705,-1.7068983,[13],-303.1814
14,53.048096,66.40497,76.48248,81.14967,63.377953,77.5879,38.716015,67.82887,72.27153,77.438034,53.038322,66.90115,50.183548,54.28643,-4.713661,42.852398,-53.71186,35.096367,96.04671,69.00221,59.833885,36.698242,43.238914,53.261387,74.50206,61.005257,78.422775,66.19449,-3.0050077,59.114586,59.87404,57.88516,38.611485,75.814026,92.43208,106.44597,-24.860252,78.8584,50.330475,133.33276,34.3445,47.62971,41.04898,92.11732,27.10154,56.57416,53.058884,54.749542,[14],2687.9026
15,248.15422,340.9617,440.46713,482.04404,622.871,495.00568,262.6908,360.12878,388.7074,418.79654,319.42023,380.09033,441.55264,375.24933,508.8301,450.51617,376.38754,448.98804,483.49536,466.51486,416.91647,441.92313,320.7379,389.31226,378.6048,412.76328,363.99622,413.9596,157.94647,461.6479,318.06134,385.60223,162.5667,382.28577,253.0563,381.05618,490.76855,462.14087,305.31726,644.85254,184.36389,331.83472,292.46008,330.58044,131.3291,266.8828,180.41948,180.33226,[15],17752.592
16,77.877335,83.39488,23.189932,128.24677,106.720795,138.36829,41.55232,100.08243,110.966095,119.97943,114.78464,116.82147,60.27201,88.81914,99.57902,110.40999,-2.304226,94.70055,105.19156,93.91447,112.5695,122.653625,124.49084,131.16072,102.730675,129.49208,163.2586,128.78166,19.405996,109.55121,81.79195,104.11485,65.99468,137.37164,90.64627,130.07642,58.068817,111.119934,60.164337,176.88223,50.27044,97.08103,46.993073,117.95254,40.060135,94.25982,68.69081,72.804115,[16],4561.005
17,103.75836,137.72858,332.7802,235.11496,172.87347,187.19267,112.24733,164.74478,158.28326,169.15884,112.02527,141.83829,122.60601,133.4579,73.672424,138.00456,-42.138268,84.30389,172.21887,153.75488,116.68228,129.96417,144.94482,149.47049,149.83511,162.01913,165.9404,156.2109,185.55125,185.02594,83.69048,126.8286,69.304504,152.7281,185.1384,180.00677,66.46034,166.38489,112.222824,190.55472,55.998882,78.87686,101.19161,164.96988,57.087357,118.44456,94.69615,95.79799,[17],6509.6533
18,70.62247,88.482346,118.66237,129.68527,116.759926,138.49702,43.0071,82.77666,121.80453,117.89165,75.55141,101.86788,42.63582,73.93004,79.05755,90.68869,-97.45796,46.565563,72.86397,83.254456,83.46796,79.67243,109.26068,99.077385,123.17658,124.844505,142.02606,100.257256,57.615227,76.27997,99.41214,105.095245,49.28631,108.8634,120.19784,139.92487,-8.0862255,106.20479,74.54856,178.91086,41.749462,70.04739,40.51756,112.540695,33.88124,73.59442,65.38321,69.2796,[18],4074.1765
