,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,-1493.5632,-576.2506,-31.272446,1170.189,-309.8546,-475.6517,283.43573,336.01892,-4193.355,-2885.1567,1433.0305,929.15875,-1351.5511,-1319.8589,-7599.537,-6766.55,-10.244995,-434.24612,-1154.4673,-88.032234,1649.1781,-60.665222,1131.4221,361.4301,1153.667,-1812.2041,-1027.5255,-388.03024,-1577.9785,-70.101074,-6989.833,-5614.0693,-890.6603,-798.4791,1025.1621,-1505.8027,-5560.375,-7228.942,-5038.9062,-2614.77,-1488.3073,-814.7831,1804.1385,-2857.6829,9204.77,-1791.0951,-1242.8538,-1150.0457,[0],-58731.113
1,-2835.8896,-1047.4229,-262.1685,-1062.4828,162.97595,-279.39114,21.007446,-228.64066,24.166595,-962.41565,518.1271,526.18414,-831.3047,660.1092,-1992.7024,-1755.258,-1536.7643,-1062.0161,11.989899,668.43805,709.6476,-515.7637,-1382.5928,-808.80676,1298.3076,-1152.1893,-317.10956,-431.253,-1818.7434,-617.4684,-4357.175,-3525.749,-194.56058,-6.8927155,-523.6916,-33.204834,-753.4988,-3021.3206,-1627.4253,-570.1096,1143.4534,214.85855,3661.474,-163.26282,12637.28,1793.544,4813.9004,17.312683,[1],-6794.498
2,-1872.4214,-1599.8156,-223.85901,-974.71063,59.386093,-369.7954,-374.48514,-142.52328,-1198.4133,-2048.717,271.73312,337.88806,-857.20905,-378.62115,-5558.6895,-5302.9526,-1714.5336,-1199.8827,-628.7666,-177.80542,97.09424,-1283.5858,-2038.7378,-872.5636,1481.4033,-864.2145,-6688.7373,-2340.4893,-1175.4697,-595.5705,-5834.629,-4233.5312,-157.71071,-21.832794,-48.581375,-10.630127,592.0489,-2528.8901,-1105.9954,-870.37823,951.7594,127.92659,5303.7407,-218.96776,10544.738,1661.0476,4182.7783,32.010803,[2],-29870.16
3,-1068.0356,-1229.5913,339.76233,-240.41763,1157.0587,101.82866,-98.3886,-34.478603,-2147.095,-2272.4058,-116.10794,-108.95337,97.58009,673.41174,-1433.094,-1493.4299,34.235107,99.383675,-791.1146,-523.42346,229.67023,-1026.6,-552.3645,345.98502,517.3059,-1331.9406,-19.125069,-1340.6881,1315.1963,-200.49579,-2760.223,-3400.8252,52.046585,-190.97998,126.53861,-50.180664,3150.682,2077.774,-688.9469,-185.10577,2425.8115,564.9554,4636.7783,38.55362,11296.685,1555.4065,3117.229,71.22156,[3],10721.089
4,-724.3474,-98.20175,138.61432,27.520218,583.95624,165.04117,-251.75919,-80.56935,-163.29628,-479.11765,-130.73936,-71.201965,128.99203,515.3712,-281.6369,-378.18387,-297.94452,-459.3462,-82.04047,-6.6096497,37.012047,-156.84311,-88.07282,83.51521,-159.76239,-158.66513,-445.1175,-170.18497,487.51337,-91.26592,-1329.1516,-1430.9966,27.254803,-41.38951,-152.02747,-121.90637,943.7776,316.38193,-420.7116,-262.46173,668.47705,-4.9660587,1834.1548,135.0037,3098.236,535.0065,1891.9043,-148.61838,[4],2930.597
5,-2489.2031,-1263.5441,354.6973,2681.5876,1336.5718,800.99927,762.39136,703.10614,158.03983,-845.4194,-186.55685,418.52728,1448.8206,1991.6091,-1564.5383,-765.2637,585.5841,-473.40662,132.6325,543.70447,731.901,-146.39401,718.48474,316.8944,-67.6936,-206.26744,-1011.3341,676.6946,-1286.57,180.49689,-3724.2627,-3026.2266,-48.076744,-368.59143,601.18494,-1032.4626,556.18835,-2576.8247,409.6411,-2906.2803,-1483.8673,-611.54114,2218.2603,-1619.9255,7470.2773,-1241.4727,205.23148,-339.51288,[5],-3281.7083
6,-3802.9539,-1900.4851,-1272.196,-1980.5518,-299.34726,-938.89606,-155.53503,-264.20776,-3275.4736,-2372.0898,1086.5776,576.3726,-2859.067,-2071.7554,-5802.1855,-5751.8613,-2103.6836,-1302.1195,-806.54846,331.65598,610.0733,-1576.512,-2706.8145,-1193.7222,2143.554,-1451.8228,-2051.8623,-1295.2072,-914.1001,359.5725,-6561.001,-4754.9414,-4.177311,52.06764,67.84505,159.88611,331.38745,-2194.4717,-1017.0033,-701.86127,435.50735,196.16907,4211.826,-379.20657,9638.722,1514.0424,3299.8362,264.8131,[6],-38481.754
7,134.51112,-1518.0585,-720.4946,-856.9636,-1536.0947,-1244.9037,446.99506,-185.63301,-1820.2142,-1618.2454,10.536308,-709.57025,-1194.4325,-553.45416,-2745.255,-3231.838,-1374.0514,-407.35635,-778.1887,-796.563,29.072296,-831.5904,-977.03503,-705.71375,772.80164,-1388.1545,-5932.2607,-3039.4507,-2483.0317,-1990.4034,-3584.1687,-2129.459,388.97546,317.82925,-601.5199,104.88037,-2028.5225,-2838.0664,-2615.309,-568.72546,518.7269,-398.48364,3408.9326,93.47638,11443.281,2039.1189,2181.5093,170.62209,[7],-31341.941
8,-208.4831,41.208588,182.40152,273.8765,620.27356,167.7544,38.378376,-12.256252,124.66783,324.61993,-53.367874,202.32828,52.11714,484.49835,1122.4268,992.96936,-64.06194,30.990082,-75.89455,-26.947878,323.2428,9.589989,276.68817,300.0495,11.5261345,-297.03824,330.42325,47.87655,934.3075,-143.24539,-141.76968,-902.6245,-239.18726,-294.66498,-73.978714,31.658218,-782.60547,-1251.3839,-97.31647,74.87081,-350.6114,64.63333,462.59808,235.52235,2198.2222,546.4276,605.551,-28.032776,[8],6068.228
9,-785.9314,-745.13806,-381.52515,-1132.2334,-2297.2998,-1573.2388,1035.4702,77.39354,-774.18835,-1950.1829,20.039112,-1556.9753,-1686.399,-11.819321,-3355.3467,-2734.8506,-794.0615,627.70966,-1142.3652,-1955.7734,1494.54,-1294.4541,-509.89075,-920.46924,1613.081,-2421.396,-264.6236,-1704.0077,-1858.051,-1918.6938,-3310.4868,-3216.5132,256.67212,52.47318,-1377.7476,168.9473,-2896.8691,-3117.037,-4380.1694,-639.82983,-67.23979,-649.52515,4719.1045,-346.4831,13799.676,1974.423,4155.674,-89.05084,[9],-23864.656
