,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,14.843969,2.9964619,-1.7117724,1.1721112,2.4130802,2.290669,-1.7747009,-0.9206805,0.32629824,9.954479,-10.655901,-5.340891,-50.848766,-0.55298376,3.4645505,-4.112665,42.132187,28.877918,-44.969475,-11.460569,-49.59594,-22.08421,23.14721,12.801801,214.56836,63.216743,9.465844,22.619461,13.156564,29.438944,-33.43996,1.5567365,13.91559,3.022718,47.030556,4.8799467,45.47955,15.945118,7.3423195,7.060117,-43.058765,1.5722337,29.53321,41.888386,-63.988987,0.33060962,53.610294,13.123216,[0],438.66095
1,-9087.459,-10540.111,-3782.7598,-8575.469,-9199.647,-5362.509,-17768.059,-15122.113,-20201.625,-6282.052,-16583.73,-21533.992,-21687.586,-18470.021,-21889.21,-15248.955,-12153.302,-17770.629,-29773.727,-24789.172,-23376.3,-34517.312,-30882.867,-48036.96,-42314.367,-29352.965,-35386.152,-51612.89,-31052.371,-47110.383,-61318.582,-60399.324,-15800.287,-42149.293,-15866.164,-20864.217,-22266.7,-15621.785,-14912.502,-40609.32,-17886.031,-54825.586,-44052.35,-41874.07,-28481.123,-36970.96,-61529.258,-67338.97,[1],-1342231.4
2,-14973.426,-8325.059,-6182.751,-11794.087,-10963.621,-8031.7905,-10549.389,-19552.33,-13453.172,-12783.832,-7719.821,-18961.48,-6235.0713,-10377.764,-16524.168,-16713.516,-22035.54,-17052.988,-13499.113,-12180.354,-11248.635,-18819.338,-23769.809,-21675.328,-17148.7,-14594.3,-10322.28,-17321.656,-23659.703,-20133.137,-23434.371,-22186.895,-11219.342,-15903.471,-12675.232,-21695.875,-5529.812,-4035.8582,-14203.815,-26792.379,-11227.568,-31181.95,-16567.867,-17366.166,-9542.287,-21387.877,-45872.125,-51077.297,[2],-798502.4
3,-5537.8687,-12034.141,-6349.723,-9505.804,-2368.5781,-3858.2876,-7441.593,-12258.578,-16018.701,-12215.035,-15667.421,-16769.549,-11692.185,-13823.764,-14184.026,-22362.281,-11957.412,-13117.046,-7878.9863,-9610.568,-8936.024,-13739.902,-16908.7,-17578.14,-22625.42,-17415.914,-11150.294,-9238.144,-19356.113,-24277.637,-16414.059,-15909.317,11497.879,-5070.2393,-20023.418,-31422.273,-19379.326,-13089.421,-9989.471,-24667.938,-6823.043,-12901.176,-27380.076,-17609.107,-10080.091,-15649.897,-16398.031,-20113.957,[3],-657300.7
4,-1329.6991,1463.0833,-1963.4109,-3322.7036,1387.2042,81.87451,-8222.619,-8445.394,-17388.592,-8181.6133,-7498.3345,-5070.392,-313.7072,-3333.9136,-5569.302,-4088.0632,-10992.906,-10348.61,2714.0562,-1233.6493,-9529.648,-13663.125,-478.9088,-1479.8406,-9930.039,-9751.797,-9053.836,-3977.0488,-2730.8086,-6612.8105,-16631.781,-13735.687,-30175.895,-33881.793,-18222.576,-13466.47,-18890.906,-16507.098,-14768.455,-14293.344,-7362.0264,-21286.395,-18374.559,-20246.781,-11287.203,-18843.94,-29480.031,-18662.86,[4],-494982.38
5,-8996.921,-3802.8535,-8633.222,-9847.355,-9318.857,-7073.126,-10879.817,-8035.8027,-20985.125,-4839.3687,-14013.299,-10252.184,-16644.479,-16200.221,-11382.213,-10579.643,-29493.164,-25643.832,-22839.633,-17263.414,-25429.537,-32029.775,-13051.855,-23055.703,-23424.21,-21943.65,-30699.707,-19047.904,-15793.076,-26912.516,-16090.441,-28272.852,-30206.129,-48503.64,-19352.658,-13827.855,-39859.625,-38598.348,-15134.746,-7738.9487,4518.99,-28161.691,-15708.247,-17096.96,-4852.2534,-21737.9,-23373.242,-16743.686,[5],-878852.7
6,1943.5804,-11166.53,-5276.041,-4608.035,-3880.7822,-2821.632,-11706.601,2173.2246,-17006.215,-15800.08,-19910.242,-12913.199,3723.0586,-13289.662,-17979.494,-19441.555,-8333.648,-7042.2266,-24914.336,-16327.527,-35790.7,-23699.879,-7722.37,-15172.729,-47920.27,-26623.707,-28476.387,-17623.285,-14825.365,-27271.092,-7719.0703,-19775.469,-8398.236,-18278.45,-14430.008,-30365.205,-55273.977,-51406.57,-16612.824,-12319.629,-4464.736,-19808.422,-45155.79,-23727.08,-13401.709,-14899.406,-20418.406,-20939.754,[6],-847098.5
7,3.7176037,2.025382,4.2748218,-0.6377137,-1.8082011,-1.2432876,4.295047,4.105994,-8.171435,1.1280499,-8.511753,1.7024689,-14.746141,2.0212035,6.3952036,5.506254,13.970106,9.817858,-49.74102,-14.202156,-12.202103,-1.6070528,-1.8858194,14.061785,99.23595,29.490868,14.483186,13.844238,20.014828,17.892582,-13.213942,-4.7471733,8.254246,6.9870067,33.96593,5.5875616,44.02428,32.663673,6.3972073,6.6682925,-18.632553,3.8991983,25.248549,23.056507,-28.390213,-1.6223903,28.554846,9.407523,[7],321.3353
8,-5654.283,-9425.727,-3642.9385,-30438.25,114.08789,-14738.781,-26223.984,-22547.564,-56951.945,-49119.977,-43459.395,-19758.92,-35861.883,-19875.73,-48705.555,-41565.33,4933.3154,-13806.928,-21788.566,-21600.945,-79414.89,-52662.95,-56787.758,-70566.57,-50779.06,-48530.605,-124614.75,-75713.53,-45543.062,-51851.258,-76112.77,-69745.11,-63811.832,-60606.81,-75037.414,-52159.164,-29747.768,-31245.648,-9866.329,-74819.84,-27342.627,-63043.637,-58411.96,-40619.21,-26188.658,-31441.467,-95081.11,-83115.1,[8],-2104980.2
9,1861.12,-8838.591,-4807.372,-4489.872,-2946.3496,-3225.9495,-9642.32,-973.07495,-13181.652,-11661.915,-15779.143,-14258.916,-1300.5735,-10176.072,-9317.463,-11333.838,-14516.953,-8899.907,-33097.36,-23193.76,-30959.355,-24858.945,702.09265,-8975.576,-34655.492,-26488.2,-22609.67,-16614.822,-16394.467,-23086.86,-10315.784,-12668.883,-8855.473,-14914.05,-29003.596,-32208.93,-30179.23,-30767.79,-20714.547,-15095.404,-7875.477,-33792.13,-16732.586,-17003.863,-2432.7637,-14709.111,-38897.734,-31590.998,[9],-771479.56
