,base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,ids,sum_model_cols
0,13.920437,3.7355647,-1.6893346,1.4457513,2.3675208,2.26219,-1.8137081,-1.0937073,1.7887821,10.094468,-11.326783,-5.691671,-51.344265,-0.6235609,3.6322742,-3.657024,42.258163,28.849518,-46.740555,-12.680825,-50.802944,-22.849691,22.68351,12.346575,213.01416,62.736794,8.999577,22.648958,13.65906,29.187271,-33.052094,1.6958251,14.012127,3.0491362,47.036366,4.852708,45.484478,15.957286,7.3426156,7.0585194,-43.063404,1.5709863,29.532478,41.887634,-63.98872,0.33064765,53.61031,13.123214,[0],431.7566
1,-9091.93,-10507.715,-3705.9014,-8502.461,-9193.5,-5318.182,-17637.953,-14944.916,-20013.715,-6273.919,-16645.283,-21571.879,-21421.555,-18417.105,-21890.174,-15386.949,-12159.439,-17720.602,-29748.477,-24796.66,-23660.91,-34629.766,-30913.658,-48090.863,-41983.9,-29229.004,-35394.582,-51613.555,-31030.473,-47074.688,-61318.13,-60420.39,-15797.338,-42157.586,-15873.158,-20867.662,-22266.422,-15625.565,-14912.372,-40606.18,-17886.234,-54826.723,-44051.5,-41874.117,-28480.959,-36970.754,-61529.26,-67338.945,[1],-1341373.1
2,-15027.992,-8512.295,-6113.0654,-11755.713,-10954.717,-8029.5645,-10457.215,-19454.6,-13226.496,-12716.134,-7679.238,-18922.637,-6258.835,-10382.195,-16488.549,-16676.98,-22001.07,-17026.125,-13418.212,-12129.762,-11240.031,-18751.418,-23736.893,-21720.445,-17152.402,-14593.739,-10316.623,-17352.12,-23637.604,-20130.148,-23448.314,-22186.98,-11212.047,-15898.1045,-12659.973,-21701.89,-5514.367,-4023.9692,-14200.664,-26787.475,-11227.516,-31181.678,-16567.188,-17366.172,-9542.229,-21387.768,-45872.13,-51077.29,[2],-797718.7
3,-5662.7505,-11960.792,-6387.673,-9476.616,-2277.2744,-3796.8362,-7455.98,-12214.273,-15999.924,-12158.777,-15569.394,-16666.688,-11706.436,-13805.882,-14137.311,-22383.527,-11891.473,-13114.23,-7947.4443,-9684.999,-9152.238,-13770.076,-16804.281,-17524.984,-22703.0,-17449.027,-11150.962,-9244.889,-19329.93,-24278.389,-16398.264,-15909.931,11503.647,-5069.1304,-20021.41,-31426.879,-19370.658,-13079.604,-9991.746,-24668.303,-6823.048,-12901.236,-27379.5,-17609.148,-10080.042,-15649.853,-16398.033,-20113.953,[3],-657093.2
4,-1341.4309,1490.9275,-1959.9261,-3284.8208,1420.0054,109.34747,-8204.396,-8459.326,-17325.945,-8239.618,-7484.4946,-5019.7207,-391.45508,-3387.153,-5685.6445,-4218.5317,-11064.133,-10385.616,2733.794,-1277.821,-9347.028,-13646.611,-402.21982,-1544.4065,-9945.402,-9823.693,-9075.633,-3963.822,-2778.0466,-6628.5957,-16614.357,-13720.335,-30208.318,-33893.543,-18230.771,-13469.068,-18887.902,-16507.805,-14767.161,-14293.133,-7360.6235,-21285.914,-18374.22,-20246.898,-11287.16,-18843.898,-29480.031,-18662.854,[4],-495265.38
5,-8793.239,-3683.332,-8602.133,-9835.83,-9292.35,-7049.4844,-11033.469,-8153.989,-20908.562,-4613.59,-13861.248,-10265.378,-16553.926,-16115.308,-11481.241,-10604.736,-29626.883,-25702.057,-22806.145,-17256.352,-25265.719,-32077.986,-13046.014,-23078.818,-23630.613,-21963.922,-30728.275,-19062.715,-15785.814,-26947.25,-16172.738,-28279.605,-30195.398,-48502.234,-19347.328,-13827.539,-39858.336,-38596.82,-15134.571,-7738.2993,4519.5137,-28161.764,-15707.955,-17097.062,-4852.2173,-21737.86,-23373.244,-16743.684,[5],-878633.5
6,2038.4723,-11183.549,-5267.401,-4620.6577,-3881.2966,-2824.2485,-11615.975,2224.859,-16910.508,-15862.652,-19844.645,-12910.287,3607.6245,-13395.169,-17962.473,-19396.61,-8313.467,-7021.789,-24892.598,-16338.4375,-35717.656,-23689.453,-7702.4404,-15164.488,-47930.13,-26635.758,-28502.264,-17630.924,-14849.961,-27255.809,-7712.8296,-19781.016,-8404.5,-18277.629,-14388.389,-30369.996,-55288.95,-51404.094,-16613.588,-12320.982,-4464.907,-19808.664,-45154.75,-23726.854,-13401.668,-14899.4375,-20418.406,-20939.75,[6],-846826.25
7,3.8117268,1.690933,4.366837,-0.69857866,-1.7347505,-1.2164134,4.404259,4.123314,-8.140626,1.283349,-8.131393,1.8036866,-14.754438,2.035579,6.372982,5.4151444,14.430088,9.965166,-49.782867,-14.074076,-11.974417,-1.4203424,-1.9504145,14.104329,99.041374,29.49176,14.459738,13.829498,19.905575,17.8988,-13.252909,-4.7475166,8.2182865,6.939636,33.979324,5.607177,44.024784,32.666557,6.398535,6.6674185,-18.63447,3.8989458,25.247955,23.056118,-28.390095,-1.6223927,28.554853,9.40752,[7],322.57556
8,-6148.5596,-9156.72,-3666.8306,-30414.73,114.09863,-14581.513,-26245.629,-22578.664,-57249.8,-48898.53,-43359.516,-19890.352,-36006.04,-19948.656,-48613.688,-41313.113,4825.9473,-13875.093,-21900.61,-21652.906,-78803.71,-52526.21,-56665.883,-70586.58,-50757.984,-48508.383,-124517.75,-75693.6,-45487.46,-51833.234,-76068.09,-69747.234,-63804.297,-60608.227,-74978.86,-52147.992,-29745.543,-31245.43,-9866.32,-74813.99,-27342.42,-63044.395,-58410.93,-40619.254,-26188.504,-31441.217,-95081.11,-83115.09,[8],-2104210.5
9,1866.2562,-8802.094,-4778.635,-4387.452,-2986.9316,-3239.0718,-9685.984,-1084.8597,-13093.633,-11649.485,-15745.24,-14251.418,-1408.3801,-10247.359,-9296.368,-11207.1875,-14410.67,-8841.6,-33039.29,-23145.664,-31042.062,-24904.303,709.9148,-8978.046,-34804.91,-26528.39,-22628.344,-16620.312,-16397.842,-23092.857,-10290.4375,-12666.639,-8855.0625,-14908.598,-28977.137,-32187.873,-30213.887,-30807.365,-20716.965,-15095.975,-7875.4897,-33792.94,-16732.26,-17003.812,-2432.7666,-14709.118,-38897.734,-31590.992,[9],-771477.2
