,0
1264,12.375
1265,6.6875
1266,2.875
1267,3.171875
1268,3.546875
1269,8.75
1270,4.8125
1271,4.53125
1272,9.1875
1273,8.25
1274,5.25
1275,5.90625
1276,2.984375
1277,4.28125
1278,9.1875
1279,4.59375
1280,3.4375
1281,2.875
1282,5.40625
1283,4.0625
1284,9.9375
1285,8.0
1286,4.46875
1287,5.96875
1288,3.078125
1289,3.71875
1290,4.875
1291,5.4375
1292,5.25
1293,2.046875
1294,3.4375
1295,2.171875
1296,2.984375
1297,3.890625
1298,6.0625
1299,4.4375
1300,3.578125
1301,2.515625
1302,4.03125
1303,3.296875
1304,4.09375
1305,5.09375
1306,4.25
1307,4.03125
1308,5.625
1309,3.0625
1310,4.9375
1311,3.6875
1312,3.0625
1313,8.75
1314,2.609375
1315,2.609375
1316,2.71875
1317,9.8125
1318,2.046875
1319,8.125
1320,5.5
1321,1.90625
1322,4.34375
1323,5.53125
1324,2.84375
1325,3.75
1326,4.21875
1327,2.6875
1328,4.84375
1329,2.609375
1330,3.921875
1331,3.984375
1332,3.203125
1333,2.09375
1334,3.71875
1335,3.921875
1336,3.125
1337,2.15625
1338,5.09375
1339,3.59375
1340,7.375
1341,3.296875
1342,2.203125
1343,3.859375
1344,2.25
1345,4.625
1346,2.6875
1347,3.46875
1348,3.953125
1349,3.578125
1350,2.140625
1351,2.515625
1352,5.53125
1353,5.09375
1354,5.4375
1355,1.8046875
1356,2.140625
1357,2.1875
1358,2.9375
1359,4.9375
1360,5.625
1361,3.59375
1362,4.625
1363,7.875
1364,3.46875
1365,4.59375
1366,2.9375
1367,4.96875
1368,2.796875
1369,3.828125
1370,2.578125
1371,3.109375
1372,3.359375
1373,7.625
1374,3.75
1375,2.28125
1376,2.65625
1377,3.515625
1378,3.03125
1379,2.703125
1380,2.265625
1381,8.375
1382,2.09375
1383,7.28125
1384,4.1875
1385,3.25
1386,2.84375
1387,3.515625
1388,3.296875
1389,3.15625
1390,4.03125
1391,3.484375
1392,4.6875
1393,7.625
1394,2.546875
1395,2.375
1396,4.21875
1397,9.9375
1398,4.28125
1399,11.25
1400,3.984375
1401,2.109375
1402,11.8125
1403,3.15625
1404,3.578125
1405,3.859375
1406,3.828125
1407,13.375
1408,3.25
1409,3.25
1410,8.125
1411,3.65625
1412,1.8359375
1413,2.421875
1414,2.984375
1415,10.5625
1416,4.625
1417,3.78125
1418,3.15625
1419,5.03125
1420,3.46875
1421,4.125
1422,2.578125
1423,13.1875
1424,2.5625
1425,3.515625
1426,3.296875
1427,2.203125
1428,6.21875
1429,2.765625
1430,3.015625
1431,3.25
1432,2.59375
1433,5.3125
1434,4.84375
1435,3.71875
1436,7.625
1437,2.875
1438,4.96875
1439,8.625
1440,8.625
1441,2.796875
1442,2.9375
