,0
140,1.0390625
154,1.015625
176,1.125
179,1.046875
190,1.03125
204,1.0234375
209,1.0546875
215,1.28125
194,1.5703125
221,1.546875
229,1.25
275,1.40625
807,1.8125
422,1.1953125
440,1.6171875
446,1.0234375
486,1.0390625
503,1.9921875
517,1.1875
521,1.78125
530,1.78125
769,1.1640625
784,1.421875
791,2.875
149,2.5
458,1.5859375
1308,2.03125
968,1.765625
987,1.3984375
1005,1.171875
1020,1.359375
1054,2.3125
1081,1.5234375
1087,5.3125
1097,1.078125
993,1.1328125
1013,1.4140625
1024,1.203125
1032,1.8359375
1037,2.46875
1066,1.2109375
1074,1.4765625
1104,1.34375
282,1.984375
294,1.125
373,1.890625
411,2.15625
895,2.265625
990,4.46875
1093,5.15625
1098,8.25
1112,4.375
1121,3.921875
1146,2.296875
421,1.1796875
437,1.671875
450,1.09375
470,1.34375
481,1.3359375
485,1.171875
494,1.3046875
509,1.1796875
147,2.0625
173,1.1015625
199,1.21875
243,1.015625
1398,1.4453125
1307,1.1953125
1343,1.1953125
1354,1.171875
1359,1.3203125
1376,1.1015625
1381,1.71875
1393,1.453125
1401,1.1015625
432,1.34375
445,1.46875
461,1.1171875
499,2.28125
504,1.78125
534,1.0546875
548,3.078125
1177,1.140625
1298,1.1875
1317,2.046875
1348,1.1015625
1365,1.5234375
1369,1.203125
1386,1.1875
1419,1.4765625
1425,1.25
455,1.2421875
465,1.1171875
478,1.0390625
490,1.28125
426,1.1640625
524,1.0859375
554,1.140625
1154,2.25
1159,1.7109375
1164,2.5
1171,1.1484375
1175,2.109375
1184,1.640625
1195,1.5390625
1202,1.28125
563,1.5546875
599,1.6171875
620,1.8359375
652,2.671875
662,1.0859375
681,1.296875
684,2.796875
690,1.5546875
14,1.3125
20,1.2265625
72,1.7578125
91,1.203125
115,2.109375
121,2.0
126,1.8671875
130,1.203125
7,1.5078125
98,1.296875
582,1.8828125
614,2.984375
632,2.296875
701,1.578125
1237,1.2890625
1259,1.046875
577,2.21875
596,1.671875
604,8.9375
641,1.6328125
647,2.625
672,2.03125
711,2.0
31,3.15625
36,2.4375
44,1.7265625
626,1.4921875
657,2.765625
26,3.03125
69,2.5
109,2.59375
1306,1.59375
1345,1.5078125
1352,3.078125
1374,1.359375
1379,1.203125
1406,1.359375
1424,1.2265625
1431,1.3515625
