,0
800,1.671875
801,1.796875
802,1.9296875
803,1.765625
804,1.8671875
805,1.9453125
806,2.109375
807,2.125
808,2.15625
809,1.890625
810,1.8828125
811,2.390625
812,93.0
813,260.0
814,1.9453125
815,1.9921875
816,1.6640625
817,1.9296875
818,1.9921875
819,7.625
820,1368.0
821,1.8671875
822,2.109375
823,1.8515625
824,1.8828125
825,3.0625
826,2.109375
827,1.75
828,1.9375
829,1.875
830,1.953125
831,1.9296875
832,2.109375
833,1.90625
834,1.765625
835,1.9921875
836,2.03125
837,1.828125
838,1.7421875
839,1.890625
840,1.7109375
841,1.859375
842,1.953125
843,2.25
844,1.765625
845,1.796875
846,1.96875
847,1.9375
848,1.9296875
849,1.96875
850,2.0
851,2.171875
852,2.109375
853,1.7890625
854,1.953125
855,1.71875
856,1.8515625
857,2.03125
858,1.9921875
859,1.8671875
860,1.875
861,1.9375
862,1.8828125
863,1.8515625
864,1.640625
865,2.1875
866,2.015625
867,1.890625
868,1.7734375
869,1.90625
870,1.890625
871,1.8359375
872,1.9765625
873,1.6796875
874,1.8359375
875,1.828125
876,2.109375
877,1.84375
878,1.75
879,1.9140625
880,2.078125
881,2.015625
882,2.140625
883,1.75
884,1.9296875
885,1.984375
886,1.7421875
887,1.7890625
888,1.890625
889,1.765625
890,1.859375
891,1.7578125
892,2.234375
893,2.171875
894,2.171875
895,2.09375
896,1.9453125
897,1.859375
898,1.765625
899,1.9453125
900,1.84375
901,1.7421875
902,1.84375
903,1.75
904,2.171875
905,74.5
906,1.75
907,1.640625
908,1.8046875
909,1.7578125
910,1.578125
911,2.0
912,2.046875
913,1.8828125
914,1.8046875
915,2.03125
916,1.9296875
917,1.625
918,1.96875
919,2.0
920,2.3125
921,1.921875
922,1.796875
923,2.078125
924,2.28125
925,1.7890625
926,2.171875
927,1.9375
928,1.7421875
929,1.921875
930,2.171875
931,2.03125
932,2.0625
933,1.859375
934,2.25
935,2.078125
936,2.140625
937,1.8828125
938,1.890625
939,1.8515625
940,1.671875
941,2.0
942,1.765625
943,1.6875
944,1.890625
945,2.125
946,2.203125
947,2.28125
948,2.140625
949,2.09375
950,1.9921875
951,1.9453125
952,1.90625
953,1.921875
954,1.8671875
955,1.9140625
956,1.9375
957,1.6796875
958,2.25
959,1.9140625
960,2.125
961,1.7578125
962,1.90625
963,1.9140625
964,1.9296875
965,1.9453125
966,2.015625
967,2.15625
968,1.9375
969,1.7890625
970,1.984375
971,1.6796875
972,2.03125
973,1.7734375
974,1.75
975,2.0625
976,1.9140625
977,2.25
978,44.5
979,2.109375
980,2.015625
981,108.5
982,2.0
983,2.046875
984,2.234375
985,1.9375
986,2.359375
987,2.0625
988,1.71875
989,2.0625
990,2.203125
991,1.953125
992,2.171875
993,2.078125
994,1.953125
995,1.8671875
996,2.125
997,1.84375
998,1.7265625
999,1.8046875
1000,1.640625
1001,1.8515625
1002,1.6953125
1003,1.828125
1004,1.984375
1005,1.765625
1006,2.234375
1007,1.84375
1008,1.890625
1009,1.71875
1010,1.75
1011,1.921875
1012,1.921875
1013,1.9921875
1014,1.6640625
1015,1.796875
1016,1.9140625
1017,2.09375
1018,2.0
1019,1.84375
1020,1.765625
1021,1.7109375
1022,1.9921875
1023,1.7109375
1024,2.203125
1025,2.421875
1026,2.15625
1027,1.90625
1028,2.203125
1029,2.1875
1030,1.765625
1031,1.6953125
1032,2.34375
1033,1.9375
1034,1.8203125
1035,1.8671875
1036,1.875
1037,1.75
1038,1.65625
1039,1.8671875
1040,2.046875
1041,2.0
1042,1.828125
1043,1.8046875
1044,1.875
1045,1.9453125
1046,2.40625
1047,2.0
1048,1.9375
1049,1.953125
1050,2.25
1051,1.8359375
1052,1.875
1053,1.921875
1054,1.9140625
1055,1.9453125
1056,1.640625
1057,1.875
1058,1.921875
1059,1.875
1060,1.75
1061,2.03125
1062,1.9140625
1063,1.9140625
1064,2.09375
1065,1.96875
1066,2.1875
1067,2.0
1068,2.046875
1069,1.8671875
1070,1.9296875
1071,1.8671875
1072,2.0
1073,2.109375
1074,2.046875
1075,185.0
1076,2.109375
1077,2.015625
1078,1.84375
1079,2.109375
1080,1.8515625
1081,368.0
1082,4928.0
1083,2.03125
1084,2.09375
1085,1.9765625
1086,1.984375
1087,2.1875
1088,1.8671875
1089,2.171875
1090,8.125
1091,11.625
1092,2.03125
1093,1.7734375
1094,1.8125
1095,1.90625
1096,1.7734375
1097,1.8828125
1098,2.0
1099,2.046875
1100,77.0
1101,1.828125
1102,1.65625
1103,1.734375
1104,1.765625
1105,1.703125
1106,1.96875
1107,1.8515625
1108,1.953125
1109,2.921875
1110,2.265625
1111,2.5625
1112,2.46875
1113,1.625
1114,1.7734375
1115,2.0625
1116,1.9765625
1117,2.703125
1118,2.765625
1119,1.71875
1120,2.65625
1121,2.640625
1122,2.375
1123,3.4375
1124,2.375
1125,2.1875
1126,2.453125
1127,41.25
1128,74.5
1129,38.75
1130,1032.0
1131,1064.0
1132,732.0
1133,209.0
1134,536.0
1135,368.0
1136,3.15625
1137,2.671875
1138,79.5
1139,3.125
1140,47.5
1141,46.0
1142,135.0
1143,7.34375
1144,2.96875
1145,2.328125
1146,1.9765625
1147,28.375
1148,3.65625
1149,2.875
1150,2.0625
1151,8.5
1152,33.0
1153,2.046875
1154,2.265625
1155,2.171875
1156,123.0
1157,66.0
1158,334.0
1159,96.0
1160,237.0
1161,2.0
1162,99.0
1163,3.125
1164,2.15625
1165,27.875
1166,38.0
1167,644.0
1168,29.625
1169,40.5
1170,624.0
1171,334.0
1172,2.46875
1173,90.0
1174,3.109375
1175,2.765625
1176,2.15625
1177,2.25
1178,2.984375
1179,2.09375
1180,1.953125
1181,2.484375
1182,2.640625
1183,2.234375
1184,2.28125
1185,2.5
1186,2.03125
1187,2.6875
1188,2.171875
1189,58.0
1190,93.0
1191,66.0
1192,1.953125
1193,119.5
1194,40.5
1195,139.0
1196,99.0
1197,2.140625
1198,2.265625
1199,2.1875
1200,1.953125
1201,2.03125
1202,2.46875
1203,185.0
1204,41.25
1205,1000.0
1206,2.53125
1207,3.078125
1208,2.765625
1209,2.3125
1210,96.0
1211,2.5625
1212,3.484375
1213,2.5625
1214,72.5
1215,61.75
1216,2.234375
1217,2976.0
1218,99.0
1219,3.28125
1220,1.9765625
1221,2.703125
1222,38.75
1223,174.0
1224,2.328125
1225,53.0
1226,2.5625
1227,1.921875
1228,79.5
1229,30.625
1230,732.0
1231,96.0
1232,56.25
1233,286.0
1234,2.734375
1235,2.640625
1236,2.609375
1237,2.25
1238,2.46875
1239,2.265625
1240,2.046875
1241,27.875
1242,2.40625
1243,74.5
1244,43.25
1245,2320.0
1246,2.640625
1247,2.609375
1248,2.546875
1249,2.203125
1250,2464.0
1251,3.25
1252,197.0
1253,96.0
1254,856.0
1255,42.5
1256,39.25
1257,68.0
1258,21.75
1259,47.5
1260,2.0
1261,3.359375
1262,2.0
1263,2.78125
1264,2.796875
1265,1.9140625
1266,84.5
1267,1.859375
1268,2.640625
1269,2.203125
1270,324.0
1271,2.0
1272,2.234375
1273,2.40625
1274,237.0
1275,2.640625
1276,2.84375
1277,1.84375
1278,2.765625
1279,1000.0
1280,58.0
1281,4.375
1282,3.78125
1283,2.046875
1284,2.234375
1285,2.0
1286,2.46875
1287,2.015625
1288,144.0
1289,3.625
1290,93.0
1291,2.609375
1292,1.8515625
1293,3.28125
1294,1456.0
1295,33.75
1296,2.734375
1297,2.171875
1298,2.734375
1299,2.109375
1300,7.21875
1301,123.0
1302,2.203125
1303,2.421875
1304,1.984375
1305,108.5
1306,2.390625
1307,2.734375
1308,2.9375
1309,2.875
1310,2.328125
1311,2.484375
1312,1.984375
1313,2.09375
1314,237.0
1315,2.734375
1316,3.015625
1317,2.09375
1318,41.25
1319,1.84375
1320,664.0
1321,2.703125
1322,1.984375
1323,1.890625
1324,260.0
1325,34.25
1326,49.75
1327,87.0
1328,2.53125
1329,2.046875
1330,2.03125
1331,2.25
1332,34.75
1333,74.5
1334,2.265625
1335,245.0
1336,2.765625
1337,48.25
1338,237.0
1339,2.0
1340,2.09375
1341,2.703125
1342,74.5
1343,1.9765625
1344,93.0
1345,26.625
1346,119.5
1347,2.734375
1348,53.75
1349,2.109375
1350,2.6875
1351,2.1875
1352,2.546875
1353,2.828125
1354,2.15625
1355,1.75
1356,2.0625
1357,2.015625
1358,2.0625
1359,2.59375
1360,1.984375
1361,1.765625
1362,1.8359375
1363,1.8984375
1364,2.375
1365,2.25
1366,2.71875
1367,2.515625
1368,2.0
1369,1.6484375
1370,1.828125
1371,2.71875
1372,2.390625
1373,1.7890625
1374,2.1875
1375,1.78125
1376,1.7421875
1377,2.328125
1378,2.3125
1379,4.625
1380,1.8515625
1381,2.203125
1382,2.40625
1383,2.140625
1384,1.6171875
1385,2.03125
1386,2.09375
1387,1.875
1388,1.515625
1389,1.7890625
1390,1.953125
1391,2.03125
1392,1.921875
1393,2.03125
1394,2.21875
1395,1.9140625
1396,2.0
1397,2.0625
1398,2.296875
1399,1.78125
1400,1.9296875
1401,1.921875
1402,2.0
1403,2.125
1404,2.21875
1405,2.203125
1406,2.109375
1407,2.484375
1408,2.140625
1409,2.53125
1410,1.84375
1411,1.8828125
1412,2.015625
1413,1.734375
1414,1.703125
1415,2.171875
1416,1.5703125
1417,1.96875
1418,2.171875
1419,1.8203125
1420,2.40625
1421,1.9375
1422,1.8828125
1423,2.015625
1424,1.6328125
1425,1.9609375
1426,2.203125
1427,2.359375
1428,1.8984375
1429,1.8984375
1430,1.796875
1431,1.90625
1432,1.8984375
1433,1.6484375
1434,1.953125
1435,2.234375
1436,2.046875
1437,1.8203125
