,0
2099,1.0
2176,1.0
1238,1.0
1239,1.0
1284,1.015625
1286,1.0234375
1309,1.09375
1310,1.015625
1352,1.03125
1240,1.1640625
1241,1.140625
1332,1.2265625
1333,1.3828125
1334,1.2578125
1335,1.3984375
1336,1.2421875
1261,1.015625
1262,1.0078125
1263,1.0078125
1264,1.046875
1265,1.0546875
1283,1.09375
1285,1.015625
1287,1.0078125
1181,1.0078125
1182,1.015625
1235,1.03125
1237,1.03125
1349,1.0078125
1350,1.0234375
1351,1.0234375
1353,1.0234375
3388,1.0078125
3394,1.0078125
3407,1.0
3410,1.0078125
3411,1.0078125
3412,1.0
3414,1.0078125
3417,1.0
4878,1.0
4881,1.03125
4883,1.0
4884,1.015625
4885,1.0078125
4886,1.0
4887,1.0234375
4889,1.0078125
3401,1.0
3405,1.0
3406,1.0078125
3408,1.0
3409,1.0
3416,1.0
3440,1.0
3442,1.0
3426,1.0078125
3427,1.0
3434,1.0
3435,1.0
3438,1.0
3446,1.0
3447,1.0
3456,1.0078125
3420,1.0078125
3421,1.0
3463,1.0
3464,1.0
3389,1.0
3390,1.0078125
3391,1.0
3392,1.0
3393,1.0234375
3413,1.0
3429,1.0
3430,1.0078125
3396,1.0
3400,1.0
3402,1.0
3404,1.0078125
3419,1.0
3424,1.0
3425,1.0
3428,1.0
4876,1.0078125
4877,1.0
4879,1.03125
4880,1.0078125
4882,1.0
4888,1.0234375
4891,1.0234375
4894,1.0
3403,1.0
3415,1.0
3418,1.0
3431,1.0
3448,1.0
3450,1.0
3452,1.0
3395,1.0
3399,1.0
3454,1.0
3459,1.0
3460,1.0078125
3461,1.0
3462,1.0078125
4895,1.0
4896,1.0078125
4897,1.0078125
4899,1.015625
3422,1.0078125
3423,1.0078125
3436,1.0
3437,1.0
3397,1.0
3398,1.0
5662,1.046875
5663,1.0078125
5664,1.0
5665,1.0
5666,1.0
5667,1.0
5668,1.0390625
5730,1.0078125
6056,1.1015625
6057,1.2109375
6058,1.0859375
6059,1.015625
6060,1.0234375
6061,1.0390625
6062,1.0078125
6063,1.015625
6151,1.1171875
6152,1.1640625
6153,1.0703125
6154,1.140625
6155,1.15625
6156,1.703125
6157,1.96875
6353,1.09375
5487,1.2109375
5488,1.0078125
5910,1.09375
5911,1.0234375
5912,1.0546875
5913,1.0625
5914,1.0859375
5915,1.0390625
6344,1.0
6345,1.0
6346,1.0
6347,1.0
6348,1.0
5609,1.2578125
5610,1.0546875
5611,1.234375
5612,1.2890625
5613,1.3359375
5614,1.765625
5615,1.1015625
6299,1.1640625
5983,4.9375
5984,6.28125
5985,1.8203125
5986,1.4921875
5987,1.4375
5988,1.1796875
5989,1.421875
5990,1.546875
5570,1.03125
5571,1.0546875
5572,1.0078125
5573,1.0078125
6291,1.1328125
6292,1.03125
6331,1.0078125
6332,1.0703125
5654,1.0078125
5655,1.0078125
5656,1.0
5657,1.0078125
6131,1.015625
6132,1.0078125
6133,1.0234375
6134,1.0234375
5714,1.046875
5715,1.0390625
5716,1.0859375
5717,1.2734375
6264,1.03125
6265,1.0390625
6266,1.0390625
6267,1.0390625
2594,1.0078125
2595,1.0078125
2597,1.0
2598,1.0
2599,1.0
2623,1.0078125
2639,1.0
2641,1.0078125
6268,1.875
6269,1.53125
2609,1.0
2610,1.0
2611,1.0
2612,1.0078125
2694,1.0078125
2695,1.015625
2699,1.0
2700,1.0
2591,1.0078125
2592,1.0078125
2593,1.0
2614,1.0078125
2615,1.0078125
2616,1.015625
2617,1.0
2618,1.0078125
2619,1.0
2621,1.0078125
2622,1.0078125
2620,1.0
2624,1.0078125
2627,1.0078125
2659,1.0
2664,1.0
2673,1.0
2675,1.0
2676,1.0078125
2634,1.015625
2635,1.0390625
2629,1.0
2630,1.0
2631,1.0
2632,1.0
2696,1.0
2697,1.0078125
2698,1.0078125
6270,2.09375
6271,2.015625
2604,1.0078125
2605,1.0
2606,1.0
2607,1.0
2608,1.015625
2655,1.0078125
2656,1.0078125
2589,1.0
2590,1.0
2600,1.0
2601,1.0
2602,1.0078125
2603,1.0
2596,1.0078125
2636,1.0
2637,1.0
2638,1.0
2704,1.0
2705,1.0
2667,1.0
2668,1.0
2669,1.0
2670,1.0
2671,1.0
2613,1.0
2633,1.0
2227,1.03125
2228,1.0
2230,1.0078125
2245,1.015625
2246,1.0078125
2247,1.015625
2248,1.0625
2249,1.0625
2231,1.015625
2232,1.03125
2262,1.0078125
2263,1.0234375
2316,1.046875
2317,1.015625
2318,1.0078125
2319,1.109375
2192,1.03125
2193,1.03125
2286,1.0078125
2287,1.03125
2288,1.0390625
2289,1.0
2194,1.03125
2195,1.03125
2302,1.0390625
2303,1.015625
2304,1.046875
2305,1.0234375
2306,1.0078125
2238,1.140625
2239,1.1328125
2226,1.03125
2229,1.0078125
2475,1.046875
2486,1.078125
2490,1.0078125
2491,1.0078125
2492,1.0078125
2503,1.0390625
2504,1.015625
2519,1.0078125
5366,1.03125
5369,1.0546875
5370,1.0546875
5371,1.0625
5372,1.25
5373,1.2421875
5374,1.1015625
5375,1.0546875
5311,1.0234375
5313,1.015625
5320,1.0390625
5323,1.125
5324,1.1015625
5326,1.03125
2480,1.015625
2482,1.046875
2483,1.0078125
2502,1.0078125
2506,1.0078125
2507,1.03125
2508,1.1015625
2509,1.03125
5694,1.0234375
5695,1.0390625
5696,1.0234375
5697,1.0390625
6321,1.078125
6322,1.078125
6323,1.09375
6324,1.015625
6325,1.015625
2468,1.015625
2479,1.015625
2481,1.0234375
2489,1.0078125
2494,1.0390625
2496,1.0078125
2499,1.0
2516,1.0
6178,1.28125
6179,1.0703125
6180,1.1328125
6181,1.265625
2469,1.0078125
2476,1.1484375
2547,1.0078125
2549,1.0234375
2550,1.0703125
2551,1.03125
2580,1.015625
2581,1.046875
2488,1.0078125
2497,1.0078125
2498,1.0
2517,1.0078125
2523,1.0078125
2526,1.015625
2527,1.0859375
2529,1.0390625
2484,1.0078125
2487,1.046875
2501,1.0234375
2505,1.0078125
2563,1.2109375
2565,1.0390625
2470,2.796875
2471,2.5
2500,1.0390625
2532,1.0234375
2541,1.2890625
2542,1.1015625
2543,1.015625
2553,1.0078125
2554,1.0078125
2555,1.015625
2568,1.7734375
2569,1.671875
5310,1.0078125
5312,1.015625
5314,1.0078125
5315,1.015625
5316,1.015625
5317,1.0078125
5318,1.0234375
5319,1.0390625
2472,1.03125
2537,1.0546875
2538,1.0390625
2540,1.1796875
2588,1.0859375
2510,1.078125
2513,1.015625
2514,1.03125
2545,1.203125
2546,1.0234375
2566,1.09375
5321,1.0234375
5325,1.09375
5328,1.0078125
2478,1.015625
2485,1.0078125
2520,1.015625
2521,1.078125
2522,1.015625
2525,1.015625
2533,1.015625
2535,1.0234375
2474,1.015625
2558,1.046875
2559,1.0390625
2562,1.0078125
2571,1.0234375
2473,1.0703125
2477,1.0
2493,1.0078125
2495,1.1171875
2515,1.015625
2518,1.0078125
2530,1.03125
2531,1.0
5364,1.0078125
5365,1.03125
5367,1.0234375
5368,1.0078125
43,1.0078125
44,1.0234375
122,1.03125
158,1.046875
161,1.046875
169,1.0234375
183,1.0546875
201,1.0859375
18,1.1015625
19,1.0546875
21,1.046875
23,1.125
312,1.2265625
380,1.2578125
383,1.1796875
384,1.109375
52,1.0078125
53,1.0
261,1.0078125
262,1.0
263,1.0
264,1.0
265,1.015625
349,1.0078125
106,1.0
107,1.0234375
123,1.015625
159,1.265625
205,1.0703125
271,1.0703125
296,1.0234375
297,1.0703125
162,1.03125
163,1.03125
164,1.0859375
165,1.0546875
166,1.046875
320,1.03125
321,1.046875
322,1.0546875
56,1.7109375
57,1.7734375
340,1.0546875
342,1.03125
526,1.046875
544,1.0625
17,1.1015625
20,1.0390625
218,1.125
219,1.3671875
308,1.15625
309,1.109375
310,1.140625
311,1.0859375
31,1.0390625
32,1.0625
112,1.1953125
185,1.0234375
186,1.015625
203,1.046875
433,1.0390625
496,1.0078125
55,1.03125
78,1.03125
81,1.015625
126,1.0390625
127,1.03125
209,1.0546875
210,1.015625
272,1.015625
58,1.015625
60,1.0234375
62,1.0234375
138,1.03125
280,1.015625
408,1.0078125
409,1.0625
170,1.0390625
298,1.03125
299,1.0234375
432,1.03125
536,1.03125
10,1.046875
11,1.1640625
160,1.078125
414,1.046875
419,1.03125
458,1.0390625
573,1.0234375
574,1.046875
516,2.0
517,1.9921875
535,1.015625
157,1.0625
195,1.0
204,1.046875
375,1.0078125
378,1.0078125
379,1.0234375
427,1.046875
468,1.0390625
406,1.0
407,1.0078125
291,1.0234375
313,1.0234375
314,1.046875
467,1.09375
537,1.046875
194,1.0078125
207,1.078125
354,1.015625
356,1.015625
357,1.0078125
410,1.015625
546,1.1171875
547,1.0078125
259,1.0390625
260,1.046875
125,1.078125
270,1.1015625
295,1.0703125
397,1.0703125
425,1.1015625
430,1.0390625
431,1.0390625
495,1.1171875
132,1.0546875
237,1.03125
500,1.0390625
501,1.03125
527,1.015625
518,1.8515625
519,2.03125
520,1.765625
339,1.0859375
341,1.0625
343,1.03125
525,1.015625
2185,1.0078125
2205,1.0078125
2210,1.015625
2251,1.0078125
2253,1.0234375
2279,1.0078125
2285,1.0078125
2294,1.0234375
2214,1.0078125
2220,1.0078125
2237,1.0234375
2240,1.015625
2241,1.0078125
2242,1.0078125
2243,1.0078125
2267,1.0078125
2199,1.0703125
2202,1.015625
2258,1.046875
2261,1.0078125
2274,1.0234375
2275,1.015625
2281,1.0
2321,1.1015625
2190,1.2890625
2191,1.1796875
2188,1.0234375
2189,1.0078125
2213,1.0078125
2216,1.015625
2219,1.015625
2223,1.0234375
2244,1.03125
2265,1.0078125
2196,1.0390625
2197,1.03125
2204,1.015625
2255,1.0546875
2259,1.0078125
2264,1.0078125
2268,1.0
2270,1.0234375
