,0
3524,1.9765625
3525,1.7109375
3526,2.359375
3527,153.0
3528,2.3125
3529,1.6015625
3530,1.3359375
3531,1.71875
3532,1.671875
3533,1.8125
3534,1.703125
3535,1.9765625
3536,2.0625
3537,2.546875
3538,2.875
3539,2.453125
3540,2.578125
3541,2.265625
3542,2.609375
3543,2.5625
3544,3.125
3545,2.328125
3546,2.46875
3547,3.28125
3548,2.828125
3549,3.796875
3550,2.609375
3551,2.375
3552,4.15625
3553,4.1875
3554,2.234375
3555,3.015625
3556,1.9296875
3557,4.15625
3558,2.453125
3559,3.515625
3560,2.546875
3561,1.9375
3562,3.28125
3563,2.375
3564,3.03125
3565,3.484375
3566,2.09375
3567,2.703125
3568,2.3125
3569,2.171875
3570,2.78125
3571,3.125
3572,2.5
3573,3.953125
3574,3.15625
3575,2.703125
3576,2.546875
3577,2.9375
3578,3.78125
3579,2.78125
3580,2.453125
3581,3.203125
3582,4.53125
3583,3.46875
3584,1280.0
3585,3.796875
3586,3.4375
3587,2.375
3588,5.15625
3589,2.109375
3590,4.6875
3591,2.84375
3592,2.640625
3593,4.4375
3594,2.359375
3595,2.640625
3596,4.15625
3597,3.65625
3598,4.0625
3599,2.453125
3600,1.8046875
3601,2.53125
3602,3.109375
3603,2.765625
3604,2.546875
3605,2.84375
3606,1.7421875
3607,2.5
3608,2.78125
3609,3.71875
3610,3.796875
3611,2.578125
3612,3.515625
3613,2.640625
3614,3.4375
3615,2.703125
3616,5.09375
3617,2.5
3618,4.15625
3619,2.609375
3620,2.15625
3621,2.578125
3622,2.625
3623,4.1875
3624,2.703125
3625,2.640625
3626,2.484375
3627,2.765625
3628,2.765625
3629,2.546875
3630,3.234375
3631,2.84375
3632,2.765625
3633,2.671875
3634,3.03125
3635,2.421875
3636,2.328125
3637,3.203125
3638,2.609375
3639,3.078125
3640,2.578125
3641,4.03125
3642,2.96875
3643,2.203125
3644,2.375
3645,3.796875
3646,2.65625
3647,3.296875
3648,4.4375
3649,4.46875
3650,2.828125
3651,3.359375
3652,2.0625
3653,2.921875
3654,2.484375
3655,2.28125
3656,2.890625
3657,2.515625
3658,3.625
3659,2.21875
3660,2.28125
3661,2.515625
3662,2.046875
3663,2.640625
3664,3.328125
3665,2.40625
3666,1.78125
3667,2.515625
3668,2.265625
3669,2.71875
3670,3.953125
3671,2.734375
3672,4.28125
3673,2.03125
3674,3.921875
3675,2.359375
3676,2.984375
3677,2.40625
3678,2.109375
3679,2.140625
3680,3.234375
3681,2.78125
3682,2.265625
3683,2.171875
3684,2.453125
3685,2.765625
3686,2.828125
3687,2.71875
3688,2.15625
3689,3.359375
3690,2.578125
3691,2.421875
