,0
1444,1.734375
1453,1.0078125
1473,1.0234375
1507,1.421875
1526,1.1796875
1412,1.0859375
1478,1.015625
1515,4.59375
1528,1.1796875
1462,1.0546875
1475,1.015625
1476,1.0390625
1470,1.046875
1472,1.015625
1490,1.03125
143,3.234375
178,1.0
182,1.546875
187,3.109375
131,3.796875
148,7.21875
162,1.0
183,1.0
191,1.8828125
205,7.375
130,3.75
161,3.78125
164,3.625
169,3.234375
168,7.625
181,3.15625
184,1.0
188,2.640625
166,1.3046875
216,1.0078125
180,1.0078125
189,1.6484375
217,1.0
231,1.0078125
3984,1.0390625
3994,1.8515625
3997,1.015625
3998,1.0078125
3978,1.015625
4013,5.0
4014,4.53125
4017,1.0625
3973,1.0546875
3983,1.0546875
3986,9.5
4005,1.046875
3990,1.640625
3993,1.4375
3989,1.234375
3991,1.171875
3977,1.0546875
4033,1.796875
1164,1.0078125
1165,1.0
1166,1.171875
1167,1.0078125
4307,1.09375
4309,1.625
4311,1.34375
4312,1.0546875
4308,1.3203125
4310,1.421875
4325,15.1875
1175,1.7734375
1176,12.375
1177,1.2578125
1178,4.5625
4519,1.1328125
4520,1.0390625
4522,1.4375
4523,1.765625
2888,1.0078125
2917,1.2109375
2918,1.3046875
2919,1.078125
2664,1.1015625
2666,1.0546875
2670,1.015625
2745,1.0703125
2659,1.1875
2663,1.0234375
2699,1.078125
2746,1.03125
2772,1.5078125
2773,1.1171875
2774,1.578125
2674,1.03125
2754,1.125
2786,1.015625
2818,1.1015625
2700,1.0234375
2701,1.171875
2705,1.0390625
2730,1.0
2649,1.015625
2662,1.046875
2672,1.078125
2703,1.03125
2671,1.03125
2693,1.015625
2702,1.0390625
2706,1.0390625
2771,1.0078125
2775,9.8125
2665,1.1328125
2816,1.015625
2824,1.0078125
3710,1.0078125
3746,1.03125
3762,1.0078125
3763,1.0078125
3717,1.0
3724,1.0
3770,3.28125
3794,1.0390625
3737,1.0234375
3812,1.0546875
3815,1.0
3823,1.015625
3712,4.28125
3810,1.0
2833,1.0546875
2834,1.0703125
2839,1.046875
2843,1.2421875
2483,1.0625
2513,1.078125
2515,1.5234375
2541,1.0078125
2460,1.09375
2463,1.0546875
2518,1.15625
2531,1.09375
2503,1.125
2516,1.0078125
2521,1.046875
2525,1.015625
2475,1.1484375
2519,1.0703125
2528,1.1875
2536,1.3046875
2497,1.390625
2554,1.1171875
2484,1.03125
2485,1.0234375
2486,1.0625
2487,1.0625
2456,1.0390625
2511,1.2265625
2512,1.0625
2514,1.1640625
2459,1.0078125
2476,1.0078125
2495,1.1171875
2534,1.015625
497,1.0078125
499,1.0078125
526,1.0
558,1.0078125
533,1.0078125
534,1.0390625
535,4.8125
536,1.0
504,1.0078125
568,1.0
544,1.0078125
545,1.046875
546,1.0234375
547,1.015625
