,0
0,1.359375
1,1.265625
2,4.21875
3,1.3984375
4,1.3125
5,1.8125
6,1.6796875
7,1.390625
8,2.59375
9,1.40625
10,1.390625
11,1.421875
12,1.390625
13,8.25
14,1.4296875
15,1.390625
16,3.078125
17,1.28125
18,1.2421875
19,1.3671875
20,1.375
21,1.640625
22,1.4609375
23,6.78125
24,1.3828125
25,1.375
26,1.3359375
27,1.359375
28,1.6875
29,1.640625
30,3.484375
31,1.421875
32,1.2734375
33,1.296875
34,1.4765625
35,2.875
36,1.359375
37,2.25
38,1.6796875
39,1.6875
40,1.5703125
41,2.71875
42,1.390625
43,1.4375
44,1.96875
45,1.3984375
46,1.2578125
47,1.4453125
48,6.53125
49,1.78125
50,1.453125
51,1.625
52,1.3671875
53,1.5703125
54,1.75
55,1.7109375
56,1.4140625
57,1.46875
58,1.3828125
59,1.484375
60,1.640625
61,1.6171875
62,1.578125
63,1.3359375
64,1.328125
65,1.484375
66,1.8359375
67,2.0
68,1.65625
69,1.5390625
70,1.734375
71,1.2890625
72,1.5390625
73,3.359375
74,2.015625
75,2.328125
76,1.6953125
77,1.4453125
78,1.609375
79,2.875
80,1.3125
81,1.34375
82,1.40625
83,1.328125
84,1.3359375
85,1.75
86,1.4609375
87,1.75
88,1.390625
89,2.046875
90,1.7265625
91,1.4921875
92,1.3125
93,1.796875
94,1.46875
95,1.421875
96,1.2890625
97,1.296875
98,1.9921875
99,1.6484375
100,1.6328125
101,1.5859375
102,1.3203125
103,1.3359375
104,1.9296875
105,1.3828125
106,1.625
107,1.8046875
108,1.375
109,1.390625
110,1.2890625
111,3.65625
112,1.2421875
113,1.3515625
114,1.453125
115,1.4609375
116,2.9375
117,1.828125
118,1.4453125
119,1.484375
120,2.0
121,2.671875
122,2.421875
123,1.8984375
124,3.171875
125,1.3984375
126,1.5078125
127,1.28125
128,1.375
129,1.421875
130,6.71875
131,1.671875
132,1.7578125
133,2.375
134,3.171875
135,1.21875
136,1.6953125
137,1.6953125
138,3.4375
139,1.40625
140,1.421875
141,2.1875
142,1.3203125
143,1.9140625
144,1.578125
145,6.5625
146,1.828125
147,1.3515625
148,2.890625
149,2.5
150,3.75
151,1.71875
152,1.3046875
153,1.625
154,1.265625
155,2.609375
156,1.375
157,1.359375
158,3.4375
159,5.1875
160,2.671875
161,2.109375
162,1.9921875
163,1.640625
164,1.375
165,1.3828125
166,1.3671875
167,1.296875
168,1.3671875
169,1.390625
170,1.7265625
171,1.3984375
172,1.6875
173,1.78125
174,1.390625
175,1.8203125
176,1.5234375
177,1.53125
178,1.5078125
179,1.375
180,2.40625
181,1.421875
182,1.3359375
183,1.7421875
184,3.46875
185,1.625
186,1.3125
187,2.296875
188,5.96875
189,2.6875
190,1.328125
191,1.3125
192,1.4609375
193,2.109375
194,1.328125
195,1.5390625
196,1.5234375
197,1.34375
198,1.3125
199,1.4453125
200,3.796875
201,1.71875
202,1.8984375
203,1.4765625
204,3.578125
205,1.390625
206,1.7578125
207,1.84375
208,1.25
209,1.6640625
210,1.84375
211,1.390625
212,1.4765625
213,1.328125
214,1.953125
215,2.984375
216,1.2890625
217,1.875
218,2.5
219,1.3359375
220,2.015625
221,2.671875
222,1.6640625
223,3.515625
224,1.40625
225,1.3125
226,1.453125
227,1.2734375
228,1.3984375
229,1.53125
230,1.296875
231,2.28125
232,1.453125
233,1.3125
234,2.328125
235,1.34375
236,1.3359375
237,1.6875
238,2.375
239,2.234375
240,3.65625
241,1.265625
242,2.28125
243,1.2578125
244,1.2890625
245,1.6953125
246,3.0625
247,1.5703125
248,1.7890625
249,5.71875
250,3.46875
251,1.3046875
252,1.40625
253,1.578125
254,1.6953125
255,1.390625
256,3.40625
257,1.265625
258,1.3125
259,1.6171875
260,1.3671875
261,1.453125
262,2.140625
263,1.84375
264,2.453125
265,1.4296875
266,1.3984375
267,1.3125
268,1.7109375
269,1.7578125
270,2.734375
271,2.546875
272,3.546875
273,1.3203125
274,1.46875
275,1.2890625
276,1.34375
277,1.3984375
278,1.28125
279,1.3046875
280,1.4921875
281,1.3671875
282,1.53125
283,4.46875
284,1.765625
285,1.3671875
286,2.421875
287,1.8828125
288,1.6484375
289,1.65625
290,2.53125
291,1.3125
292,1.7109375
293,1.3046875
294,1.34375
295,1.3203125
296,1.9296875
297,1.8671875
298,3.890625
299,1.4375
300,1.3515625
301,3.546875
302,1.8515625
303,1.671875
304,1.9140625
305,1.390625
306,2.015625
307,4.53125
308,3.40625
309,3.296875
310,7.75
311,3.890625
312,2.796875
313,1.734375
314,2.328125
315,4.21875
316,1.9375
317,2.109375
318,4.84375
319,2.359375
320,1.9765625
321,6.46875
322,1.8671875
323,2.390625
324,1.734375
325,2.484375
326,5.09375
327,2.578125
328,2.34375
329,2.328125
330,2.140625
331,1.875
332,2.078125
333,3.328125
334,2.21875
335,1.84375
336,2.375
337,1.8671875
338,2.140625
339,2.265625
340,2.328125
341,2.984375
342,2.5
343,2.046875
344,3.78125
345,5.96875
346,3.78125
347,1.8125
348,3.6875
349,1.8203125
350,1.71875
351,2.0625
352,2.078125
353,2.265625
354,3.234375
355,2.375
356,2.125
357,7.625
358,2.203125
359,2.265625
360,2.96875
361,2.28125
362,1.7265625
363,2.234375
364,2.34375
365,3.328125
366,2.359375
367,2.28125
368,7.0
369,4.28125
370,1.9921875
371,3.296875
372,3.484375
373,2.328125
374,2.046875
375,4.46875
376,2.0625
377,2.875
378,1.9375
379,2.46875
380,2.359375
381,1.8828125
382,2.1875
383,3.984375
384,7.0
385,2.203125
386,1.9296875
387,3.296875
388,2.421875
389,4.59375
390,2.078125
391,3.75
392,1.8046875
393,2.578125
394,2.734375
395,4.375
396,3.015625
397,2.96875
398,2.28125
399,3.078125
400,2.25
401,4.4375
402,4.5625
403,2.171875
404,3.546875
405,2.09375
406,1.7109375
407,2.34375
408,2.046875
409,3.15625
410,2.0
411,2.203125
412,2.328125
413,2.09375
414,6.875
415,3.578125
416,3.109375
417,1.859375
418,4.28125
419,1.9609375
420,4.40625
421,3.78125
422,2.890625
423,3.25
424,3.6875
425,1.9765625
426,4.8125
427,8.25
428,3.171875
429,3.984375
430,3.203125
431,2.640625
432,2.3125
433,4.71875
434,2.640625
435,2.265625
436,2.140625
437,2.046875
438,2.359375
439,2.078125
440,1.828125
441,3.484375
442,2.359375
443,4.21875
444,1.84375
445,3.359375
446,2.5
447,2.171875
448,1.8046875
449,1.6953125
450,2.765625
451,2.25
452,2.40625
453,4.21875
454,2.15625
455,2.109375
456,6.03125
457,2.140625
458,3.796875
459,2.53125
460,1.9921875
461,5.15625
462,2.28125
463,5.4375
464,2.203125
465,1.8984375
466,2.03125
467,2.09375
468,2.328125
469,6.1875
470,2.828125
471,2.234375
