,0
930,1.0078125
1103,1.03125
1399,1.0078125
1474,1.0078125
1908,1.0078125
1950,1.0078125
2354,1.015625
2423,1.0078125
1066,1.0078125
1405,1.0234375
1646,1.0078125
1748,1.0078125
1980,1.0078125
2025,1.0078125
2061,1.0078125
2525,1.0078125
1821,1.0078125
2660,1.0078125
781,1.0078125
828,1.0078125
1277,1.0078125
2330,1.0078125
2799,1.0078125
793,1.0078125
1549,1.0078125
2277,1.0078125
874,1.0
954,1.015625
1416,1.0078125
2138,1.0078125
2677,1.0078125
3263,1.0625
566,1.0078125
651,1.0078125
967,1.015625
1077,1.0078125
1446,1.0078125
1583,1.0078125
1609,1.0078125
1610,1.03125
1120,1.0078125
1227,1.0234375
1523,1.0234375
1550,1.015625
1572,1.03125
1754,1.0546875
2706,1.0078125
365,1.0703125
1269,1.015625
2626,1.0234375
3248,1.0078125
556,1.015625
1268,1.0078125
1894,1.015625
2378,1.0234375
531,1.03125
2552,1.0390625
360,1.6953125
422,1.765625
583,1.7109375
672,1.7578125
800,1.671875
3088,1.6796875
766,1.7421875
814,1.7421875
1500,1.71875
2833,1.8203125
2864,1.6953125
3157,1.6796875
3266,1.6953125
3280,1.6953125
1855,1.671875
2192,1.765625
2388,1.6953125
3395,1.6875
3471,1.5703125
3509,1.59375
3540,1.4921875
3576,1.3828125
3580,1.5390625
3592,1.65625
3599,1.5703125
3404,1.46875
3517,1.3828125
3573,1.6015625
3619,1.5234375
3691,1.7109375
3742,1.453125
3753,1.984375
3761,1.5859375
3452,1.6875
3492,1.6640625
3518,1.4453125
3587,1.328125
3662,1.75
3728,1.4140625
3758,1.6015625
3760,1.4921875
3386,1.2265625
3415,1.828125
3481,1.5703125
3500,1.8984375
3665,1.765625
3702,1.7421875
3388,1.65625
3389,1.78125
3419,1.7578125
3435,1.6328125
3464,1.0546875
3479,1.6171875
3499,1.8515625
3552,1.6875
3526,1.3359375
3537,1.1015625
3547,1.84375
3594,1.65625
879,1.0234375
1286,1.0078125
1508,1.0078125
2230,1.0078125
2259,1.0234375
2693,1.0078125
2850,1.0546875
3000,1.015625
658,1.015625
1053,1.0078125
2073,1.015625
2420,1.0
2430,1.0078125
2845,1.015625
2924,1.0
2947,1.0078125
1378,1.03125
1691,1.0078125
3273,1.0078125
581,1.0078125
610,1.0078125
613,1.0078125
719,1.03125
1143,1.0078125
1388,1.0078125
1391,1.0078125
1498,1.0078125
1587,1.0078125
2421,1.0078125
2533,1.0078125
3068,1.015625
3262,1.0078125
3348,1.0078125
603,1.0078125
965,1.015625
1148,1.015625
2536,1.015625
2823,1.015625
3245,1.0390625
1420,1.0625
1877,1.0078125
1886,1.0078125
2760,1.0078125
2077,1.0078125
2752,1.0078125
3184,1.015625
3276,1.0078125
334,1.0078125
1154,1.0234375
1437,1.0234375
944,1.6796875
1019,1.5703125
1693,1.6484375
2037,1.5234375
2091,1.578125
2342,1.75
2463,1.6171875
2573,1.5625
1116,1.3359375
1139,1.390625
1458,1.3046875
1986,1.2890625
2126,1.484375
3116,1.140625
3317,1.234375
458,1.1484375
735,1.1484375
838,1.125
1758,1.1796875
2689,1.09375
2848,1.640625
2949,1.1640625
2872,1.625
3170,1.421875
709,1.734375
1537,1.5703125
1697,1.65625
2027,1.765625
2797,1.3203125
43,1.09375
122,1.6484375
130,5.125
145,5.03125
218,1.6875
238,1.9140625
240,2.9375
256,2.53125
13,6.28125
16,2.71875
73,2.265625
75,1.8984375
158,2.734375
160,1.96875
189,2.28125
246,2.578125
2,3.109375
116,1.671875
159,4.21875
200,2.71875
271,2.046875
1642,1.0
2162,1.0078125
3007,1.0078125
3408,1.03125
3438,1.765625
3446,1.1484375
3459,1.1484375
