,0
2340,1.28125
2341,1.7109375
2342,1.28125
2343,3.0625
2344,1.265625
2345,1.6875
2346,3.796875
2347,1.6953125
2348,1.7109375
2349,1.25
2350,1.2734375
2351,1.40625
2352,1.3046875
2353,1.7265625
2354,1.34375
2355,1.765625
2356,2.609375
2357,1.71875
2358,2.265625
2359,1.5859375
2360,1.8984375
2361,2.15625
2362,1.390625
2363,1.4609375
2364,1.3828125
2365,1.71875
2366,2.578125
2367,1.34375
2368,2.015625
2369,1.3515625
2370,3.03125
2371,1.3671875
2372,1.28125
2373,1.46875
2374,1.3046875
2375,1.4296875
2376,1.3359375
2377,1.28125
2378,1.3671875
2379,1.390625
2380,1.40625
2381,5.96875
2382,2.875
2383,1.65625
2384,3.984375
2385,2.1875
2386,1.4296875
2387,1.4375
2388,1.328125
2389,1.4140625
2390,1.296875
2391,1.578125
2392,2.421875
2393,1.3125
2394,1.34375
2395,1.7578125
2396,1.59375
2397,1.421875
2398,1.6796875
2399,1.4609375
2400,3.40625
2401,1.4140625
2402,2.140625
2403,1.6875
2404,5.40625
2405,1.765625
2406,1.296875
2407,1.53125
2408,1.359375
2409,1.4375
2410,1.703125
2411,1.3125
2412,1.8828125
2413,1.28125
2414,1.3046875
2415,1.4453125
2416,1.875
2417,1.40625
2418,1.3984375
2419,1.3984375
2420,1.671875
2421,1.4140625
2422,1.8125
2423,2.9375
2424,1.3984375
2425,1.328125
2426,2.109375
2427,1.5703125
2428,1.484375
2429,2.03125
2430,1.4765625
2431,2.96875
2432,1.3203125
2433,1.4140625
2434,3.71875
2435,1.375
2436,1.5
2437,1.3984375
2438,1.71875
2439,1.3515625
2440,1.9765625
2441,1.3828125
2442,1.3203125
2443,1.3828125
2444,1.328125
2445,1.4375
2446,2.671875
2447,1.3359375
2448,1.3046875
2449,1.4609375
2450,1.84375
2451,1.3671875
2452,1.3046875
2453,1.4921875
2454,1.3125
2455,1.28125
2456,1.4921875
2457,1.3125
2458,10.4375
2459,1.6640625
2460,1.3828125
2461,1.4765625
2462,1.59375
2463,1.3515625
2464,1.6171875
2465,6.21875
2466,1.5625
2467,1.9140625
2468,1.3515625
2469,2.640625
2470,1.3046875
2471,1.2890625
2472,1.3046875
2473,1.4921875
2474,1.4453125
2475,1.578125
2476,1.3046875
2477,2.453125
2478,1.9453125
2479,1.8203125
2480,1.2734375
2481,1.2890625
2482,1.28125
2483,1.3203125
2484,1.421875
2485,1.875
2486,2.6875
2487,1.3046875
2488,1.2578125
2489,1.6484375
2490,1.34375
2491,2.875
2492,1.8203125
2493,1.2578125
2494,1.375
2495,2.34375
2496,1.5625
2497,2.46875
2498,2.109375
2499,1.4765625
2500,1.5546875
2501,1.265625
2502,1.6484375
2503,1.5859375
2504,2.390625
2505,1.375
2506,1.8046875
2507,1.421875
2508,2.328125
2509,1.2578125
2510,1.84375
2511,3.015625
2512,1.1484375
2513,1.3828125
2514,1.6640625
2515,2.0
2516,1.2890625
2517,6.78125
2518,1.2421875
2519,1.421875
2520,1.5703125
2521,1.0859375
2522,1.4296875
2523,2.25
2524,4.375
2525,1.5546875
2526,1.2734375
2527,1.3671875
2528,1.3984375
2529,1.828125
2530,1.5078125
2531,4.40625
2532,1.7109375
2533,1.2578125
2534,1.34375
2535,1.3828125
2536,1.6484375
2537,2.375
2538,2.796875
2539,1.3671875
2540,4.0625
2541,1.8828125
2542,1.78125
2543,1.5234375
2544,2.1875
2545,2.484375
2546,2.421875
2547,2.125
2548,2.875
2549,1.46875
2550,1.59375
2551,1.328125
2552,1.28125
2553,2.515625
2554,1.8359375
2555,1.3515625
2556,1.328125
2557,1.265625
2558,2.359375
2559,1.296875
2560,1.6015625
2561,1.4296875
2562,1.65625
2563,1.4453125
2564,1.2578125
2565,2.0
2566,1.3671875
2567,1.90625
2568,1.2734375
2569,1.625
2570,5.8125
2571,1.71875
2572,1.2578125
