,0
2023,1.0078125
2032,1.015625
2035,1.0078125
2041,1.0234375
2054,1.0078125
2059,1.0234375
2733,1.0078125
2740,1.0234375
777,1.0078125
785,1.015625
810,1.0078125
2920,1.015625
2936,1.015625
2971,1.015625
3024,1.015625
1294,1.0234375
1304,1.0234375
1331,1.046875
1341,1.0078125
134,1.0
550,1.0
710,1.0
713,1.0
717,1.0
771,1.0
1084,1.0
1812,1.0
873,1.0
1929,1.0
2034,1.0
2053,1.0
2246,1.0
2505,1.0
923,1.0
1218,1.0
1743,1.0
1965,1.0
1983,1.0
3055,1.6328125
3068,1.9296875
3103,1.9765625
3114,3.296875
3133,1.6640625
3181,1.1875
3213,1.6171875
3217,1.6796875
3070,1.9765625
3102,3.296875
3132,2.15625
3176,1.84375
3194,1.71875
3298,1.921875
3356,1.8359375
3358,1.0390625
3090,1.7265625
3117,4.875
3186,2.0625
3188,2.421875
3206,2.484375
3109,1.25
3150,1.6484375
3201,1.9296875
3288,1.671875
75,1.1171875
738,1.1796875
1043,1.234375
1503,1.4140625
2877,1.140625
3008,1.53125
643,1.28125
650,1.1171875
1841,1.4140625
3381,1.1953125
3440,1.03125
3444,1.0859375
3500,1.2109375
3554,1.09375
3607,1.0859375
3626,4.53125
3668,1.765625
3416,3.25
3495,3.921875
3521,3.515625
3637,1.515625
3697,1.8984375
517,1.0234375
1091,1.0234375
1242,1.0390625
1421,1.0078125
1705,1.046875
2046,1.0234375
2183,1.015625
2450,1.015625
2266,1.0234375
2279,1.015625
2319,1.0390625
2640,1.0078125
2646,1.0234375
2672,1.0234375
924,1.0078125
2365,1.015625
2416,1.0234375
218,1.2265625
596,2.171875
659,1.390625
1286,1.6328125
2925,3.28125
2956,1.546875
2990,1.7109375
3044,2.53125
70,1.234375
499,1.6640625
585,1.375
793,2.734375
843,1.140625
1127,1.96875
1269,1.2578125
1306,1.09375
1380,3.796875
2178,2.765625
208,1.03125
638,1.0390625
820,1.03125
849,1.0390625
883,1.0234375
982,1.046875
1099,1.03125
1163,1.03125
4,1.0390625
17,1.03125
115,1.0234375
131,1.0234375
151,1.0234375
152,1.03125
224,1.046875
379,1.0234375
546,1.015625
778,1.0234375
788,1.0234375
798,1.015625
1118,1.015625
1355,1.015625
2162,1.015625
2918,1.0234375
1289,1.0234375
1296,1.0234375
1303,1.015625
1310,1.015625
354,1.0390625
582,1.015625
1581,1.015625
1750,1.0234375
2771,1.0234375
2778,1.015625
2787,1.0234375
2806,1.0234375
2281,1.0234375
2289,1.015625
2305,1.0234375
2312,1.015625
2345,1.015625
2625,1.0234375
954,1.015625
1412,1.0234375
1471,1.1328125
2060,1.03125
2462,1.0234375
2500,1.0234375
2514,1.015625
2520,1.0234375
394,1.0234375
1638,1.0234375
2992,1.03125
3046,1.0234375
2878,1.03125
2891,1.0234375
2906,1.015625
249,1.015625
290,1.0078125
291,1.015625
305,1.015625
359,1.0390625
1544,1.0546875
1706,1.0234375
39,1.0546875
61,1.0390625
570,1.015625
687,1.0234375
701,1.03125
721,1.03125
752,1.03125
975,1.0546875
2383,1.015625
2396,1.015625
2410,1.0234375
1129,1.0234375
1903,1.015625
2184,1.0078125
2550,1.03125
2560,1.015625
2569,1.015625
391,1.0078125
396,1.0
405,1.0
409,1.0
420,1.0
579,1.0078125
2687,1.0
496,1.0
503,1.0
508,1.0
536,1.0
2765,1.0
2772,1.0
2800,1.0
200,1.578125
339,1.3125
370,1.7109375
991,1.2421875
1069,1.6875
1138,1.9609375
1318,1.6484375
1319,1.2421875
231,1.7890625
844,1.7109375
855,2.0625
869,1.6328125
1151,1.6328125
1313,1.8046875
2131,1.3125
2712,1.25
295,1.4375
1077,1.359375
1504,1.4140625
1528,1.3515625
1856,1.3046875
2007,1.84375
2190,1.640625
2553,1.3515625
750,2.046875
962,2.03125
1795,1.265625
219,1.65625
644,2.203125
651,2.265625
779,1.953125
