,0
0,1.46875
1,1.359375
2,1.34375
3,1.4609375
4,1.2890625
5,1.4296875
6,1.9140625
7,2.421875
8,1.921875
9,1.3359375
10,2.578125
11,1.296875
12,1.8828125
13,1.6796875
14,1.328125
15,1.3828125
16,1.734375
17,1.3125
18,1.609375
19,1.40625
20,1.375
21,1.1484375
22,1.421875
23,1.4453125
24,3.28125
25,1.4296875
26,1.3046875
27,1.7109375
28,1.3203125
29,1.234375
30,3.234375
31,1.6484375
32,3.46875
33,2.015625
34,1.859375
35,2.640625
36,1.3984375
37,1.21875
38,1.71875
39,1.6953125
40,2.6875
41,1.4375
42,1.4765625
43,1.46875
44,2.140625
45,1.3984375
46,1.6015625
47,1.6484375
48,2.171875
49,1.28125
50,2.28125
51,2.40625
52,1.7265625
53,1.5625
54,1.7578125
55,1.8984375
56,1.3359375
57,1.5078125
58,1.46875
59,1.375
60,1.4765625
61,2.875
62,1.4375
63,1.5546875
64,1.4453125
65,1.4296875
66,1.84375
67,2.015625
68,1.9375
69,1.890625
70,1.265625
71,1.4140625
72,2.671875
73,1.7109375
74,1.5859375
75,1.53125
76,2.25
77,2.40625
78,1.828125
79,2.328125
80,1.3828125
81,1.625
82,1.2734375
83,1.765625
84,2.984375
85,2.171875
86,1.6171875
87,2.40625
88,1.84375
89,1.6015625
90,1.4140625
91,1.3125
92,1.265625
93,1.375
94,1.4765625
95,2.09375
96,1.3515625
97,1.4140625
98,1.765625
99,1.828125
100,2.328125
101,1.390625
102,2.046875
103,1.2890625
104,1.453125
105,1.4453125
106,1.7265625
107,1.4609375
108,2.0
109,1.265625
110,7.34375
111,1.359375
112,1.3359375
113,1.6875
114,2.40625
115,1.84375
116,1.9140625
117,1.3203125
118,1.8984375
119,3.984375
120,1.515625
121,1.4140625
122,1.5078125
123,1.8515625
124,1.3359375
125,1.4140625
126,1.5078125
127,1.453125
128,1.4140625
129,1.65625
130,1.4296875
131,1.3515625
132,1.953125
133,1.9296875
134,3.234375
135,1.8125
136,2.0
137,1.359375
138,1.359375
139,2.609375
140,1.4296875
141,1.2578125
142,1.9453125
143,1.484375
144,1.9296875
145,1.265625
146,1.375
147,1.296875
148,1.328125
149,1.265625
150,1.921875
151,1.515625
152,1.9609375
153,1.34375
154,3.71875
155,1.546875
156,1.3671875
157,2.765625
158,1.4140625
159,1.71875
160,1.6171875
161,2.015625
162,1.515625
163,2.734375
164,1.40625
165,1.4765625
166,1.2734375
167,1.40625
168,2.375
169,1.75
170,1.6171875
171,1.421875
172,2.96875
173,1.65625
174,1.2578125
175,1.703125
176,1.8515625
177,1.546875
178,1.9609375
179,1.9921875
180,1.921875
181,2.9375
182,1.6640625
183,1.5859375
184,3.46875
185,1.2578125
186,1.328125
187,1.359375
188,1.421875
189,2.265625
190,1.296875
191,1.546875
192,2.625
193,1.53125
194,1.4453125
195,3.578125
196,1.4296875
197,1.6171875
198,1.8671875
199,1.2734375
200,1.921875
201,1.328125
202,1.3671875
203,2.328125
204,1.25
205,1.46875
206,1.4453125
207,2.46875
208,1.3125
209,1.75
210,1.3671875
211,1.765625
212,1.390625
213,2.0625
214,6.78125
215,1.765625
216,1.390625
217,1.859375
218,1.390625
219,1.5078125
220,1.5234375
221,1.6015625
222,1.3515625
223,1.4140625
224,1.828125
225,4.09375
226,1.40625
227,1.9609375
228,1.28125
229,1.6328125
230,1.7109375
231,1.9140625
232,1.7578125
233,1.640625
234,1.34375
235,1.875
236,2.609375
237,1.890625
238,1.265625
239,1.4921875
240,1.5078125
241,1.53125
242,2.984375
243,2.53125
244,1.578125
245,1.7109375
246,1.609375
247,1.5625
248,2.359375
249,1.515625
250,1.90625
251,1.4296875
252,1.3359375
253,1.921875
254,1.3515625
255,2.453125
256,1.765625
257,1.359375
258,1.4296875
259,1.765625
260,1.421875
261,1.484375
262,1.8203125
263,1.7109375
264,1.3359375
265,1.8203125
266,1.46875
267,1.3203125
268,1.6328125
269,1.3359375
270,1.4140625
271,1.3359375
272,1.296875
273,1.40625
274,1.453125
275,1.4765625
276,1.4296875
277,1.5703125
278,1.5625
279,1.3671875
280,2.40625
281,1.2890625
282,1.421875
283,1.4375
284,1.296875
285,2.1875
286,2.484375
287,1.5390625
288,1.828125
289,1.6171875
290,1.2578125
291,1.4921875
292,1.8984375
293,1.4921875
294,2.234375
295,1.3359375
296,1.3671875
297,1.7890625
298,1.28125
299,1.6484375
300,1.7578125
301,1.5390625
302,1.296875
303,4.46875
304,1.5859375
305,2.875
306,2.109375
307,5.1875
308,1.921875
309,5.75
310,2.484375
311,2.28125
312,7.0
313,2.46875
314,2.203125
315,3.296875
316,1.921875
317,2.421875
318,2.875
319,4.28125
320,2.109375
321,2.015625
322,2.546875
323,2.0625
324,2.203125
325,2.1875
326,1.984375
327,4.46875
328,13.8125
329,7.0625
330,2.171875
331,4.5625
332,1.75
333,6.53125
334,3.296875
335,5.0
336,2.234375
337,2.375
338,2.1875
339,2.3125
340,2.328125
341,2.671875
342,2.28125
343,6.21875
344,2.40625
345,2.265625
346,1.8046875
347,2.15625
348,7.34375
349,2.015625
350,2.140625
351,2.0625
352,2.09375
353,2.28125
354,1.9765625
355,2.5625
356,2.375
357,2.796875
358,1.9375
359,2.796875
360,5.5
361,2.640625
362,1.8359375
363,2.46875
364,2.03125
365,2.109375
366,2.234375
367,2.3125
368,2.40625
369,3.015625
370,2.421875
371,3.203125
372,2.3125
373,3.390625
374,2.078125
375,2.890625
376,4.125
377,4.03125
378,2.25
379,1.859375
380,2.140625
381,1.53125
382,3.296875
383,2.734375
384,2.203125
385,2.171875
386,3.328125
387,3.296875
388,2.140625
389,2.25
390,4.6875
391,3.25
392,3.328125
393,2.359375
394,3.390625
395,5.1875
396,1.9375
397,1.8984375
398,2.0625
399,1.984375
400,2.234375
401,2.640625
402,3.578125
403,2.890625
404,2.0625
405,2.234375
406,2.09375
407,2.359375
408,3.625
409,2.0625
410,1.8359375
411,3.6875
412,2.203125
413,2.140625
414,3.890625
415,2.09375
416,1.6875
417,3.0625
418,2.25
419,3.921875
420,3.546875
421,3.890625
422,3.46875
423,3.203125
424,2.25
425,5.15625
426,2.125
427,4.1875
428,2.046875
429,2.015625
430,3.03125
431,8.5
432,2.5
433,2.0625
434,1.9375
435,1.8828125
436,1.828125
437,3.859375
438,2.265625
439,4.6875
440,3.75
441,2.265625
442,2.1875
443,2.03125
444,2.328125
445,2.609375
446,2.09375
447,3.6875
448,2.140625
449,4.46875
450,3.015625
451,3.46875
452,1.65625
453,1.875
454,7.0
455,2.0
456,2.9375
457,2.34375
458,2.0625
459,1.8125
460,1.7734375
461,5.0
462,3.515625
463,3.4375
464,3.796875
465,1.6484375
466,4.125
467,2.453125
468,1.8359375
469,3.234375
470,1.953125
471,4.1875
472,2.375
473,2.015625
474,4.3125
475,2.234375
476,3.328125
477,3.6875
478,3.0625
479,2.015625
480,2.171875
481,1.953125
482,2.390625
483,2.703125
484,4.03125
485,1.953125
486,2.1875
487,6.125
488,1.9375
489,1.7109375
490,4.34375
491,3.625
492,2.359375
493,2.03125
494,4.875
495,2.015625
496,2.421875
497,5.09375
498,7.0625
499,1.671875
500,2.15625
501,2.0
502,2.0
503,4.25
504,2.28125
505,2.703125
506,2.09375
507,4.28125
508,3.921875
509,2.0625
510,4.375
511,2.34375
512,2.1875
513,5.15625
514,2.03125
515,3.4375
516,1.9296875
517,2.078125
518,1.9296875
519,6.21875
520,3.25
521,3.890625
522,4.40625
523,2.0
524,2.46875
525,1.9140625
526,5.3125
527,4.03125
528,3.75
529,3.078125
530,2.5
531,2.0625
532,3.78125
533,2.125
534,5.125
535,3.28125
536,2.03125
537,2.09375
538,2.09375
539,2.328125
540,1.8359375
541,2.0
542,2.78125
543,2.375
544,1.6875
545,2.375
546,1.921875
547,2.609375
548,2.09375
549,1.671875
550,1.8203125
551,2.703125
552,4.625
553,1.8359375
554,7.21875
555,2.34375
