,0
758,1.015625
1083,1.109375
1204,1.03125
1716,1.140625
1927,1.015625
1947,1.0078125
1999,1.2734375
2056,1.015625
688,1.09375
836,1.0078125
1029,1.015625
1708,1.234375
1754,1.046875
1931,1.15625
2389,1.0703125
2475,1.03125
2151,1.0078125
2413,1.015625
2955,1.296875
3311,1.015625
3506,1.0078125
2371,1.0234375
2828,1.0078125
4257,1.28125
1409,1.2421875
4327,1.015625
678,1.1015625
745,1.09375
1207,1.265625
1274,1.1171875
1360,1.0546875
1372,1.1171875
1522,1.015625
1789,1.015625
620,1.0625
795,1.078125
826,1.046875
863,1.1015625
868,1.09375
1511,1.0859375
1733,1.046875
2201,1.140625
2616,1.1484375
4398,1.1484375
1077,1.0625
3853,1.1328125
4411,1.0078125
1407,1.0390625
1830,1.015625
1941,1.0078125
1971,1.15625
1990,1.1015625
2684,1.015625
3504,1.03125
3947,1.078125
1298,1.0625
1955,1.0703125
2295,1.0859375
2541,1.0625
2620,1.046875
2679,1.09375
3026,1.0078125
1356,1.0859375
2291,1.1171875
3259,1.078125
4274,1.1484375
4419,1.140625
1,1.015625
4,1.078125
20,1.046875
117,1.0078125
124,1.0234375
166,1.0078125
186,1.078125
187,1.09375
28,1.0859375
127,1.171875
149,1.109375
190,1.0703125
204,1.0546875
302,1.078125
17,1.0703125
148,1.1015625
191,1.1875
202,1.1015625
269,1.078125
279,1.09375
11,1.0234375
14,1.0234375
49,1.015625
65,1.125
107,1.2109375
112,1.0390625
267,1.03125
927,1.453125
1044,1.1875
1304,1.25
1869,1.171875
2235,1.421875
2498,2.53125
2614,2.15625
2695,1.453125
822,1.3828125
1183,1.203125
1523,1.2421875
1611,1.46875
2070,1.4609375
2282,1.5078125
2286,1.3828125
3128,1.515625
981,1.3671875
1161,1.5859375
1237,1.25
1687,1.3203125
2471,1.1875
3330,1.4375
3741,1.828125
3798,1.7421875
2330,1.5234375
4000,1.96875
4394,1.453125
1749,1.4921875
2300,1.578125
4037,1.515625
4353,1.2265625
1242,5.3125
2064,1.8203125
2595,2.796875
2832,2.0625
2926,3.0625
3310,3.0625
3380,2.359375
3855,1.1953125
904,3.40625
953,1.6953125
1632,1.5546875
2210,7.34375
2424,6.3125
3263,4.8125
3319,2.21875
3535,1.640625
966,4.1875
2186,4.09375
3550,7.34375
3608,6.0625
4072,5.71875
4409,5.625
715,1.765625
1856,2.578125
2115,1.9609375
2166,2.453125
3375,3.109375
4029,2.4375
2331,3.546875
4395,7.21875
1154,1.0078125
1162,1.015625
1390,1.015625
1442,1.046875
1459,1.1796875
3676,1.078125
3948,1.078125
3997,1.234375
1275,1.0234375
1394,1.0078125
1446,1.046875
1883,1.015625
2236,1.0234375
2335,1.015625
2837,1.15625
3008,1.0078125
1079,1.015625
1309,1.0625
1669,1.0625
2038,1.015625
2191,1.1640625
2783,1.21875
2937,1.109375
4042,1.046875
739,1.234375
1101,1.0078125
1146,1.015625
1369,1.015625
1774,1.0078125
3067,1.078125
1516,1.03125
1528,1.21875
1919,1.0234375
2347,1.015625
2583,1.03125
2675,1.0078125
3712,1.015625
1025,1.0234375
1650,1.046875
2211,1.015625
2218,1.1328125
2546,1.3125
2549,1.0859375
3406,1.03125
3838,1.0234375
946,1.0234375
1680,1.1015625
1795,1.1328125
1923,1.0078125
3385,1.109375
4234,1.03125
856,1.015625
1194,1.0625
1431,1.03125
1702,1.0390625
2460,1.0390625
2483,1.015625
3004,1.0703125
3114,1.015625
886,1.0078125
1087,1.28125
1138,1.0234375
2472,1.1015625
3834,1.1640625
3898,1.0546875
4216,1.015625
896,1.0078125
2183,1.0078125
3570,1.0078125
1513,1.1640625
1807,1.0078125
1965,1.1640625
1984,1.015625
2184,1.0234375
2302,1.015625
2444,1.03125
2592,1.015625
1410,1.203125
1961,1.015625
2083,1.0390625
2262,1.046875
2305,1.0390625
2506,1.4296875
2909,1.078125
2946,1.046875
1414,1.0625
2093,1.0625
2433,1.0078125
4128,1.0078125
4332,1.0078125
1114,1.1953125
1268,1.0234375
1547,1.375
2254,1.1171875
3273,1.125
3462,1.078125
3909,1.125
925,1.0078125
1050,1.015625
1170,1.03125
2426,1.015625
1104,1.015625
3916,1.078125
4093,1.1796875
642,1.0625
829,1.0546875
1067,1.015625
1091,1.0234375
1265,1.0078125
1876,1.109375
1944,1.03125
1997,1.046875
1224,1.046875
2488,1.4609375
3993,1.0078125
4087,1.015625
3483,1.1171875
3743,1.0078125
4132,1.0234375
809,1.0625
3953,1.015625
1509,1.0234375
2403,1.2890625
2788,1.0546875
3563,1.046875
3729,1.0234375
4206,1.1484375
4310,1.0390625
1137,1.2890625
1141,1.34375
1293,1.265625
1588,1.46875
1627,1.234375
1698,1.2265625
1705,1.2578125
1737,1.1875
938,1.21875
1285,1.265625
2021,1.2890625
2131,1.15625
3132,1.2421875
3217,1.2265625
3358,1.1796875
3370,1.28125
1012,1.421875
1222,1.4765625
1580,1.6015625
2107,1.5078125
2274,1.359375
2552,1.453125
2798,1.4140625
3301,1.453125
714,1.40625
2412,1.3203125
3011,1.3828125
3521,1.5234375
4012,1.5078125
4052,1.34375
1365,1.515625
1487,1.515625
2029,1.4921875
3093,1.5
3505,2.046875
3858,1.53125
827,2.078125
1263,1.5859375
3587,1.75
2925,1.9140625
4400,1.1640625
757,1.1640625
1215,1.359375
1226,1.234375
1802,1.4453125
1991,1.2109375
3105,1.2109375
3190,1.203125
3194,1.1875
1817,1.3984375
2278,1.453125
2778,1.4375
781,1.1953125
1531,1.1953125
1683,1.2890625
2358,1.609375
2603,1.2265625
2836,1.171875
3227,1.234375
4137,1.3125
2586,2.140625
3642,1.703125
703,1.5859375
843,1.546875
1373,1.5
2127,1.4375
774,1.6171875
2888,1.5859375
1725,1.453125
2119,1.4765625
2770,1.46875
4266,1.421875
1001,1.2109375
1129,1.640625
1172,1.265625
1515,1.2421875
1584,1.34375
2257,1.2265625
2304,1.46875
2599,1.1953125
1295,1.078125
1375,1.0390625
1497,1.0546875
2004,1.0078125
2309,1.0390625
2715,1.015625
2845,1.03125
2923,1.4140625
645,1.0
728,1.4765625
999,1.015625
1185,1.0078125
1594,1.0078125
1811,1.0390625
3164,1.015625
3634,1.1875
1474,1.0234375
1993,1.015625
2168,1.078125
2838,1.0625
3119,1.0234375
4198,1.0546875
899,1.6640625
1257,1.5546875
1343,2.09375
1619,1.7890625
3054,2.046875
3271,1.6015625
3441,1.6484375
3481,1.8046875
880,1.5546875
2103,1.671875
2463,1.5234375
2703,1.4296875
3058,1.578125
3267,1.5859375
3618,1.3671875
3970,1.453125
1813,1.7265625
3224,1.1953125
3366,1.65625
4406,1.6328125
644,1.6796875
691,1.6484375
1381,1.421875
1603,1.7421875
2756,1.4140625
2790,1.3671875
2879,1.4921875
3477,1.3984375
