,0
5000,3.109375
5001,1.9296875
5002,2.109375
5003,1.703125
5004,1.8828125
5005,2.828125
5006,3.625
5007,2.9375
5008,1.7578125
5009,2.1875
5010,1.84375
5011,2.03125
5012,2.078125
5013,1.84375
5014,1.3359375
5015,1.7109375
5016,2.578125
5017,2.046875
5018,1.6484375
5019,2.09375
5020,2.015625
5021,1.9921875
5022,2.0625
5023,3.46875
5024,1.5234375
5025,1.359375
5026,1.5859375
5027,2.5
5028,1.4453125
5029,2.109375
5030,1.6953125
5031,2.65625
5032,1.9453125
5033,2.5
5034,2.5
5035,1.703125
5036,1.6015625
5037,3.4375
5038,1.859375
5039,1.9765625
5040,3.109375
5041,1.703125
5042,1.8359375
5043,2.03125
5044,3.4375
5045,2.828125
5046,2.03125
5047,1.6953125
5048,1.7734375
5049,1.9296875
5050,2.078125
5051,2.0
5052,1.8828125
5053,1.7890625
5054,2.5625
5055,2.28125
5056,3.328125
5057,3.359375
5058,2.171875
5059,2.03125
5060,2.484375
5061,3.484375
5062,2.25
5063,2.015625
5064,2.0625
5065,2.015625
5066,1.7109375
5067,1.7421875
5068,2.171875
5069,1.7265625
5070,2.046875
5071,1.921875
5072,3.203125
5073,1.625
5074,1.46875
5075,2.25
5076,1.796875
5077,1.734375
5078,2.015625
5079,2.53125
5080,2.328125
5081,3.28125
5082,1.5546875
5083,2.84375
5084,1.765625
5085,2.046875
5086,1.671875
5087,2.0625
5088,1.7578125
5089,1.8515625
5090,1.7109375
5091,1.6015625
5092,2.265625
5093,4.59375
5094,2.03125
5095,2.1875
5096,2.234375
5097,2.15625
5098,1.8359375
5099,1.78125
5100,2.15625
5101,2.484375
5102,1.8125
5103,2.984375
5104,1.65625
5105,3.234375
5106,1.8515625
5107,1.984375
5108,16.875
5109,2.25
5110,1.875
5111,2.3125
5112,30.625
5113,2.1875
5114,2.109375
5115,1.9140625
5116,5.125
5117,6.0625
5118,3.234375
5119,1.703125
5120,1.890625
5121,1.8125
5122,2.171875
5123,1.6875
5124,1.765625
5125,2.21875
5126,1.8515625
5127,2.0625
5128,1.65625
5129,1.8828125
5130,2.171875
5131,1.5078125
5132,2.0625
5133,2.203125
5134,3.953125
5135,1.671875
5136,1.765625
5137,1.609375
5138,1.6640625
5139,7.0
5140,1.8359375
5141,2.703125
5142,2.296875
5143,2.0
5144,2.453125
5145,1.671875
5146,2.078125
5147,1.6484375
5148,1.8515625
5149,1.421875
5150,2.421875
5151,1.984375
5152,2.375
5153,1.6953125
5154,1.484375
5155,1.4609375
5156,1.546875
5157,2.3125
5158,1.78125
5159,1.6171875
5160,1.5703125
5161,2.40625
5162,1.6484375
5163,1.6875
5164,1.984375
5165,1.7734375
5166,1.828125
5167,2.375
5168,1.7109375
5169,3.078125
5170,1.9375
5171,2.25
5172,2.046875
5173,1.921875
5174,1.6015625
5175,1.9375
5176,1.7578125
5177,2.84375
5178,1.328125
5179,1.7734375
5180,1.78125
5181,2.453125
5182,2.046875
5183,1.453125
5184,1.515625
5185,2.328125
5186,2.375
5187,1.40625
5188,1.7109375
5189,3.03125
5190,2.0625
5191,2.25
5192,1.6328125
5193,2.078125
5194,2.578125
5195,2.109375
5196,1.5625
5197,1.875
5198,2.078125
5199,1.859375
5200,2.03125
5201,1.828125
5202,2.609375
5203,1.5703125
5204,3.484375
5205,1.765625
5206,1.78125
5207,3.71875
5208,2.046875
5209,18.25
5210,1.625
5211,1.7421875
5212,4.25
5213,2.421875
5214,1.8359375
5215,2.015625
5216,1.6015625
5217,2.53125
5218,1.890625
5219,1.765625
5220,1.90625
5221,27.0
5222,2.4375
5223,2.734375
5224,1.4296875
5225,2.0625
5226,1.640625
5227,6.625
5228,1.65625
5229,2.0
5230,2.265625
5231,1.34375
5232,2.1875
5233,1.484375
5234,1.5625
5235,2.1875
5236,1.578125
5237,1.890625
5238,1.953125
5239,2.03125
5240,2.53125
5241,1.7890625
5242,2.0
5243,1.5390625
5244,1.90625
5245,2.828125
5246,1.6328125
5247,1.4140625
5248,2.359375
5249,3.078125
5250,2.578125
5251,2.34375
5252,1.9453125
5253,1.5703125
5254,1.5859375
5255,3.203125
5256,2.3125
5257,2.03125
5258,1.9140625
5259,1.546875
5260,2.0
5261,1.8203125
5262,1.9921875
5263,1.4921875
5264,2.25
5265,1.5703125
5266,1.859375
5267,1.75
5268,1.7421875
5269,2.453125
5270,2.625
5271,1.6953125
5272,1.8984375
5273,3.28125
5274,1.7265625
5275,2.796875
5276,1.8203125
5277,1.421875
5278,1.71875
5279,2.546875
5280,3.328125
5281,2.078125
5282,5.4375
5283,1.734375
5284,1.734375
5285,1.96875
5286,1.7890625
5287,2.625
5288,2.921875
5289,2.515625
5290,1.6640625
5291,1.5390625
5292,2.015625
5293,1.9609375
5294,2.609375
