,0
172,1.0078125
290,1.0078125
656,1.0078125
876,1.0078125
1198,1.0078125
1404,1.4453125
1825,1.015625
2020,1.0078125
169,1.015625
773,1.0078125
1335,1.0078125
1400,1.0
1850,1.1640625
1927,2.703125
2248,1.4375
2626,1.0078125
489,1.0625
872,1.0
2629,1.046875
3520,1.03125
3875,1.234375
4272,1.0234375
5021,1.046875
5268,1.0
977,1.0078125
2102,1.078125
2567,1.3828125
3990,1.03125
7414,1.265625
1009,1.15625
1608,1.015625
2531,1.0234375
3641,1.0859375
4341,1.0
5183,1.0078125
5842,1.0234375
3044,1.0078125
4301,1.015625
4748,1.1171875
2534,1.0234375
7925,1.0
94,1.140625
4074,1.0546875
6163,1.0078125
5138,1.2578125
5159,1.28125
2415,1.2578125
4149,1.2421875
5581,1.0078125
867,1.5859375
6434,1.265625
7092,1.3671875
7412,1.0
1273,1.046875
3576,1.0625
4466,1.0859375
4598,5.40625
5585,1.1640625
5676,1.3125
5907,1.234375
6168,1.0234375
1067,1.1875
1155,1.1328125
2188,1.0625
2427,1.0703125
2556,1.1484375
2911,1.015625
3312,1.2109375
4198,1.1640625
3191,1.0625
7319,1.078125
2249,1.078125
2602,4.71875
2982,1.1640625
7212,1.1328125
1084,1.53125
1328,1.3828125
2187,1.65625
3269,1.171875
4481,1.2578125
5032,1.3359375
7050,1.171875
203,1.0703125
596,1.1640625
734,1.5625
2838,1.9453125
2888,1.2109375
4163,1.1484375
5243,1.03125
5748,1.125
908,1.0703125
1158,1.0703125
3131,1.25
3138,1.1015625
4323,1.25
6774,6.3125
1046,1.0546875
1759,1.46875
3302,1.25
3718,1.1640625
4357,1.171875
6937,1.28125
604,1.171875
2685,1.109375
3651,1.171875
4259,1.09375
4483,1.1953125
5152,1.2109375
6642,1.0390625
7087,1.2890625
514,1.109375
2817,1.171875
3537,1.046875
5915,1.578125
7389,1.3046875
7558,1.15625
5412,1.2109375
7639,1.171875
490,1.0625
1406,1.046875
2211,1.0546875
2959,1.1484375
3386,1.421875
4081,1.015625
4137,1.046875
6618,1.109375
2116,1.28125
2453,1.1953125
2611,1.0703125
6174,1.1015625
346,1.046875
1034,1.0546875
1398,1.1875
1699,1.3125
2109,1.1015625
2207,1.046875
2209,1.046875
2235,1.1640625
1132,1.28125
2149,1.265625
2824,1.1640625
3104,1.2578125
3707,1.1875
3940,1.28125
4371,1.1953125
4751,1.1640625
409,1.2109375
1386,1.2578125
2739,1.109375
4363,1.359375
5548,1.0859375
6931,1.15625
7369,1.125
3485,1.328125
4321,1.2109375
6631,1.125
7668,1.2109375
609,1.1328125
1163,1.0546875
3685,1.09375
3916,1.1953125
4020,1.1015625
5148,1.25
7642,1.0234375
502,1.1171875
516,1.0078125
3448,1.2421875
4571,1.1328125
250,1.078125
5610,1.09375
7839,1.1171875
700,1.3359375
2885,1.203125
6887,1.46875
187,1.3125
3370,1.109375
4028,1.109375
4813,4.5625
6318,7.0625
6435,1.125
6643,1.2578125
874,1.203125
1428,1.09375
1516,1.0859375
1696,1.1796875
2651,1.09375
3279,1.140625
3662,1.0390625
3833,1.0625
1241,1.09375
1744,1.1640625
3399,1.140625
6069,1.0859375
672,1.2734375
1483,1.25
4681,1.046875
6950,1.0625
7942,1.03125
474,1.328125
5745,1.109375
398,1.03125
687,1.0703125
3063,1.015625
4207,1.0625
83,1.0078125
331,1.0078125
812,1.5703125
1654,1.046875
2097,1.0
2304,1.015625
2813,6.3125
3674,1.0078125
955,1.0078125
960,1.0078125
3039,1.0078125
3458,1.0078125
3597,1.015625
3904,1.015625
4718,1.0234375
6087,1.0
408,1.015625
2385,1.0234375
2703,1.0234375
3293,1.0078125
3413,1.0078125
4394,1.0
6572,1.015625
6836,1.015625
850,1.0
2125,1.0234375
2340,1.1640625
2797,1.0546875
2893,1.03125
2944,1.0078125
3590,1.0234375
4375,1.0078125
73,1.015625
758,1.0
1176,1.125
1601,1.0078125
1977,1.0
3490,1.0
7615,1.015625
499,1.015625
1581,1.0
3315,1.0
4228,1.0
5157,1.0078125
321,1.0078125
574,1.1171875
4032,1.0078125
5202,1.0390625
6002,1.2578125
6042,1.015625
6815,1.0078125
7960,1.0234375
811,1.0
1764,1.015625
1997,1.0
4365,1.0
3067,1.53125
4433,1.3671875
1007,1.1953125
1554,1.0703125
1853,1.3203125
3275,1.078125
3358,1.0859375
4194,1.2265625
4855,1.3515625
4944,1.1640625
146,1.0703125
1874,1.375
4516,1.0859375
4769,1.0859375
6353,1.1328125
6632,1.265625
3769,1.2734375
7496,1.265625
7927,1.171875
1715,1.015625
2649,1.0
3186,1.0
3395,1.0
3427,1.0078125
3962,1.0078125
4133,1.0
4893,1.015625
958,1.0078125
1690,1.0
1841,1.0
4089,1.0078125
5257,1.03125
5324,1.015625
6160,1.0078125
7977,1.015625
1293,1.0078125
2367,1.0
7355,1.0078125
293,1.0390625
1407,1.0546875
1638,1.0234375
3915,1.0390625
4807,1.0234375
5790,1.046875
5920,1.03125
6511,1.03125
227,1.0234375
506,1.046875
1794,1.0703125
3731,1.0234375
5561,1.0703125
75,1.0
120,1.0
719,1.0
1063,1.0
1184,1.0
1429,1.0078125
1882,1.0
2573,1.0
679,1.0
963,1.0078125
3020,1.0
3472,1.0
4173,1.0
5647,1.0
5822,1.015625
7792,1.0078125
466,1.0
2064,1.0078125
2302,1.0078125
2483,1.0
3892,1.0
4223,1.0
5345,1.0
