,0
1736,1.671875
1737,1.3203125
1738,1.6171875
1739,3.46875
1740,1.4921875
1741,2.734375
1742,1.8203125
1743,1.7109375
1744,1.8984375
1745,1.296875
1746,1.7265625
1747,1.46875
1748,1.671875
1749,1.4921875
1750,2.078125
1751,2.9375
1752,1.53125
1753,2.0625
1754,1.6171875
1755,1.5390625
1756,2.375
1757,1.265625
1758,1.8046875
1759,1.375
1760,1.7578125
1761,1.3046875
1762,1.6328125
1763,1.8125
1764,2.234375
1765,1.5625
1766,2.09375
1767,2.140625
1768,1.875
1769,1.65625
1770,2.265625
1771,1.4140625
1772,1.671875
1773,1.4765625
1774,1.9765625
1775,2.0625
1776,2.015625
1777,1.7421875
1778,1.5078125
1779,1.4375
1780,1.5703125
1781,1.4609375
1782,1.5703125
1783,1.28125
1784,1.4140625
1785,2.03125
1786,1.921875
1787,2.296875
1788,1.578125
1789,3.390625
1790,3.625
1791,1.6015625
1792,2.078125
1793,1.671875
1794,1.4140625
1795,1.5078125
1796,2.25
1797,2.3125
1798,1.4921875
1799,1.7109375
1800,2.0625
1801,2.03125
1802,1.6796875
1803,1.5234375
1804,2.9375
1805,4.15625
1806,1.9765625
1807,2.3125
1808,1.953125
1809,2.9375
1810,2.171875
1811,2.140625
1812,1.953125
1813,2.609375
1814,1.7890625
1815,2.0
1816,1.96875
1817,2.796875
1818,2.046875
1819,1.2578125
1820,1.640625
1821,1.28125
1822,1.4609375
1823,1.3125
1824,1.484375
1825,1.5234375
1826,1.8671875
1827,1.71875
1828,1.5625
1829,2.09375
1830,1.953125
1831,1.5078125
1832,1.4609375
1833,1.515625
1834,1.515625
1835,2.34375
1836,2.296875
1837,2.140625
1838,2.03125
1839,1.640625
1840,2.1875
1841,1.953125
1842,2.140625
1843,2.203125
1844,2.015625
1845,2.171875
1846,2.640625
1847,2.25
1848,2.140625
1849,2.25
1850,2.546875
1851,1.4140625
1852,2.0625
1853,1.6015625
1854,1.4921875
1855,1.46875
1856,1.4609375
1857,1.3984375
1858,1.421875
1859,3.859375
1860,1.6796875
1861,1.78125
1862,1.90625
1863,1.546875
1864,1.96875
1865,1.484375
1866,2.015625
1867,1.7265625
1868,1.5703125
1869,1.875
1870,3.125
1871,1.796875
1872,2.25
1873,2.046875
1874,1.5546875
1875,1.28125
1876,1.5390625
1877,1.28125
1878,2.453125
1879,2.140625
1880,2.0625
1881,2.140625
1882,1.28125
1883,1.609375
1884,2.046875
1885,1.703125
1886,1.5625
1887,2.4375
1888,1.296875
1889,2.71875
1890,1.7734375
1891,2.796875
1892,3.03125
1893,1.3046875
1894,1.5234375
1895,1.3359375
1896,1.40625
1897,1.8359375
1898,1.4765625
1899,1.28125
1900,1.515625
1901,1.3828125
1902,1.3984375
1903,1.8984375
1904,2.59375
1905,1.6328125
1906,1.9140625
1907,3.65625
1908,1.6015625
1909,1.796875
1910,2.328125
1911,1.953125
1912,1.9921875
1913,1.8515625
1914,2.78125
1915,2.546875
1916,2.71875
1917,1.765625
1918,1.78125
1919,3.359375
1920,2.015625
1921,1.375
1922,2.265625
1923,1.703125
1924,1.9921875
1925,1.453125
1926,2.28125
1927,1.4375
1928,2.234375
1929,1.3671875
1930,2.3125
1931,1.90625
1932,1.71875
1933,2.71875
1934,1.484375
1935,1.765625
1936,1.484375
1937,1.5546875
1938,1.6171875
1939,1.796875
1940,1.34375
1941,1.765625
1942,1.515625
1943,1.8046875
1944,1.671875
1945,1.859375
1946,1.34375
1947,1.7890625
1948,1.8359375
1949,1.8359375
1950,1.3515625
1951,1.5546875
1952,1.25
1953,3.0625
1954,2.53125
1955,2.453125
1956,3.234375
1957,2.390625
1958,1.7109375
1959,2.15625
1960,2.234375
1961,2.046875
1962,2.4375
1963,2.609375
1964,1.9609375
1965,1.7265625
1966,1.59375
1967,1.4609375
1968,1.4609375
1969,1.875
1970,1.5
1971,1.7265625
1972,1.3359375
1973,1.78125
1974,1.8359375
1975,1.28125
1976,1.515625
1977,1.3203125
1978,2.1875
1979,2.09375
1980,1.6171875
1981,2.671875
1982,1.6015625
1983,1.7890625
1984,2.09375
1985,1.7890625
1986,3.46875
1987,2.671875
1988,1.671875
1989,2.25
1990,1.2734375
1991,2.15625
1992,2.765625
1993,1.609375
1994,2.6875
1995,1.640625
1996,1.7890625
1997,1.6953125
1998,2.015625
1999,1.859375
2000,1.6640625
2001,2.140625
2002,1.9765625
2003,2.078125
2004,3.46875
2005,1.484375
2006,3.109375
2007,1.859375
2008,1.5546875
2009,1.6171875
2010,16.375
2011,1.765625
2012,2.5
2013,1.984375
2014,2.421875
2015,1.7109375
2016,2.421875
2017,1.5546875
2018,2.046875
2019,1.5078125
2020,2.109375
2021,1.4921875
2022,1.6328125
2023,1.5625
2024,2.328125
2025,1.4609375
2026,2.265625
2027,1.9296875
2028,1.3203125
2029,1.8046875
2030,1.671875
2031,1.8359375
2032,1.546875
2033,1.9765625
2034,1.3125
2035,1.796875
2036,1.2265625
2037,1.625
2038,1.421875
2039,1.8359375
2040,1.359375
2041,1.84375
2042,1.9453125
2043,1.5390625
2044,1.75
2045,1.7109375
2046,1.6171875
2047,1.765625
2048,3.546875
2049,1.625
2050,2.5
2051,1.4296875
2052,1.515625
2053,1.5234375
2054,1.8828125
2055,1.359375
2056,1.8515625
2057,1.5390625
2058,1.3359375
2059,1.5234375
2060,1.4921875
2061,1.578125
2062,1.78125
2063,2.578125
2064,1.953125
2065,1.9453125
2066,1.84375
2067,2.984375
2068,3.515625
2069,2.703125
2070,1.953125
2071,4.25
2072,1.765625
2073,4.0625
2074,2.265625
2075,1.65625
2076,1.4921875
2077,1.6953125
2078,1.3515625
2079,1.78125
2080,1.3984375
2081,1.6171875
2082,2.96875
2083,1.3671875
2084,3.6875
2085,1.5859375
2086,2.78125
2087,1.6015625
2088,5.0
2089,1.515625
2090,2.25
2091,1.828125
2092,1.859375
2093,1.5703125
2094,2.59375
2095,1.4453125
2096,1.8046875
2097,2.359375
2098,1.78125
2099,5.3125
2100,2.5
2101,1.625
2102,2.765625
2103,2.25
2104,2.96875
2105,1.71875
2106,2.421875
2107,2.0
2108,2.984375
2109,1.96875
2110,1.6015625
2111,2.1875
2112,1.6484375
2113,1.890625
2114,1.9765625
2115,1.4609375
2116,1.8671875
2117,1.8359375
2118,1.765625
2119,5.75
2120,2.265625
2121,1.9375
2122,2.203125
2123,1.3046875
2124,1.7734375
2125,2.84375
2126,1.6953125
2127,2.3125
2128,1.96875
2129,1.8359375
2130,2.828125
2131,1.6484375
2132,1.7109375
2133,1.5
2134,1.4375
2135,1.4296875
2136,1.59375
2137,1.3984375
2138,1.484375
2139,1.4609375
2140,1.2109375
2141,2.0625
2142,1.78125
2143,1.6875
2144,1.5234375
2145,1.7265625
2146,1.6328125
2147,1.7109375
2148,1.6171875
2149,1.671875
2150,1.5546875
2151,2.3125
2152,1.296875
2153,2.28125
2154,1.7421875
2155,2.078125
2156,1.65625
2157,1.828125
2158,1.484375
2159,1.4375
2160,1.3828125
2161,1.796875
2162,2.328125
2163,2.03125
2164,1.3984375
2165,1.6484375
2166,1.40625
2167,1.4609375
2168,1.6796875
2169,1.4765625
2170,1.4140625
2171,1.9453125
2172,1.6484375
2173,1.4921875
2174,1.65625
2175,1.625
2176,1.359375
2177,1.5390625
2178,1.828125
2179,2.03125
2180,1.421875
2181,1.8203125
2182,1.4140625
2183,1.71875
2184,1.6875
2185,2.25
2186,1.3984375
2187,1.46875
2188,1.421875
2189,1.5859375
2190,1.484375
2191,1.703125
2192,1.7734375
2193,1.875
2194,2.078125
2195,1.828125
2196,1.6171875
2197,2.59375
2198,1.703125
2199,1.6015625
2200,1.921875
2201,1.4765625
2202,1.6171875
2203,1.3359375
2204,1.640625
2205,2.328125
2206,1.75
2207,3.015625
2208,1.9453125
2209,3.296875
2210,1.5703125
2211,2.96875
2212,1.90625
2213,2.25
2214,2.140625
2215,1.4453125
2216,2.1875
2217,1.328125
2218,1.6015625
2219,1.4375
2220,1.5078125
2221,1.4921875
2222,3.953125
2223,1.671875
2224,2.84375
2225,3.71875
2226,1.7265625
2227,1.65625
2228,1.8671875
2229,1.8671875
2230,1.7109375
2231,1.796875
2232,1.515625
2233,1.28125
2234,1.9921875
2235,1.5625
2236,5.03125
2237,4.875
2238,5.84375
2239,2.140625
2240,1.4609375
2241,2.125
2242,1.75
2243,1.6640625
2244,2.078125
2245,4.84375
2246,1.90625
2247,5.625
2248,1.53125
2249,2.640625
2250,1.5546875
2251,2.359375
2252,1.90625
2253,1.4609375
2254,2.171875
2255,1.703125
2256,1.6484375
2257,3.28125
2258,1.9296875
2259,2.453125
2260,1.5546875
2261,1.9375
2262,1.34375
2263,1.828125
2264,1.2890625
2265,1.6328125
2266,2.828125
2267,1.7421875
2268,2.53125
2269,1.765625
2270,1.796875
2271,1.5546875
2272,2.984375
2273,1.671875
2274,1.921875
2275,1.6015625
2276,1.8359375
2277,3.390625
2278,2.015625
2279,4.84375
2280,1.765625
2281,3.6875
2282,4.15625
2283,1.53125
2284,1.609375
2285,1.5859375
2286,1.7734375
2287,2.328125
2288,2.796875
2289,1.578125
2290,1.6484375
2291,1.484375
2292,1.3046875
2293,1.546875
2294,1.6640625
2295,1.84375
2296,1.4609375
2297,2.15625
2298,1.4765625
2299,1.625
2300,1.3515625
2301,1.953125
2302,1.3984375
2303,1.703125
2304,2.65625
2305,1.5859375
2306,2.59375
2307,1.6328125
2308,1.765625
2309,4.28125
2310,1.7734375
2311,2.875
2312,1.625
2313,1.3046875
2314,1.6484375
2315,1.5546875
2316,1.5703125
2317,1.5859375
2318,1.25
2319,1.6640625
2320,1.2578125
2321,1.6328125
2322,2.140625
2323,2.0625
2324,2.671875
2325,1.7265625
2326,2.625
2327,1.75
2328,1.953125
2329,1.71875
2330,1.3125
2331,2.296875
2332,1.359375
2333,1.5390625
2334,1.9609375
2335,1.6015625
2336,2.078125
2337,1.421875
2338,1.1953125
2339,1.359375
2340,1.3671875
2341,3.390625
2342,2.890625
2343,2.015625
2344,1.625
2345,1.6484375
2346,2.765625
2347,1.4453125
2348,1.7421875
2349,3.65625
2350,1.734375
2351,3.75
2352,1.7578125
2353,1.6484375
2354,1.765625
2355,1.8359375
2356,1.8125
2357,1.3828125
2358,1.90625
2359,3.359375
2360,1.6640625
2361,1.765625
2362,1.859375
2363,3.015625
2364,1.84375
2365,3.515625
2366,1.75
2367,1.5078125
2368,1.6015625
2369,1.25
2370,1.671875
2371,1.3671875
2372,1.9609375
2373,1.515625
2374,2.203125
2375,1.984375
2376,1.5390625
2377,2.015625
2378,1.8984375
2379,1.5625
2380,1.6171875
2381,1.484375
2382,1.625
2383,2.671875
2384,1.46875
2385,2.109375
2386,1.5625
2387,2.703125
2388,1.6015625
2389,1.703125
2390,2.0
2391,1.8359375
2392,2.28125
2393,1.7421875
2394,1.5703125
2395,1.703125
2396,1.7890625
2397,1.7421875
2398,2.203125
2399,2.65625
2400,3.296875
2401,2.25
2402,1.453125
2403,1.7109375
2404,1.59375
2405,1.28125
2406,2.140625
2407,1.90625
2408,1.71875
2409,2.046875
2410,1.3984375
2411,1.6484375
2412,1.8828125
2413,1.5703125
2414,2.265625
2415,1.5234375
2416,1.765625
2417,1.84375
2418,1.40625
