,0
1365,1.015625
1367,1.015625
560,1.0390625
562,1.0078125
1469,1.0078125
3750,1.0078125
3752,1.0078125
476,1.0
478,1.0
632,1.0
634,1.0
656,1.0
658,1.0
660,1.0
662,1.0
260,1.0
262,1.0
3694,1.0
3696,1.0
4179,1.0
4181,1.015625
5612,1.0078125
6557,1.0078125
756,1.0078125
758,1.0078125
1924,1.0
4425,1.0078125
4427,1.0
5364,1.0
3351,1.0078125
3353,1.0078125
3790,1.0078125
3792,1.0
4136,1.0
4138,1.0078125
5614,1.0
2067,1.1953125
2069,1.078125
1762,1.0
1764,1.0078125
445,1.0390625
447,1.203125
1763,1.0625
1765,1.046875
1979,1.265625
1981,1.3125
2270,1.015625
2272,1.0234375
1299,1.6953125
1301,1.359375
5743,1.2109375
5745,1.2109375
4054,1.109375
4056,1.1640625
81,1.140625
83,1.09375
1516,1.0390625
1518,1.0859375
2370,1.0234375
2372,1.0078125
4541,1.109375
4543,1.234375
5137,1.0
5139,1.015625
5335,1.0234375
5337,1.03125
2162,1.0625
5806,1.0078125
5808,1.0703125
2666,1.390625
4361,2.28125
4363,2.03125
6210,2.3125
6212,1.5625
6713,1.3046875
6715,1.328125
329,1.109375
331,1.3984375
701,1.421875
703,1.390625
2664,1.3515625
5167,1.1328125
5379,1.09375
5381,1.125
617,1.4765625
619,1.265625
721,1.2578125
723,1.171875
1333,2.03125
1335,1.53125
2395,1.15625
2397,1.40625
393,1.1015625
395,1.09375
3554,1.28125
3556,1.21875
3704,1.6484375
3706,1.34375
6153,1.7890625
6155,1.75
1775,1.1640625
1777,1.140625
3500,1.53125
3502,1.7109375
6087,1.21875
6089,1.15625
6311,1.75
6313,1.6171875
157,2.28125
159,2.328125
2844,1.2109375
2846,1.5078125
3090,1.4609375
3092,1.46875
3416,2.09375
3418,1.8515625
197,1.96875
199,2.09375
917,1.421875
919,1.3359375
1600,1.234375
1602,1.453125
3074,1.2421875
3076,1.640625
5696,1.3984375
5698,1.46875
1049,1.15625
1051,1.6328125
4635,1.640625
4637,1.9140625
6809,1.1484375
6811,1.3046875
829,1.546875
831,1.40625
1135,1.0
1137,1.0078125
1926,1.0703125
1928,1.0390625
2585,1.0
2587,1.0078125
3405,1.03125
3407,1.015625
1119,1.0078125
1121,1.015625
2015,1.0078125
2017,1.0078125
2227,1.0078125
2522,1.0
2524,1.0078125
4833,1.0
2549,1.0
2551,1.0
2502,1.0078125
2504,1.0078125
972,1.0
3798,1.0
3800,1.0
4429,1.0625
4431,1.0078125
6356,1.0703125
6358,1.0
220,1.046875
222,1.0390625
1111,1.0
1113,1.0
4492,1.0
4494,1.0078125
4685,1.0
4687,1.0
2157,1.0
2159,1.0
4772,1.0078125
4774,1.0
6808,1.0078125
6810,1.0078125
1486,1.0
1488,1.0078125
2415,1.0
2417,1.0
3576,1.0
3578,1.0
5023,1.0234375
6045,1.0078125
2019,1.0
2021,1.0
1754,1.0
1756,1.0
3231,1.0
320,1.03125
322,1.015625
981,1.03125
983,1.0078125
2126,1.0
2195,1.0234375
2931,1.0078125
2933,1.015625
2124,1.0078125
2903,1.0234375
2905,1.0078125
5525,1.0
5527,1.015625
5895,1.015625
5897,1.0
6225,1.0
989,1.0078125
991,1.0
3512,1.0234375
3514,1.0078125
5117,1.0078125
5119,1.0
240,1.265625
242,1.078125
284,1.0
286,1.0
512,1.0
514,1.0
2386,1.0
2388,1.0
4,1.0
6,1.0078125
780,1.0
782,1.0078125
2777,1.859375
3158,1.0
3160,1.0
3918,1.0
68,1.0
70,1.0
212,1.4921875
214,1.4609375
948,1.0
950,1.0
2204,1.34375
2206,1.1875
732,1.0078125
734,1.0078125
4268,1.3203125
4270,1.0078125
4712,1.015625
4714,1.0078125
6871,1.015625
6873,1.0
828,1.0
830,1.0
4197,1.0
4199,1.0
668,1.0
670,1.0
6081,1.0
6083,1.0
1442,1.28125
1444,1.1640625
6006,1.1953125
6008,1.296875
4661,1.0
4663,1.09375
956,1.0078125
958,1.0
2119,1.2734375
2362,1.0
2364,1.0078125
3505,1.0
3592,1.0
3594,1.0078125
524,1.0
526,1.0
1060,1.0
1062,1.0078125
1437,1.0078125
1439,1.0078125
2614,1.0
2616,1.0
2530,1.015625
3674,1.015625
3676,1.03125
4170,1.015625
4172,1.3828125
5891,1.015625
5893,1.0390625
5956,1.015625
2453,1.0
2455,1.0
3138,1.0
3140,1.0
5343,1.0
5345,1.0078125
6290,1.0
6292,1.0
2795,1.015625
2797,1.0
5682,1.0
5684,1.0
6164,1.0078125
6166,1.0234375
6645,1.0
6647,1.0
3424,1.0
3426,1.0
120,1.0
122,1.0
2382,1.0
2384,1.0
2655,1.0
2657,1.0
3503,1.0
5709,1.0
2531,1.875
2533,2.921875
1009,1.0
1011,1.0
5442,1.0
5444,1.0
5819,1.0078125
5821,1.0
4808,1.0
4810,1.0
6010,1.0
6012,1.0
477,1.15625
479,1.21875
633,1.1328125
635,1.2421875
657,1.09375
659,1.2109375
1213,1.1328125
1215,1.2734375
757,1.65625
759,1.75
2068,1.640625
2070,1.609375
3352,1.6796875
3354,1.6171875
4137,1.4921875
4139,2.0
261,1.1171875
263,1.21875
3695,1.1171875
3697,1.125
661,1.53125
663,1.8046875
1174,1.875
1176,1.9375
3147,1.703125
3149,1.5390625
6349,1.96875
4163,1.6015625
4165,1.484375
3791,1.171875
3793,1.234375
5613,1.0390625
5615,1.0546875
6558,1.21875
6560,1.296875
1048,1.0078125
1050,1.0078125
2651,1.015625
2653,1.0
3532,1.0
3534,1.0
4025,1.078125
4027,1.0078125
872,1.0
874,1.0
3069,1.2890625
3071,1.3125
6913,1.140625
6915,1.125
2831,1.0078125
2833,1.015625
2329,1.0234375
2331,1.0234375
4533,1.015625
4535,1.0078125
4652,1.3828125
4654,1.2109375
6685,1.0078125
468,1.0
470,1.0
472,1.0078125
474,1.0078125
804,1.0
806,1.0
888,1.0
890,1.0
1293,1.0
1295,1.015625
1910,1.0
1912,1.0
1914,1.0078125
1916,1.015625
5190,1.0
5192,1.0078125
5911,1.0078125
5913,1.015625
6423,1.03125
6425,1.015625
2553,1.0
2555,1.0
4276,1.0
4278,1.0
5629,1.0
5631,1.0
2153,1.0
2155,1.0078125
5899,1.0078125
5901,1.0390625
6472,1.0
6474,1.0
1098,1.0078125
1100,1.0
6788,1.0078125
6790,1.0
4983,1.0625
4985,1.0
6409,1.0
681,1.2421875
683,1.1875
2836,1.1875
2838,1.171875
3324,1.2890625
3326,1.3515625
4219,1.375
4221,1.3125
601,1.125
603,1.265625
1194,1.6328125
1196,1.390625
1265,2.21875
1267,1.2890625
2594,1.0859375
2596,1.0234375
1767,1.6796875
1769,1.1875
1801,1.21875
1803,1.203125
2350,1.125
2352,1.1484375
4575,1.453125
4577,1.3828125
785,1.1171875
787,1.1015625
4232,1.6171875
4234,1.7578125
5018,1.09375
5020,1.0703125
5130,1.078125
5132,1.140625
549,1.4453125
551,1.3984375
5953,1.234375
5955,1.4921875
2412,1.25
2414,1.40625
2866,1.203125
2868,1.0859375
5861,1.9609375
61,1.359375
63,1.671875
841,1.1328125
843,1.1640625
1086,1.265625
1088,1.265625
2420,1.40625
2422,1.4921875
677,1.2265625
679,1.28125
465,1.15625
467,1.3359375
6620,1.0859375
6622,1.1640625
1727,1.09375
1729,1.0859375
6341,1.09375
6343,1.1796875
4962,1.1640625
4964,1.265625
80,1.0
82,1.0
444,1.0
446,1.0
776,1.0
778,1.0078125
3048,1.0
3050,1.0078125
244,1.0078125
246,1.0625
2445,1.4453125
2447,1.171875
5268,1.015625
5270,1.1015625
5789,1.046875
1810,1.0
1812,1.0
5151,1.0078125
5153,1.0
5545,1.0
5547,1.0
2085,1.0
2087,1.0
4868,1.0
4870,1.0
1551,1.0
1553,1.0
2992,1.0
2994,1.0
5276,1.0
5278,1.0
6817,1.0
6819,1.0
348,1.0078125
350,1.03125
708,1.0
710,1.0078125
1847,1.0
1849,1.015625
2214,1.0
2216,1.015625
1573,1.015625
1575,1.0390625
2659,1.0078125
2661,1.0078125
1599,1.0390625
1601,1.0703125
2941,1.1953125
2943,1.1328125
5353,1.0234375
5355,1.03125
5995,1.0234375
5997,1.0234375
2138,1.03125
2140,1.015625
2769,1.109375
2771,1.015625
4349,1.0078125
4351,1.0390625
4476,1.046875
4478,1.0390625
1316,1.0
1318,1.015625
1779,1.0078125
1781,1.0234375
2491,1.0546875
2493,1.1171875
2753,1.0
2755,1.03125
745,1.015625
747,1.0
1534,1.015625
1536,1.0390625
1539,1.0546875
1541,1.0234375
4700,1.0078125
4702,1.0078125
113,1.0078125
115,1.0078125
3691,1.046875
3693,1.046875
41,1.0234375
43,1.015625
2403,1.0
2405,1.0
2623,1.0234375
2625,1.0
3179,1.0546875
3181,1.015625
978,1.0078125
980,1.0078125
6416,1.015625
6418,1.0078125
6490,1.0078125
6492,1.0078125
449,1.0078125
451,1.0
6274,1.0078125
6276,1.0234375
3237,1.0234375
3239,1.015625
4561,1.0078125
680,1.046875
682,1.0546875
1791,1.0078125
1793,1.0234375
2835,1.0390625
2837,1.015625
3323,1.0078125
3325,1.0078125
1865,1.015625
1867,1.0234375
5823,1.0078125
5825,1.015625
4549,1.1875
4551,1.125
4708,1.265625
4710,1.296875
4961,1.015625
4963,1.0234375
5231,1.0078125
5233,1.0078125
1280,1.0625
2781,1.1640625
4550,1.0390625
4552,1.0625
4754,1.046875
4756,1.046875
4795,1.1640625
6189,1.2265625
1456,1.0546875
1458,1.1171875
1659,1.0546875
1661,1.0703125
1679,1.03125
1681,1.0234375
2704,1.03125
2706,1.171875
