,0
4636,5.0
4637,5.5
4638,5.84375
4639,5.5
4640,4.375
4641,4.40625
4642,5.96875
4643,5.375
4644,4.96875
4645,5.09375
4646,5.3125
4647,4.96875
4648,4.40625
4649,4.65625
4650,4.3125
4651,5.09375
4652,5.65625
4653,4.875
4654,4.65625
4655,4.28125
4656,5.28125
4657,4.46875
4658,4.09375
4659,5.4375
4660,5.3125
4661,6.53125
4662,5.375
4663,4.71875
4664,4.6875
4665,4.625
4666,4.71875
4667,4.28125
4668,4.59375
4669,6.3125
4670,4.21875
4671,4.0625
4672,4.84375
4673,4.96875
4674,5.0
4675,5.3125
4676,4.625
4677,4.6875
4678,5.09375
4679,4.40625
4680,5.84375
4681,4.78125
4682,5.28125
4683,5.0
4684,4.09375
4685,4.6875
4686,3.890625
4687,4.71875
4688,4.78125
4689,5.15625
4690,5.125
4691,4.53125
4692,4.8125
4693,5.71875
4694,5.96875
4695,5.40625
4696,4.84375
4697,3.578125
4698,4.25
4699,9.5
4700,5.0
4701,4.875
4702,4.40625
4703,5.125
4704,5.1875
4705,6.03125
4706,4.53125
4707,4.3125
4708,4.78125
4709,5.9375
4710,4.34375
4711,5.125
4712,4.4375
4713,5.3125
4714,4.125
4715,4.96875
4716,5.15625
4717,5.125
4718,4.34375
4719,5.8125
4720,4.78125
4721,4.46875
4722,4.53125
4723,5.8125
4724,5.375
4725,5.96875
4726,4.5625
4727,4.4375
4728,4.53125
4729,4.40625
4730,4.15625
4731,5.40625
4732,4.46875
4733,6.125
4734,5.09375
4735,5.65625
4736,4.4375
4737,4.46875
4738,5.625
4739,5.375
4740,5.75
4741,5.5625
4742,4.5625
4743,5.4375
4744,6.03125
4745,4.625
4746,6.03125
4747,5.96875
4748,4.96875
4749,5.71875
4750,4.0625
4751,5.09375
4752,4.46875
4753,5.1875
4754,6.71875
4755,4.40625
4756,5.0
4757,4.59375
4758,4.46875
4759,7.0
4760,4.78125
4761,4.71875
4762,4.46875
4763,4.375
4764,4.28125
4765,4.6875
4766,5.4375
4767,5.5625
4768,6.125
4769,5.09375
4770,6.40625
4771,9.625
4772,5.15625
4773,5.1875
4774,5.15625
4775,4.78125
4776,5.375
4777,4.71875
4778,5.0
4779,5.53125
4780,5.3125
4781,6.03125
4782,4.6875
4783,5.3125
4784,5.09375
4785,4.28125
4786,5.375
4787,5.28125
4788,4.0625
4789,5.0
4790,5.09375
4791,5.25
4792,5.0
4793,6.03125
4794,6.125
4795,5.40625
4796,10.25
4797,4.15625
4798,5.09375
4799,4.96875
4800,5.375
4801,4.875
4802,5.5625
4803,4.34375
4804,4.15625
4805,4.6875
4806,4.375
4807,7.0
4808,4.46875
4809,6.21875
4810,6.0625
4811,4.34375
4812,5.4375
4813,4.34375
4814,5.71875
4815,4.84375
4816,5.3125
4817,4.71875
4818,5.1875
4819,5.53125
4820,4.4375
4821,4.6875
4822,4.0625
4823,4.46875
4824,4.375
4825,5.03125
4826,5.09375
4827,6.71875
4828,6.03125
4829,4.6875
4830,6.40625
4831,5.5625
4832,4.09375
4833,4.4375
4834,5.1875
4835,4.59375
4836,5.9375
4837,4.78125
4838,4.96875
4839,4.875
4840,4.78125
4841,4.625
4842,4.34375
4843,4.5625
4844,4.59375
4845,4.34375
4846,3.796875
4847,4.78125
4848,4.28125
4849,4.8125
4850,5.90625
4851,4.3125
4852,4.46875
4853,3.984375
4854,5.375
4855,6.0625
4856,3.921875
4857,4.15625
4858,4.46875
4859,4.46875
4860,6.1875
4861,5.8125
4862,4.96875
4863,4.28125
4864,4.59375
4865,5.71875
4866,4.9375
4867,4.96875
4868,4.53125
4869,4.59375
4870,5.84375
4871,5.15625
4872,6.28125
4873,4.6875
4874,5.65625
4875,5.96875
4876,4.5625
4877,4.8125
4878,5.0
4879,4.65625
4880,5.53125
4881,4.4375
4882,5.28125
4883,4.6875
4884,5.03125
4885,5.5
4886,6.03125
4887,4.6875
4888,4.53125
4889,5.15625
4890,5.1875
4891,6.0625
4892,5.71875
4893,4.46875
4894,5.125
4895,5.125
4896,5.09375
4897,4.125
4898,6.375
4899,5.4375
4900,4.28125
4901,4.53125
4902,4.59375
4903,4.78125
4904,7.375
4905,5.4375
4906,4.3125
4907,5.25
4908,4.59375
4909,5.5
4910,4.8125
4911,6.375
4912,4.53125
4913,5.28125
4914,5.75
4915,4.46875
4916,5.125
4917,6.40625
4918,4.96875
4919,4.1875
4920,5.28125
4921,5.375
4922,5.5
4923,4.9375
4924,6.0625
4925,6.46875
4926,7.34375
4927,5.53125
4928,4.53125
4929,5.1875
4930,4.6875
4931,7.0
4932,5.75
4933,5.1875
4934,6.21875
4935,5.53125
4936,6.125
4937,4.5625
4938,5.375
4939,5.03125
4940,4.84375
4941,4.625
4942,4.65625
4943,5.0
4944,5.96875
4945,5.4375
4946,4.9375
4947,5.375
4948,4.28125
4949,4.84375
4950,4.84375
4951,6.03125
4952,5.5625
4953,4.625
4954,5.0
4955,3.984375
4956,4.6875
4957,4.8125
4958,4.5625
4959,6.125
4960,4.59375
4961,5.71875
4962,4.625
4963,6.84375
4964,4.5625
4965,3.828125
4966,9.3125
4967,4.71875
4968,4.78125
4969,5.15625
4970,5.09375
4971,5.3125
4972,4.59375
4973,4.34375
4974,4.28125
4975,4.15625
4976,4.875
4977,4.1875
4978,5.5
4979,4.28125
4980,4.53125
4981,3.859375
4982,5.03125
4983,4.46875
4984,4.6875
4985,5.09375
4986,5.4375
4987,4.25
4988,5.4375
4989,4.21875
4990,5.15625
4991,9.0625
4992,5.1875
4993,6.5625
4994,5.65625
4995,4.875
4996,6.46875
4997,4.46875
4998,5.5625
4999,3.859375
5000,4.5625
5001,5.15625
5002,4.5625
5003,6.78125
5004,5.5
5005,4.125
5006,5.1875
5007,5.15625
5008,5.625
5009,4.5625
5010,5.40625
5011,5.0
5012,4.65625
5013,3.890625
5014,6.625
5015,5.15625
5016,6.9375
5017,7.75
5018,4.8125
5019,4.34375
5020,4.46875
5021,4.4375
5022,5.125
5023,4.375
5024,4.71875
5025,4.71875
5026,4.84375
5027,5.25
5028,5.71875
5029,6.0625
5030,6.0625
5031,5.65625
5032,4.4375
5033,5.0
5034,6.46875
5035,4.3125
5036,4.875
5037,5.625
5038,4.9375
5039,12.0
5040,4.6875
5041,6.1875
5042,4.84375
5043,4.78125
5044,6.40625
5045,5.0
5046,4.78125
5047,4.53125
5048,5.0
5049,4.46875
5050,5.28125
5051,5.5
5052,4.59375
5053,4.875
5054,4.59375
5055,4.84375
5056,5.9375
5057,4.78125
5058,4.25
5059,5.4375
5060,5.125
5061,4.15625
5062,5.53125
5063,5.40625
5064,4.625
5065,6.03125
5066,6.1875
5067,4.53125
5068,4.6875
5069,5.84375
5070,4.84375
5071,4.65625
5072,6.875
5073,6.28125
5074,6.21875
5075,4.875
5076,4.84375
5077,4.375
5078,5.25
5079,4.59375
5080,5.8125
5081,5.96875
5082,5.9375
5083,4.28125
5084,5.40625
