,0
498,1.0
1313,1.0
1805,1.0
4440,1.0
465,1.0
1717,1.0
6996,1.0
875,1.0
1472,1.03125
2155,1.0078125
2930,1.1875
3808,1.0
4857,1.0
5079,1.0
5620,1.0
1849,1.1796875
1937,1.0078125
3039,1.1640625
3210,1.1328125
4925,1.0
6776,1.125
6887,1.1796875
1108,1.0390625
1465,1.0078125
2412,1.0859375
2954,1.0859375
6424,1.0
6698,1.0859375
248,1.1171875
1314,1.1484375
3478,1.1484375
6821,1.0390625
714,1.015625
868,1.296875
3868,1.046875
4882,1.1640625
5313,1.0
163,1.0234375
246,1.0078125
253,1.0234375
507,1.0390625
685,1.0078125
1144,1.0078125
1310,1.0078125
1429,1.0078125
120,1.0
565,1.0
1054,1.0078125
1557,1.015625
1579,1.0
1947,1.0078125
2046,1.0
2287,1.0078125
2407,1.0
3635,1.0
4215,1.0
4674,1.0
5542,1.0
5923,1.0
6061,1.0
2591,1.0
2803,1.0
6372,1.0
6446,1.0
6547,1.0
178,1.0
823,1.0
4861,1.0
7029,1.0
1536,1.0
5350,1.0
5671,1.0
2695,1.0
2707,1.0
2850,1.0
726,1.0
5305,1.0
5654,1.0
6959,1.0
1196,1.0
3657,1.0
4463,1.0
5577,1.0
5958,1.0
6831,1.0
7213,1.0
166,1.0078125
217,1.0
247,1.0078125
427,1.0
459,1.015625
497,1.0
785,1.0
3647,1.0078125
777,1.0078125
1585,1.0078125
2612,1.0
2709,1.0
2788,1.0078125
3452,1.0
4217,1.0078125
4366,1.0078125
205,1.0078125
1274,1.0
1295,1.0078125
1319,1.0
2499,1.0
3126,1.0078125
5917,1.0
6096,1.0
124,1.0078125
666,1.0
2317,1.015625
2593,1.0078125
2777,1.0078125
4492,1.0
4675,1.0703125
5415,1.0078125
316,1.0859375
742,1.0234375
1692,1.0078125
2760,1.0078125
4141,1.0
4814,1.0078125
5193,1.0
5764,1.0
2814,1.015625
3046,1.015625
3379,1.0078125
6308,1.0
6498,1.015625
7385,1.0078125
7390,1.015625
649,1.0078125
733,1.0
1276,1.0
1785,1.0
1834,1.0
1936,1.0
4224,1.0078125
4603,1.0078125
495,1.0
764,1.0078125
872,1.0
1543,1.0
1787,1.0
2768,1.0
4572,1.0
4878,1.0
651,1.0
999,1.0
1425,1.0
3228,1.0
3409,1.0
4621,1.0
257,1.0
617,1.0
927,1.0
3825,1.0
7161,1.0
7229,1.0
285,1.0
1553,1.0
1797,1.0
4325,1.0
1916,1.0
2094,1.0
3891,1.0
6623,1.0
31,1.0
486,1.0
489,1.0078125
1026,1.0
2300,1.0
3694,1.0
3880,1.0
4753,1.0
171,1.0
695,1.0
862,1.0
729,1.0
1750,1.0
1903,1.0
3157,1.0
3163,1.0
3205,1.0
3307,1.0
3396,1.0
2889,1.0
2996,1.0
3413,1.0
4782,1.0
5479,1.0
5993,1.0
1584,1.0
3011,1.0078125
5911,1.0078125
6565,1.0078125
2561,1.0
4644,1.0
6502,1.0
37,1.0078125
189,1.015625
542,1.0078125
929,1.03125
998,1.03125
1961,1.015625
3034,1.0078125
3470,1.015625
1737,1.0
2409,1.0
2766,1.0
2906,1.0
4005,1.0
4084,1.0078125
5682,1.0
6844,1.0
236,1.0
275,1.0
376,1.0
1174,1.0
1475,1.0
1558,1.0
1648,1.0
1918,1.0
1230,1.0
2890,1.0
3005,1.0
3269,1.0
4238,1.0
5713,1.0
6965,1.1015625
2384,1.0859375
2417,1.0234375
4144,1.0
4866,1.0078125
6794,1.0078125
5405,1.0
5664,1.0078125
5800,1.0
6714,1.0
7211,1.0
1505,1.0546875
2602,1.0
6087,1.0
1190,1.0
1247,1.0
1529,1.0
1853,1.0
1952,1.0
2246,1.0
2250,1.0
2648,1.0
2462,1.0
4416,1.0
4535,1.0
4971,1.0
5952,1.0
6023,1.0
1104,1.0
5164,1.0
6171,1.0
2010,1.0
4895,1.0
5038,1.0
457,1.546875
953,1.0078125
2402,1.5703125
2902,1.4453125
3426,1.1796875
4269,1.4453125
5088,1.6875
6909,1.015625
168,1.015625
548,1.03125
1159,1.046875
1658,1.0
3335,1.0078125
4142,1.0546875
4938,1.0078125
5374,1.1484375
3222,1.1484375
4739,1.1484375
6098,1.015625
174,1.0
321,1.0
905,1.0
1220,1.0
1914,1.0
2603,1.0
2744,1.0
4387,1.0
291,1.109375
578,1.015625
3139,1.0078125
6521,1.015625
1257,1.0
1601,1.0
3091,1.0
3154,1.0
5075,1.0
5159,1.0
908,1.0
966,1.0078125
1137,1.0078125
1443,1.0078125
1920,1.0
4483,1.0
2570,1.0
5876,1.0078125
6587,1.0
6603,1.0
6774,1.0
371,1.0
717,1.0
1238,1.0
4917,1.0078125
5457,1.0
5826,1.0
6838,1.0
343,1.0
1516,1.0
1960,1.0
3053,1.0
3169,1.0
3288,1.0
3365,1.0
6350,1.0
680,1.0
715,1.0
2393,1.0
2735,1.0
4004,1.0
4760,1.0
5790,1.0
6528,1.0
192,1.0
5787,1.0
6787,1.0
7313,1.0
2520,1.0
2655,1.0
2752,1.0
4388,1.0
1358,1.0078125
1378,1.0546875
4446,1.0234375
4555,1.0546875
4765,1.03125
7223,1.0703125
250,1.0078125
354,1.0078125
1448,1.0
2272,1.0078125
2667,1.0078125
2840,1.0
5824,1.0
5872,1.0078125
155,1.0078125
1067,1.0078125
2176,1.015625
2486,1.03125
2751,1.0234375
3314,1.015625
3813,1.0
3984,1.0390625
2239,1.0
5392,1.0
323,1.0
2030,1.0
6356,1.0078125
485,1.0
3079,1.0
3120,1.0
3334,1.0
3608,1.0
4016,1.0
4067,1.0
4767,1.0
81,1.0
195,1.046875
607,1.0
2665,1.0
3603,1.0
3752,1.0
4452,1.03125
4977,1.0
944,1.0
1616,1.0078125
1659,1.0078125
1783,1.0078125
4777,1.0
648,1.0
857,1.0
1817,1.0078125
2935,1.0
4400,1.0
6135,1.0
6717,1.0
446,1.0
683,1.0
1440,1.0
2068,1.0
4640,1.0
6162,1.0
7216,1.0
116,1.0
1736,1.0
2001,1.0
2483,1.0
2756,1.0
1630,1.0
2643,1.0
4439,1.0
5493,1.0
6014,1.0
1133,1.0
1663,1.0
1685,1.0
3905,1.0
4343,1.0
4433,1.0
5012,1.0
5249,1.0
273,1.0
2551,1.0
3040,1.0
3980,1.0
4844,1.0
559,1.0
1668,1.0
1819,1.0
2336,1.0
4692,1.0
5185,1.0
6766,1.0
302,1.0
810,1.0390625
951,1.0
1946,1.0
1956,1.0078125
2370,1.0
2394,1.0
2900,1.0
1118,1.0
1449,1.0
2022,1.0
3421,1.0
3626,1.046875
5168,1.0
684,1.0
1478,1.0
5433,1.0
6202,1.0
7097,1.0
912,1.0
2350,1.0
3516,1.0
6989,1.0
2912,1.0
2938,1.0
3354,1.0
176,1.0
545,1.0
656,1.0625
759,1.0
1058,1.0
2033,1.0078125
2478,1.0
2503,1.0
1538,1.0
2615,1.0
2717,1.0
4632,1.0
5219,1.0
6656,1.0
83,1.0
208,1.0078125
1130,1.0
2991,1.0078125
3356,1.0
5440,1.0
5518,1.0
6138,1.0
3593,1.0
5559,1.0
6326,1.0
237,1.0546875
877,1.0
4052,1.0
331,1.0
760,1.0078125
1040,1.0
2207,1.0
2511,1.0
2525,1.0
2893,1.0
3033,1.0
611,1.0
1368,1.0
1437,1.0
1941,1.0
3226,1.0078125
3453,1.0
4021,1.0
4478,1.0
994,1.0078125
2516,1.0078125
3704,1.0
3793,1.0
5362,1.0078125
5625,1.0
5723,1.0
1125,1.0
2927,1.0
882,1.0
5522,1.0
5866,1.0
6479,1.0
6800,1.0
6914,1.0
32,1.0078125
4424,1.0
4751,1.0
6768,1.0
324,1.0
663,1.0
765,1.0
1546,1.0
1708,1.0
1839,1.0
2849,1.0
3030,1.0
300,1.0
705,1.0
992,1.0
6531,1.0
1745,1.0
3768,1.0
3907,1.0
5096,1.0
6165,1.0078125
6991,1.0
6049,1.0
6070,1.0
6420,1.0
7335,1.0
86,1.0
884,1.0078125
1390,1.0078125
2526,1.0
3036,1.0078125
3359,1.09375
5331,1.0078125
5992,1.0078125
692,1.0
833,1.0
1671,1.0078125
2877,1.0
3221,1.0
3544,1.0
3879,1.0
4653,1.0
659,1.0
1427,1.0
1438,1.0
3588,1.0078125
3625,1.0
5850,1.0078125
368,1.0
2737,1.0
4513,1.046875
4864,1.0
7224,1.0
3207,1.0078125
3434,1.0078125
3599,1.0
4622,1.0
4887,1.0
5263,1.0
5661,1.0078125
6690,1.0
104,1.0078125
115,1.015625
2200,1.0078125
4533,1.0078125
5883,1.0078125
6051,1.0078125
7102,1.0
7215,1.015625
5806,1.0
7339,1.0
480,1.0
2380,1.0
3834,1.0078125
4008,1.0
4106,1.0
5708,1.0078125
5828,1.0
6514,1.0078125
3511,1.0
4243,1.0
4311,1.0
4688,1.0
4823,1.0
4972,1.0
5802,1.0
6632,1.0
915,1.0078125
1178,1.0
1856,1.0
2040,1.0
2894,1.0
4176,1.0
5202,1.015625
6380,1.0
429,1.0
1066,1.0
1268,1.0078125
2328,1.0
4391,1.0
4728,1.0
4950,1.0
3661,1.0
6041,1.0
669,1.0
727,1.0234375
1606,1.015625
2448,1.0078125
2976,1.0
3016,1.0
3173,1.0
3398,1.0
1646,1.0
2160,1.0
2808,1.0
2888,1.0
4080,1.0
4091,1.0
4903,1.0
5173,1.0
924,1.0
1623,1.0
1815,1.0
1870,1.0
2115,1.0
2126,1.0
2220,1.0
2251,1.0
958,1.0
2288,1.0
2596,1.0
5910,1.0
5773,1.0
6125,1.0
6344,1.0
490,1.0
1042,1.0
2219,1.0
4597,1.0078125
5602,1.0
70,1.0
415,1.03125
440,1.0
1286,1.0
3523,1.0
3566,1.0
3720,1.0
267,1.0078125
385,1.0
1202,1.0078125
2625,1.0078125
4474,1.0078125
5506,1.0
5644,1.0
5704,1.0
890,1.0
1693,1.0
3928,1.0
3969,1.0
4194,1.0
4943,1.0
1999,1.0
2874,1.0
5085,1.0
5135,1.0
5337,1.0
6193,1.0
6376,1.0
186,1.0
1510,1.0
2021,1.0078125
2842,1.0
3010,1.0
3179,1.0
4946,1.0
5345,1.0078125
123,1.0
1111,1.0
3687,1.0
5150,1.0
5988,1.0
294,1.0
407,1.0
769,1.0
1206,1.0
2320,1.0
2405,1.0
2611,1.0
2790,1.0
82,1.0
2908,1.0
4464,1.0
4584,1.0
5471,1.0
6058,1.0
313,1.0
664,1.0
2116,1.0
2341,1.0
2600,1.0
4868,1.0
5359,1.0
6616,1.1171875
3162,1.0
6767,1.0
6946,1.0
1353,1.0
1493,1.0
1721,1.0
1583,1.0
1981,1.0
2225,1.0
3758,1.0
3773,1.0
5149,1.0
5941,1.0
6720,1.0
17,1.0
193,1.0
332,1.0
679,1.0
1150,1.0
4404,1.0
5103,1.0
5158,1.0
885,1.0
1272,1.0
1781,1.0
2463,1.0
3350,1.0
5352,1.0
6426,1.0
