,0
4140,3.78125
4141,3.890625
4142,3.890625
4143,3.71875
4144,3.953125
4145,3.6875
4146,3.796875
4147,3.953125
4148,3.953125
4149,4.09375
4150,4.09375
4151,5.03125
4152,4.15625
4153,4.875
4154,5.28125
4155,3.984375
4156,4.65625
4157,3.59375
4158,5.8125
4159,3.859375
4160,4.875
4161,3.75
4162,3.890625
4163,3.65625
4164,3.625
4165,3.828125
4166,4.125
4167,4.34375
4168,3.921875
4169,4.03125
4170,3.796875
4171,3.59375
4172,3.59375
4173,5.28125
4174,3.625
4175,4.875
4176,3.65625
4177,5.125
4178,4.03125
4179,4.15625
4180,3.796875
4181,4.28125
4182,4.71875
4183,4.8125
4184,3.796875
4185,3.625
4186,5.625
4187,3.75
4188,4.21875
4189,5.03125
4190,4.71875
4191,3.890625
4192,5.15625
4193,3.578125
4194,4.1875
4195,4.6875
4196,4.1875
4197,4.09375
4198,3.6875
4199,5.15625
4200,4.46875
4201,4.8125
4202,3.65625
4203,4.96875
4204,3.546875
4205,4.09375
4206,3.59375
4207,3.890625
4208,4.34375
4209,3.796875
4210,3.828125
4211,4.0625
4212,3.796875
4213,3.828125
4214,3.796875
4215,3.484375
4216,3.78125
4217,3.75
4218,4.40625
4219,3.984375
4220,4.0625
4221,3.75
4222,4.09375
4223,3.859375
4224,4.03125
4225,5.53125
4226,3.75
4227,3.828125
4228,3.953125
4229,4.25
4230,3.6875
4231,3.6875
4232,3.484375
4233,4.65625
4234,4.25
4235,3.921875
4236,3.921875
4237,3.859375
4238,4.21875
4239,3.359375
4240,3.75
4241,3.578125
4242,4.1875
4243,3.6875
4244,3.828125
4245,3.6875
4246,3.25
4247,4.84375
4248,4.0625
4249,4.84375
4250,3.75
4251,3.78125
4252,5.0
4253,3.46875
4254,4.03125
4255,3.59375
4256,3.75
4257,3.515625
4258,3.71875
4259,4.40625
4260,3.546875
4261,3.59375
4262,3.65625
4263,4.15625
4264,3.546875
4265,4.15625
4266,4.21875
4267,4.03125
4268,3.890625
4269,3.75
4270,3.984375
4271,3.71875
4272,3.515625
4273,3.828125
4274,3.953125
4275,4.03125
4276,5.125
4277,4.96875
4278,4.21875
4279,3.890625
4280,3.65625
4281,3.890625
4282,3.71875
4283,5.03125
4284,3.828125
4285,3.75
4286,3.40625
4287,3.78125
4288,5.75
4289,4.125
4290,4.09375
4291,3.984375
4292,3.75
4293,4.6875
4294,3.828125
4295,4.125
4296,3.859375
4297,3.75
4298,3.890625
4299,3.859375
4300,3.75
4301,3.953125
4302,3.65625
4303,3.71875
4304,4.0625
4305,3.59375
4306,3.71875
4307,4.8125
4308,3.890625
4309,3.78125
4310,4.34375
4311,5.125
4312,3.859375
4313,4.875
4314,4.25
4315,3.578125
4316,4.03125
4317,3.78125
4318,3.578125
4319,3.828125
4320,4.875
4321,4.8125
4322,4.09375
4323,3.6875
4324,3.921875
4325,3.78125
4326,3.59375
4327,4.0625
4328,3.921875
4329,3.859375
4330,4.53125
4331,3.625
4332,3.390625
4333,3.390625
4334,4.125
4335,3.625
4336,4.34375
4337,4.34375
4338,3.953125
4339,4.09375
4340,3.65625
4341,3.65625
4342,4.78125
4343,3.65625
4344,4.03125
4345,3.59375
4346,5.15625
4347,3.984375
4348,3.625
4349,4.4375
4350,4.28125
4351,3.515625
4352,3.890625
4353,5.03125
4354,4.09375
4355,3.578125
4356,3.71875
4357,3.921875
4358,3.75
4359,4.21875
4360,3.546875
4361,5.03125
4362,3.625
4363,4.03125
4364,3.828125
4365,5.15625
4366,3.921875
4367,3.40625
4368,3.75
4369,3.71875
4370,3.65625
4371,4.3125
4372,5.375
4373,3.578125
4374,3.75
4375,3.6875
4376,3.40625
4377,3.796875
4378,3.78125
4379,4.875
4380,3.59375
4381,3.859375
4382,4.28125
4383,4.59375
4384,3.75
4385,3.796875
4386,3.859375
4387,3.890625
4388,4.0625
4389,3.65625
4390,4.84375
4391,4.03125
4392,4.375
4393,3.984375
4394,3.578125
4395,3.71875
4396,3.859375
4397,5.8125
4398,3.796875
4399,3.796875
4400,4.25
