,0
43,1.0
1056,1.0
2396,1.0
2429,1.0234375
5249,1.0
395,1.0
3934,1.0
5462,1.0625
5476,1.0
6172,1.046875
2221,1.0
3750,1.0
4113,1.0
4131,1.0
4259,1.0
4476,1.0
4953,1.0
5053,1.0
2012,1.0390625
2223,1.0390625
2917,1.0390625
3139,1.0390625
4571,1.0390625
4680,1.0390625
4962,1.0390625
5082,1.0390625
232,1.0
362,1.0
384,1.0
1048,1.0078125
1960,1.0
2399,1.0
2738,1.0
3255,1.0078125
61,1.0
284,1.0
494,1.0
1969,1.0
1681,1.015625
3811,1.0078125
4387,1.0
188,1.1875
543,1.1875
1601,1.1875
2202,1.1875
2381,1.1875
2977,1.1875
3411,1.1875
4115,1.1875
1272,1.0
3341,1.0
4099,1.0078125
4155,1.0
4290,1.0
4434,1.0
4466,1.0
4658,1.0
2175,1.0078125
2556,1.0
3073,1.0078125
3788,1.0078125
3845,1.0
3965,1.0
4194,1.0
5783,1.0078125
82,1.0
3003,1.0
3216,1.0
4469,1.0
4721,1.0
5506,1.0
5734,1.0
6556,1.0
462,1.0078125
1700,1.0
2190,1.0
2233,1.03125
3768,1.015625
4211,1.0
6470,1.0
67,1.0078125
1865,1.0
2046,1.0
2129,1.0
2707,1.0
6540,1.0
4880,1.0
6168,1.0
259,1.0078125
1101,1.1640625
2523,1.0546875
3212,1.0078125
3497,1.2109375
3763,1.421875
3786,1.0703125
4015,1.0703125
266,1.0078125
1038,1.03125
1203,1.015625
3906,1.0546875
3991,1.4609375
5146,1.0234375
5235,1.0078125
63,1.03125
112,1.0703125
432,1.078125
463,1.046875
1115,1.03125
1485,1.03125
1824,1.0390625
3721,1.03125
2643,1.1015625
2780,1.03125
2816,1.15625
5702,1.0859375
5950,1.3203125
186,1.03125
735,1.0390625
3385,1.015625
5189,1.4453125
5319,1.03125
5552,1.015625
699,1.0078125
1398,1.0078125
2342,1.0234375
2736,1.0078125
1494,1.0
1709,1.0
2054,1.0
263,1.0
668,1.0
1030,1.0
1098,1.0
1341,1.078125
1798,1.0
1871,1.0
2099,1.0078125
742,1.0
1442,1.0
1816,1.0
3013,1.0
3979,1.0
1225,1.0
1820,1.0
2083,1.0078125
2498,1.0
2693,1.0078125
3517,1.0078125
3767,1.0
3840,1.0
2275,1.0078125
2276,1.0078125
2863,1.015625
3045,1.0078125
4106,1.0078125
4478,1.0234375
4489,1.0078125
4888,1.0
557,1.0
701,1.0
1346,1.0
2864,1.0078125
2978,1.0
3875,1.0
4826,1.0
4830,1.0
14,1.0078125
460,1.015625
1006,1.046875
1676,1.5078125
1796,1.0
1892,1.0390625
2885,1.0
3354,1.0078125
152,1.0
2142,1.0
3337,1.0
4056,1.0
4524,1.0
4842,1.0
4872,1.0078125
5031,1.0
288,1.0
987,1.0
6414,1.0
2143,1.0078125
5566,1.0
6325,1.0
769,1.0
1695,1.0
1810,1.0
3702,1.0
4461,1.0
891,1.03125
3198,1.0078125
4404,1.0
5086,1.0
5103,1.0
5109,1.0
643,1.0
655,1.0
711,1.0
890,1.0
2873,1.0
