,0
4588,74.5
4589,68.0
4590,72.5
4591,74.5
4592,52.0
4593,139.0
4594,568.0
4595,127.0
4596,37.0
4597,552.0
4598,37.0
4599,115.5
4600,174.0
4601,245.0
4602,108.5
4603,163.0
4604,286.0
4605,52.0
4606,77.0
4607,174.0
4608,296.0
4609,77.0
4610,45.25
4611,44.5
4612,392.0
4613,268.0
4614,68.0
4615,63.75
4616,197.0
4617,203.0
4618,179.0
4619,158.0
4620,105.0
4621,119.5
4622,42.5
4623,54.5
4624,148.0
4625,536.0
4626,268.0
4627,77.0
4628,53.75
4629,105.0
4630,43.75
4631,237.0
4632,520.0
4633,82.0
4634,16.625
4635,96.0
4636,123.0
4637,148.0
4638,32.0
4639,42.5
4640,68.0
4641,63.75
4642,66.0
4643,79.5
4644,26.625
4645,123.0
4646,46.75
4647,105.0
4648,84.5
4649,13.5625
4650,51.25
4651,90.0
4652,112.0
4653,268.0
4654,27.5
4655,135.0
4656,70.0
4657,43.25
4658,112.0
4659,520.0
4660,604.0
4661,33.75
4662,56.25
4663,108.5
4664,185.0
4665,82.0
4666,29.625
4667,230.0
4668,82.0
4669,25.375
4670,28.375
4671,77.0
4672,60.0
4673,49.75
4674,158.0
4675,404.0
4676,163.0
4677,688.0
4678,27.5
4679,168.0
4680,179.0
4681,77.0
4682,35.75
4683,203.0
4684,245.0
4685,230.0
4686,84.5
4687,24.25
4688,119.5
4689,127.0
4690,90.0
4691,108.5
4692,131.0
4693,54.5
4694,9.8125
4695,35.25
4696,486.0
4697,74.5
4698,79.5
4699,102.0
4700,324.0
4701,25.75
4702,230.0
4703,127.0
4704,87.0
4705,296.0
4706,70.0
4707,47.5
4708,12.5625
4709,148.0
4710,230.0
4711,18.25
4712,77.0
4713,41.25
4714,87.0
4715,268.0
4716,77.0
4717,314.0
4718,41.25
4719,48.25
4720,179.0
4721,324.0
4722,60.0
4723,13.1875
4724,68.0
4725,18.875
4726,70.0
4727,119.5
4728,135.0
4729,33.0
4730,40.0
4731,56.25
4732,84.5
