,0
960,5.40625
1605,2.96875
1606,2.5625
2302,4.4375
2303,4.59375
3556,3.015625
3557,3.0625
4773,5.125
2840,2.828125
2841,2.125
2842,4.6875
2985,4.46875
2986,3.328125
2987,5.9375
4778,5.1875
4779,2.171875
1337,3.078125
1338,3.578125
1339,2.453125
1752,4.84375
1753,4.5625
3081,4.375
3082,3.203125
3083,4.28125
1112,2.375
1216,2.078125
1217,4.25
1470,5.53125
1471,2.5625
1472,3.40625
2089,2.984375
2090,1.8203125
84,3.125
85,2.890625
86,2.453125
327,2.921875
328,2.078125
479,2.28125
1139,3.390625
1140,1.6875
2186,3.578125
2187,3.515625
2188,4.625
3198,3.59375
759,3.015625
760,3.953125
2768,5.0
2771,3.203125
2772,4.875
2798,8.0
2799,4.6875
3643,2.484375
4004,2.890625
4005,4.6875
4006,2.5
5216,3.4375
5217,3.484375
4497,3.28125
4549,2.375
4550,2.46875
694,2.09375
1975,1.8671875
1976,1.5390625
689,1.453125
690,1.8125
1340,5.1875
1341,1.6953125
3069,1.8125
3070,1.8125
3107,1.0
3201,1.734375
195,1.0078125
196,1.0078125
1778,1.359375
2736,1.0
2737,22.75
3065,1.0234375
3066,1.0234375
3898,1.0
2573,1.0078125
2574,1.015625
3047,1.0078125
3048,1.125
3330,1.0
3331,1.0078125
753,2.0625
1499,1.5703125
1500,1.0234375
4833,1.03125
4835,1.0078125
4836,1.046875
382,2.40625
1642,2.734375
1643,2.15625
4252,2.09375
4253,2.65625
4254,1.53125
380,2.234375
1319,2.5
1320,3.0625
1641,1.6953125
179,1.6015625
180,2.890625
1480,3.546875
2638,2.9375
2639,5.03125
3478,2.46875
4108,2.1875
4109,3.40625
4919,2.515625
4920,2.171875
68,2.25
69,4.03125
4186,3.125
4187,2.359375
5183,3.65625
5184,2.703125
827,2.265625
828,2.359375
829,2.0
900,3.03125
901,2.53125
902,4.15625
1568,4.15625
1570,2.984375
1178,1.8828125
1179,1.78125
930,2.84375
1242,5.53125
1243,5.71875
3031,3.28125
4566,1.7265625
1255,2.765625
1256,1.9375
3499,1.4921875
4176,1.9765625
4177,2.234375
4178,2.375
931,2.984375
1211,2.9375
2824,2.84375
3029,2.578125
3497,2.40625
3498,4.3125
3726,3.46875
3727,4.84375
743,2.1875
744,1.8125
1221,3.796875
2279,49.0
2280,2.9375
2554,3.828125
2555,2.09375
2556,2.0
225,4.03125
226,3.078125
1730,1.84375
1731,2.015625
2754,1.6171875
2835,2.0625
4276,2.796875
4304,1.6640625
745,2.359375
1220,2.28125
1646,2.421875
1647,2.3125
2756,1.40625
