,0
2664,5.71875
2665,5.40625
2666,4.8125
2667,5.625
2668,5.28125
2669,6.5625
2670,4.71875
2671,6.21875
2672,3.78125
2673,6.375
2674,4.78125
2675,4.71875
2676,4.6875
2677,6.125
2678,6.28125
2679,6.53125
2680,6.875
2681,4.875
2682,5.15625
2683,4.6875
2684,4.59375
2685,4.09375
2686,3.625
2687,5.1875
2688,4.6875
2689,5.375
2690,5.75
2691,4.53125
2692,3.859375
2693,4.0625
2694,4.5625
2695,4.1875
2696,4.21875
2697,4.21875
2698,4.28125
2699,3.953125
2700,3.796875
2701,4.5625
2702,5.125
2703,4.21875
2704,4.03125
2705,3.921875
2706,3.796875
2707,3.796875
2708,4.96875
2709,6.46875
2710,4.09375
2711,4.25
2712,4.5625
2713,4.4375
2714,4.4375
2715,6.1875
2716,6.0625
2717,5.0
2718,6.1875
2719,4.40625
2720,5.65625
2721,4.46875
2722,4.5625
2723,4.625
2724,6.28125
2725,5.53125
2726,6.5625
2727,6.625
2728,5.40625
2729,4.8125
2730,4.375
2731,6.0625
2732,4.53125
2733,4.15625
2734,4.4375
2735,5.15625
2736,5.15625
2737,5.0
2738,3.859375
2739,4.53125
2740,4.375
2741,4.28125
2742,3.65625
2743,4.34375
2744,4.71875
2745,5.65625
2746,4.3125
2747,5.09375
2748,4.46875
2749,4.375
2750,5.03125
2751,5.125
2752,5.90625
2753,4.96875
2754,5.53125
2755,4.875
2756,5.3125
2757,4.65625
2758,4.4375
2759,4.5625
2760,6.6875
2761,7.375
2762,5.84375
2763,7.625
2764,5.71875
2765,5.75
2766,4.84375
2767,4.34375
2768,4.8125
2769,6.125
2770,5.53125
2771,4.375
2772,3.984375
2773,4.25
2774,5.0
2775,4.875
2776,4.40625
2777,4.03125
2778,4.09375
2779,4.46875
2780,4.03125
2781,4.34375
2782,5.65625
2783,4.6875
2784,5.40625
2785,5.3125
2786,5.40625
2787,3.828125
2788,3.75
2789,4.09375
2790,4.71875
2791,4.46875
2792,4.4375
2793,4.78125
2794,4.4375
2795,4.5625
2796,4.96875
2797,4.96875
2798,5.3125
2799,3.59375
2800,3.953125
2801,3.578125
2802,4.0625
2803,5.4375
2804,5.28125
2805,5.3125
2806,4.875
2807,4.15625
2808,4.5625
2809,4.375
2810,4.0625
2811,3.953125
2812,4.375
2813,5.15625
2814,3.796875
2815,3.859375
2816,3.953125
2817,3.984375
2818,3.546875
2819,5.1875
2820,6.1875
2821,5.1875
2822,4.625
2823,4.375
2824,4.3125
2825,4.28125
2826,4.21875
2827,4.09375
2828,4.1875
2829,4.1875
2830,4.03125
2831,3.984375
2832,7.375
2833,6.21875
2834,5.15625
2835,5.8125
2836,3.75
2837,3.6875
2838,4.65625
2839,4.8125
2840,4.65625
2841,4.96875
2842,5.40625
2843,4.84375
2844,4.59375
2845,4.375
2846,3.796875
2847,3.953125
2848,3.890625
2849,4.15625
2850,5.25
2851,4.625
2852,4.34375
2853,5.3125
2854,4.71875
2855,5.15625
2856,5.15625
2857,5.0
2858,5.28125
2859,4.5625
2860,4.3125
2861,5.0
2862,4.375
2863,4.40625
2864,4.3125
2865,4.21875
2866,4.25
2867,5.75
2868,5.53125
2869,6.5625
2870,5.90625
2871,5.65625
2872,5.40625
2873,5.96875
2874,5.90625
2875,5.65625
2876,5.84375
2877,5.625
2878,5.90625
2879,3.65625
2880,3.921875
2881,4.1875
2882,4.125
2883,4.4375
2884,4.65625
2885,4.78125
2886,3.890625
2887,4.1875
2888,4.125
2889,4.53125
2890,3.78125
2891,3.78125
2892,3.578125
2893,4.0625
2894,4.71875
2895,4.875
2896,5.03125
2897,4.84375
2898,3.390625
2899,3.40625
2900,4.5625
2901,3.6875
2902,3.78125
2903,3.65625
2904,4.40625
2905,3.921875
2906,4.59375
2907,4.53125
2908,3.796875
2909,3.71875
2910,3.890625
2911,3.796875
2912,4.28125
2913,3.578125
2914,3.859375
2915,3.78125
2916,4.03125
2917,5.90625
2918,4.875
2919,4.71875
2920,5.125
2921,3.984375
2922,4.21875
2923,4.0625
2924,4.21875
2925,4.34375
2926,3.953125
2927,4.5625
2928,4.4375
2929,5.03125
2930,4.875
2931,4.71875
2932,3.828125
2933,3.953125
2934,4.125
2935,3.59375
2936,4.1875
2937,3.953125
2938,4.15625
2939,3.6875
2940,3.796875
2941,3.859375
2942,4.78125
2943,5.09375
2944,5.8125
2945,5.15625
2946,5.28125
2947,4.03125
2948,4.375
2949,3.921875
2950,3.390625
2951,6.53125
2952,5.71875
2953,6.1875
2954,5.84375
2955,6.0625
2956,4.875
2957,4.4375
2958,5.25
2959,5.8125
2960,4.34375
2961,4.78125
2962,4.625
2963,4.6875
2964,5.65625
2965,4.8125
2966,4.84375
2967,4.46875
2968,3.921875
2969,3.890625
2970,4.40625
2971,4.125
2972,3.953125
2973,3.984375
2974,5.625
2975,4.53125
2976,5.4375
2977,5.15625
2978,5.3125
2979,5.0
2980,5.03125
2981,4.625
2982,4.71875
2983,4.59375
2984,4.875
2985,3.578125
2986,3.546875
2987,3.515625
2988,3.359375
2989,4.96875
2990,3.78125
2991,4.375
2992,4.78125
2993,4.0625
2994,4.9375
2995,3.828125
2996,4.875
2997,5.03125
2998,4.78125
2999,4.21875
3000,3.65625
3001,3.40625
3002,3.953125
3003,4.40625
3004,3.625
3005,4.5625
3006,4.65625
3007,4.71875
3008,5.5
3009,4.875
3010,5.09375
3011,3.78125
3012,3.890625
3013,3.984375
3014,3.796875
3015,3.6875
3016,3.75
3017,3.953125
3018,4.1875
3019,3.65625
3020,4.78125
3021,5.03125
3022,4.71875
3023,4.8125
3024,4.6875
3025,3.78125
3026,4.625
3027,4.6875
3028,4.875
3029,3.984375
3030,3.984375
3031,4.09375
3032,4.125
3033,4.34375
3034,4.59375
3035,4.40625
3036,4.5625
3037,4.3125
3038,3.859375
3039,3.71875
3040,4.125
3041,4.46875
3042,3.890625
3043,4.0625
3044,4.46875
3045,4.03125
3046,4.59375
3047,5.53125
3048,4.25
3049,4.09375
3050,5.4375
3051,5.03125
3052,4.4375
3053,3.953125
3054,4.53125
3055,3.859375
3056,3.890625
3057,4.71875
3058,4.78125
3059,5.40625
3060,4.65625
3061,4.46875
3062,4.1875
3063,4.03125
3064,3.796875
3065,4.03125
3066,4.09375
3067,5.09375
3068,3.984375
3069,4.6875
3070,5.4375
3071,5.5
3072,5.15625
3073,3.984375
3074,3.859375
3075,4.46875
3076,4.5625
3077,3.859375
3078,3.65625
3079,3.390625
3080,4.09375
3081,4.40625
3082,3.953125
3083,3.890625
3084,3.890625
3085,4.4375
3086,4.875
3087,4.96875
3088,3.828125
3089,3.328125
3090,3.578125
3091,3.859375
3092,3.953125
3093,3.984375
3094,4.53125
3095,4.28125
3096,5.71875
3097,5.5
3098,5.75
3099,5.84375
3100,5.71875
3101,4.65625
3102,4.6875
3103,5.96875
3104,5.84375
3105,6.03125
3106,5.5625
3107,5.53125
3108,4.59375
3109,5.71875
3110,4.15625
3111,4.09375
3112,4.375
3113,4.46875
3114,4.0625
3115,3.4375
3116,3.890625
3117,5.1875
3118,5.0
3119,5.40625
3120,4.8125
3121,4.59375
3122,4.25
3123,5.375
3124,4.40625
3125,5.28125
3126,5.03125
3127,5.125
3128,4.375
3129,5.125
3130,5.1875
3131,4.1875
3132,4.21875
3133,4.46875
3134,3.984375
3135,4.46875
3136,4.625
3137,4.8125
3138,4.09375
3139,4.09375
3140,4.8125
3141,4.59375
3142,4.53125
3143,4.59375
3144,6.21875
3145,4.8125
3146,3.75
3147,3.953125
3148,4.53125
3149,5.53125
3150,5.4375
3151,4.84375
3152,4.46875
3153,4.53125
3154,4.46875
3155,4.46875
3156,4.40625
3157,5.625
3158,5.3125
3159,5.5
3160,5.53125
3161,5.71875
3162,4.625
3163,4.875
3164,4.9375
3165,4.25
3166,4.28125
3167,4.28125
3168,4.28125
3169,4.84375
3170,4.65625
3171,5.0
3172,5.5
3173,4.21875
3174,3.515625
3175,4.34375
3176,4.28125
3177,3.75
3178,3.796875
3179,3.828125
3180,3.359375
3181,4.28125
3182,5.84375
3183,4.6875
3184,3.984375
3185,4.15625
3186,4.03125
3187,5.4375
3188,4.65625
3189,4.875
3190,3.75
3191,5.28125
3192,4.28125
3193,4.34375
3194,4.625
3195,3.6875
