,0
2521,1.0625
2523,1.0
2918,1.09375
2920,1.0
3863,1.1015625
3864,1.0
3865,1.0546875
580,1.03125
2975,1.0
3354,1.546875
3700,1.4921875
3701,1.2578125
300,1.0078125
302,1.125
303,1.046875
304,1.0546875
574,1.1796875
575,1.0
576,1.046875
2153,1.0
731,1.6015625
733,1.5703125
1687,1.6015625
1862,1.546875
1863,1.5703125
3596,1.546875
4174,1.5703125
4175,1.546875
1683,1.1171875
1684,1.3125
1784,1.0546875
1831,1.0
1832,1.0546875
1983,1.140625
1984,1.0
3352,1.2421875
301,1.0078125
2763,1.03125
3883,1.0
3885,1.0
3916,1.0
3917,1.046875
3918,1.015625
3919,1.0703125
226,1.0
227,1.09375
228,1.0
1473,1.1796875
1474,1.0546875
1475,1.078125
1685,1.078125
1686,1.0
1962,1.015625
1963,1.0
1964,1.03125
3592,1.125
2629,1.0
2630,1.1875
3430,1.2265625
1673,1.0546875
1674,1.46875
1676,1.1015625
1783,1.3125
1785,1.140625
3594,1.1875
232,1.0
610,1.0078125
612,1.0
1310,1.0
1952,1.0078125
2189,1.0
2190,1.0
2191,1.296875
641,1.0
847,1.0
848,1.0
849,1.1171875
850,1.0
1127,1.0078125
1129,1.0
2159,1.0
1321,1.3515625
1322,1.0
1323,1.3359375
1324,1.2421875
1325,1.0546875
609,1.296875
611,1.0
1161,1.0
2192,1.3359375
2340,1.0
2346,1.359375
2753,1.359375
124,1.0
308,1.0
958,1.0
1153,1.0
1366,1.0
2328,1.0078125
1382,1.2421875
1383,1.0
1613,1.0
1950,1.4921875
2160,1.3984375
2452,1.0
312,1.0078125
615,1.0078125
861,1.0078125
960,1.0078125
1266,1.0078125
1389,1.0078125
1611,1.0078125
2199,1.015625
131,1.0078125
238,1.0
614,1.0078125
664,1.0078125
777,1.0078125
902,1.0078125
1073,1.0078125
1173,1.0078125
178,1.0
522,1.0078125
713,1.0
903,1.046875
1013,1.0078125
1388,1.015625
1954,1.015625
340,1.0078125
666,1.0078125
1172,1.015625
1494,1.015625
1957,1.0546875
239,1.0078125
521,1.0078125
646,1.0078125
856,1.0078125
1616,1.0078125
2200,1.0234375
3368,1.0078125
3369,1.0078125
862,1.0
2456,1.0
2457,1.0078125
3084,1.0
3518,1.0078125
3519,1.0078125
259,1.0078125
260,1.015625
1574,1.0078125
1884,1.0078125
110,1.1015625
112,1.0
113,1.1796875
162,1.0
163,1.0078125
164,1.015625
165,1.0546875
166,1.0234375
3545,1.0
3546,1.1484375
3547,1.0078125
880,1.015625
1091,1.0
2623,1.0078125
3491,1.0234375
3820,1.015625
109,1.0625
111,1.0625
1280,1.0
1281,1.0
1282,1.0390625
1283,1.0
1284,1.0
2774,1.0
1062,1.015625
1063,1.015625
1065,1.0234375
1066,1.015625
2732,1.0390625
2733,1.015625
2734,1.03125
2960,1.015625
1059,1.015625
1060,1.015625
2729,1.046875
2730,1.0390625
2956,1.0234375
2957,1.03125
3574,1.03125
3575,1.015625
884,1.0078125
2993,1.0078125
3498,1.0078125
3168,1.0078125
3293,1.0078125
1061,1.046875
2731,1.046875
2958,1.0859375
3810,1.0390625
1487,1.0
1488,1.0234375
1872,1.0859375
1874,1.0390625
1876,1.0
2375,1.0
2376,1.0
2377,1.0390625
252,1.0
254,1.2578125
1875,1.2265625
2379,1.2265625
251,1.546875
253,1.3515625
1486,1.0234375
1489,1.0
1873,1.015625
2378,1.0078125
605,1.0390625
606,1.015625
607,1.0546875
1185,1.109375
1186,1.1640625
1187,1.015625
1826,1.0390625
1827,1.015625
357,1.0234375
358,1.015625
360,1.0078125
361,1.015625
362,1.015625
1229,1.0859375
359,1.015625
1230,1.0234375
1906,1.015625
2299,1.015625
2300,1.15625
2301,1.0390625
2302,1.015625
2303,1.0234375
1903,1.015625
1904,1.046875
1905,1.015625
1907,1.0390625
608,1.015625
2567,1.015625
2569,1.015625
2570,1.015625
356,1.03125
1228,1.1171875
3801,1.0234375
3802,1.015625
3803,1.015625
3804,1.0234375
1708,1.046875
1709,1.0390625
1710,1.046875
1711,1.0390625
1712,1.03125
2586,1.03125
2587,1.0234375
2588,1.0546875
4154,1.015625
4155,1.015625
4156,1.015625
4157,1.015625
4158,1.015625
4159,1.015625
4160,1.015625
4161,1.015625
1706,1.0078125
2585,1.0078125
2591,1.0078125
3299,1.0234375
1707,1.0078125
2592,1.0078125
3305,1.0078125
2590,1.0078125
3306,1.0078125
933,1.015625
2823,1.015625
2824,1.0078125
2825,1.015625
2826,1.015625
2827,1.015625
2828,1.0234375
2829,1.0234375
483,1.0234375
930,1.0078125
931,1.0078125
932,1.0078125
1436,1.0078125
2822,1.015625
488,1.0234375
1439,1.03125
1440,1.03125
1441,1.0390625
1442,1.0390625
1443,1.0390625
1444,1.015625
484,1.046875
485,1.046875
486,1.0234375
489,1.03125
490,1.03125
3165,1.0078125
3166,1.0078125
3167,1.0078125
3290,1.0078125
3291,1.015625
3292,1.015625
3162,1.0078125
3163,1.0078125
3164,1.0078125
3287,1.015625
3288,1.0078125
3289,1.0078125
2551,1.015625
2552,1.03125
2553,1.0390625
2554,1.0078125
3621,1.0234375
3622,1.03125
3623,1.0234375
3624,1.0078125
2027,1.0390625
2028,1.015625
2029,1.015625
1942,1.0
1943,1.0
1944,1.0
1945,1.0
3461,1.0
3509,1.0
3531,1.0078125
2180,1.0
2181,1.0
2182,1.0
3334,1.0
4255,1.1640625
22,1.0390625
23,1.03125
506,1.0234375
507,1.015625
508,1.0390625
509,1.0234375
510,1.015625
736,1.0234375
568,1.140625
569,1.1015625
570,1.1953125
571,1.0625
572,1.03125
573,1.109375
2508,1.046875
2509,1.0703125
2130,1.015625
2131,1.0078125
2132,1.0078125
2133,1.0078125
2138,1.0078125
1659,1.0078125
1660,1.015625
1661,1.0234375
1662,1.0078125
4185,1.0390625
4186,1.0234375
4187,1.0234375
4188,1.0234375
4189,1.0234375
15,1.0078125
145,1.015625
146,1.0234375
1793,1.0078125
1794,1.0078125
2136,1.0078125
2137,1.015625
2655,1.015625
321,1.015625
322,1.03125
323,1.015625
326,1.015625
673,1.0078125
674,1.015625
675,1.0078125
677,1.0078125
678,1.0078125
679,1.0078125
682,1.0078125
676,1.0078125
680,1.0078125
681,1.0078125
1702,1.0390625
1703,1.2265625
1704,1.03125
1705,1.0078125
2580,1.015625
2581,1.2734375
2582,1.0
2583,1.0
905,1.0546875
907,1.0
908,1.0
909,1.0234375
2030,1.0
2542,1.0
2543,1.140625
2544,1.296875
906,1.1875
2031,1.0078125
2032,1.0234375
2033,1.0
2034,1.0
352,1.2421875
603,1.1875
1182,1.421875
1224,1.2421875
1997,1.0
3008,1.1484375
3796,1.1015625
3798,1.1640625
