,0
4440,4.0625
4441,4.09375
4442,4.59375
4443,3.828125
4444,4.40625
4445,3.984375
4446,4.03125
4447,3.78125
4448,4.0625
4449,4.46875
4450,3.921875
4451,4.4375
4452,3.953125
4453,4.09375
4454,3.828125
4455,3.921875
4456,4.40625
4457,4.03125
4458,4.5625
4459,3.71875
4460,4.34375
4461,4.875
4462,4.03125
4463,4.09375
4464,3.78125
4465,4.28125
4466,3.796875
4467,4.4375
4468,3.75
4469,4.4375
4470,4.71875
4471,4.09375
4472,3.984375
4473,4.5625
4474,4.25
4475,3.78125
4476,3.953125
4477,4.9375
4478,4.21875
4479,4.0625
4480,4.875
4481,4.53125
4482,3.40625
4483,4.65625
4484,3.984375
4485,4.4375
4486,4.21875
4487,4.25
4488,4.03125
4489,3.828125
4490,4.3125
4491,4.53125
4492,4.1875
4493,4.09375
4494,4.375
4495,3.890625
4496,4.3125
4497,4.84375
4498,3.796875
4499,4.375
4500,4.21875
4501,4.6875
4502,3.796875
4503,3.984375
4504,4.15625
4505,3.984375
4506,4.96875
4507,4.59375
4508,4.25
4509,4.96875
4510,3.984375
4511,4.28125
4512,3.890625
4513,4.21875
4514,4.6875
4515,4.1875
4516,4.03125
4517,3.625
4518,3.984375
4519,4.21875
4520,5.03125
4521,3.71875
4522,4.3125
4523,3.953125
4524,3.6875
4525,4.09375
4526,4.53125
4527,4.25
4528,3.75
4529,3.78125
4530,4.53125
4531,3.796875
4532,4.40625
4533,4.15625
4534,3.859375
4535,4.0625
4536,4.34375
4537,4.53125
4538,4.34375
4539,3.828125
4540,4.53125
4541,4.6875
4542,4.21875
4543,4.59375
4544,3.984375
4545,4.125
4546,3.890625
4547,4.03125
4548,3.65625
4549,4.96875
4550,4.40625
4551,3.890625
4552,4.15625
4553,4.3125
4554,4.1875
4555,3.71875
4556,4.5625
4557,4.28125
4558,3.890625
4559,3.984375
4560,4.59375
4561,3.890625
4562,3.921875
4563,5.03125
4564,3.796875
4565,3.984375
4566,4.21875
4567,4.875
4568,4.5625
4569,4.1875
4570,4.21875
4571,4.6875
4572,4.84375
4573,4.9375
4574,4.59375
4575,4.71875
4576,4.46875
4577,3.625
4578,4.84375
4579,4.28125
4580,4.34375
4581,4.46875
4582,4.59375
4583,3.953125
4584,4.25
4585,3.890625
4586,3.953125
4587,4.0625
4588,4.15625
4589,4.3125
4590,4.53125
4591,4.25
4592,4.1875
4593,3.953125
4594,4.0625
4595,5.1875
4596,4.59375
4597,4.3125
4598,4.71875
4599,3.859375
4600,4.28125
4601,4.0625
4602,3.890625
4603,3.953125
4604,3.78125
4605,4.21875
4606,3.75
4607,4.21875
4608,4.65625
4609,3.828125
4610,3.796875
4611,4.65625
