,0
1626,1.0
1903,1.0
2318,1.0
2359,1.0
2392,1.0
3216,1.0078125
3567,1.0
4194,1.0
2495,1.0
3030,1.0
4768,1.0
5698,1.0
546,1.0
787,1.0078125
1313,1.0234375
1473,1.0
2649,1.0
3209,1.0
3261,1.0
4032,1.0078125
229,1.0
884,1.0
895,1.0
1418,1.0
2138,1.0
5214,1.0
5576,1.0078125
5619,1.0
5849,1.0078125
1232,1.0
1258,1.0
1915,1.0078125
4207,1.0
30,1.0
180,1.0
405,1.0078125
1789,1.0
1887,1.0
2321,1.015625
3222,1.0
3341,1.0
161,1.0
993,1.015625
1976,1.0078125
2017,1.0
3434,1.0078125
3590,1.0
5753,1.0078125
449,1.0078125
1269,1.0078125
2457,1.0078125
5566,1.0
5756,1.0078125
572,1.0
1278,1.0
2086,1.0
6273,1.0
62,1.0078125
259,1.0078125
705,1.0546875
1535,1.015625
2919,1.0703125
3784,1.0859375
4276,1.015625
4989,1.015625
129,1.0234375
823,1.03125
3032,1.0390625
5979,1.015625
6767,1.0234375
6932,1.0234375
1215,1.0078125
2071,1.0
2225,1.0
2796,1.0
2851,1.0
3517,1.0
5456,1.0
5784,1.0
90,1.0
206,1.0
547,1.0
1130,1.0
1505,1.0
1568,1.0
2484,1.0
3926,1.0
841,1.0
916,1.0
1345,1.0
1632,1.0
3730,1.0
4065,1.0
4559,1.0
6924,1.0078125
1650,1.0
2500,1.0
4068,1.0
5919,1.0078125
6473,1.0078125
94,1.015625
134,1.0
550,1.0078125
713,1.0
1140,1.0078125
2119,1.015625
2315,1.0078125
2467,1.0234375
1071,1.0
3169,1.0078125
3246,1.0078125
1735,1.0
3921,1.0
613,1.0078125
1030,1.0
1144,1.0078125
2654,1.0
2930,1.0
3025,1.0
3128,1.0
3599,1.0
1027,1.0078125
1933,1.0
2743,1.0
3641,1.0
5141,1.0078125
7039,1.0078125
6,1.0078125
1458,1.0
2339,1.0078125
3654,1.0234375
5012,1.0078125
6608,1.0078125
117,1.0390625
175,1.0078125
544,1.0
1775,1.0
5549,1.0
6627,1.015625
320,1.0
397,1.0078125
688,1.0078125
691,1.0
1122,1.0
3085,1.0
5222,1.0
5559,1.0078125
660,1.0
667,1.0
1210,1.0
3202,1.0
3923,1.0078125
4041,1.0
4610,1.0
6662,1.0078125
2144,1.0
2770,1.0
3588,1.0
726,1.0078125
1456,1.0
1865,1.0
1879,2.1875
2445,1.03125
2685,1.0234375
4434,1.0078125
4597,1.046875
840,1.0
1041,1.0
1057,1.0
2396,1.0
2432,1.0
2815,1.0
3741,1.0
4090,1.0
1867,1.0
2103,1.0
2997,1.0
3320,1.0
4029,1.0
2730,1.0
2769,1.0
5562,1.0
5957,1.0
701,1.0
1766,1.0
2563,1.0
2759,1.0
2924,1.0
3072,1.0
6054,1.0
6127,1.0
1925,1.0
2007,1.0
4988,1.0
6704,1.0
1873,1.0
2341,1.0
4672,1.0
4715,1.0
4927,1.0
5388,1.0234375
5531,1.0
17,1.0
231,1.0
1198,1.0
1565,1.0
2243,1.0
2503,1.0
3292,1.0
3724,1.0234375
477,1.0
1101,1.0
3041,1.0
3838,1.0
4778,1.0
5749,1.0
5750,1.0
5949,1.0
28,1.0
142,1.0
718,1.0
2128,1.0
2327,1.0078125
3009,1.0
3835,1.0
3877,1.0078125
846,1.0
1172,1.0078125
5154,1.0
1533,1.0
3558,1.0
4358,1.0
4495,1.0
4673,1.0
5065,1.0
6103,1.0
110,1.0
830,1.0
1188,1.0
1409,1.0078125
1653,1.0078125
2077,1.0
6193,1.046875
6241,1.0
1477,1.0
1637,1.0
2328,1.0
2487,1.0
4504,1.0
5294,1.0
6428,1.0
6499,1.0
2507,1.0
3454,1.0
3802,1.0078125
4345,1.0
6035,1.0
6622,1.0
6902,1.0
810,1.0
3990,1.0
6334,1.0
31,1.0
71,1.0
1033,1.0
2250,1.0
2755,1.0
2841,1.0
3696,1.0
3976,1.0
3042,1.0
3535,1.0
5228,1.0
5636,1.0
157,1.0
628,1.0
1145,1.0
1442,1.0
2152,1.0
2739,1.0
3774,1.0
3791,1.0
466,1.0
1913,1.0
3405,1.0
3447,1.0
3759,1.0
4263,1.0
5526,1.0
6998,1.0
757,1.0
931,1.0078125
1072,1.0
1420,1.0
1841,1.0
3443,1.0
5580,1.0
3268,1.0
4255,1.0
4791,1.0
359,1.0
984,1.0
1757,1.0078125
2130,1.0
3902,1.0
4054,1.0078125
4060,1.0
4586,1.0
238,1.0
2215,1.0
3780,1.0
4711,1.0
4825,1.0078125
6751,1.0
720,1.0
1580,1.0
1931,1.0
4645,1.0
6757,1.0
829,1.0
2497,1.0
3407,1.0
4308,1.0
5240,1.0
5385,1.0
5752,1.0
5900,1.0
113,1.015625
224,1.0
1553,1.03125
2170,1.0234375
3886,1.1171875
4057,1.046875
4846,1.0
5534,1.0078125
624,1.0
671,1.046875
2617,1.0078125
3491,1.0
4266,1.0
4473,1.015625
5023,1.0078125
5522,1.0
694,1.0
1831,1.0
3602,1.0234375
3647,1.0
4281,1.0078125
5043,1.0
5179,1.0
5659,1.0
393,1.0
451,1.0
1162,1.0
1266,1.0078125
1711,1.0
2513,1.0
5448,1.0
1683,1.0078125
2146,1.0
2629,1.015625
2821,1.0
3565,1.0078125
3625,1.0
3919,1.0703125
4062,1.0390625
1596,1.0
1696,1.0
3521,1.0
3937,1.0
821,1.0
2909,1.0
3673,1.0390625
4300,1.0
4794,1.0
5315,1.0
571,1.015625
3221,1.0078125
3555,1.03125
3761,1.0390625
4243,1.0078125
6365,1.0078125
3057,1.0
3762,1.0078125
5017,1.0078125
6992,1.0
722,1.0
1168,1.0
2642,1.0
3959,1.0
3964,1.0
4107,1.0
6493,1.0
755,1.046875
1465,1.0390625
2340,1.0
3013,1.0
3255,1.0078125
3339,1.0
3586,1.0078125
4267,1.0078125
23,1.0
3655,1.0
4609,1.0
5094,1.0
5282,1.0
6304,1.0
6677,1.0
6899,1.0
141,1.015625
2070,1.0390625
3616,1.046875
3706,1.0390625
4156,1.0546875
4526,1.046875
5331,1.0234375
5450,1.0546875
111,1.0078125
588,1.1640625
656,1.03125
907,1.1640625
1749,1.0234375
1988,1.1171875
2612,1.296875
2741,1.1640625
418,1.046875
1516,1.0546875
2893,1.0078125
3477,1.03125
6423,1.03125
6604,1.03125
566,1.0078125
2580,1.0390625
403,1.1015625
2049,1.1875
2206,1.046875
3223,1.1171875
3424,1.0859375
3758,1.1328125
4700,1.03125
5662,1.015625
530,1.0078125
1109,1.0078125
1651,1.0078125
4843,1.0078125
1289,1.1171875
1930,1.125
3329,1.1015625
3381,1.078125
3709,1.078125
4815,1.0390625
4831,1.0859375
5832,1.09375
813,1.078125
2107,1.203125
2168,1.1875
3143,1.0234375
3380,1.2265625
3849,1.1640625
6909,1.0859375
932,1.2734375
1416,1.078125
3712,1.0
4137,1.0546875
5408,1.03125
5585,1.046875
6171,1.2109375
6274,1.046875
657,1.0078125
914,1.0
1410,1.0078125
3313,1.0
3512,1.0078125
3674,1.015625
4213,1.0078125
5457,1.015625
3029,1.0
3836,1.0078125
4576,1.0078125
5467,1.0078125
6146,1.125
2980,1.0
3141,1.0
3665,1.0
3771,1.0
4109,1.0
4337,1.0
4675,1.0
5714,1.0
1325,1.0078125
1731,1.0078125
2935,1.0078125
3076,1.0078125
4612,1.0234375
5681,1.0
6713,1.1328125
1070,1.0
1206,1.0078125
1885,1.0
2272,1.0
3633,1.0078125
4753,1.0078125
6023,1.0
7049,1.0
709,1.0
1515,1.0078125
4118,1.0
5520,1.0
5706,1.0
5976,1.0
1066,1.0
2556,1.0078125
3945,1.015625
5109,1.0078125
6384,1.0
6919,1.0
340,1.0
371,1.0
724,1.0
913,1.0
1129,1.0
1538,1.0078125
2826,1.0078125
5342,1.0078125
845,1.0
2727,1.0
2880,1.0
3952,1.0
4614,1.0
4759,1.0
6869,1.0
75,1.0078125
1008,1.015625
2933,1.0
3211,1.0
4283,1.0078125
4627,1.1953125
4764,1.0078125
6089,1.0078125
185,1.0078125
1268,1.0234375
1507,1.0078125
1785,1.0078125
3817,1.0
4545,1.0
4660,1.0
4792,1.0
1058,1.0
4396,1.0
4741,1.0078125
764,1.0
2412,1.0
2724,1.0
3391,1.0
3757,1.0
4436,1.0
4579,1.0
4691,1.0
65,1.0
303,1.0
634,1.0
1156,1.0
1679,1.0
1928,1.0
2871,1.0
3533,1.0
3063,1.0
3995,1.0
4926,1.0
55,1.0
3250,1.0
3871,1.0
4430,1.0
5757,1.0
7087,1.0
358,1.0
479,1.0
625,1.0
1303,1.0
2237,1.0
4115,1.0
4600,1.0
5724,1.0
322,1.0
446,1.0
2028,1.0
2758,1.0
2774,1.0
3345,1.0
6424,1.0
435,1.0
1000,1.0
1783,1.0
2468,1.0
3315,1.0
3464,1.0
3989,1.0
4162,1.0
4180,1.6875
5415,1.0
305,1.015625
406,1.0234375
598,1.0078125
1291,1.0
2021,1.0078125
2104,1.0078125
2653,1.0
2682,1.0078125
945,1.0
1150,1.0
1822,1.0
3970,1.0078125
4212,1.0
182,1.0
756,1.0
6834,1.0
191,1.03125
894,1.0078125
1063,1.03125
1387,1.0078125
1649,1.046875
4725,1.0234375
5360,1.2734375
5996,1.0234375
53,1.0
928,1.0
2326,1.0
2680,1.046875
2962,1.015625
3146,1.015625
3507,1.015625
5601,1.046875
655,1.0
3450,1.0
4688,1.0
3731,1.03125
4094,1.0078125
4334,1.234375
7101,1.0390625
864,1.0
1069,1.0
1147,1.0
1671,1.0
2795,1.0
3011,1.046875
3294,1.0
3319,1.0078125
779,1.0078125
2581,1.0
6020,1.0078125
1286,1.0390625
5047,1.0
5509,1.0078125
5942,1.0078125
6743,1.1640625
6839,1.0078125
5,1.0
266,1.0625
1054,1.0
1480,1.0
3360,1.0
3561,1.0078125
4553,1.0078125
6935,1.0
674,1.0078125
1796,1.0
2320,1.0
4355,1.0
5971,1.0
423,1.0
461,1.0
1102,1.0
2538,1.03125
3328,1.015625
3460,1.0
3508,1.0
5174,1.0078125
1246,1.0
3014,1.0
3288,1.0
3985,1.0
4857,1.0
5933,1.0
703,1.0
730,1.0
1529,1.0
1704,1.0078125
1720,1.0
2476,1.0
3396,1.0078125
5198,1.0
556,1.0078125
892,1.0078125
5383,1.0078125
5775,1.03125
6852,1.0078125
8,1.015625
1686,1.015625
2066,1.0
2748,1.0078125
2818,1.0
3046,1.0
3938,1.0
4467,1.0078125
948,1.0
2000,1.0234375
3950,1.0078125
4551,1.015625
5014,1.0078125
5521,1.0
5859,1.015625
6696,1.0
66,1.0
348,1.0078125
1514,1.0
2707,1.0078125
2963,1.0
4079,1.0234375
6207,1.0
6244,1.0
732,1.0078125
4934,1.0
5815,1.0
167,1.0078125
6546,1.0
1866,1.015625
3347,1.0078125
3437,1.015625
3459,1.015625
5353,1.0078125
5846,1.0078125
6228,1.03125
6501,1.0078125
54,1.0234375
1118,1.0078125
1226,1.046875
1561,1.0078125
2042,1.0078125
2627,1.015625
6374,1.0234375
