,0
2604,5.71875
2605,4.03125
2606,4.8125
2607,4.625
2608,5.15625
2609,5.75
2610,5.65625
2611,5.28125
2612,3.46875
2613,3.78125
2614,5.71875
2615,3.78125
2616,5.125
2617,4.28125
2618,3.78125
2619,5.4375
2620,3.921875
2621,3.6875
2622,4.8125
2623,4.8125
2624,5.125
2625,5.84375
2626,3.46875
2627,3.6875
2628,4.9375
2629,4.59375
2630,4.15625
2631,3.515625
2632,4.34375
2633,3.328125
2634,3.40625
2635,3.59375
2636,4.8125
2637,8.25
2638,3.515625
2639,3.46875
2640,3.4375
2641,5.4375
2642,4.46875
2643,3.75
2644,4.65625
2645,4.15625
2646,3.59375
2647,4.1875
2648,6.125
2649,4.8125
2650,5.125
2651,3.828125
2652,4.09375
2653,9.3125
2654,4.03125
2655,5.09375
2656,4.125
2657,4.03125
2658,5.75
2659,4.4375
2660,3.921875
2661,3.921875
2662,5.25
2663,5.375
2664,3.578125
2665,4.21875
2666,4.125
2667,4.875
2668,4.125
2669,3.859375
2670,4.8125
2671,5.5625
2672,4.53125
2673,4.15625
2674,5.53125
2675,4.5625
2676,4.71875
2677,4.84375
2678,3.65625
2679,6.21875
2680,4.34375
2681,4.21875
2682,3.921875
2683,5.15625
2684,3.890625
2685,4.40625
2686,3.921875
2687,4.25
2688,4.40625
2689,4.875
2690,5.71875
2691,3.65625
2692,4.46875
2693,4.46875
2694,4.28125
2695,4.0625
2696,4.3125
2697,5.15625
2698,3.6875
2699,4.9375
2700,4.84375
2701,5.0
2702,4.78125
2703,4.6875
2704,4.53125
2705,3.859375
2706,3.921875
2707,4.8125
2708,4.375
2709,4.125
2710,5.0
2711,3.953125
2712,5.71875
2713,3.65625
2714,3.796875
2715,4.375
2716,3.4375
2717,3.796875
2718,7.375
2719,4.03125
2720,5.4375
2721,4.0625
2722,3.578125
2723,4.96875
2724,4.3125
2725,5.09375
2726,4.875
2727,5.0
2728,3.578125
2729,4.28125
2730,3.6875
2731,4.4375
2732,5.09375
2733,4.25
2734,5.1875
2735,3.234375
2736,4.625
2737,5.28125
2738,4.8125
2739,4.78125
2740,3.359375
2741,4.625
2742,4.375
2743,4.4375
2744,4.375
2745,4.25
2746,4.15625
2747,3.625
2748,3.859375
2749,7.0
2750,5.125
2751,6.78125
2752,3.71875
2753,3.859375
2754,6.5625
2755,4.0625
2756,4.84375
2757,4.3125
2758,5.3125
2759,3.78125
2760,3.390625
