,0
216,1.0
276,1.0
2622,1.0
3313,1.0
3424,1.0
4386,1.0
4627,1.0078125
5411,1.0
1710,1.0
2839,1.0
2856,1.0
2938,1.0
2962,1.0
3026,1.0
3761,1.0
4938,1.0
60,1.0
213,1.0
602,1.0078125
1668,1.0
3901,1.0
4798,1.0
4863,1.0
4932,1.0
1688,1.0
2538,1.0
3117,1.0
4290,1.0
6117,1.0
6316,1.0
1326,1.0
3803,1.0
4661,1.0
4738,1.0
5618,1.0
704,1.0
1168,1.0
3416,1.0
3431,1.0
3771,1.0
5163,1.0
6250,1.0
6409,1.0
437,1.0
2583,1.0
3128,1.0
1203,1.0546875
1329,1.0078125
1446,1.0078125
2339,1.0234375
3518,1.0078125
3683,1.0078125
4348,1.0546875
4986,1.03125
61,1.03125
172,1.0390625
1171,1.03125
1261,1.0546875
1646,1.046875
4608,1.0859375
5486,1.0234375
5511,1.0234375
3009,1.0546875
3274,1.015625
4462,1.0234375
4691,1.1328125
5358,1.1171875
6035,1.0234375
596,1.0078125
837,1.0
2054,1.0078125
4278,1.0234375
654,1.0078125
1193,1.0078125
1549,1.0
2614,1.0
4396,1.0078125
4431,1.015625
5279,1.015625
184,1.0078125
1334,1.015625
1769,1.0234375
2088,1.0390625
2541,1.03125
2850,1.015625
3291,1.015625
5053,1.0
1074,1.0
1229,1.0
3228,1.0234375
3242,1.0078125
3934,1.0
4601,1.0078125
4767,1.0078125
5372,1.0
829,1.015625
1404,1.0
1874,1.0078125
2264,1.0
3563,1.0
4159,1.0078125
5797,1.0
1677,1.0
1993,1.0
2678,1.0
2874,1.0
2974,1.0
3316,1.0
5015,1.0
5350,1.0
234,1.0
471,1.0
1123,1.0
1254,1.0
3017,1.0
3688,1.0
5812,1.0
6001,1.0
2918,1.0
3710,1.0
3878,1.0
3926,1.0
4787,1.0078125
5542,1.0
6371,1.015625
817,1.0
1310,1.0
1618,1.0
2034,1.0
2615,1.0
2689,1.0
4410,1.0
5585,1.0
5509,1.0
5753,1.0
5829,1.0
506,1.0078125
1702,1.0
4869,1.0
5179,1.0
838,1.0
1956,1.0
2428,1.0
2593,1.0
3862,1.0
4078,1.0
5180,1.0
251,1.0
554,1.0
1701,1.0
1976,1.0
2137,1.0
2629,1.0
3809,1.0
4282,1.0
971,1.0
1744,1.0
2230,1.0
4295,1.0
4607,1.0
6240,1.0
6444,1.0
203,1.0
1528,1.0
1680,1.0
4284,1.0
4409,1.0
5023,1.0
5780,1.0
1248,1.0
3099,1.0
4615,1.0
5171,1.0
5603,1.0234375
131,1.0
773,1.015625
3627,1.0078125
4281,1.0234375
4448,1.0
5128,1.015625
5422,1.03125
5889,1.0
340,1.0390625
929,1.015625
4097,1.0078125
4502,1.0234375
5742,1.1328125
5801,1.0078125
6400,1.0234375
261,1.0
642,1.0
861,1.0
2082,1.0
3364,1.0
3463,1.0
4227,1.0
4564,1.0
103,1.0
556,1.0
1011,1.0
3086,1.0
5187,1.0
5425,1.0
6224,1.0
56,1.0
693,1.0
1439,1.0
1520,1.0
1584,1.0
4338,1.0
4862,1.0
6080,1.0
110,1.0
970,1.0
1905,1.0
3287,1.0
3460,1.0
3867,1.0
5032,1.0
5473,1.0
1409,1.0
2715,1.0
4529,1.0
4619,1.0
4795,1.0
64,1.0
391,1.0
435,1.0
1105,1.0
2158,1.0
3419,1.0
3660,1.0
5001,1.0
317,1.015625
753,1.015625
1461,1.0078125
1473,1.015625
1475,1.0078125
1851,1.0703125
2157,1.03125
2348,1.0234375
1065,1.0
1532,1.0
1757,1.0
2321,1.0
