,0
4996,1.4921875
4997,1.5
4998,1.6171875
4999,1.7265625
5000,1.734375
5001,1.4609375
5002,1.625
5003,1.5859375
5004,1.6796875
5005,1.671875
5006,1.9375
5007,1.6484375
5008,1.765625
5009,1.7421875
5010,1.6640625
5011,1.7890625
5012,1.5234375
5013,1.84375
5014,1.609375
5015,1.9609375
5016,1.8359375
5017,1.4296875
5018,1.65625
5019,1.3203125
5020,1.953125
5021,1.4921875
5022,1.765625
5023,1.5546875
5024,1.6328125
5025,1.5625
5026,1.71875
5027,1.5703125
5028,1.7109375
5029,1.5703125
5030,1.8984375
5031,1.7109375
5032,1.7109375
5033,1.6875
5034,1.5859375
5035,1.4453125
5036,1.609375
5037,1.7890625
5038,1.703125
5039,1.4375
5040,1.8203125
5041,1.8046875
5042,1.5
5043,2.0625
5044,1.65625
5045,1.421875
5046,1.5234375
5047,1.671875
5048,1.4296875
5049,1.75
5050,1.65625
5051,1.6953125
5052,1.7734375
5053,1.765625
5054,1.6953125
5055,1.640625
5056,1.8515625
5057,1.7109375
5058,1.8359375
5059,2.0625
5060,1.671875
5061,1.3984375
5062,1.6796875
5063,1.9375
5064,1.90625
5065,1.78125
5066,1.6328125
5067,1.421875
5068,1.5234375
5069,1.6484375
5070,1.65625
5071,1.9921875
5072,1.5546875
5073,1.875
5074,1.4765625
5075,1.7109375
5076,1.921875
5077,1.8203125
5078,2.015625
5079,1.5390625
5080,1.6640625
5081,1.4296875
5082,1.46875
5083,1.4140625
5084,1.453125
5085,1.421875
5086,1.5078125
5087,1.3828125
5088,1.5859375
5089,1.5078125
5090,1.5234375
5091,1.515625
5092,1.7265625
5093,1.734375
5094,1.578125
5095,1.90625
5096,1.3203125
5097,1.7109375
5098,2.109375
5099,1.53125
5100,1.859375
5101,1.8828125
5102,1.4609375
5103,1.4296875
5104,1.640625
5105,2.28125
5106,1.390625
5107,1.8359375
5108,1.765625
5109,1.8671875
5110,1.5390625
5111,1.5078125
5112,1.640625
5113,1.6328125
5114,1.7421875
5115,1.7421875
5116,1.8125
5117,1.5078125
5118,1.3984375
5119,1.3515625
5120,1.4140625
5121,1.5703125
5122,2.09375
5123,1.390625
5124,1.7734375
5125,1.3828125
5126,1.9375
5127,1.3046875
5128,1.921875
5129,1.5703125
5130,1.65625
5131,1.7421875
5132,1.6953125
5133,1.6015625
5134,1.9140625
5135,1.3984375
5136,1.9765625
5137,1.71875
5138,2.375
5139,2.203125
5140,2.21875
5141,1.3125
5142,1.46875
5143,1.421875
5144,1.3359375
5145,1.4921875
5146,1.34375
5147,2.09375
5148,1.34375
5149,1.8125
5150,1.671875
5151,1.4375
5152,1.5390625
5153,1.984375
5154,1.671875
5155,1.6875
5156,2.03125
5157,1.640625
5158,1.3125
5159,1.8671875
5160,1.6171875
5161,1.8984375
5162,1.9453125
5163,1.7734375
5164,1.7109375
5165,1.5546875
5166,1.921875
5167,2.0625
5168,1.8359375
5169,1.7109375
5170,1.734375
5171,2.515625
5172,2.140625
5173,1.2265625
5174,1.4453125
5175,1.265625
5176,1.2421875
5177,1.5859375
5178,1.3671875
5179,1.359375
5180,1.28125
5181,1.734375
5182,1.4140625
5183,1.484375
5184,1.453125
5185,1.3671875
5186,1.359375
5187,1.203125
5188,1.3671875
5189,1.4765625
5190,1.46875
5191,1.328125
5192,1.2421875
5193,1.3515625
5194,1.3203125
5195,2.015625
5196,1.515625
5197,1.34375
5198,1.40625
5199,1.2421875
5200,1.1796875
5201,1.5859375
5202,1.6171875
5203,1.4375
5204,2.015625
5205,1.4453125
5206,1.546875
5207,1.453125
5208,1.3828125
5209,1.921875
5210,1.8671875
5211,1.4140625
5212,1.296875
5213,1.3828125
5214,1.2109375
5215,1.34375
5216,1.3359375
5217,1.5546875
5218,1.625
5219,1.5390625
5220,1.859375
5221,1.59375
5222,1.25
5223,1.5078125
5224,1.46875
5225,1.390625
5226,1.40625
5227,1.3984375
5228,1.3359375
5229,1.3203125
5230,1.6796875
5231,1.5
5232,1.3203125
5233,1.796875
5234,19.5
5235,1.359375
5236,1.3515625
5237,1.5234375
5238,1.3359375
5239,1.484375
5240,1.390625
5241,1.359375
5242,1.1796875
5243,1.28125
5244,1.28125
5245,1.3359375
5246,1.2109375
5247,1.328125
5248,1.53125
5249,1.234375
5250,1.2421875
5251,1.171875
5252,1.296875
5253,1.40625
5254,1.2265625
5255,1.3046875
5256,1.21875
5257,1.71875
5258,1.2421875
5259,1.265625
5260,1.2578125
5261,1.3984375
5262,1.3125
5263,1.4375
5264,1.4453125
5265,1.1796875
5266,1.484375
5267,1.3203125
5268,1.421875
5269,1.53125
5270,1.390625
5271,1.3125
5272,1.2109375
5273,1.140625
5274,1.25
5275,1.265625
5276,1.2265625
5277,1.34375
5278,1.203125
5279,1.203125
5280,1.140625
5281,1.1953125
5282,1.2734375
5283,1.265625
5284,1.1953125
5285,1.171875
5286,1.2421875
5287,1.21875
5288,1.265625
5289,1.15625
5290,1.2109375
5291,1.1640625
5292,1.1875
5293,1.1875
5294,1.1875
5295,1.2578125
5296,1.21875
5297,1.2421875
5298,1.2421875
5299,1.21875
5300,1.15625
5301,1.1328125
5302,1.234375
5303,1.25
5304,1.2578125
5305,1.2265625
5306,1.140625
5307,1.2109375
5308,1.1953125
5309,1.2265625
5310,1.21875
5311,1.1953125
5312,1.25
5313,1.234375
5314,1.21875
5315,1.2734375
5316,1.171875
5317,1.140625
5318,1.28125
5319,1.21875
5320,1.234375
5321,1.28125
5322,1.234375
5323,1.1796875
5324,1.21875
5325,1.15625
5326,1.1640625
5327,1.21875
5328,1.1875
5329,1.171875
5330,1.2421875
5331,1.21875
5332,1.1953125
5333,1.21875
5334,1.3359375
5335,1.4609375
5336,1.46875
5337,1.28125
5338,1.5546875
5339,1.3671875
5340,1.578125
5341,1.171875
5342,1.6953125
5343,1.15625
5344,1.40625
5345,1.2109375
5346,1.265625
5347,1.28125
5348,1.1875
5349,1.34375
5350,1.625
5351,1.1796875
5352,1.25
5353,1.265625
5354,1.265625
5355,1.3203125
5356,1.4140625
5357,1.1875
5358,1.25
5359,1.28125
5360,1.28125
5361,1.1953125
5362,1.4375
5363,1.25
5364,1.28125
5365,1.25
5366,1.3125
5367,1.484375
5368,1.2734375
5369,1.203125
5370,1.2578125
5371,1.5
5372,1.1171875
5373,1.515625
5374,1.2890625
5375,1.640625
5376,1.2578125
5377,1.3515625
5378,1.28125
5379,1.3359375
5380,1.3203125
5381,1.21875
5382,1.296875
5383,1.265625
5384,1.28125
5385,1.28125
5386,1.234375
5387,1.6171875
5388,1.2890625
5389,1.140625
5390,1.203125
5391,1.375
5392,1.28125
5393,1.421875
5394,1.2265625
5395,1.265625
5396,1.2578125
5397,1.2734375
5398,1.1875
5399,1.2109375
5400,1.2890625
5401,1.1796875
5402,1.21875
5403,1.2734375
5404,1.2890625
5405,1.2578125
5406,1.4375
5407,1.28125
5408,1.296875
5409,1.390625
5410,1.3359375
5411,1.484375
5412,1.3828125
5413,1.3359375
5414,1.296875
5415,1.3828125
5416,1.2734375
5417,1.2578125
5418,1.3125
5419,1.390625
5420,1.453125
5421,1.4609375
5422,1.484375
5423,1.34375
5424,1.4921875
5425,1.3828125
5426,1.3359375
5427,1.3515625
5428,1.28125
5429,1.359375
5430,1.375
5431,1.328125
5432,1.3203125
5433,1.296875
5434,1.234375
5435,1.390625
5436,1.421875
5437,1.453125
5438,1.390625
5439,1.34375
5440,1.3828125
5441,1.453125
5442,1.2265625
5443,1.2890625
5444,1.5078125
5445,1.46875
5446,1.578125
5447,1.2109375
5448,1.4609375
5449,1.296875
5450,1.5078125
5451,1.25
5452,1.375
5453,1.4375
5454,1.4296875
5455,1.46875
5456,1.3828125
5457,1.421875
5458,1.3984375
5459,1.515625
5460,1.5859375
5461,1.4375
5462,1.2578125
5463,1.5
5464,1.421875
5465,1.296875
5466,1.390625
5467,1.3515625
5468,1.3046875
5469,1.1953125
5470,1.3515625
5471,1.3046875
5472,1.3671875
5473,1.2890625
5474,1.40625
5475,1.28125
5476,1.2890625
5477,1.3515625
5478,1.359375
5479,1.3203125
5480,1.5390625
5481,1.1953125
5482,1.3125
5483,1.21875
5484,1.4140625
5485,1.4140625
5486,1.296875
5487,1.2734375
5488,1.4296875
5489,1.3515625
5490,1.3203125
5491,1.1796875
5492,1.34375
5493,1.328125
5494,1.3125
5495,1.3515625
5496,1.3046875
5497,1.390625
5498,1.21875
5499,1.4140625
5500,1.296875
5501,1.3359375
5502,1.296875
5503,1.5859375
5504,1.4140625
5505,1.3125
5506,1.46875
5507,1.4453125
5508,1.3828125
5509,1.34375
5510,1.4140625
5511,1.3125
5512,1.234375
5513,1.2734375
5514,1.28125
5515,1.265625
5516,1.3984375
5517,1.2421875
5518,1.3984375
5519,1.3828125
5520,1.25
5521,1.296875
5522,1.3359375
5523,1.359375
5524,1.3359375
5525,1.1953125
5526,1.3359375
5527,1.3984375
5528,1.296875
5529,1.515625
5530,1.3515625
5531,1.28125
5532,1.421875
5533,1.328125
5534,1.2578125
5535,1.375
5536,1.21875
5537,1.3515625
5538,1.3125
5539,1.4140625
5540,1.28125
5541,1.1953125
5542,1.2421875
5543,1.390625
5544,1.390625
5545,1.359375
5546,1.4375
5547,1.2890625
5548,1.4375
5549,1.4921875
5550,1.4296875
5551,1.34375
5552,1.4375
5553,1.3984375
5554,1.3125
5555,1.375
5556,1.328125
5557,1.4140625
5558,1.421875
5559,1.4375
5560,1.421875
5561,1.296875
5562,1.5546875
5563,1.375
5564,1.2421875
5565,1.3359375
5566,1.1875
5567,1.296875
5568,1.2890625
5569,1.6015625
5570,1.34375
5571,1.375
5572,1.3125
5573,1.515625
5574,1.2734375
5575,1.34375
5576,1.2578125
5577,1.4609375
5578,1.421875
5579,1.421875
5580,1.375
5581,1.2890625
5582,1.3125
5583,1.5078125
5584,1.34375
5585,1.5390625
5586,1.34375
5587,1.609375
5588,1.5859375
5589,1.453125
5590,1.46875
5591,1.515625
5592,1.2734375
5593,1.28125
5594,1.5859375
5595,1.5546875
5596,1.3515625
5597,1.390625
5598,1.3125
5599,1.3984375
5600,1.5625
5601,1.3046875
5602,1.3046875
5603,1.46875
5604,1.3359375
5605,1.5234375
5606,1.3671875
5607,1.453125
5608,1.734375
5609,1.46875
5610,1.3828125
5611,1.53125
5612,1.2734375
5613,1.3984375
5614,1.28125
5615,1.375
5616,1.3359375
5617,1.5
5618,1.34375
5619,1.4296875
5620,1.4921875
5621,1.6171875
5622,1.4609375
5623,1.2109375
5624,1.4609375
5625,1.296875
5626,1.3984375
5627,1.328125
5628,1.453125
5629,1.375
5630,1.25
5631,1.2578125
5632,1.390625
5633,1.5
5634,1.5
5635,1.390625
5636,1.3984375
5637,1.4609375
5638,1.453125
5639,1.53125
5640,1.4765625
5641,1.453125
5642,1.390625
5643,1.5078125
5644,1.34375
5645,1.234375
5646,1.40625
5647,1.3203125
5648,1.484375
5649,1.3515625
5650,1.3828125
5651,1.2578125
5652,1.3671875
5653,1.359375
5654,1.609375
5655,1.4140625
5656,1.2578125
5657,1.3984375
5658,1.4296875
5659,1.59375
5660,1.546875
5661,1.40625
5662,1.359375
5663,1.4140625
5664,1.4140625
5665,1.4140625
5666,1.3359375
5667,1.3125
5668,1.421875
5669,1.375
5670,1.4375
5671,1.296875
5672,1.5390625
5673,1.375
5674,1.375
5675,1.2734375
5676,1.171875
5677,1.34375
5678,1.3046875
5679,1.3046875
5680,1.5234375
5681,1.2890625
5682,1.3984375
5683,1.5859375
5684,1.4140625
5685,1.2109375
5686,1.2578125
5687,1.34375
5688,1.3984375
5689,1.421875
5690,1.4140625
5691,1.2734375
5692,1.2421875
5693,1.2578125
5694,1.2890625
5695,1.359375
5696,1.5546875
5697,1.3515625
5698,1.2734375
5699,1.171875
5700,1.2890625
5701,1.34375
5702,1.3984375
5703,1.25
5704,1.3359375
5705,1.46875
5706,1.359375
5707,1.328125
5708,1.3046875
5709,1.328125
5710,1.34375
5711,1.28125
5712,1.2265625
5713,1.2734375
5714,1.421875
5715,1.4921875
5716,1.171875
5717,1.3046875
5718,1.3046875
5719,1.4921875
5720,1.25
5721,1.3359375
5722,1.3828125
5723,1.3203125
5724,1.34375
5725,1.3515625
5726,1.3671875
5727,1.3984375
5728,1.4609375
5729,1.2109375
5730,1.359375
5731,1.4609375
5732,1.5625
5733,1.3359375
5734,1.5703125
5735,1.515625
5736,1.3984375
5737,1.171875
5738,1.265625
5739,1.3125
5740,1.2421875
5741,1.53125
5742,1.4375
5743,1.2578125
5744,1.515625
5745,1.390625
5746,1.328125
5747,1.3203125
5748,1.2890625
5749,1.34375
5750,1.5390625
5751,1.265625
5752,1.25
5753,1.25
5754,1.203125
5755,1.1953125
5756,1.3203125
5757,1.484375
5758,1.375
5759,1.3046875
5760,1.3828125
5761,1.3046875
5762,1.359375
5763,1.25
5764,1.390625
5765,1.390625
5766,1.34375
5767,1.4140625
5768,1.296875
5769,1.359375
5770,14.4375
5771,1.3359375
5772,1.4140625
5773,1.4375
5774,1.2734375
5775,1.5859375
5776,1.2578125
5777,1.8828125
5778,1.2734375
5779,1.5703125
5780,1.2578125
5781,1.3359375
5782,1.453125
5783,1.5625
5784,1.453125
5785,1.359375
5786,1.6171875
5787,1.515625
5788,1.5
5789,1.4453125
5790,1.4375
5791,1.5
5792,1.7109375
5793,1.3828125
5794,1.5859375
5795,1.4453125
5796,1.3984375
5797,1.2890625
5798,1.390625
5799,1.4609375
5800,1.3828125
5801,1.2265625
5802,1.4375
5803,1.3203125
5804,1.6796875
5805,1.3046875
5806,1.3984375
5807,1.53125
5808,1.390625
5809,1.3046875
5810,1.3203125
5811,1.3984375
5812,1.328125
5813,1.46875
5814,1.25
5815,1.3046875
5816,1.2265625
5817,1.4609375
5818,1.3203125
5819,1.546875
5820,1.3046875
5821,1.53125
5822,1.3671875
5823,1.5234375
5824,1.4375
5825,1.640625
5826,1.609375
5827,1.359375
