,0
1282,1.015625
1288,1.0234375
1290,1.0234375
1368,1.015625
1378,1.0078125
1413,1.0234375
1428,1.0234375
1445,1.015625
1492,1.015625
1505,1.015625
1523,1.03125
1331,1.0
1381,1.0078125
1382,1.0078125
1398,1.0078125
1409,1.0
1424,1.0
1446,1.0
1464,1.0
1466,1.0078125
1477,1.0078125
1486,1.0234375
1499,1.0078125
1503,1.0078125
1524,1.0078125
1525,1.03125
1276,1.015625
1292,1.0078125
1363,1.0234375
1391,1.015625
1407,1.015625
1457,1.0390625
1467,1.0078125
1517,1.0078125
1519,1.03125
5856,1.046875
5858,1.0859375
5861,1.09375
5875,1.0546875
5876,1.15625
5910,1.109375
6311,1.1328125
6318,1.15625
6319,1.046875
6320,1.0390625
6322,1.09375
6327,1.09375
6331,1.1015625
6333,1.0234375
6338,1.0859375
6339,1.0546875
6343,1.0703125
6344,1.0625
6346,1.0625
6348,1.1015625
6349,1.0859375
6352,1.0859375
6310,1.078125
6312,1.203125
6324,1.1796875
6370,1.1953125
6374,1.109375
6315,1.078125
6359,1.1875
6369,1.2109375
3848,1.0390625
3850,1.1015625
3852,1.046875
3853,1.0390625
3856,1.0546875
3859,1.09375
3861,1.078125
3864,1.0546875
3865,1.09375
3866,1.1015625
3868,1.15625
3871,1.09375
3876,1.03125
3878,1.078125
3882,1.046875
3883,1.0703125
3851,1.0625
3863,1.078125
3893,1.046875
3875,1.109375
3884,1.0546875
3904,1.0859375
3935,1.046875
3951,1.0546875
5411,1.03125
5445,1.0625
5447,1.015625
5451,1.0390625
5452,1.046875
5453,1.0546875
5454,1.0546875
5455,1.046875
5459,1.09375
5460,1.0546875
5462,1.0078125
5463,1.0703125
5464,1.046875
5466,1.046875
5470,1.03125
5472,1.0625
5341,1.046875
5448,1.0625
5457,1.0546875
5468,1.0703125
5481,1.046875
5486,1.03125
5493,1.015625
5498,1.03125
5504,1.0546875
5918,1.046875
5924,1.1328125
5935,1.046875
198,1.0390625
239,1.0703125
247,1.046875
248,1.0234375
253,1.046875
264,1.0234375
265,1.1328125
270,1.0390625
271,1.015625
273,1.0390625
274,1.0234375
275,1.0234375
280,1.1171875
281,1.03125
282,1.015625
283,1.0859375
