,0
1604,72.5
1605,32.5
1606,35.75
1607,49.75
1608,25.0
1609,3.328125
1610,68.0
1611,3.328125
1612,51.25
1613,50.5
1614,22.0
1615,84.5
1616,144.0
1617,93.0
1618,4.28125
1619,87.0
1620,26.25
1621,7.625
1622,3.109375
1623,105.0
1624,223.0
1625,179.0
1626,3.359375
1627,66.0
1628,135.0
1629,32.0
1630,2.875
1631,19.75
1632,3.234375
1633,72.5
1634,29.25
1635,45.25
1636,112.0
1637,29.625
1638,35.75
1639,99.0
1640,47.5
1641,191.0
1642,42.5
1643,41.75
1644,60.0
1645,20.375
1646,45.25
1647,10.125
1648,54.5
1649,3.171875
1650,13.5625
1651,203.0
1652,58.0
1653,39.25
1654,52.0
1655,99.0
1656,36.25
1657,34.25
1658,63.75
1659,3.234375
1660,40.0
1661,60.0
1662,60.0
1663,2.828125
1664,33.0
1665,203.0
1666,47.5
1667,32.0
1668,3.296875
1669,26.625
1670,33.75
1671,74.5
1672,179.0
1673,34.75
1674,66.0
1675,3.03125
1676,10.9375
1677,30.625
1678,30.625
1679,29.25
1680,30.625
1681,108.5
1682,3.078125
1683,39.25
1684,61.75
1685,46.0
1686,60.0
1687,4.21875
1688,19.75
1689,68.0
1690,3.59375
1691,41.75
1692,179.0
1693,41.25
1694,60.0
1695,60.0
1696,50.5
1697,6.9375
1698,96.0
1699,48.25
1700,17.5
1701,3.0625
1702,60.0
1703,3.984375
1704,3.015625
1705,20.375
1706,24.25
1707,60.0
1708,16.625
1709,26.25
1710,56.25
1711,3.578125
1712,61.75
1713,252.0
1714,63.75
1715,54.5
1716,268.0
1717,3.328125
1718,53.0
1719,40.5
1720,30.125
1721,46.0
1722,63.75
1723,23.125
1724,79.5
1725,39.25
1726,10.4375
1727,27.5
1728,34.75
1729,185.0
1730,3.296875
1731,3.953125
1732,119.5
1733,42.5
1734,32.0
1735,35.25
1736,44.5
1737,2.875
1738,144.0
1739,74.5
1740,41.75
1741,3.15625
1742,20.125
1743,131.0
1744,32.0
1745,84.5
1746,44.5
1747,29.625
1748,112.0
1749,84.5
1750,25.375
1751,26.625
1752,2.78125
1753,3.296875
1754,53.75
1755,8.9375
1756,34.75
1757,60.0
1758,15.875
1759,21.0
1760,34.25
1761,99.0
1762,25.0
1763,53.75
1764,52.0
1765,35.75
1766,18.25
1767,105.0
1768,179.0
1769,3.03125
1770,82.0
1771,37.0
1772,12.5625
1773,105.0
1774,108.5
1775,43.75
1776,74.5
1777,56.25
1778,28.75
1779,39.25
1780,47.5
1781,54.5
1782,46.0
1783,70.0
1784,38.0
1785,58.0
1786,70.0
1787,18.0
1788,34.25
1789,38.0
1790,24.625
1791,25.0
1792,48.25
1793,43.25
1794,25.375
1795,33.75
1796,49.75
1797,35.75
1798,77.0
1799,16.875
1800,26.625
1801,31.125
1802,37.0
1803,40.5
1804,38.0
1805,63.75
1806,168.0
1807,29.625
1808,72.5
1809,38.0
1810,38.0
1811,36.25
1812,52.0
1813,3.015625
1814,48.25
1815,49.75
1816,54.5
1817,54.5
1818,30.125
1819,90.0
1820,3.078125
1821,32.5
1822,27.5
1823,58.0
1824,53.75
1825,68.0
1826,30.125
1827,3.234375
1828,35.75
1829,53.0
1830,41.25
1831,3.125
1832,48.25
1833,32.0
1834,49.0
1835,66.0
1836,131.0
1837,2.9375
1838,99.0
1839,49.75
1840,90.0
1841,74.5
1842,39.25
1843,29.625
1844,30.625
1845,44.5
1846,25.75
1847,42.5
1848,34.25
1849,115.5
1850,93.0
1851,3.46875
1852,56.25
1853,33.0
1854,16.375
1855,54.5
1856,31.125
1857,40.0
1858,72.5
1859,30.125
1860,40.5
1861,46.0
1862,19.125
1863,41.75
1864,158.0
1865,61.75
1866,127.0
1867,39.25
1868,2.578125
1869,60.0
1870,38.75
1871,44.5
1872,39.25
1873,46.75
1874,36.25
1875,52.0
1876,23.125
1877,3.28125
1878,48.25
1879,90.0
1880,61.75
1881,41.25
1882,3.296875
1883,21.75
1884,61.75
1885,21.0
1886,30.125
1887,3.71875
1888,43.75
1889,135.0
1890,16.375
1891,43.25
1892,48.25
1893,70.0
1894,41.75
1895,45.25
1896,3.546875
1897,28.75
1898,119.5
1899,2.9375
1900,31.625
1901,8.25
1902,3.0625
1903,2.828125
1904,22.375
1905,79.5
1906,39.25
1907,2.921875
1908,2.984375
1909,42.5
1910,53.0
1911,43.25
1912,39.25
1913,96.0
1914,37.0
1915,10.4375
1916,44.5
1917,38.75
1918,79.5
1919,10.75
1920,33.75
1921,45.25
1922,33.0
1923,60.0
