,0
25,1.0
247,139.0
788,1.0
802,12.9375
890,74.5
1369,52.0
1573,1.0
1897,22.0
376,18.625
756,31.125
851,50.5
945,158.0
1120,13.8125
1162,47.5
1710,47.5
1837,1.0
327,168.0
405,14.6875
584,1.0
693,179.0
1263,58.0
252,1.0
562,41.25
860,33.0
1174,82.0
1204,1.0
1300,21.0
2204,14.9375
113,1.0
509,35.25
632,43.25
1121,1.0
1431,61.75
2298,1.0
2524,40.5
368,1.0
420,70.0
581,1.0
1675,1.0
1753,1.0
2280,1.0
2294,25.75
592,148.0
672,1.0
1141,168.0
1313,1.0
1704,1.0
273,45.25
393,1.0
403,61.75
557,1.0
856,33.0
1812,36.25
2401,72.5
2543,35.25
272,35.25
286,6.125
350,35.25
442,58.0
534,74.5
633,43.25
1945,8.0
2174,1.0
186,29.625
462,33.75
928,29.625
950,102.0
963,58.0
985,21.0
1658,70.0
1947,50.5
364,68.0
423,37.0
496,19.75
539,1.0
749,70.0
799,1.0
1206,25.75
1645,14.6875
46,39.25
728,47.5
1882,1.0
2185,96.0
2469,35.75
325,185.0
1249,17.125
2197,63.75
22,31.125
418,20.375
1526,29.25
1556,1.0
2125,27.0
2150,1.0
2433,33.0
916,43.25
1071,1.0
1430,14.9375
1896,1.0
2496,72.5
30,46.75
268,60.0
391,2.28125
836,31.625
1156,1.0
1423,44.5
1491,36.25
1513,1.0
727,70.0
1073,17.75
1309,1.0
1698,68.0
2050,1.0
2086,9.1875
2444,68.0
2499,27.0
121,1.0
322,33.0
613,1.0
876,12.9375
905,1.8671875
922,123.0
1001,48.25
1139,24.625
946,58.0
1098,1.0
1413,25.0
1488,38.0
1509,28.75
2043,34.25
2071,68.0
2242,46.75
103,19.5
210,1.8125
2322,90.0
74,77.0
441,24.25
725,51.25
1107,1.0
1181,1.0
1183,72.5
1322,105.0
1534,237.0
138,14.0
143,82.0
651,58.0
2038,43.75
668,79.5
2014,1.0
2096,1.0
2103,35.75
2229,1.0
2473,1.0
455,22.0
499,1.0
1168,33.0
1715,49.75
1843,31.625
1994,1.0
2541,1.0
2549,12.75
566,20.375
713,79.5
829,35.75
1403,38.0
1515,40.5
2044,25.375
2078,9.3125
2394,26.625
234,90.0
319,18.625
826,108.5
942,66.0
1410,32.0
1686,63.75
1719,32.0
1874,23.5
329,115.5
330,49.75
790,22.375
1006,32.5
1060,17.75
1148,34.75
1344,1.0
2281,26.625
937,70.0
1315,28.375
1334,105.0
1465,77.0
1472,1.0
1832,39.25
2179,27.0
2398,38.0
302,296.0
873,22.0
991,7.5
1681,144.0
1810,32.0
2219,27.875
480,52.0
770,34.25
996,197.0
2257,24.625
2326,82.0
315,47.5
380,148.0
464,74.5
469,191.0
665,6.40625
885,21.375
1005,29.625
1252,35.25
33,6.40625
61,40.0
183,43.75
1424,82.0
21,32.0
101,8.9375
157,38.75
243,35.25
629,49.0
1063,19.5
1975,58.0
2484,16.625
217,25.75
881,41.25
1186,19.5
1215,158.0
1388,1.0
2114,33.0
2210,29.625
2232,22.0
0,1.0
486,29.625
1058,35.25
1111,148.0
1222,33.75
1292,2.046875
1486,18.0
1804,30.125
419,13.375
695,33.0
1089,25.75
1579,68.0
1852,49.0
1926,31.125
1941,9.8125
338,96.0
1010,99.0
1166,46.0
314,191.0
1164,79.5
2037,12.9375
2041,168.0
2230,127.0
2321,40.0
88,31.625
296,36.25
1288,32.5
1555,29.625
2104,53.75
2362,20.75
2371,21.0
2425,47.5
89,43.75
334,77.0
887,32.5
904,25.75
908,44.5
1027,30.625
1271,90.0
1383,42.5
85,35.25
692,56.25
1163,70.0
1308,53.75
1376,197.0
1709,23.125
291,38.75
1639,127.0
1742,18.875
1878,41.75
1935,21.0
