,0
1,5.53125
678,4.28125
973,4.125
570,4.84375
776,5.40625
613,4.28125
525,4.09375
820,4.9375
431,4.59375
712,5.8125
240,4.65625
998,4.15625
393,3.859375
518,5.03125
635,4.25
142,5.15625
41,4.09375
642,5.71875
240,5.375
755,4.4375
836,3.625
165,5.90625
989,4.53125
27,4.0625
207,4.5625
161,4.875
82,4.4375
384,3.78125
644,4.625
165,5.09375
324,4.21875
394,3.78125
953,4.21875
127,5.03125
684,4.1875
334,4.28125
661,4.28125
139,4.21875
302,4.46875
827,4.59375
749,4.4375
87,4.28125
591,4.34375
116,5.8125
864,3.953125
788,4.71875
649,4.1875
699,4.34375
221,5.3125
143,5.3125
60,5.65625
83,4.65625
472,3.75
397,4.96875
848,4.375
570,3.59375
255,3.921875
155,4.59375
258,5.03125
118,4.28125
211,4.59375
556,5.0
779,5.15625
688,3.984375
33,4.09375
802,5.15625
26,4.25
514,5.09375
25,5.09375
426,4.65625
162,5.125
312,5.15625
263,5.40625
137,5.375
584,5.0
245,4.15625
486,3.984375
289,4.84375
932,4.6875
404,4.6875
907,3.578125
907,4.625
597,4.59375
589,4.65625
147,3.953125
173,5.53125
101,5.65625
182,4.40625
930,3.75
736,4.0625
154,4.375
659,3.984375
122,4.21875
522,4.8125
865,4.1875
151,3.59375
180,5.9375
834,5.40625
202,3.953125
91,3.46875
432,3.75
748,5.1875
954,5.65625
905,6.03125
617,5.9375
807,4.46875
762,4.8125
693,3.796875
324,3.859375
958,4.65625
123,5.125
227,5.4375
224,4.8125
920,5.40625
758,4.34375
852,3.65625
519,3.59375
271,5.03125
616,4.875
77,4.4375
147,4.3125
135,5.375
586,3.578125
528,5.5
95,4.4375
691,4.59375
911,5.84375
781,5.625
197,3.796875
767,4.4375
826,3.171875
980,5.90625
651,4.6875
821,4.15625
351,4.34375
878,6.03125
549,5.71875
169,5.125
371,5.1875
475,4.875
483,4.46875
357,4.46875
235,4.09375
37,5.4375
838,5.4375
212,4.46875
19,4.21875
0,5.4375
995,5.5625
442,4.71875
939,3.890625
77,5.1875
920,3.78125
453,4.0625
943,6.0625
802,4.78125
437,3.546875
909,4.5625
215,4.5625
381,5.8125
424,4.3125
729,4.34375
724,4.21875
739,4.3125
402,4.3125
396,5.84375
691,4.8125
338,4.40625
367,4.59375
881,5.125
228,5.0
156,4.21875
421,3.953125
62,5.625
379,4.40625
606,3.484375
133,5.15625
61,5.40625
221,4.375
733,4.9375
868,3.921875
639,4.5625
30,4.59375
27,4.59375
9,5.03125
116,4.34375
356,5.5
354,4.625
97,4.40625
50,4.34375
783,5.125
146,4.40625
311,4.53125
480,4.78125
261,3.921875
636,4.15625
462,4.8125
458,3.75
282,5.3125
476,4.8125
314,4.84375
361,4.25
960,4.59375
160,5.03125
458,4.25
195,4.28125
449,4.65625
567,4.34375
816,4.625
888,4.96875
596,5.25
344,4.0625
708,4.21875
618,4.78125
545,5.75
831,5.53125
212,3.390625
231,4.53125
157,4.71875
525,4.53125
392,3.578125
353,4.53125
353,4.53125
322,3.65625
923,5.53125
640,4.28125
231,5.4375
420,4.65625
229,5.8125
893,3.984375
986,4.34375
561,4.96875
311,4.15625
587,5.09375
528,4.15625
372,5.8125
585,4.375
743,3.828125
213,4.53125
166,4.5625
434,3.75
307,4.4375
926,5.1875
419,3.796875
900,5.03125
120,4.96875
106,4.65625
444,4.15625
509,4.625
726,4.59375
188,4.28125
675,4.34375
132,3.65625
391,4.625
336,3.6875
924,5.0
372,4.3125
424,4.65625
46,4.4375
138,5.5625
91,5.625
999,4.21875
855,4.1875
796,5.3125
560,4.3125
622,3.859375
620,5.25
519,4.46875
959,3.359375
242,4.5625
859,3.953125
150,4.5625
310,4.15625
550,5.28125
124,4.40625
446,4.21875
251,4.46875
742,4.375
254,4.125
116,4.125
238,5.4375
816,3.625
727,4.21875
767,5.25
948,3.65625
795,5.1875
142,4.3125
794,5.84375
789,5.25
50,4.4375
529,3.65625
846,4.5625
280,4.8125
300,6.125
807,4.03125
538,4.875
65,4.28125
650,4.4375
117,4.59375
391,4.78125
37,4.34375
809,4.40625
299,4.625
732,4.1875
195,4.125
246,4.53125
468,4.09375
30,5.0
838,3.828125
935,3.953125
979,4.875
818,5.53125
313,4.28125
133,4.625
54,4.46875
539,4.3125
883,3.890625
305,6.0625
346,3.953125
905,5.25
763,4.5625
226,3.953125
388,5.03125
32,4.125
25,3.71875
489,4.375
469,4.28125
760,4.59375
583,4.03125
406,4.46875
401,4.21875
320,4.53125
471,4.5625
873,4.71875
376,5.0
15,4.25
259,3.953125
350,4.25
795,4.28125
830,3.796875
10,4.65625
604,4.21875
20,5.8125
114,4.0625
930,4.3125
863,6.3125
786,5.71875
103,3.78125
146,3.828125
443,4.59375
48,4.15625
618,4.53125
885,3.828125
44,3.921875
823,4.125
813,5.0
844,4.53125
88,3.828125
219,4.5625
745,4.6875
953,4.0625
666,5.625
197,6.03125
975,4.5625
433,3.46875
386,4.25
38,5.4375
438,3.984375
462,4.03125
617,5.15625
225,4.25
73,4.3125
869,5.125
291,4.28125
111,4.25
330,4.53125
495,4.0625
652,5.75
272,4.78125
464,4.15625
832,3.859375
993,5.4375
673,3.984375
466,4.78125
672,3.953125
238,4.09375
864,4.65625
170,5.0
99,3.484375
397,3.796875
399,4.125
67,5.625
839,4.4375
406,4.15625
299,3.859375
547,3.578125
680,4.65625
660,4.4375
425,4.6875
110,4.59375
163,5.3125
183,3.921875
11,5.8125
84,5.40625
194,4.34375
57,3.890625
611,4.15625
404,4.4375
799,4.03125
886,4.6875
702,5.03125
321,4.375
147,4.15625
106,4.25
592,4.4375
615,4.71875
217,4.03125
473,4.84375
832,5.5625
33,4.96875
122,4.125
204,4.125
432,4.28125
715,5.71875
846,4.34375
569,4.34375
347,4.1875
327,4.25
43,4.46875
154,5.4375
332,4.125
167,4.25
177,5.5
395,4.65625
626,5.15625
632,5.1875
109,3.78125
798,4.6875
239,4.78125
794,6.125
31,5.25
620,4.4375
983,4.96875
971,4.96875
580,5.75
374,4.5625
255,4.375
448,4.34375
863,5.1875
609,4.25
213,4.25
897,4.875
718,5.09375
919,4.375
683,4.34375
435,4.40625
338,4.3125
205,4.5625
398,3.796875
237,3.828125
976,5.625
208,4.65625
68,3.78125
934,3.578125
396,5.75
768,3.796875
797,4.59375
771,5.4375
553,5.53125
706,3.65625
32,3.796875
92,4.25
267,3.890625
986,3.953125
26,4.4375
233,4.03125
441,4.65625
757,4.1875
682,4.625
247,4.78125
428,4.5625
988,4.5625
149,4.8125
23,3.890625
334,5.65625
727,5.5625
38,4.4375
943,4.28125
178,4.21875
358,4.3125
565,4.4375
800,3.984375
914,5.28125
669,4.8125
403,4.6875
292,5.75
564,6.03125
854,4.21875
321,4.25
793,5.1875
705,4.4375
11,4.6875
756,3.78125
359,4.1875
160,5.125
650,4.03125
421,4.3125
418,5.03125
368,3.234375
188,4.84375
855,3.921875
710,4.875
261,5.09375
370,4.875
357,4.5625
977,4.40625
264,4.5625
386,5.09375
235,4.40625
569,5.53125
34,4.53125
817,4.84375
336,5.28125
988,5.0
99,4.375
951,4.96875
369,5.03125
214,6.1875
847,3.78125
667,5.0
690,4.84375
205,4.625
233,5.15625
594,4.21875
237,4.5625
365,5.03125
613,4.4375
144,4.25
414,4.53125
434,5.5625
271,5.5625
728,5.15625
62,4.59375
269,4.3125
769,6.0625
803,4.21875
712,4.84375
568,4.25
268,3.796875
608,4.71875
425,4.8125
309,4.34375
139,5.375
746,4.375
243,4.25
961,4.6875
774,4.59375
593,5.96875
388,4.3125
645,4.78125
711,4.875
230,4.6875
354,4.84375
619,5.125
318,5.09375
302,5.84375
431,3.828125
76,4.6875
575,4.71875
482,5.125
471,5.96875
127,4.46875
908,4.40625
81,5.15625
58,4.03125
297,5.0
758,4.09375
45,3.65625
29,4.65625
747,4.78125
231,4.0625
417,5.3125
105,4.0625
196,4.25
119,4.21875
159,5.375
442,5.90625
670,3.984375
609,4.40625
24,4.0625
93,4.96875
53,5.9375
511,5.125
977,6.0625
374,4.28125
964,6.0625
141,5.1875
769,4.875
135,5.65625
162,4.78125
747,4.375
804,4.84375
282,4.59375
681,4.15625
803,5.5
698,5.96875
957,4.28125
437,4.9375
294,4.34375
13,4.03125
909,5.9375
673,4.28125
484,4.78125
535,4.15625
410,3.890625
369,4.9375
317,5.0
380,5.53125
749,4.3125
256,3.796875
23,3.75
671,3.984375
731,4.0625
839,4.40625
593,5.09375
949,5.96875
750,5.5625
152,5.28125
35,3.71875
833,4.9375
687,3.984375
521,4.625
645,5.71875
597,4.71875
894,4.46875
248,4.9375
298,5.4375
862,5.53125
366,4.125
523,4.875
298,3.6875
540,4.59375
416,5.03125
236,4.375
66,5.125
319,4.125
364,4.4375
301,4.4375
765,5.15625
248,4.3125
929,4.53125
46,4.40625
518,4.125
927,5.84375
560,3.984375
937,4.28125
596,4.0625
290,4.84375
296,5.84375
498,4.03125
408,4.125
164,5.4375
410,5.25
388,5.09375
200,4.65625
9,5.28125
104,4.34375
819,3.71875
280,5.9375
694,5.84375
849,4.15625
362,5.53125
100,4.65625
178,5.3125
176,4.21875
319,4.40625
467,4.03125
444,3.234375
110,5.71875
500,5.40625
400,4.46875
406,4.25
103,4.59375
524,4.625
171,3.984375
8,4.875
876,4.34375
856,5.4375
266,5.4375
375,4.8125
978,4.625
936,5.8125
384,4.40625
559,4.21875
647,3.75
595,5.5625
843,4.46875
676,4.03125
951,4.6875
681,3.6875
100,3.890625
627,3.890625
592,4.28125
970,5.90625
896,4.34375
477,4.03125
329,4.46875
319,4.59375
36,5.4375
267,4.1875
131,5.53125
47,3.78125
57,4.375
169,4.3125
96,4.09375
430,3.953125
387,3.65625
12,4.375
704,4.59375
31,5.09375
477,4.25
253,5.4375
288,4.71875
359,3.953125
49,4.28125
274,4.125
71,4.46875
18,4.59375
512,4.65625
13,3.828125
857,5.28125
236,4.78125
612,4.15625
1,4.1875
269,3.984375
658,6.125
65,5.28125
227,4.875
604,4.375
450,5.03125
506,5.71875
721,4.71875
191,3.40625
610,4.53125
234,5.09375
427,4.71875
928,3.65625
212,4.71875
28,4.3125
574,5.15625
377,4.125
198,5.40625
108,4.625
912,5.125
47,4.3125
460,4.09375
145,4.65625
285,5.40625
640,6.0625
774,5.125
284,4.96875
373,4.5625
861,6.1875
776,5.65625
444,4.0625
360,4.1875
215,4.71875
60,3.796875
450,4.1875
654,4.4375
2,5.71875
181,4.96875
348,3.6875
112,3.953125
843,4.40625
386,4.03125
451,4.375
848,4.9375
975,4.15625
250,4.5625
344,4.125
81,4.59375
295,5.3125
390,3.40625
273,3.921875
784,4.21875
729,4.25
121,4.625
467,4.375
285,5.3125
181,4.46875
450,3.796875
170,5.625
49,4.25
343,4.15625
895,4.25
358,4.40625
553,3.546875
72,3.921875
641,3.921875
931,5.65625
232,4.25
845,4.53125
734,5.15625
726,4.125
494,4.0625
402,4.59375
72,4.375
457,4.28125
957,4.03125
780,4.8125
40,4.4375
291,4.625
366,4.84375
12,4.375
113,3.984375
201,4.9375
98,4.625
636,4.28125
906,4.59375
924,5.4375
880,5.3125
143,4.59375
420,4.25
61,4.5625
757,4.53125
902,5.1875
373,5.375
190,4.53125
685,4.40625
56,4.5625
823,4.53125
493,4.84375
317,3.515625
371,4.59375
41,3.859375
310,3.65625
806,4.28125
900,4.65625
775,4.46875
260,3.71875
868,3.484375
222,6.6875
281,4.8125
496,5.125
294,4.59375
737,4.4375
419,5.375
265,5.25
351,3.859375
792,4.53125
906,3.71875
349,4.34375
15,3.828125
491,3.984375
470,4.0625
955,4.34375
137,4.46875
83,4.96875
171,5.53125
270,4.59375
180,4.4375
510,4.71875
218,4.34375
626,4.21875
431,3.953125
0,4.84375
186,4.65625
889,4.8125
962,3.78125
257,4.03125
946,4.25
67,4.40625
75,4.65625
287,5.25
723,5.375
345,5.0
630,4.09375
307,4.21875
254,4.71875
853,4.1875
407,4.15625
972,4.21875
80,4.40625
358,5.0
394,4.1875
933,6.0625
457,3.578125
210,4.5625
759,5.53125
589,5.375
274,5.3125
557,5.71875
778,5.15625
646,3.78125
29,4.0625
825,4.375
167,4.0625
875,3.796875
278,4.625
284,3.953125
434,3.625
660,5.84375
968,4.375
104,4.25
485,5.71875
70,4.625
31,4.21875
164,5.4375
693,4.34375
910,4.5625
783,4.46875
484,4.9375
661,5.40625
963,4.9375
96,5.71875
78,4.15625
380,5.125
884,4.34375
405,3.359375
187,5.90625
129,5.15625
235,4.375
392,3.6875
534,4.3125
887,5.40625
775,5.90625
898,4.875
619,3.953125
161,4.71875
185,3.890625
590,5.09375
177,4.6875
129,4.40625
36,4.375
192,4.71875
234,4.96875
22,5.40625
95,4.3125
199,5.9375
331,4.375
193,4.71875
222,4.0625
543,3.46875
98,4.65625
531,5.5625
202,3.859375
52,3.796875
312,4.3125
637,4.8125
209,3.859375
148,4.65625
867,4.53125
853,4.34375
182,5.125
21,4.53125
997,4.3125
416,4.28125
709,4.625
662,4.71875
446,4.40625
10,5.1875
200,3.984375
603,4.15625
967,4.625
984,3.921875
383,4.09375
28,4.28125
456,3.65625
283,5.90625
156,4.6875
714,4.09375
330,5.09375
286,4.84375
380,4.71875
443,4.8125
713,4.5625
264,4.71875
822,5.28125
825,4.59375
239,5.53125
765,5.84375
532,5.03125
295,3.953125
24,4.6875
984,6.125
85,4.375
524,4.53125
452,4.125
965,4.625
106,3.25
533,5.375
306,5.4375
959,4.53125
211,5.75
363,4.65625
164,4.34375
913,4.28125
411,5.75
455,3.6875
433,5.03125
663,4.0625
203,4.46875
133,4.25
435,3.75
57,4.1875
112,5.0
283,3.75
413,4.78125
169,4.21875
71,3.859375
221,4.625
880,4.21875
702,3.984375
658,4.9375
678,4.40625
42,4.375
326,4.21875
427,5.1875
72,5.84375
759,4.78125
697,3.859375
321,5.5625
80,4.40625
166,5.125
799,4.03125
189,4.71875
349,4.84375
654,4.53125
244,3.890625
126,4.71875
363,5.03125
277,4.09375
243,5.09375
429,4.78125
369,4.46875
889,4.59375
158,4.4375
244,5.25
782,4.34375
258,4.28125
656,3.890625
93,5.3125
40,3.890625
293,4.1875
635,5.28125
230,4.46875
417,4.84375
281,3.828125
430,4.1875
423,5.03125
55,4.53125
348,4.28125
789,5.1875
85,6.03125
55,4.71875
427,4.40625
915,4.09375
206,4.125
101,5.25
355,3.890625
61,3.828125
325,4.375
297,5.40625
954,5.03125
970,4.5625
801,4.375
856,4.65625
770,4.4375
883,3.890625
939,4.125
379,5.84375
962,4.59375
792,5.84375
740,4.78125
278,4.375
858,4.625
274,3.125
346,5.15625
829,5.4375
989,5.75
911,4.59375
91,5.25
154,4.4375
857,4.375
38,4.03125
614,4.71875
874,5.625
5,5.4375
410,5.5
7,4.25
225,4.6875
176,4.875
966,4.46875
599,5.4375
341,4.71875
389,5.1875
51,5.09375
112,4.28125
513,4.59375
146,5.9375
297,3.28125
748,3.921875
993,4.46875
607,4.375
244,5.125
576,4.40625
785,5.375
436,3.78125
440,4.375
299,4.8125
187,4.96875
938,4.34375
927,4.625
713,6.125
284,4.03125
791,4.71875
421,4.71875
170,4.40625
180,5.0
255,5.8125
256,5.3125
318,4.09375
566,4.03125
622,3.65625
790,3.6875
874,5.1875
764,4.34375
20,3.921875
605,3.953125
811,5.8125
379,4.78125
515,5.84375
517,4.34375
282,4.53125
32,4.3125
738,5.90625
837,3.78125
461,3.953125
688,5.9375
888,4.3125
454,5.125
744,3.828125
63,4.15625
961,4.6875
770,5.65625
327,4.03125
516,3.296875
828,3.75
42,4.03125
87,4.9375
753,3.28125
940,4.15625
81,4.5625
360,5.125
306,5.15625
206,3.890625
408,4.375
526,4.15625
828,3.828125
773,5.5
220,4.5625
384,4.3125
594,3.859375
175,5.09375
581,5.71875
629,4.6875
304,4.21875
895,4.375
465,5.0
750,4.5625
700,4.125
395,3.921875
16,4.40625
179,4.34375
656,4.03125
472,4.15625
704,5.1875
351,4.65625
82,4.375
119,5.3125
918,5.40625
90,3.859375
39,5.5625
785,4.40625
602,5.75
935,3.984375
539,5.40625
374,5.125
245,4.5625
39,4.125
286,5.4375
869,3.953125
68,4.0625
422,5.03125
309,4.375
933,4.4375
368,4.3125
13,4.46875
679,4.1875
696,3.65625
50,5.375
579,5.25
422,5.5625
668,4.71875
26,3.578125
814,5.4375
279,4.1875
194,4.71875
340,4.21875
129,5.1875
287,5.5
262,4.1875
711,4.375
931,4.03125
826,6.1875
987,4.59375
56,4.8125
17,4.15625
86,3.921875
947,4.625
207,3.921875
340,4.53125
378,3.390625
266,3.390625
922,5.84375
850,4.8125
4,5.53125
175,4.875
14,5.15625
389,5.3125
7,5.09375
238,4.46875
470,4.4375
950,4.4375
375,5.5
412,4.84375
353,4.0625
123,4.03125
534,4.0625
498,5.1875
578,5.25
58,4.59375
271,4.96875
786,4.5625
611,3.390625
260,5.15625
648,5.03125
628,4.28125
30,4.34375
295,5.40625
768,4.3125
93,3.921875
801,4.21875
877,4.1875
229,4.21875
928,5.9375
323,4.28125
52,4.3125
87,5.8125
798,4.09375
940,3.890625
541,5.0
24,3.71875
137,4.03125
249,4.6875
532,4.8125
420,4.0625
552,4.5625
917,6.0625
488,4.3125
256,4.28125
403,4.53125
710,4.4375
292,4.25
499,4.25
1,6.0625
453,4.125
197,5.125
35,5.125
778,4.40625
903,4.1875
240,4.25
115,4.40625
92,4.21875
817,4.8125
938,5.125
490,5.40625
218,5.75
873,5.65625
497,5.03125
685,3.984375
921,5.4375
296,5.1875
128,4.5625
432,3.984375
158,4.34375
246,4.15625
316,5.0
75,5.15625
810,4.875
674,4.625
580,5.375
897,4.71875
666,4.09375
83,4.3125
568,4.65625
730,4.25
452,3.921875
152,4.3125
412,4.25
125,3.484375
177,4.625
301,4.78125
667,5.125
6,5.25
813,4.84375
339,5.625
742,5.40625
366,5.71875
35,4.125
260,3.921875
59,5.375
8,5.5
387,5.125
273,4.84375
289,4.40625
663,4.65625
987,4.03125
17,4.9375
78,4.21875
144,4.34375
314,4.34375
220,4.78125
78,5.84375
980,4.375
766,3.953125
449,4.9375
258,4.03125
437,3.65625
18,4.40625
352,4.625
59,5.1875
199,4.53125
241,5.4375
317,4.03125
899,5.53125
345,5.53125
916,4.15625
2,4.71875
413,5.5
440,5.125
390,6.03125
423,5.84375
822,4.21875
279,3.953125
344,5.53125
387,3.890625
21,4.78125
674,4.28125
941,4.875
866,4.1875
163,4.21875
173,5.1875
224,5.625
732,4.15625
454,4.15625
513,4.65625
254,3.71875
166,6.125
12,5.90625
117,4.40625
187,4.65625
144,4.34375
335,5.1875
79,4.03125
229,4.375
860,4.375
723,5.5625
558,4.59375
127,3.71875
917,3.796875
777,5.3125
464,4.0625
812,4.96875
480,4.15625
790,3.921875
882,5.8125
493,5.40625
191,3.921875
333,4.65625
577,5.40625
638,4.40625
339,4.71875
495,5.53125
968,4.375
62,5.5
429,3.859375
268,3.953125
198,4.53125
160,4.5625
153,5.0
183,4.03125
42,4.3125
781,5.375
621,3.65625
48,5.5625
689,4.03125
677,4.46875
804,4.8125
354,4.46875
455,4.34375
102,4.3125
649,5.8125
107,4.96875
601,4.1875
686,5.03125
659,5.53125
7,4.96875
155,5.53125
385,5.1875
377,3.6875
417,5.0
918,5.625
655,4.46875
210,3.921875
88,4.65625
469,5.375
140,4.78125
45,3.953125
501,4.46875
124,4.46875
44,4.3125
288,5.4375
664,4.1875
350,4.375
6,5.375
290,4.4375
707,4.34375
208,4.59375
815,5.03125
820,4.34375
405,4.65625
994,4.65625
967,5.75
720,3.796875
833,4.96875
239,4.6875
76,3.6875
642,3.75
360,4.40625
179,5.0
373,5.28125
202,3.625
325,4.25
439,4.15625
336,4.375
583,3.390625
222,3.484375
754,4.84375
447,4.40625
339,4.3125
981,5.75
287,3.921875
264,4.71875
102,4.59375
877,3.75
277,4.8125
226,4.375
205,3.890625
601,4.40625
679,4.0625
69,4.5625
115,4.3125
171,5.71875
892,4.65625
179,4.96875
787,4.8125
94,5.71875
623,3.859375
854,4.5625
664,4.1875
571,3.921875
272,4.6875
756,5.5
449,4.59375
56,4.875
405,4.03125
168,5.5
459,4.25
316,5.1875
330,4.46875
270,5.8125
285,4.875
279,5.15625
67,5.28125
141,4.1875
861,4.59375
991,4.53125
192,4.4375
487,4.53125
365,4.84375
438,5.375
752,5.625
978,4.28125
275,4.65625
86,4.25
793,4.46875
163,4.59375
130,3.984375
15,4.34375
698,4.6875
429,3.71875
86,4.46875
326,4.6875
894,4.96875
602,4.1875
385,5.84375
2,4.5625
88,4.40625
507,5.40625
306,4.28125
273,5.375
109,3.484375
174,5.125
473,4.46875
314,4.40625
337,5.3125
167,5.53125
891,5.84375
189,5.9375
637,4.15625
4,5.4375
946,3.828125
638,3.546875
683,3.890625
80,6.28125
564,4.59375
728,4.0625
400,5.96875
708,4.46875
59,4.84375
847,5.75
294,4.40625
558,4.375
731,4.0625
552,4.28125
925,6.125
542,4.5625
605,4.3125
904,4.59375
910,4.4375
370,4.28125
214,4.53125
871,3.984375
308,4.5625
717,4.15625
162,4.46875
77,3.796875
745,5.71875
913,4.71875
692,4.125
65,4.1875
625,3.859375
219,4.65625
862,4.125
120,4.40625
241,4.1875
364,4.375
261,4.28125
242,4.875
76,4.3125
739,4.3125
612,4.78125
500,4.21875
438,5.25
784,3.59375
352,3.796875
203,4.0625
782,4.28125
755,3.578125
64,4.625
337,3.953125
328,4.1875
215,3.78125
199,3.953125
409,5.25
902,5.125
23,5.3125
973,4.9375
340,4.3125
424,5.28125
485,4.40625
724,5.03125
70,4.3125
948,4.8125
718,4.78125
176,4.28125
308,5.71875
192,5.09375
259,4.40625
556,4.34375
332,4.125
476,5.375
947,4.03125
445,4.15625
754,4.53125
859,4.65625
914,5.9375
228,3.921875
89,4.5625
696,4.6875
840,3.859375
362,5.125
43,4.84375
104,4.1875
815,5.28125
997,5.53125
746,4.3125
851,4.78125
227,4.65625
322,4.8125
5,5.71875
196,4.53125
941,4.625
200,4.53125
575,5.8125
974,5.625
63,5.25
414,4.15625
233,4.5625
132,5.75
969,5.15625
186,4.4375
827,5.1875
