,0
1,39.25
678,53.0
973,17.75
570,58.0
776,61.75
613,9.5
525,44.5
820,42.5
431,33.0
712,43.75
240,32.0
998,58.0
393,9.5
518,568.0
635,127.0
142,74.5
41,34.75
642,37.5
240,28.375
755,61.75
836,16.875
165,99.0
989,33.0
27,84.5
207,26.25
161,49.75
82,230.0
384,32.0
644,54.5
165,27.875
324,37.5
394,119.5
953,29.625
127,42.5
684,17.125
334,84.5
661,60.0
139,12.75
302,108.5
827,72.5
749,26.25
87,37.5
591,458.0
116,135.0
864,10.5625
788,44.5
649,27.875
699,60.0
221,42.5
143,29.25
60,74.5
83,77.0
472,70.0
397,16.625
848,79.5
570,30.625
255,404.0
155,11.8125
258,25.375
118,58.0
211,82.0
556,14.4375
779,21.375
688,43.25
33,35.75
802,25.75
26,49.75
514,23.5
25,17.75
426,108.5
162,25.375
312,29.625
263,29.625
137,191.0
584,32.5
245,20.75
486,47.5
289,31.625
932,43.25
404,35.75
907,49.75
907,63.75
597,31.125
589,23.875
147,127.0
173,60.0
101,46.0
182,56.25
930,9.625
736,27.5
154,25.375
659,46.0
122,99.0
522,39.25
865,49.0
151,40.5
180,49.0
834,24.25
202,82.0
91,26.625
432,60.0
748,47.5
954,16.625
905,31.125
617,23.875
807,56.25
762,39.25
693,56.25
324,31.125
958,119.5
123,127.0
227,119.5
224,20.125
920,53.0
758,34.75
852,105.0
519,35.75
271,61.75
616,49.0
77,48.25
147,25.0
135,41.25
586,74.5
528,41.25
95,68.0
691,38.0
911,66.0
781,27.875
197,19.125
767,14.4375
826,38.0
980,70.0
651,35.75
821,58.0
351,41.25
878,38.75
549,26.25
169,19.125
371,268.0
475,52.0
483,63.75
357,63.75
235,27.875
37,8.5
838,60.0
212,174.0
19,54.5
0,37.0
995,61.75
442,32.5
939,105.0
77,20.375
920,37.5
453,119.5
943,37.5
802,29.25
437,82.0
909,37.0
215,37.0
381,41.25
424,102.0
729,82.0
724,36.25
739,46.0
402,24.25
396,19.125
691,18.0
338,37.0
367,29.625
881,28.375
228,43.75
156,37.5
421,127.0
62,8.0
379,84.5
606,27.875
133,378.0
61,87.0
221,42.5
733,63.75
868,58.0
639,158.0
30,112.0
27,54.5
9,82.0
116,15.1875
356,90.0
354,34.75
97,22.0
50,72.5
783,10.25
146,245.0
311,31.625
480,40.0
261,29.625
636,31.625
462,30.125
458,40.5
282,174.0
476,179.0
314,25.375
361,38.75
960,22.0
160,52.0
458,77.0
195,10.25
449,52.0
567,139.0
816,163.0
888,99.0
596,15.375
344,43.75
708,40.5
618,105.0
545,53.0
831,70.0
212,33.0
231,123.0
157,23.5
525,32.5
392,66.0
353,70.0
353,93.0
322,27.5
923,40.5
640,68.0
231,119.5
420,96.0
229,105.0
893,27.875
986,23.875
561,34.75
311,520.0
587,39.25
528,68.0
372,61.75
585,16.125
743,28.375
213,14.9375
166,54.5
434,77.0
307,49.0
926,22.375
419,58.0
900,87.0
120,93.0
106,99.0
444,38.75
509,74.5
726,158.0
188,27.875
675,245.0
132,21.375
391,28.75
336,49.0
924,31.625
372,32.5
424,56.25
46,74.5
138,108.5
91,144.0
999,87.0
855,22.0
796,15.875
560,34.75
622,856.0
620,48.25
519,40.0
959,66.0
242,22.75
859,53.75
150,502.0
310,27.0
550,8.9375
124,14.25
446,20.75
251,46.75
742,12.0
254,87.0
116,5.09375
238,26.25
816,50.5
727,33.0
767,35.25
948,9.1875
795,74.5
142,34.75
794,18.25
789,56.25
50,223.0
529,35.75
846,20.75
280,43.75
300,51.25
807,33.75
538,87.0
65,84.5
650,21.375
117,23.875
391,12.0
37,56.25
809,20.125
299,33.75
732,20.125
195,68.0
246,43.25
468,44.5
30,74.5
838,58.0
935,79.5
979,25.375
818,77.0
313,252.0
133,25.0
54,144.0
539,2.78125
883,40.5
305,68.0
346,112.0
905,22.0
763,41.75
226,35.75
388,51.25
32,54.5
25,28.75
489,102.0
469,135.0
760,40.5
583,11.0625
406,36.25
401,37.5
320,174.0
471,22.0
873,56.25
376,43.25
15,23.125
259,29.625
350,99.0
795,54.5
830,17.5
10,119.5
604,52.0
20,40.0
114,26.625
930,38.0
863,8.9375
786,18.625
103,32.5
146,45.25
443,96.0
48,56.25
618,16.125
885,61.75
44,28.375
823,14.0
813,30.125
844,28.75
88,37.0
219,185.0
745,644.0
953,33.75
666,93.0
197,61.75
975,33.0
433,66.0
386,43.75
38,38.0
438,41.75
462,58.0
617,25.0
225,43.75
73,44.5
869,11.0625
291,115.5
111,29.625
330,50.5
495,15.625
652,22.75
272,40.5
464,237.0
832,68.0
993,40.0
673,24.25
466,53.0
672,66.0
238,14.25
864,58.0
170,26.25
99,50.5
397,56.25
399,36.25
67,22.75
839,32.0
406,72.5
299,35.25
547,28.375
680,14.9375
660,135.0
425,70.0
110,37.5
163,68.0
183,27.875
11,60.0
84,23.125
194,25.375
57,27.875
611,58.0
404,14.4375
799,66.0
886,22.75
702,37.5
321,23.5
147,24.25
106,245.0
592,37.0
615,31.625
217,32.5
473,216.0
832,27.875
33,72.5
122,46.0
204,127.0
432,30.125
715,49.0
846,278.0
569,15.375
347,48.25
