,0
0,3.828125
1,5.40625
2,5.375
3,4.78125
4,4.28125
5,4.375
6,4.40625
7,4.875
8,3.890625
9,5.0
10,4.375
11,3.984375
12,4.5625
13,5.84375
14,5.15625
15,5.15625
16,5.125
17,5.75
18,3.984375
19,4.15625
20,4.4375
21,4.40625
22,5.75
23,4.375
24,5.09375
25,5.4375
26,4.1875
27,4.59375
28,5.625
29,4.71875
30,4.65625
31,4.40625
32,5.09375
33,4.09375
34,4.6875
35,4.84375
36,5.28125
37,5.09375
38,5.125
39,6.03125
40,4.4375
41,4.875
42,4.6875
43,5.71875
44,4.3125
45,3.75
46,4.40625
47,4.375
48,4.21875
49,5.15625
50,4.875
51,4.15625
52,4.3125
53,3.984375
54,5.84375
55,5.09375
56,4.40625
57,4.71875
58,5.15625
59,4.53125
60,4.34375
61,4.65625
62,5.09375
63,4.53125
64,4.28125
65,4.34375
66,4.46875
67,5.3125
68,4.46875
69,5.5
70,4.53125
71,3.359375
72,4.34375
73,4.21875
74,4.53125
75,4.125
76,4.5625
77,4.53125
78,4.875
79,4.25
80,4.375
81,4.25
82,4.5625
83,5.28125
84,3.859375
85,5.03125
86,4.09375
87,5.625
88,5.375
89,3.953125
90,4.21875
91,4.6875
92,4.59375
93,3.78125
94,4.09375
95,5.125
96,4.34375
97,3.921875
98,4.40625
99,4.25
100,4.34375
101,4.3125
102,4.78125
103,5.71875
104,4.09375
105,4.25
106,5.40625
107,4.8125
108,5.0
109,4.34375
110,4.625
111,4.78125
112,5.0
113,4.125
114,4.3125
115,5.4375
116,4.3125
117,4.125
118,4.65625
119,4.15625
120,4.53125
121,4.09375
122,4.9375
123,3.921875
124,4.71875
125,4.65625
126,5.53125
127,5.625
128,4.125
129,4.40625
130,5.40625
131,4.625
132,4.09375
133,5.71875
134,5.625
135,4.375
136,5.0
137,3.984375
138,4.25
139,4.8125
140,4.375
141,4.5625
142,4.15625
143,4.875
144,4.34375
145,5.4375
146,4.3125
147,4.3125
148,4.5625
149,5.4375
150,4.25
151,4.78125
152,4.8125
