,0
tensor(88),12.75
tensor(458),14.25
tensor(113),14.25
tensor(400),14.4375
tensor(158),15.375
tensor(165),13.375
tensor(278),14.9375
tensor(306),72.5
tensor(103),36.25
tensor(179),11.625
tensor(174),13.375
tensor(160),10.5625
tensor(294),197.0
tensor(269),17.75
tensor(145),17.125
tensor(146),17.5
tensor(439),153.0
tensor(252),74.5
tensor(198),179.0
tensor(132),79.5
tensor(466),29.25
tensor(479),203.0
tensor(301),16.125
tensor(112),34.25
tensor(84),15.1875
tensor(211),34.75
tensor(475),139.0
tensor(365),93.0
tensor(367),115.5
tensor(295),112.0
tensor(7),12.1875
tensor(91),48.25
tensor(135),13.8125
tensor(460),13.5625
tensor(389),11.8125
tensor(247),17.75
tensor(72),13.375
tensor(421),17.75
tensor(430),29.25
tensor(219),30.625
tensor(401),14.9375
tensor(493),13.375
tensor(194),135.0
tensor(319),13.375
tensor(78),11.25
tensor(477),15.625
tensor(81),230.0
tensor(446),223.0
tensor(377),12.5625
tensor(471),38.0
tensor(159),115.5
tensor(266),108.5
tensor(205),21.75
tensor(422),108.5
tensor(361),14.0
tensor(161),158.0
tensor(25),17.5
tensor(183),14.0
tensor(36),15.1875
tensor(245),17.5
tensor(320),20.125
tensor(48),14.4375
tensor(329),32.0
tensor(384),11.625
tensor(350),14.4375
tensor(141),15.625
tensor(346),16.375
tensor(449),174.0
tensor(326),19.5
tensor(109),20.75
tensor(332),135.0
tensor(237),112.0
tensor(169),11.0625
tensor(325),23.875
tensor(90),93.0
tensor(44),14.4375
tensor(101),21.75
tensor(267),15.375
tensor(483),163.0
tensor(305),17.125
tensor(23),22.75
tensor(15),15.375
tensor(3),18.625
tensor(265),16.125
tensor(49),14.4375
tensor(54),12.5625
tensor(420),119.5
tensor(371),12.75
tensor(415),17.125
tensor(390),12.375
tensor(443),153.0
tensor(224),144.0
tensor(488),223.0
tensor(447),127.0
tensor(117),15.625
tensor(368),105.0
tensor(314),16.125
tensor(185),15.875
tensor(356),12.1875
tensor(461),22.375
tensor(43),19.5
tensor(482),191.0
tensor(96),153.0
tensor(125),10.75
tensor(480),148.0
tensor(402),15.1875
tensor(4),96.0
tensor(354),15.1875
tensor(370),13.1875
tensor(256),25.0
tensor(143),16.375
tensor(144),15.625
tensor(275),15.375
tensor(83),197.0
tensor(229),22.0
tensor(40),16.125
tensor(311),14.4375
tensor(318),13.375
tensor(71),9.9375
tensor(89),18.25
tensor(204),38.75
tensor(444),105.0
tensor(86),14.4375
tensor(29),179.0
tensor(496),13.1875
tensor(92),158.0
tensor(177),11.625
tensor(436),112.0
tensor(433),16.875
tensor(75),12.375
tensor(114),174.0
tensor(210),29.625
tensor(411),13.1875
tensor(450),15.375
tensor(47),19.5
tensor(297),185.0
tensor(115),14.0
tensor(285),12.75
tensor(418),33.75
tensor(437),15.375
tensor(69),37.0
tensor(13),13.5625
tensor(66),25.375
tensor(280),11.25
tensor(442),392.0
tensor(61),13.5625
tensor(213),18.625
tensor(383),10.9375
tensor(94),163.0
tensor(392),13.5625
tensor(358),10.9375
tensor(200),27.0
tensor(399),15.1875
tensor(163),13.1875
tensor(191),237.0
tensor(262),18.625
tensor(452),16.375
tensor(253),33.0
tensor(429),96.0
tensor(289),11.625
tensor(248),14.4375
tensor(178),13.5625
tensor(217),43.25
tensor(26),127.0
tensor(77),9.8125
tensor(124),115.5
tensor(227),72.5
tensor(407),13.375
tensor(352),11.8125
tensor(343),23.875
tensor(215),14.4375
tensor(315),17.5
tensor(387),10.9375
tensor(374),11.625
tensor(82),18.25
tensor(170),13.8125
tensor(58),123.0
tensor(111),135.0
tensor(129),10.4375
tensor(327),18.0
tensor(76),11.25
tensor(312),17.75
tensor(435),158.0
tensor(334),66.0
