,0
194,1.015625
195,1.0078125
196,1.0078125
197,1.0078125
198,1.0078125
199,1.03125
200,1.0859375
201,1.0
202,1.0
203,1.0078125
204,1.0078125
205,1.0
206,1.0078125
207,1.0078125
208,1.0
209,1.0
210,1.0
211,1.0
212,1.015625
213,1.0
214,1.0
215,1.0
216,1.0
217,1.015625
218,1.0390625
219,1.0234375
220,1.03125
221,1.0625
222,1.109375
223,1.0
224,1.2421875
225,1.0078125
226,1.0390625
227,1.0234375
228,1.1015625
229,1.0625
230,1.0
231,1.1171875
232,1.0078125
233,1.0078125
234,1.0078125
235,1.015625
236,1.015625
237,1.03125
238,1.015625
239,1.015625
240,1.015625
241,1.09375
242,1.0
243,1.046875
244,1.015625
245,1.0546875
246,1.0078125
247,1.015625
248,1.0078125
249,1.0078125
250,1.0078125
251,1.0078125
252,1.0078125
253,1.0078125
254,1.0078125
255,1.0
256,1.2578125
257,1.1015625
258,1.4609375
259,1.1640625
260,1.140625
261,1.0234375
262,1.0078125
263,1.0078125
264,1.015625
265,1.0546875
266,1.046875
267,1.015625
268,1.0390625
269,1.1171875
270,1.03125
271,1.015625
272,1.0390625
273,1.0078125
274,1.0078125
275,1.0078125
276,1.0078125
277,1.0078125
278,1.0078125
279,1.0078125
280,1.0078125
281,1.0078125
282,1.15625
283,1.1640625
284,1.0
285,1.234375
286,1.140625
287,1.015625
288,1.0078125
289,1.0078125
290,1.0078125
291,1.0078125
292,1.0078125
293,1.0078125
294,1.0
295,1.0078125
296,1.015625
297,1.015625
298,1.34375
299,1.015625
300,1.0234375
301,1.0625
302,1.0703125
303,1.046875
304,1.046875
305,1.0078125
306,1.0
307,1.0078125
308,1.0
309,1.015625
310,1.0078125
311,1.015625
312,1.0
313,1.0078125
314,1.0078125
315,1.0078125
316,1.0390625
317,1.1015625
318,1.015625
319,1.1015625
320,1.015625
321,1.0
322,1.078125
323,1.03125
324,1.0703125
325,1.0
326,1.0
327,1.0078125
328,1.0078125
329,1.0078125
330,1.0
331,1.0078125
332,1.0234375
333,1.015625
334,1.0
335,1.0234375
336,1.0078125
337,1.0078125
338,1.0078125
339,1.0
340,1.234375
341,1.0
342,1.1796875
343,1.0625
344,1.0625
345,1.1171875
346,1.0234375
347,1.015625
348,1.015625
349,1.015625
350,1.0
351,1.0078125
352,1.234375
353,1.1328125
354,1.484375
355,1.03125
356,1.0390625
357,1.09375
358,1.03125
359,1.015625
360,1.0078125
361,1.0390625
362,1.0078125
363,1.0078125
364,1.0
365,1.015625
366,1.0
367,1.0
368,1.0078125
369,1.0
370,1.0
371,1.0
372,1.0859375
373,1.03125
374,1.1171875
375,1.0
376,1.0234375
377,1.0078125
378,1.0078125
379,1.0
380,1.0078125
381,1.0
382,1.0078125
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.2578125
389,1.09375
390,1.0390625
391,1.0234375
392,1.015625
393,1.0390625
394,1.0078125
395,1.0234375
396,1.0078125
397,1.0078125
398,1.0078125
399,1.015625
400,1.015625
401,1.015625
402,1.0078125
403,1.0078125
404,1.0078125
405,1.0
406,1.2734375
407,1.2265625
408,1.4609375
409,1.125
410,1.0390625
411,1.015625
412,1.0390625
413,1.0546875
414,1.1796875
415,1.1328125
416,1.0078125
417,1.0
418,1.0
419,1.0
420,1.015625
421,1.0078125
422,1.0078125
423,1.0078125
424,1.03125
425,1.0078125
426,1.0625
427,1.0
428,1.1953125
429,1.0234375
430,1.1640625
431,1.03125
432,1.046875
433,1.1015625
434,1.09375
435,1.1015625
436,1.2265625
437,1.0078125
438,1.0078125
439,1.0078125
440,1.0625
441,1.0
442,1.0
443,1.0703125
444,1.0078125
445,1.0234375
446,1.03125
447,1.078125
448,1.015625
449,1.0
450,1.0
451,1.109375
452,1.0078125
453,1.2265625
454,1.015625
455,1.0078125
456,1.0078125
457,1.015625
458,1.015625
459,1.015625
460,1.015625
461,1.0
462,1.015625
463,1.015625
464,1.0078125
465,1.0
466,1.015625
467,1.0390625
468,1.0078125
469,1.0078125
470,1.0
471,1.0234375
472,1.0
473,1.046875
474,1.0
475,1.0078125
476,1.0078125
477,1.0078125
478,1.0234375
479,1.0078125
480,1.015625
481,1.015625
482,1.0078125
483,1.1953125
484,1.0390625
485,1.0078125
486,1.1171875
487,1.0859375
488,1.015625
489,1.0078125
490,1.015625
491,1.0234375
492,1.0
493,1.015625
494,1.0078125
495,1.0078125
496,1.0078125
497,1.0078125
498,1.0078125
499,1.0
500,1.015625
501,1.078125
502,1.0390625
503,1.015625
504,1.015625
505,1.015625
506,1.0078125
507,1.0078125
508,1.0078125
509,1.0
510,1.0234375
511,1.0078125
512,1.015625
513,1.0234375
514,1.015625
515,1.0
516,1.0
517,1.0078125
518,1.0078125
519,1.0
520,1.0
521,1.0
522,1.0
523,1.0234375
524,1.0234375
525,1.328125
526,1.1015625
527,1.0703125
528,1.046875
529,1.015625
530,1.015625
531,1.0078125
532,1.015625
533,1.015625
534,1.015625
535,1.0078125
536,1.0
537,1.1015625
538,1.1953125
539,1.0
540,1.0078125
541,1.0546875
542,1.0234375
543,1.0078125
544,1.0
545,1.0
546,1.1171875
547,1.0078125
548,1.0078125
549,1.0078125
550,1.0
551,1.0
552,1.0
553,1.0078125
554,1.046875
555,1.0078125
556,1.0
557,1.0078125
558,1.0078125
559,1.0078125
560,1.0078125
561,1.0078125
562,1.0078125
563,1.0078125
564,1.0078125
565,1.0078125
566,1.0078125
567,1.1015625
568,1.0859375
569,1.0
570,1.0703125
571,1.015625
572,1.0234375
573,1.0078125
574,1.0234375
575,1.015625
576,1.0078125
577,1.0078125
578,1.0078125
579,1.0
580,1.109375
581,1.0
582,1.0
583,1.0078125
584,1.0
585,1.0703125
586,1.09375
587,1.0078125
588,1.0078125
589,1.0078125
590,1.0078125
591,1.015625
592,1.109375
593,1.328125
594,1.1953125
595,1.1640625
596,1.484375
597,1.0390625
598,1.015625
599,1.015625
600,1.0078125
601,1.234375
602,1.0234375
603,1.0
604,1.0625
605,1.0546875
606,1.0
607,1.0078125
608,1.0078125
609,1.0078125
610,1.0078125
611,1.0078125
612,1.0078125
613,1.0078125
614,1.0078125
615,1.0
616,1.0078125
617,1.0078125
618,1.0078125
619,1.0078125
620,1.0078125
621,1.015625
622,1.03125
623,1.0234375
624,1.0078125
625,1.140625
626,1.0
627,1.0
628,1.0078125
629,1.015625
630,1.0
631,1.0
632,1.0078125
633,1.0
634,1.0
635,1.421875
636,1.0703125
637,1.2265625
638,1.0390625
