,output,predict
0,"{""MeasureName"": ""surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery""}","{""MeasureName"": ""surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery""}"
1,"{""City"": ""birmingham""}","{""City"": ""birmingham""}"
2,"{""City"": ""birmingham""}","{""City"": ""birmingham""}"
3,"{""City"": ""sheffield""}","{""City"": ""sheffield""}"
4,"{""ProviderNumber"": ""10019""}","{""ProviderNumber"": ""10019""}"
5,"{""HospitalType"": ""acute care hospitals""}","{""HospitalType"": ""acute care hospitals""}"
6,"{""Sample"": ""37 patients""}","{""Sample"": ""30 patients""}"
7,"{""Condition"": ""heart attack""}","{""Condition"": ""heart attack""}"
8,"{""HospitalOwner"": ""government - hospital district or authority""}","{""HospitalOwner"": ""government - hospital district or authority""}"
9,"{""Condition"": ""heart attack""}","{""Condition"": ""heart attack""}"
10,"{""PhoneNumber"": ""3347938701""}","{""PhoneNumber"": ""3347938701""}"
11,"{""EmergencyService"": ""yes""}","{""EmergencyService"": ""yes""}"
12,"{""HospitalName"": ""southeast alabama medical center""}","{""HospitalName"": ""southeast alabama medical center""}"
13,"{""HospitalOwner"": ""government - hospital district or authority""}","{""HospitalOwner"": ""government - hospital district or authority""}"
14,"{""HospitalOwner"": ""government - hospital district or authority""}","{""HospitalOwner"": ""government - hospital district or authority""}"
15,"{""PhoneNumber"": ""3347938701""}","{""PhoneNumber"": ""3347938701""}"
16,"{""HospitalType"": ""acute care hospitals""}","{""HospitalType"": ""acute care hospitals""}"
17,"{""State"": ""al""}","{""State"": ""al""}"
18,"{""HospitalOwner"": ""government - hospital district or authority""}","{""HospitalOwner"": ""government - hospital district or authority""}"
19,"{""EmergencyService"": ""yes""}","{""EmergencyService"": ""yes""}"
20,"{""ZipCode"": ""35957""}","{""ZipCode"": ""35957""}"
21,"{""ProviderNumber"": ""10005""}","{""ProviderNumber"": ""10005""}"
22,"{""State"": ""al""}","{""State"": ""al""}"
23,"{""State"": ""al""}","{""State"": ""al""}"
24,"{""EmergencyService"": ""yes""}","{""EmergencyService"": ""yes""}"
25,"{""Stateavg"": ""al_pn-3b""}","{""Stateavg"": ""al_pn-3b""}"
26,"{""Address1"": ""2505 u s highway 431 north""}","{""Address1"": ""2505 u s highway 431 north""}"
27,"{""PhoneNumber"": ""2565938310""}","{""PhoneNumber"": ""2565938310""}"
28,"{""PhoneNumber"": ""2565938310""}","{""PhoneNumber"": ""2565938310""}"
29,"{""ZipCode"": ""35957""}","{""ZipCode"": ""35957""}"
30,"{""PhoneNumber"": ""2565938310""}","{""PhoneNumber"": ""2565938310""}"
31,"{""CountyName"": ""marshall""}","{""CountyName"": ""marshall""}"
32,"{""Stateavg"": ""al_ami-1""}","{""Stateavg"": ""al_ami-1""}"
33,"{""ZipCode"": ""35631""}","{""ZipCode"": ""35631""}"
34,"{""CountyName"": ""lauderdale""}","{""CountyName"": ""lauderdale""}"
35,"{""Condition"": ""heart attack""}","{""Condition"": ""heart attack""}"
36,"{""CountyName"": ""lauderdale""}","{""CountyName"": ""laudexdale""}"
37,"{""City"": ""florence""}","{""City"": ""florence""}"
38,"{""ProviderNumber"": ""10006""}","{""ProviderNumber"": ""10006""}"
39,"{""State"": ""al""}","{""State"": ""al""}"
40,"{""City"": ""florence""}","{""City"": ""florence""}"
41,"{""Sample"": ""619 patients""}","{""Sample"": ""619 patients""}"
42,"{""City"": ""florence""}","{""City"": ""florence""}"
43,"{""ZipCode"": ""35631""}","{""ZipCode"": ""35631""}"
44,"{""Address1"": ""702 n main st""}","{""Address1"": ""702 n main st""}"
45,"{""MeasureName"": ""heart attack patients given aspirin at arrival""}","{""MeasureName"": ""heart attack patients given aspirin at arrival""}"
46,"{""MeasureCode"": ""ami-4""}","{""MeasureCode"": ""ami-4""}"
47,"{""State"": ""al""}","{""State"": ""al""}"
48,"{""HospitalType"": ""acute care hospitals""}","{""HospitalType"": ""acute care hospitals""}"
49,"{""PhoneNumber"": ""3344933541""}","{""PhoneNumber"": ""3344933541""}"
50,"{""MeasureCode"": ""hf-1""}","{""MeasureCode"": ""hf-1""}"
