,output,predict
0,{'category': 'blank media'},{'category': 'dvd r discs'}
1,{'category': 'mp3 players'},{'category': 'mp3 players'}
2,{'brand': 'nikon'},{'brand': 'nikon'}
3,{'brand': 'microsoft'},{'brand': 'microsoft'}
4,{'brand': 'kodak'},{'brand': 'kodak'}
5,{'category': 'networking products'},{'category': 'networking products'}
6,{'category': 'coaxial speakers'},{'category': 'coaxial speakers'}
7,{'brand': 'cocoon'},{'brand': 'cocoon'}
8,{'brand': 'crown'},{'brand': 'crown'}
9,{'category': 'portfolios'},{'category': 'report covers'}
10,{'brand': 'tops'},{'brand': 'tops'}
11,{'category': 'printers'},{'category': 'gps mapping software'}
12,{'brand': 'avery'},{'brand': 'avery'}
13,{'brand': 'vanguard'},{'brand': 'vanguard'}
14,{'category': 'laser printer toner'},{'category': 'inkjet printer ink'}
15,{'brand': 'brother'},{'brand': 'brother'}
16,{'category': 'blank media'},{'category': 'labeling tapes'}
17,{'category': 'cases sleeves'},{'category': 'cases sleeves'}
18,{'brand': 'belkin'},{'brand': 'belkin'}
19,{'category': 'tv mounts'},{'category': 'tv mounts'}
20,{'category': 'file folder labels'},{'category': 'shipping labels'}
21,{'category': 'connectors adapters'},{'category': 'usb cables'}
22,{'brand': 'belkin'},{'brand': 'belkin'}
23,{'brand': 'audio-technica'},{'brand': 'audio-technica'}
24,{'category': 'computer cases'},{'category': 'computer cases'}
25,{'brand': 'kingston'},{'brand': 'computer memory solutions'}
26,{'brand': 'gear head'},{'brand': 'cp technology'}
27,{'category': 'labeling tapes'},{'category': 'labeling tapes'}
28,{'brand': 'norazza'},{'brand': 'blue crane digital'}
29,{'brand': 'corsair'},{'brand': 'corsair'}
30,{'brand': 'cocoon'},{'brand': 'cocoon'}
31,{'category': 'keyboards'},{'category': 'keyboards'}
32,{'brand': 'canon'},{'brand': 'p3 international'}
33,{'brand': 'marware'},{'brand': 'marware'}
34,{'category': 'mp3 players'},{'category': 'mp3 players'}
35,{'category': 'cases bags'},{'category': 'cases bags'}
36,{'category': 'projection screens'},{'category': 'projection screens'}
37,{'category': 'printer ink toner'},{'category': 'inkjet printer ink'}
38,{'category': 'complete tripod units'},{'category': 'complete tripod units'}
39,{'category': 'wrist rests'},{'category': 'wrist rests'}
40,{'brand': 'incipio'},{'brand': 'incipio'}
41,{'brand': 'monster'},{'brand': 'monster'}
42,{'category': 'laser printers'},{'category': 'laser printers'}
43,{'category': 'speaker systems'},{'category': 'home audio theater'}
44,{'category': 'chargers adapters'},{'category': 'power adapters'}
45,{'category': 'keyboards'},{'category': 'keyboards'}
46,{'brand': 'zotac'},{'brand': 'zotac'}
47,{'category': 'colored paper'},{'category': 'colored paper'}
48,{'category': 'graphics cards'},{'category': 'computers accessories'}
49,{'brand': 'verbatim'},{'brand': 'verbatim'}
50,{'brand': 'tripp lite'},{'brand': 'tripp lite'}
51,{'brand': 'transcend'},{'brand': 'transcend'}
52,{'category': 'office electronics'},{'category': 'time clocks'}
53,{'brand': 'tenba'},{'brand': 'tenba'}
54,{'brand': 'targus'},{'brand': 'targus'}
55,{'category': 'laptop netbook computer accessories'},{'category': 'bags cases'}
56,{'category': 'kvm switches'},{'category': 'kvm switches'}
57,{'category': 'crossover parts'},{'category': 'video converters'}
58,{'brand': 'sony'},{'brand': 'sony'}
59,{'brand': 'sony'},{'brand': 'sony'}
60,{'brand': 'sony'},{'brand': 'sony'}
61,{'brand': 'sony'},{'brand': 'sony'}
62,{'brand': 'sony'},{'brand': 'sony'}
63,{'category': 'point shoot digital cameras'},{'category': 'point shoot digital cameras'}
64,{'category': 'cd-r discs'},{'category': 'cd-r discs'}
65,{'brand': 'scosche'},{'brand': 'scosche'}
66,{'brand': 'sandisk'},{'brand': 'sandisk'}
67,{'brand': 'sandisk'},{'brand': 'sandisk'}
68,{'category': 'external hard drives'},{'category': 'external hard drives'}
69,{'category': 'cases sleeves'},{'category': 'cases sleeves'}
70,{'category': 'remote controls'},{'category': 'remote controls'}
71,{'category': 'audio video accessories'},{'category': 'universal fm cassette adapters'}
72,{'brand': 'epson'},{'brand': 'epson'}
73,{'brand': 'sunpak'},{'brand': 'ptc'}
74,{'category': 'bluetooth headsets'},{'category': 'headsets'}
75,{'category': 'controllers'},{'category': 'controllers'}
76,{'category': 'accessories'},{'category': 'cases bags'}
77,{'category': 'audio video accessories'},{'category': 'computer accessories'}
78,{'category': 'complete surveillance systems'},{'category': 'security surveillance'}
79,{'brand': 'night owl optics'},{'brand': 'night owl optics'}
80,{'brand': 'incipio'},{'brand': 'incipio'}
81,{'brand': 'sony'},{'brand': 'sony'}
82,{'category': 'cases sleeves'},{'category': 'cases sleeves'}
83,{'brand': 'gilsson'},{'brand': 'gilsson'}
84,{'brand': 'digital'},{'brand': '3dtv corp'}
85,{'category': 'inkjet printer ink'},{'category': 'inkjet printer ink'}
86,{'brand': 'canon'},{'brand': 'canon'}
87,{'brand': 'handhelditems'},{'brand': 'handhelditems'}
88,{'category': 'hard drive enclosures'},{'category': 'computers accessories'}
89,{'category': 'power strips'},{'category': 'power strips'}
90,{'brand': 'sparco'},{'brand': 'bankers box'}
91,{'category': 'accessory kits'},{'category': 'cases bags'}
92,{'brand': 'sony'},{'brand': 'sony'}
93,{'brand': 'scosche'},{'brand': 'scosche'}
94,{'category': 'computers accessories'},{'category': 'power converters'}
95,{'category': 'cases bags'},{'category': 'cases bags'}
96,{'category': 'headphones'},{'category': 'headphones'}
97,{'brand': 'ocz'},{'brand': 'ocz'}
98,{'brand': 'netgear'},{'brand': 'netgear'}
99,{'category': 'selector boxes'},{'category': 'home audio theater'}
100,{'brand': 'encore'},{'brand': 'encore software'}
101,{'brand': 'belkin'},{'brand': 'belkin'}
102,{'category': 'postcards'},{'category': 'greeting cards'}
103,{'category': 'labels stickers'},{'category': 'other office equipment'}
104,{'brand': 'amzer'},{'brand': 'amzer'}
105,{'brand': 'amped wireless'},{'brand': 'amped wireless'}
106,{'brand': 'acer'},{'brand': 'acer'}
107,{'category': 'video projectors'},{'category': 'video projectors'}
108,{'brand': 'corsair'},{'brand': 'corsair'}
109,{'brand': 'belkin'},{'brand': 'gear head'}
110,{'category': 'laser printer toner'},{'category': 'laser printer toner'}
111,{'category': 'cases bags'},{'category': 'cases bags'}
112,{'brand': 'da-lite'},{'brand': 'da-lite screen'}
113,{'brand': 'motorola'},{'brand': 'motorola'}
114,{'brand': 'motorola'},{'brand': 'motorola'}
115,{'category': 'data cartridges'},{'category': 'data cartridges'}
116,{'brand': 'marumi'},{'brand': 'marumi'}
117,{'category': 'cases bags'},{'category': 'cases bags'}
118,{'category': 'keyboards'},{'category': 'keyboards'}
119,{'brand': 'i.sound'},{'brand': 'i.sound'}
120,{'brand': 'iogear'},{'brand': 'iogear'}
121,{'brand': 'kensington'},{'brand': 'edge'}
122,{'brand': 'victory'},{'brand': 'a4tech'}
123,{'category': 'storage presentation materials'},{'category': 'scanner accessories'}
