,output,predict
0,"{""article_jcreated_at"": ""1/1/71""}","{""article_jcreated_at"": ""1/71/01""}"
1,"{""article_jvolumn"": ""-1""}","{""article_jvolumn"": ""-1""}"
2,"{""article_jissue"": ""-1""}","{""article_jissue"": ""-1""}"
3,"{""article_jcreated_at"": ""2/15/04""}","{""article_jcreated_at"": ""2/15/04""}"
4,"{""article_jcreated_at"": ""1/6/12""}","{""article_jcreated_at"": ""1/6/12""}"
5,"{""article_jcreated_at"": ""1/13/01""}","{""article_jcreated_at"": ""1/13/01""}"
6,"{""article_jcreated_at"": ""1/15/10""}","{""article_jcreated_at"": ""1/15/10""}"
7,"{""article_jcreated_at"": ""1/9/01""}","{""article_jcreated_at"": ""1/9/01""}"
8,"{""article_jcreated_at"": ""1/1/73""}","{""article_jcreated_at"": ""1/73/01""}"
9,"{""article_jcreated_at"": ""1/1/07""}","{""article_jcreated_at"": ""1/1/07""}"
10,"{""author_list"": ""{\""St_ber F\"",\""Mutz N\"",\""Wrigge H\"",\""Putensen C\"",\""Zinserling J\"",\""Zech S\"",\""Von Spiegel T\""}""}","{""author_list"": ""{\""St_ber F\"",\""Mutz N\"",\""Wrigge H\"",\""Putensen C\"",\""Zinserling J\"",\""Zech S\"",\""Von Spiegel T\""}""}"
11,"{""article_jcreated_at"": ""1/11/01""}","{""article_jcreated_at"": ""1/11/01""}"
12,"{""article_jcreated_at"": ""1/6/01""}","{""article_jcreated_at"": ""1/6/01""}"
13,"{""article_jcreated_at"": ""1/9/01""}","{""article_jcreated_at"": ""1/9/01""}"
14,"{""article_jcreated_at"": ""1/15/01""}","{""article_jcreated_at"": ""1/15/01""}"
15,"{""article_jcreated_at"": ""1/13/01""}","{""article_jcreated_at"": ""1/13/01""}"
16,"{""article_jcreated_at"": ""1/11/01""}","{""article_jcreated_at"": ""1/11/01""}"
17,"{""article_jcreated_at"": ""1/11/01""}","{""article_jcreated_at"": ""1/11/01""}"
18,"{""article_jcreated_at"": ""5/1/99""}","{""article_jcreated_at"": ""1/99/05""}"
19,"{""article_jissue"": ""-1""}","{""article_jissue"": ""-1""}"
20,"{""article_jcreated_at"": ""1/12/01""}","{""article_jcreated_at"": ""1/12/01""}"
21,"{""article_jcreated_at"": ""1/5/01""}","{""article_jcreated_at"": ""1/5/01""}"
22,"{""journal_issn"": ""Jan-68""}","{""journal_issn"": ""68-Jan""}"
23,"{""article_jcreated_at"": ""1/1/97""}","{""article_jcreated_at"": ""1/97""}"
24,"{""article_jcreated_at"": ""1/7/06""}","{""article_jcreated_at"": ""1/7/06""}"
25,"{""article_jcreated_at"": ""1/13/12""}","{""article_jcreated_at"": ""1/13/12""}"
26,"{""article_jcreated_at"": ""1/11/01""}","{""article_jcreated_at"": ""1/11/01""}"
27,"{""article_jcreated_at"": ""1/14/12""}","{""article_jcreated_at"": ""1/14/12""}"
28,"{""article_jcreated_at"": ""1/12/01""}","{""article_jcreated_at"": ""1/12/01""}"
29,"{""article_jcreated_at"": ""1/14/03""}","{""article_jcreated_at"": ""1/14/03""}"
30,"{""article_pagination"": ""22-Dec""}","{""article_pagination"": ""Dec-22""}"
31,"{""article_jcreated_at"": ""1/8/12""}","{""article_jcreated_at"": ""1/8/12""}"
32,"{""article_jcreated_at"": ""1/1/86""}","{""article_jcreated_at"": ""1/86/01""}"
33,"{""article_jcreated_at"": ""1/13/01""}","{""article_jcreated_at"": ""1/13/01""}"
34,"{""article_jcreated_at"": ""1/9/01""}","{""article_jcreated_at"": ""1/9/01""}"
35,"{""article_jcreated_at"": ""1/8/12""}","{""article_jcreated_at"": ""1/8/12""}"
36,"{""article_jcreated_at"": ""1/7/09""}","{""article_jcreated_at"": ""1/7/09""}"
37,"{""article_jcreated_at"": ""1/1/74""}","{""article_jcreated_at"": ""1/74""}"
38,"{""article_jissue"": ""-1""}","{""article_jissue"": ""-1""}"
39,"{""article_jcreated_at"": ""5/1/00""}","{""article_jcreated_at"": ""1/00/05""}"
40,"{""article_jcreated_at"": ""1/15/02""}","{""article_jcreated_at"": ""1/15/02""}"
41,"{""article_jcreated_at"": ""1/8/01""}","{""article_jcreated_at"": ""1/8/01""}"
42,"{""article_jcreated_at"": ""1/14/01""}","{""article_jcreated_at"": ""1/14/01""}"
43,"{""article_jcreated_at"": ""1/9/02""}","{""article_jcreated_at"": ""1/9/02""}"
44,"{""author_list"": ""{\""R Loch Macdonald\"",\""Farbod Asgarzadie-Gadim\"",\""Yeon Gyoe Jang\"",\""Daniel J Curry\"",\""Rachel N Yanowitch\"",\""Kim E Schultheiss\"",\""Jocelyn Tolentino\"",\""J_rgen L_ders\""}""}","{""author_list"": ""{\""R Loch Macdonald\"",\""Farbod Asgarzadie-Gadim\"",\""Yeon Gyoe Jang\"",\""Daniel J Curry\"",\""Rachel N Yanowitch\"",\""Kim E Schultheiss\"",\""Jocelyn Tolentino\"",\""J_rgen L_ders\""}""}"
45,"{""article_jcreated_at"": ""1/1/95""}","{""article_jcreated_at"": ""1/95""}"
46,"{""article_jcreated_at"": ""1/8/06""}","{""article_jcreated_at"": ""1/8/06""}"
47,"{""article_jcreated_at"": ""1/14/10""}","{""article_jcreated_at"": ""1/14/10""}"
48,"{""article_jcreated_at"": ""1/1/97""}","{""article_jcreated_at"": ""1/97""}"
49,"{""article_jcreated_at"": ""1/14/01""}","{""article_jcreated_at"": ""1/14/01""}"
