,output,predict
0,"{""type"": ""location""}","{""type"": ""location""}"
1,"{""type"": ""city""}","{""type"": ""city""}"
2,"{""type"": ""year""}","{""type"": ""year""}"
3,"{""type"": ""status""}","{""type"": ""status""}"
4,"{""type"": ""weight""}","{""type"": ""weight""}"
5,"{""type"": ""code""}","{""type"": ""code""}"
6,"{""type"": ""age""}","{""type"": ""age""}"
7,"{""type"": ""age""}","{""type"": ""age""}"
8,"{""type"": ""age""}","{""type"": ""age""}"
9,"{""type"": ""year""}","{""type"": ""year""}"
10,"{""type"": ""company""}","{""type"": ""company""}"
11,"{""type"": ""company""}","{""type"": ""company""}"
12,"{""type"": ""company""}","{""type"": ""company""}"
13,"{""type"": ""company""}","{""type"": ""company""}"
14,"{""type"": ""company""}","{""type"": ""company""}"
15,"{""type"": ""type""}","{""type"": ""type""}"
16,"{""type"": ""description""}","{""type"": ""description""}"
17,"{""type"": ""year""}","{""type"": ""year""}"
18,"{""type"": ""description""}","{""type"": ""description""}"
19,"{""type"": ""name""}","{""type"": ""name""}"
20,"{""type"": ""rank""}","{""type"": ""rank""}"
21,"{""type"": ""club""}","{""type"": ""club""}"
22,"{""type"": ""country""}","{""type"": ""country""}"
23,"{""type"": ""name""}","{""type"": ""name""}"
24,"{""type"": ""company""}","{""type"": ""company""}"
25,"{""type"": ""name""}","{""type"": ""name""}"
26,"{""type"": ""city""}","{""type"": ""city""}"
27,"{""type"": ""symbol""}","{""type"": ""symbol""}"
28,"{""type"": ""team""}","{""type"": ""team""}"
29,"{""type"": ""type""}","{""type"": ""type""}"
30,"{""type"": ""description""}","{""type"": ""description""}"
31,"{""type"": ""duration""}","{""type"": ""duration""}"
32,"{""type"": ""country""}","{""type"": ""country""}"
33,"{""type"": ""description""}","{""type"": ""description""}"
34,"{""type"": ""name""}","{""type"": ""name""}"
35,"{""type"": ""code""}","{""type"": ""code""}"
36,"{""type"": ""company""}","{""type"": ""company""}"
37,"{""type"": ""rank""}","{""type"": ""rank""}"
38,"{""type"": ""rank""}","{""type"": ""rank""}"
39,"{""type"": ""rank""}","{""type"": ""rank""}"
40,"{""type"": ""rank""}","{""type"": ""rank""}"
41,"{""type"": ""rank""}","{""type"": ""rank""}"
42,"{""type"": ""address""}","{""type"": ""address""}"
43,"{""type"": ""weight""}","{""type"": ""weight""}"
44,"{""type"": ""weight""}","{""type"": ""weight""}"
45,"{""type"": ""city""}","{""type"": ""city""}"
46,"{""type"": ""description""}","{""type"": ""description""}"
47,"{""type"": ""team""}","{""type"": ""team""}"
48,"{""type"": ""weight""}","{""type"": ""weight""}"
49,"{""type"": ""product""}","{""type"": ""name""}"
50,"{""type"": ""age""}","{""type"": ""age""}"
51,"{""type"": ""rank""}","{""type"": ""rank""}"
52,"{""type"": ""name""}","{""type"": ""name""}"
53,"{""type"": ""type""}","{""type"": ""type""}"
54,"{""type"": ""state""}","{""type"": ""state""}"
55,"{""type"": ""status""}","{""type"": ""status""}"
56,"{""type"": ""artist""}","{""type"": ""artist""}"
57,"{""type"": ""result""}","{""type"": ""result""}"
58,"{""type"": ""type""}","{""type"": ""type""}"
59,"{""type"": ""description""}","{""type"": ""description""}"
60,"{""type"": ""age""}","{""type"": ""age""}"
61,"{""type"": ""symbol""}","{""type"": ""symbol""}"
62,"{""type"": ""state""}","{""type"": ""state""}"
63,"{""type"": ""weight""}","{""type"": ""weight""}"
64,"{""type"": ""club""}","{""type"": ""club""}"
65,"{""type"": ""status""}","{""type"": ""status""}"
66,"{""type"": ""code""}","{""type"": ""code""}"
67,"{""type"": ""state""}","{""type"": ""state""}"
68,"{""type"": ""year""}","{""type"": ""year""}"
69,"{""type"": ""position""}","{""type"": ""position""}"
70,"{""type"": ""gender""}","{""type"": ""gender""}"
71,"{""type"": ""name""}","{""type"": ""name""}"
72,"{""type"": ""type""}","{""type"": ""type""}"
73,"{""type"": ""name""}","{""type"": ""name""}"
74,"{""type"": ""age""}","{""type"": ""age""}"
75,"{""type"": ""team""}","{""type"": ""teamname""}"
76,"{""type"": ""company""}","{""type"": ""company""}"
77,"{""type"": ""city""}","{""type"": ""city""}"
78,"{""type"": ""position""}","{""type"": ""position""}"
79,"{""type"": ""age""}","{""type"": ""age""}"
80,"{""type"": ""state""}","{""type"": ""state""}"
81,"{""type"": ""description""}","{""type"": ""description""}"
82,"{""type"": ""age""}","{""type"": ""age""}"
83,"{""type"": ""album""}","{""type"": ""album""}"
84,"{""type"": ""birthdate""}","{""type"": ""birthdate""}"
85,"{""type"": ""birthdate""}","{""type"": ""birthdate""}"
86,"{""type"": ""birthdate""}","{""type"": ""birthdate""}"
87,"{""type"": ""birthdate""}","{""type"": ""birthdate""}"
88,"{""type"": ""birthdate""}","{""type"": ""birthdate""}"
89,"{""type"": ""age""}","{""type"": ""age""}"
90,"{""type"": ""status""}","{""type"": ""status""}"
91,"{""type"": ""code""}","{""type"": ""code""}"
92,"{""type"": ""artist""}","{""type"": ""artist""}"
93,"{""type"": ""age""}","{""type"": ""age""}"
94,"{""type"": ""description""}","{""type"": ""description""}"
95,"{""type"": ""name""}","{""type"": ""name""}"
96,"{""type"": ""age""}","{""type"": ""age""}"
97,"{""type"": ""type""}","{""type"": ""type""}"
98,"{""type"": ""artist""}","{""type"": ""artist""}"
99,"{""type"": ""club""}","{""type"": ""club""}"
100,"{""type"": ""city""}","{""type"": ""city""}"
101,"{""type"": ""position""}","{""type"": ""position""}"
102,"{""type"": ""city""}","{""type"": ""city""}"
103,"{""type"": ""weight""}","{""type"": ""weight""}"
104,"{""type"": ""weight""}","{""type"": ""weight""}"
105,"{""type"": ""category""}","{""type"": ""category""}"
106,"{""type"": ""status""}","{""type"": ""status""}"
107,"{""type"": ""description""}","{""type"": ""description""}"
108,"{""type"": ""description""}","{""type"": ""name""}"
109,"{""type"": ""description""}","{""type"": ""name""}"
110,"{""type"": ""description""}","{""type"": ""name""}"
111,"{""type"": ""description""}","{""type"": ""name""}"
112,"{""type"": ""album""}","{""type"": ""album""}"
113,"{""type"": ""city""}","{""type"": ""city""}"
114,"{""type"": ""location""}","{""type"": ""location""}"
115,"{""type"": ""weight""}","{""type"": ""weight""}"
116,"{""type"": ""age""}","{""type"": ""age""}"
117,"{""type"": ""result""}","{""type"": ""result""}"
118,"{""type"": ""club""}","{""type"": ""club""}"
119,"{""type"": ""team""}","{""type"": ""team""}"
120,"{""type"": ""gender""}","{""type"": ""gender""}"
121,"{""type"": ""category""}","{""type"": ""category""}"
122,"{""type"": ""name""}","{""type"": ""name""}"
123,"{""type"": ""city""}","{""type"": ""city""}"
124,"{""type"": ""city""}","{""type"": ""city""}"
125,"{""type"": ""city""}","{""type"": ""city""}"
126,"{""type"": ""city""}","{""type"": ""city""}"
127,"{""type"": ""city""}","{""type"": ""city""}"
128,"{""type"": ""owner""}","{""type"": ""owner""}"
129,"{""type"": ""owner""}","{""type"": ""owner""}"
130,"{""type"": ""year""}","{""type"": ""year""}"
131,"{""type"": ""location""}","{""type"": ""location""}"
132,"{""type"": ""state""}","{""type"": ""state""}"
133,"{""type"": ""name""}","{""type"": ""name""}"
134,"{""type"": ""description""}","{""type"": ""description""}"
135,"{""type"": ""type""}","{""type"": ""type""}"
136,"{""type"": ""weight""}","{""type"": ""weight""}"
137,"{""type"": ""state""}","{""type"": ""state""}"
138,"{""type"": ""state""}","{""type"": ""state""}"
139,"{""type"": ""state""}","{""type"": ""state""}"
140,"{""type"": ""state""}","{""type"": ""state""}"
141,"{""type"": ""state""}","{""type"": ""state""}"
