,output,predict
0,"{""Brand"": ""Shout""}","{""Brand"": ""Shout""}"
1,"{""Specific uses"": ""Stain Remover""}","{""Specific uses"": ""Shout Stain Remover""}"
2,"{""Item form"": ""Liquid Refill""}","{""Item form"": ""Liquid Refill""}"
3,"{""Net content"": ""60 oz""}","{""Net content"": ""60 oz""}"
4,"{""Pack size"": ""2 pk""}","{""Pack size"": ""2 pk""}"
5,"{""Brand"": ""Glamorous Wash""}","{""Brand"": ""Tyler Candle Company""}"
6,"{""Specialty"": ""High Maintenance""}","{""Specialty"": ""High Maintenance""}"
7,"{""Brand"": ""Mrs. Meyer's Clean Day""}","{""Brand"": ""Mrs. Meyer's""}"
8,"{""Specific uses"": ""Laundry Scent Booster""}","{""Specific uses"": ""Laundry Scent Booster""}"
9,"{""Specialty"": ""Cruelty Free Formula""}","{""Specialty"": ""Cruelty Free Formula""}"
10,"{""Scent"": ""Lavender Scent""}","{""Scent"": ""Lavender Scent""}"
11,"{""Net content"": ""18 oz""}","{""Net content"": ""18 oz""}"
12,"{""Brand"": ""Arm & Hammer""}","{""Brand"": ""Arm & Hammer""}"
13,"{""Scent"": ""Clean & Simple""}","{""Scent"": ""Clean & Simple""}"
14,"{""Load size"": ""25 Loads""}","{""Load size"": ""25 Loads""}"
15,"{""Item form"": ""Liquid""}","{""Item form"": ""Liquid Laundry Detergent""}"
16,"{""Net content"": ""43.75 Fl oz""}","{""Net content"": ""43.75 Fl oz""}"
17,"{""Brand"": ""Puracy""}","{""Brand"": ""Puracy""}"
18,"{""Specialty"": ""Enzyme-Based""}","{""Specialty"": ""Free & Clear""}"
19,"{""Specific uses"": ""Spot Cleaner""}","{""Specific uses"": ""Enzyme-Based Spot Cleaner""}"
20,"{""Scent"": ""Free & Clear""}","{""Scent"": ""Free & Clear""}"
21,"{""Net content"": ""25 Ounce""}","{""Net content"": ""25 Ounce""}"
22,"{""Pack size"": ""Pack of 1""}","{""Pack size"": ""Pack of 1""}"
23,"{""Brand"": ""The Laundress New York""}","{""Brand"": ""The Laundress""}"
24,"{""Specialty"": ""Signature""}","{""Specialty"": ""Classic""}"
25,"{""Scent"": ""Classic""}","{""Scent"": ""Jasmine, Citrus, Fresh, Classic""}"
26,"{""Net content"": ""33.3 Fl Oz""}","{""Net content"": ""33.3 Fl Oz""}"
27,"{""Pack size"": ""Pack of 1""}","{""Pack size"": ""Pack of 1""}"
28,"{""Brand"": ""KIRKLAND SIGNATURE""}","{""Brand"": ""KIRKLAND SIGNATURE""}"
29,"{""Specialty"": ""Ultra Clean""}","{""Specialty"": ""Ultra Clean""}"
30,"{""Net content"": ""120""}","{""Net content"": ""120 Pacs""}"
31,"{""Item form"": ""Pacs""}","{""Item form"": ""Pacs""}"
32,"{""Brand"": ""Dreft Active""}","{""Brand"": ""Dreft""}"
33,"{""Item form"": ""Liquid""}","{""Item form"": ""Liquid Detergent""}"
34,"{""Scent"": ""Baby Blossom""}","{""Scent"": ""Baby Blossom""}"
35,"{""Net content"": ""50 Fl Oz""}","{""Net content"": ""50 Fl Oz""}"
36,"{""Brand"": ""Mrs. Meyer's""}","{""Brand"": ""Mrs. Meyer's""}"
37,"{""Item form"": ""Pacs""}","{""Item form"": ""Pacs""}"
38,"{""Scent"": ""Honeysuckle""}","{""Scent"": ""Honeysuckle""}"
39,"{""Net content"": ""45 CT""}","{""Net content"": ""45 CT""}"
40,"{""Brand"": ""Davis Instruments""}","{""Brand"": ""Davis Instruments""}"
41,"{""Specific uses"": ""FSR Fiberglass Stain Remover""}","{""Specific uses"": ""Fiberglass Stain Remover""}"
42,"{""Net content"": ""16-Ounce""}","{""Net content"": ""16-Ounce""}"
43,"{""Brand"": ""Zout""}","{""Brand"": ""Zout""}"
44,"{""Specialty"": ""Triple Enzyme Formula""}","{""Specialty"": ""Triple Enzyme Formula""}"
45,"{""Specific uses"": ""Stain Remover""}","{""Specific uses"": ""Laundry Stain Remover""}"
46,"{""Net content"": ""12 Oz""}","{""Net content"": ""12 Oz""}"
47,"{""Pack size"": ""Pack of 3""}","{""Pack size"": ""Pack of 3""}"
48,"{""Brand"": ""Downy""}","{""Brand"": ""Tide""}"
49,"{""Item form"": ""Liquid""}","{""Item form"": ""Liquid""}"
50,"{""Scent"": ""April Fresh""}","{""Scent"": ""April Fresh""}"
51,"{""Load size"": ""59 Loads""}","{""Load size"": ""92 fl oz""}"
52,"{""Net content"": ""92 fl oz""}","{""Net content"": ""92 fl oz""}"
53,"{""Brand"": ""Fels Naptha""}","{""Brand"": ""Fels Naptha""}"
54,"{""Item form"": ""Bar""}","{""Item form"": ""Bar""}"
55,"{""Specific uses"": ""Stain Remover""}","{""Specific uses"": ""Laundry Soap Bar & Stain Remover""}"
56,"{""Pack size"": ""Pack of 2""}","{""Pack size"": ""Pack of 2""}"
