n,f1_router_mean,f1_router_std,f1_oracle_mean,f1_oracle_std,f1_random_mean,f1_random_std,util_mean,util_std,dec_ent_mean,dec_ent_std,route_acc_mean,route_acc_std,fit_s_mean,fit_s_std,n_params_mean,n_params_std
3,0.5312,0.2282,0.5312,0.2282,0.3944,0.2312,0.973,0.0382,0.1162,0.0077,0.9993,0.001,0.0384,0.0073,3075.0,0.0
4,0.5366,0.23,0.5366,0.23,0.3927,0.2236,0.9833,0.0232,0.2527,0.0144,0.9914,0.0047,0.0795,0.0191,4100.0,0.0
5,0.5849,0.1808,0.5849,0.1808,0.4258,0.2099,0.9883,0.0161,0.2296,0.0149,0.9928,0.0044,0.0811,0.0133,5125.0,0.0
6,0.6205,0.1514,0.6205,0.1514,0.4246,0.1907,0.9912,0.0122,0.2346,0.0078,0.9936,0.0042,0.1148,0.0044,6150.0,0.0
7,0.6323,0.116,0.639,0.1247,0.4544,0.1731,0.9848,0.0213,0.2728,0.0484,0.9753,0.0243,0.1288,0.0195,7175.0,0.0
8,0.6328,0.0713,0.6387,0.0788,0.409,0.1126,0.9869,0.0182,0.3169,0.0448,0.9757,0.0214,0.1919,0.0208,8200.0,0.0
9,0.6188,0.0427,0.6267,0.045,0.3827,0.0712,0.9896,0.0145,0.362,0.0207,0.9692,0.0117,0.2001,0.0676,9225.0,0.0
10,0.5859,0.006,0.593,0.001,0.3612,0.0143,0.991,0.0125,0.4171,0.0154,0.9663,0.0109,13.4869,1.2513,10250.0,0.0
11,0.6136,0.0046,0.6201,0.0001,0.388,0.0124,0.9849,0.0058,0.4473,0.0095,0.9693,0.0106,13.2454,0.6637,11275.0,0.0
12,0.6109,0.0,0.6257,0.0,0.4164,0.0028,0.979,0.0,0.5058,0.0,0.9477,0.0,14.1712,0.1939,12300.0,0.0
