,output,predict
0,{'Output': 'mismatch'},"\'description\': \'  ""643778-B21 HP Xeon E78867 2.13GHz BL680c G7"" ""Null""   ""Description:HP Intel™ Xeon™ E7-8867L BL680c G7(2.13GHz/10-core/30MB/105W)Full"
1,{'Output': 'mismatch'},"\', \'sku\': \'ST3750330NS\', \'type\': \'\', \'description\': \'  ""Seagate Barracuda ES.2 750GB SATA-II 32MB Cache - OEM (ST3750330NS)"" ""Seagate Barracuda ES.2 750GB SATA-II 3"
2,{'Output': 'match'},"562\', \'Product Type\': \'Memory Module\', \'Memory Type\': \'DDR2\', \'Memory Size\': \'8GB\', \'description\': \'  ""487364-001 8GB DDR2 ECC Registered Memory Module for HP DL580 G5"", ""Null"" ""New 487364-0"
3,{'Output': 'match'},"\', \'description\': \'  ""518736-001-2Pack HP 2 x 450GB 10K 3.5 inch Plug-in Module"" ""Null"" Description:2 x 450GB Fibre Channel 10K 3.5 inch Plug-in Module\', \'title\': \'518736-00"
4,{'Output': 'mismatch'},"\'[295643b21]\', \'brand\': \'HP\', \'category\': \'DLT\', \'Category\': \'Tape Drive\', \'Sub-Category\': \'SDLT\', \'Generation\': \'160/320\', \'Part Number\': \'295643-B21\',"
5,{'Output': 'mismatch'},"', \'category\': \'Intel Processors\', \'Category\': \'Processors\', \'Sub-Category\': \'Socket 1156\', \'Generation\': \'Core i5\', \'Part Number\': \'IL56600K\', \'Products ID\': \'111111\', \'Socket\': \'1"
6,{'Output': 'mismatch'},"Corsair\', \'sku\': \'CMK16GX4M2A2400C14\', \'type\': \'Vengeance LPX\', \'description\': \'  \""Corsair Vengeance LPX Black 16GB (2x8GB) DDR4 PC4-19200 2400MHz Dual Channel Kit"
7,{'Output': 'mismatch'},"', \'brand\': \'345020-B21 Price\', \'category\': \'Proliant BL20p G2 - Blade 2 x Xeon 3.2 GHz RAM 1 GB HD: none LAN EN Fast Gigabit\', \'description\': \'  ""345020-B21 BL20P G2 (2"
8,{'Output': 'mismatch'},"3000c15r\'], \'type\': \'Quad Channel Memory Kit\'}', 'Entity_2': '{\'title\': \'Corsair Vengeance LPX 16GB (2 x 8GB) DDR4 DRAM 2400MHz\', \'category\': \'Memory\', \'subcategory\': \'Memory\', \'brand\':"
9,{'Output': 'mismatch'},"MN2LL/A\', \'type\': \'Accessories\', \'description\': \'  \""Apple Smart screen cover for tablet\""@en "" Apple Smart screen cover for tablet""@en  "" Apple Smart screen cover for tablet""@en  "" Apple Smart screen cover for tablet""@en  "" Apple Smart screen cover for tablet""@en  "" Apple Smart screen cover for tablet""@en  "" Apple Smart"
